	OrthologID	Dekkera_bruxellensis	Saccharomyces_cerevisiae
20	OG0000020	augustus_masked-scaffold_1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.56&CDS=1-5199, genemark-scaffold_5-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.76&CDS=1-1395	YIR013C, YLR013W, YLR312W-A
21	OG0000021	genemark-scaffold_1-processed-gene-2.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.74&CDS=1-3531, genemark-scaffold_2-processed-gene-16.32-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.32&CDS=1-3324	YDR216W, YJR127C, YML081W
22	OG0000022	genemark-scaffold_1-processed-gene-9.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.50&CDS=1-3792, maker-scaffold_6-snap-gene-6.102-mRNA-1_1&gene=maker-scaffold_6-snap-gene-6.102&CDS=1-3012	YGL092W, YKL068W, YMR047C
23	OG0000023	genemark-scaffold_4-processed-gene-8.157-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.157&CDS=1-5754, snap_masked-scaffold_1-processed-gene-11.100-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.100&CDS=1-3690	YML072C, YNL087W, YOR086C
24	OG0000024	augustus_masked-scaffold_1-processed-gene-22.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.6&CDS=1-1626, maker-scaffold_2-augustus-gene-11.114-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-11.114&CDS=1-2007, snap_masked-scaffold_3-processed-gene-8.95-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.95&CDS=1-807, snap_masked-scaffold_6-processed-gene-5.36-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.36&CDS=1-921	YCL074W
25	OG0000025	genemark-scaffold_1-processed-gene-27.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-27.77&CDS=1-1569, genemark-scaffold_13-processed-gene-0.142-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.142&CDS=1-1560	YER056C, YER060W, YER060W-A
26	OG0000026	genemark-scaffold_6-processed-gene-2.74-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.74&CDS=1-1773, maker-scaffold_10-snap-gene-1.48-mRNA-1_1&gene=maker-scaffold_10-snap-gene-1.48&CDS=1-1857, maker-scaffold_6-snap-gene-2.45-mRNA-1_1&gene=maker-scaffold_6-snap-gene-2.45&CDS=1-4629	YBL042C, YDL126C
27	OG0000027	genemark-scaffold_11-processed-gene-0.47-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.47&CDS=1-720, genemark-scaffold_4-processed-gene-4.71-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.71&CDS=1-1323	YBR089C-A, YDL002C, YPR052C
28	OG0000028	genemark-scaffold_14-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-0.76&CDS=1-4458	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
29	OG0000029	genemark-scaffold_16-processed-gene-0.165-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.165&CDS=1-1710, genemark-scaffold_4-processed-gene-0.64-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.64&CDS=1-1707	YOL055C, YPL258C, YPR121W
30	OG0000030	genemark-scaffold_2-processed-gene-10.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.82&CDS=1-1755, genemark-scaffold_4-processed-gene-8.164-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.164&CDS=1-1800, genemark-scaffold_5-processed-gene-2.40-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.40&CDS=1-1761, snap_masked-scaffold_2-processed-gene-12.8-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.8&CDS=1-1572	YKR039W
31	OG0000031	genemark-scaffold_3-processed-gene-8.2-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.2&CDS=1-2958, maker-scaffold_6-augustus-gene-2.1-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-2.1&CDS=1-3570	YDR385W, YKL173W, YOR133W
32	OG0000032	augustus_masked-scaffold_4-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.117&CDS=1-5595	YBL017C, YIL173W, YJL222W, YNR065C
33	OG0000033	augustus_masked-scaffold_7-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.58&CDS=1-927, genemark-scaffold_4-processed-gene-6.133-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.133&CDS=1-402	YAL030W, YLR093C, YOR327C
34	OG0000034	genemark-scaffold_5-processed-gene-2.44-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.44&CDS=1-2241	YER001W, YGL257C, YIL014W, YNR059W
35	OG0000035	genemark-scaffold_1-processed-gene-0.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.53&CDS=1-1893	YDR144C, YLR120C, YLR121C
36	OG0000036	genemark-scaffold_3-processed-gene-10.25-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.25&CDS=1-1956, maker-scaffold_1-snap-gene-1.14-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.14&CDS=1-882	YDR162C, YMR032W
37	OG0000037	genemark-scaffold_1-processed-gene-3.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.50&CDS=1-2022, genemark-scaffold_6-processed-gene-6.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.34&CDS=1-2028	YAL054C, YLR153C
38	OG0000038	genemark-scaffold_1-processed-gene-3.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.38&CDS=1-618	YBL030C, YBR085W, YMR056C
39	OG0000039	augustus_masked-scaffold_6-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.84&CDS=1-1698, genemark-scaffold_1-processed-gene-4.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.70&CDS=1-2739	YBR237W, YNL112W
40	OG0000040	genemark-scaffold_1-processed-gene-4.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.63&CDS=1-2331	YML111W, YMR275C, YNR069C
41	OG0000041	genemark-scaffold_1-processed-gene-15.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.72&CDS=1-615, genemark-scaffold_1-processed-gene-17.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.85&CDS=1-615, maker-scaffold_1-snap-gene-5.130-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.130&CDS=1-3612	YBR289W
42	OG0000042	genemark-scaffold_1-processed-gene-14.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.30&CDS=1-2757, genemark-scaffold_1-processed-gene-7.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.42&CDS=1-2652	YMR266W, YOL084W
43	OG0000043	genemark-scaffold_1-processed-gene-9.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.71&CDS=1-1206, genemark-scaffold_14-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-0.4&CDS=1-1206	YHR179W, YPL171C
44	OG0000044	genemark-scaffold_1-processed-gene-9.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.51&CDS=1-2937, genemark-scaffold_4-processed-gene-7.116-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.116&CDS=1-3123	YBR245C, YOR304W
45	OG0000045	genemark-scaffold_1-processed-gene-12.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.94&CDS=1-2802, snap_masked-scaffold_1-processed-gene-17.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.116&CDS=1-2535	YHR028C, YOR219C
46	OG0000046	genemark-scaffold_4-processed-gene-5.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.56&CDS=1-2310, maker-scaffold_1-snap-gene-14.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-14.3&CDS=1-2370	YBL011W, YKR067W
47	OG0000047	genemark-scaffold_1-processed-gene-15.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.65&CDS=1-2151, genemark-scaffold_1-processed-gene-16.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.17&CDS=1-2574	YFL050C, YOL130W
48	OG0000048	genemark-scaffold_1-processed-gene-17.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.69&CDS=1-3135, snap_masked-scaffold_6-processed-gene-5.33-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.33&CDS=1-405	YML109W, YMR273C
49	OG0000049	genemark-scaffold_2-processed-gene-7.71-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.71&CDS=1-2358, snap_masked-scaffold_1-processed-gene-18.11-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.11&CDS=1-4632	YJL200C, YLR304C
50	OG0000050	genemark-scaffold_1-processed-gene-18.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.90&CDS=1-1482, genemark-scaffold_12-processed-gene-1.176-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.176&CDS=1-1191	YDR423C, YML007W
51	OG0000051	genemark-scaffold_1-processed-gene-18.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.95&CDS=1-1698	YGR087C, YLR044C, YLR134W
52	OG0000052	augustus_masked-scaffold_1-processed-gene-18.49-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.49&CDS=1-5070, maker-scaffold_1-augustus-gene-21.1-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-21.1&CDS=1-1500	YGL148W, YKL221W
53	OG0000053	genemark-scaffold_1-processed-gene-22.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.57&CDS=1-2871, maker-scaffold_2-snap-gene-13.75-mRNA-1_1&gene=maker-scaffold_2-snap-gene-13.75&CDS=1-3150	YJL089W, YMR280C
54	OG0000054	genemark-scaffold_1-processed-gene-22.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.48&CDS=1-1866, maker-scaffold_3-snap-gene-15.85-mRNA-1_1&gene=maker-scaffold_3-snap-gene-15.85&CDS=1-1785	YBR195C, YEL056W
55	OG0000055	genemark-scaffold_1-processed-gene-24.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.71&CDS=1-1863	YML116W, YMR279C, YOR378W
56	OG0000056	genemark-scaffold_1-processed-gene-25.1-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.1&CDS=1-1713, genemark-scaffold_18-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.29&CDS=1-1770	YDL091C, YML013W
57	OG0000057	augustus_masked-scaffold_10-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.7&CDS=1-5247, augustus_masked-scaffold_4-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.24&CDS=1-8397, genemark-scaffold_7-processed-gene-1.12-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.12&CDS=1-5736	YGR032W
58	OG0000058	augustus_masked-scaffold_7-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.57&CDS=1-6015, genemark-scaffold_10-processed-gene-2.93-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.93&CDS=1-8904	YER171W, YGR271W
59	OG0000059	genemark-scaffold_11-processed-gene-1.72-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.72&CDS=1-453, maker-scaffold_11-snap-gene-1.111-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.111&CDS=1-4305	YIL062C, YLR114C
60	OG0000060	genemark-scaffold_12-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.37&CDS=1-573, genemark-scaffold_15-processed-gene-0.158-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.158&CDS=1-573	YGL147C, YNL067W
61	OG0000061	genemark-scaffold_12-processed-gene-0.72-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.72&CDS=1-2859, genemark-scaffold_4-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.96&CDS=1-3096	YGR240C, YMR205C
62	OG0000062	genemark-scaffold_12-processed-gene-1.235-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.235&CDS=1-2574, genemark-scaffold_8-processed-gene-2.111-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.111&CDS=1-2736	YHR031C, YML061C
63	OG0000063	maker-scaffold_4-snap-gene-1.45-mRNA-1_1&gene=maker-scaffold_4-snap-gene-1.45&CDS=1-1719, snap_masked-scaffold_12-processed-gene-1.30-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-1.30&CDS=1-1734	YDL037C, YIR019C
64	OG0000064	genemark-scaffold_13-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.93&CDS=1-5580, maker-scaffold_6-snap-gene-0.105-mRNA-1_1&gene=maker-scaffold_6-snap-gene-0.105&CDS=1-2661	YDR170C, YPR095C
65	OG0000065	genemark-scaffold_13-processed-gene-0.108-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.108&CDS=1-891, genemark-scaffold_13-processed-gene-0.109-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.109&CDS=1-855	YBR183W, YPL087W
66	OG0000066	genemark-scaffold_13-processed-gene-0.117-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.117&CDS=1-2532, genemark-scaffold_5-processed-gene-7.87-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.87&CDS=1-2409	YJR059W, YKL198C
67	OG0000067	genemark-scaffold_4-processed-gene-4.51-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.51&CDS=1-387, snap_masked-scaffold_16-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-0.56&CDS=1-387	YBL003C, YDR225W
68	OG0000068	genemark-scaffold_16-processed-gene-0.143-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.143&CDS=1-366, genemark-scaffold_4-processed-gene-4.69-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.69&CDS=1-366	YBL002W, YDR224C
69	OG0000069	genemark-scaffold_18-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.23&CDS=1-1686	YLR237W, YOR071C, YOR192C
70	OG0000070	maker-scaffold_18-snap-gene-0.63-mRNA-1_1&gene=maker-scaffold_18-snap-gene-0.63&CDS=1-1701, maker-scaffold_3-snap-gene-0.59-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.59&CDS=1-2148	YDR134C, YLR110C
71	OG0000071	augustus_masked-scaffold_19-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.57&CDS=1-2988, genemark-scaffold_3-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.36&CDS=1-1545	YBR087W, YNL065W
72	OG0000072	augustus_masked-scaffold_2-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.37&CDS=1-3411, augustus_masked-scaffold_6-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.85&CDS=1-2244, maker-scaffold_34-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_34-snap-gene-0.0&CDS=1-858, snap_masked-scaffold_41-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scaffold_41-processed-gene-0.1&CDS=1-843	
73	OG0000073	genemark-scaffold_2-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.99&CDS=1-4866, genemark-scaffold_5-processed-gene-8.71-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.71&CDS=1-4044	YIL126W, YOR290C
74	OG0000074	genemark-scaffold_6-processed-gene-8.41-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.41&CDS=1-408, snap_masked-scaffold_2-processed-gene-3.130-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.130&CDS=1-408	YBR010W, YNL031C
75	OG0000075	genemark-scaffold_2-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.22&CDS=1-309, genemark-scaffold_6-processed-gene-8.24-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.24&CDS=1-309	YBR009C, YNL030W
76	OG0000076	augustus_masked-scaffold_2-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.65&CDS=1-330, augustus_masked-scaffold_2-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.66&CDS=1-330	YEL039C, YJR048W
