	OrthologID	Candida_albicans	Saccharomyces_cerevisiae
42	OG0000042	C3_03250W_A, C5_00570W_A	YDR093W, YER166W
43	OG0000043	C3_06180C_A, C3_06330W_A	YDR453C, YML028W
44	OG0000044	C4_05590W_A, C6_01650C_A	YLR454W, YPR117W
45	OG0000045	C1_04240C_A, CR_06800C_A	YBR009C, YNL030W
46	OG0000046	CR_07790C_A, CR_07810W_A, CR_10570C_A	YGR234W
47	OG0000047	C1_11030W_A, C3_05240C_A	YHL033C, YLL045C
48	OG0000048	C7_01990C_A, C7_02000C_A, C7_04160W_A	YIL166C
49	OG0000049	C1_07170C_A, CR_03050C_A	YBR239C, YJL103C
50	OG0000050	C2_04230W_A, C3_05590C_A	YHR208W, YJR148W
51	OG0000051	C1_09180W_A, C1_09200W_A, C6_02750C_A	YDR034C
52	OG0000052	C2_02100W_A, C3_02490C_B&Allele&of&C3_02490C_A	YIL126W, YOR290C
53	OG0000053	C1_13570W_A, C3_00730W_A	YGL014W, YGL178W
54	OG0000054	C2_01270W_A, C3_06280W_A	YCL064C, YIL167W
55	OG0000055	C1_05770C_A, C7_03360W_A	YBR139W, YMR297W
56	OG0000056	C3_03140C_A, C3_03610W_A	YBR021W, YIR028W
57	OG0000057	C2_00700W_A, C3_01760W_A	YER017C, YMR089C
58	OG0000058	C1_06280C_B&Allele&of&C1_06280C_A, C1_07670W_A, C4_02560C_A	YDR207C
59	OG0000059	C3_07330W_A, C3_07340W_A	YDR368W, YOR120W
60	OG0000060	C4_01830C_A, C4_03050C_A	YJL172W, YOL153C
61	OG0000061	C3_00670C_B&Allele&of&C3_00670C_A, C3_00680C_A	YIL131C, YNL068C
62	OG0000062	C5_01785W_B	YCL067C, YCR039C, YCR096C
63	OG0000063	C6_02660C_A, C7_01670W_A, C7_02920W_A	YDR242W
64	OG0000064	C5_01770C_A, C5_01775C_B	YHR001W, YKR003W
65	OG0000065	C3_04930C_A, C7_00280W_A	YDL138W, YDL194W
66	OG0000066	C3_05570W_A, CR_04210C_A	YIL120W, YIL121W
67	OG0000067	C1_12410C_A, C6_00350W_A	YDR466W, YDR490C
68	OG0000068	C1_13260W_A, C7_02570C_A	YDR519W, YNL135C
69	OG0000069	C2_10070W_A, C5_03770C_A, CR_05170C_A	YOR388C
70	OG0000070	C1_03940W_A, C5_05280C_A	YDR178W, YLR164W
71	OG0000071	C1_08240C_A, C3_06920W_A, CR_02060W_A	YKL128C
72	OG0000072	C1_04260W_A, CR_06810W_A	YBR010W, YNL031C
73	OG0000073	C3_03130C_A, C3_03630W_A	YDR125C, YLR099C
74	OG0000074	CR_08670C_A, CR_08690C_A	YLR284C, YOR180C
75	OG0000075	C1_02600W_A	YFL060C, YMR095C, YNL334C
76	OG0000076	C6_02720C_A, C6_03020W_A, C6_03520C_A	YLR148W
77	OG0000077	C4_05880W_A, CR_02850C_A	YFL021W, YKR034W
78	OG0000078	C1_08410C_A	YLL062C, YMR321C, YPL273W
79	OG0000079	C3_01930W_A, C3_01960C_A, C6_03560W_A	YGL205W
80	OG0000080	C6_02870W_A, C6_02880W_A, C6_03260W_A	YMR234W
81	OG0000081	C1_04290C_A, C2_10350C_A	YAL054C, YLR153C
82	OG0000082	C1_04300C_A, C1_13480W_A	YER103W, YLL024C
83	OG0000083	C2_10540W_A, C5_02940C_A	YMR182C, YPL230W
84	OG0000084	C1_08330C_A, C5_05050W_A	YMR303C, YOL086C
85	OG0000085	C3_03500W_A, C3_05810C_A, C3_05830W_A	YPR159W
86	OG0000086	C1_13350W_A, C3_04580C_A	YDR463W, YHR006W
87	OG0000087	C1_12960C_A, CR_00070W_A	YIL159W, YNL271C
88	OG0000088	C4_02960W_A, C4_02970C_A	YGR184C, YLR024C
89	OG0000089	CR_07150W_A, CR_07490C_A	YCL040W, YDR516C
90	OG0000090	C3_00920W_A, C3_00930W_A	YCR010C, YNR002C
91	OG0000091	C5_00350C_A, CR_04200W_A	YLR090W, YNL064C
92	OG0000092	C1_01640W_A, C2_10620W_A	YHR203C, YJR145C
93	OG0000093	C1_07340W_A, C3_06310C_A	YBR245C, YOR304W
94	OG0000094	C3_00550C_A, C3_05420W_A	YDL025C, YOR267C
95	OG0000095	C7_03050W_A, CR_05140W_A	YFR042W, YJL097W
96	OG0000096	C3_03870C_A	YDR144C, YLR120C, YLR121C
97	OG0000097	C2_09950W_A	YER056C, YER060W, YER060W-A
98	OG0000098	C1_08380W_A, C2_08370C_A	YBR118W, YPR080W
99	OG0000099	C4_01560C_B&Allele&of&C4_01560C_A	YML111W, YMR275C, YNR069C
100	OG0000100	C3_06870W_A	YGR192C, YJL052W, YJR009C
101	OG0000101	C2_03370W_A	YOL055C, YPL258C, YPR121W
102	OG0000102	C1_08940C_B&Allele&of&C1_08940C_A	YKL062W, YMR037C
103	OG0000103	C5_03540C_A	YGR027C, YLR333C
104	OG0000104	C3_06560W_A	YBR105C, YGR066C
105	OG0000105	C6_02240C_A	YGL135W, YPL220W
106	OG0000106	C1_12080W_A	YLR260W, YOR171C
107	OG0000107	C3_02820C_B&Allele&of&C3_02820C_A	YHR133C, YNL156C
108	OG0000108	C1_11060C_A	YFR031C-A, YIL018W
109	OG0000109	C3_05900W_A	YBR147W, YOL092W
110	OG0000110	C3_07640C_A, CR_04530W_A	YPL262W
111	OG0000111	C1_01240W_A, C1_04740W_A	YPL088W
112	OG0000112	C5_05470W_A	YDR206W, YLR233C
113	OG0000113	C2_09780C_A, C2_10010C_A	YEL001C
114	OG0000114	C1_01400C_A	YJL134W, YKR053C
115	OG0000115	C4_05440C_A	YGR141W, YPR157W
116	OG0000116	C1_11650W_A	YDR252W, YPL037C
117	OG0000117	C7_00270W_A	YOR390W, YPL279C
118	OG0000118	C1_14140C_A	YJL105W, YKR029C
119	OG0000119	C2_07420W_A, C2_07790C_A	YKR043C
120	OG0000120	CR_03790C_A, CR_10480W_A	YNL322C
121	OG0000121	C5_00630C_A	YDR263C, YOR033C
122	OG0000122	C2_08830W_A	YBR005W, YDR003W
123	OG0000123	C1_03030W_A	YDL083C, YMR143W
124	OG0000124	C2_03750W_A, C2_05570C_A	YMR152W
125	OG0000125	C1_07200W_A	YBR104W, YPR058W
126	OG0000126	C4_02570C_A, C4_02690W_A	YER169W
127	OG0000127	C1_05660C_A	YBL079W, YER105C
128	OG0000128	CR_06660W_A, CR_06790C_A	YAL067C
129	OG0000129	C6_03410C_A	YCL050C, YDR530C
130	OG0000130	C2_08620W_A	YGL082W, YPL191C
131	OG0000131	C2_07580W_A, CR_09170C_A	YPL092W
132	OG0000132	C1_08790W_A	YGR138C, YPR156C
133	OG0000133	C4_00070C_A	YOR256C, YPL176C
134	OG0000134	C1_05260C_A, C4_06610C_A	YKL148C
135	OG0000135	C2_09150W_A	YBR161W, YPL057C
136	OG0000136	C6_03180C_A	YJL084C, YKR021W
137	OG0000137	CR_07190W_A, CR_07560W_A	YFL047W
138	OG0000138	C1_14110C_A	YBR031W, YDR012W
139	OG0000139	C3_01460C_A, CR_00150C_A	YIL160C
140	OG0000140	C1_03560C_A, CR_05490W_A	YPR086W
141	OG0000141	C4_01050C_A	YIL148W, YKR094C
142	OG0000142	C1_12390C_A	YDR471W, YHR010W
143	OG0000143	CR_01650W_A	YML106W, YMR271C
144	OG0000144	C1_08180C_A	YAR042W, YDL019C
145	OG0000145	C1_10450W_A, CR_04880W_A	YEL046C
146	OG0000146	C3_06170C_A, C3_06350W_A	YHR058C
147	OG0000147	C3_00320W_A	YER062C, YIL053W
148	OG0000148	C3_03660W_A	YJL083W, YKR019C
149	OG0000149	CR_00260W_A	YDR122W, YLR096W
150	OG0000150	CR_01860W_A, CR_02020C_A	YJL212C
151	OG0000151	C2_03960W_A	YMR194W, YPL249C-A
152	OG0000152	C5_00760W_A	YNL293W, YOL112W
153	OG0000153	C1_03960C_A	YDR200C, YLR238W
154	OG0000154	C1_08540C_A	YKL126W, YMR104C
155	OG0000155	C1_12450C_A	YBR140C, YOL081W
156	OG0000156	C5_03130W_A	YGL162W, YPR009W
157	OG0000157	C2_08040C_A	YMR230W, YOR293W
158	OG0000158	C1_06510C_A, C6_03540W_A	YOL119C
159	OG0000159	C1_03780C_A	YLR450W, YML075C
160	OG0000160	C4_07050W_A	YBR183W, YPL087W
161	OG0000161	C2_03240C_A	YGR070W, YLR371W
162	OG0000162	C5_04830W_A, CR_05990C_A	YOR140W
163	OG0000163	C1_03190C_A	YBR078W, YDR055W
164	OG0000164	CR_00630W_A	YER064C, YIL056W
165	OG0000165	C1_04430C_A, C1_04450C_A	YIR035C
166	OG0000166	C2_09230C_A	YER027C, YGL208W
167	OG0000167	C2_05130W_A, C4_06710W_A	YML131W
168	OG0000168	CR_10580W_A	YDR300C, YHR033W
169	OG0000169	C1_00670C_A, CR_09960C_A	YDL170W
170	OG0000170	C7_00440C_A	YCL011C, YNL004W
171	OG0000171	C3_04950W_A	YDL137W, YDL192W
172	OG0000172	C3_03890W_A	YLL016W, YLR310C
173	OG0000173	C1_09690W_A	YIR031C, YNL117W
174	OG0000174	C4_03700W_A, CR_09830W_A	YBR293W
175	OG0000175	C4_04660C_A	YIL156W, YKR098C
176	OG0000176	C6_00700C_A	YDR066C, YER139C
177	OG0000177	C6_03240W_A	YDR541C, YOL151W
178	OG0000178	C1_07470C_A, C1_07480C_A	YDR332W
179	OG0000179	C4_04580W_A	YML109W, YMR273C
180	OG0000180	C4_02000C_A	YDR379W, YOR127W
181	OG0000181	C1_01750W_A, C6_01520W_A	YCR023C
182	OG0000182	C1_06850W_A	YER059W, YIL050W
183	OG0000183	CR_09110C_A	YML087C, YML125C
184	OG0000184	C1_13050W_A	YHL001W, YKL006W
185	OG0000185	C1_09030C_A	YIL111W, YNL052W
186	OG0000186	C2_02640C_A, C2_02950W_A	YJL060W
187	OG0000187	CR_07180W_A	YFL048C, YLR080W
188	OG0000188	C3_06010W_A, C5_03280W_B&Allele&of&C5_03280W_A	YPL048W
189	OG0000189	C5_01755C_B	YCL066W, YCR040W
190	OG0000190	C5_02140C_A	YLR456W, YPR172W
191	OG0000191	C1_05710C_A, C2_02790C_A	YDL210W
192	OG0000192	C2_01130W_A	YIL038C, YPR072W
193	OG0000193	C1_08200W_A	YAL015C, YOL043C
194	OG0000194	C2_01610C_A	YER131W, YGL189C
195	OG0000195	C1_01990W_A, C1_02070W_A	YCR021C
196	OG0000196	C2_09880C_A	YAL034C, YOR338W
197	OG0000197	C2_09970C_A	YCR073W-A, YNR034W
198	OG0000198	C1_13290W_A	YCL048W, YDR522C
199	OG0000199	C3_00090W_A	YER074W, YIL069C
200	OG0000200	C6_00410C_A	YBL106C, YPR032W
201	OG0000201	C3_03420C_A, C6_03480W_A	YMR145C
202	OG0000202	C4_06120W_A	YAL062W, YOR375C
203	OG0000203	CR_10350C_A	YGR209C, YLR043C
204	OG0000204	CR_08480C_A	YDL061C, YLR388W
205	OG0000205	C7_01650W_A	YNL108C, YOR110W
206	OG0000206	C4_00490W_A, C4_00690C_A	YKL191W
207	OG0000207	C3_03590W_A, C3_03730C_A	YGR132C
208	OG0000208	C1_02270C_A, C4_00830W_A	YNL202W
209	OG0000209	C3_04500C_A	YBL027W, YBR084C-A
210	OG0000210	CR_07160C_A, CR_07480W_A	YBR287W
211	OG0000211	CR_01520W_A	YBL056W, YER089C
212	OG0000212	C6_02060W_A	YIL105C, YNL047C
213	OG0000213	C1_14290C_A	YHR146W, YNL173C
214	OG0000214	C4_02550C_A	YDR107C, YLR083C
215	OG0000215	C2_00970C_A	YBL067C, YER098W
216	OG0000216	C2_09740W_A	YMR183C, YPL232W
217	OG0000217	C4_01800W_A, C4_01840C_A	YAL049C
218	OG0000218	C2_01330C_A	YDL042C, YOL068C
219	OG0000219	C4_01270W_A	YBR181C, YPL090C
220	OG0000220	C2_07830W_A, CR_07100W_A	YAL053W
221	OG0000221	C6_01760W_A	YCR067C, YNR026C
222	OG0000222	C2_01340W_A	YHL017W, YKL039W
223	OG0000223	C5_04350C_A	YMR222C, YOR280C
224	OG0000224	C2_07760W_A	YMR253C, YPL264C
225	OG0000225	C1_00410C_A, C7_02010C_A	YMR110C
226	OG0000226	C2_04040C_A, C2_04050C_A	YLR422W
227	OG0000227	C7_01190W_A	YLR270W, YOR173W
228	OG0000228	C3_02110W_A	YDR418W, YEL054C
229	OG0000229	CR_03020C_A	YBR242W, YGL101W
230	OG0000230	C1_06100C_A	YBR169C, YPL106C
231	OG0000231	C5_02650C_A	YDR223W, YLR223C
232	OG0000232	C3_07790W_A	YDR277C, YOR047C
233	OG0000233	C5_01760C_A, C5_01765C_B	YNL267W
234	OG0000234	C1_05720W_A	YGL076C, YPL198W
235	OG0000235	C5_01745W_B, C5_01780W_A	YKR002W
236	OG0000236	C4_02610C_A	YBR294W, YLR092W
237	OG0000237	C7_01280C_A	YKL132C, YMR113W
238	OG0000238	C4_02520C_A	YDR132C, YLR108C
239	OG0000239	C7_02200W_A	YDL224C, YNL197C
240	OG0000240	CR_03620C_A, CR_03810W_A	YMR302C
241	OG0000241	C6_02670C_A	YNL283C, YOL105C
242	OG0000242	C2_10870W_A, C6_04650W_A	YBR074W
243	OG0000243	C4_02150C_A	YAL056W, YOR371C
244	OG0000244	C1_14000C_A	YDR069C, YER144C
245	OG0000245	CM_00070C, CM_00520W	Q0275
246	OG0000246	C2_09650W_A, C7_00250C_A	YIR001C
247	OG0000247	CR_02040W_A	YIL095W, YNL020C
248	OG0000248	C2_07170C_A	YGL071W, YPL202C
249	OG0000249	C2_08270C_A, C3_05650W_A	YHR135C
250	OG0000250	C5_03640W_A, C5_03700C_A	YLR172C
251	OG0000251	C3_06580W_A, C4_04030W_A	YKL217W
252	OG0000252	C6_02930W_A	YDR458C, YML034W
253	OG0000253	C2_05710C_A	YOR234C, YPL143W
254	OG0000254	CR_03440W_A, CR_03590C_A	YOR258W
255	OG0000255	C2_04560W_A	YJL139C, YKR061W
256	OG0000256	C6_03550C_A	YBR049C, YDR026C
257	OG0000257	C1_00780C_A	YMR199W, YPL256C
258	OG0000258	C2_05040C_A	YIL117C, YNL058C
259	OG0000259	C3_05470W_A	YLR098C, YOR337W
260	OG0000260	C5_03820C_A	YMR237W, YOR299W
261	OG0000261	C4_01020C_A	YIL151C, YKR096W
262	OG0000262	C4_00410W_A	YKL065C, YMR040W
263	OG0000263	C2_03220C_A	YDL048C, YLR375W
264	OG0000264	C3_02880W_A, C3_03010C_A	YDL219W
265	OG0000265	C3_02470C_A	YGL147C, YNL067W
266	OG0000266	C1_08370W_A	YBR214W, YGL056C
267	OG0000267	C1_03760C_A	YJR130C, YML082W
268	OG0000268	C1_14130W_A, C1_14220C_A	YER145C
269	OG0000269	C3_00980W_A	YGL139W, YPL221W
270	OG0000270	C2_00250W_A	YGR008C, YLR327C
271	OG0000271	C2_01970C_B&Allele&of&C2_01970C_A	YFR022W, YOR018W
272	OG0000272	C5_04590C_A	YJR094W-A, YPR043W
273	OG0000273	C5_01100C_A, C5_01680C_A	YAL040C
274	OG0000274	C4_01060W_A	YIL149C, YKR095W
275	OG0000275	C2_04850C_A	YFR024C-A, YHR016C
276	OG0000276	C2_01690W_A	YKL141W, YMR118C
277	OG0000277	CR_01060W_A	YHL003C, YKL008C
278	OG0000278	C7_03010W_A	YJL098W, YKR028W
279	OG0000279	C1_04400C_A	YHR047C, YKL157W
280	OG0000280	C1_01350C_A	YJL138C, YKR059W
281	OG0000281	C2_01390W_A	YDL161W, YLR206W
282	OG0000282	CR_01580C_A	YBL054W, YER088C
283	OG0000283	C2_04280W_A, C2_04290W_A	YMR139W
284	OG0000284	CR_06700C_A	YGR248W, YHR163W
285	OG0000285	C2_05610C_A	YBL072C, YER102W
286	OG0000286	C6_01710C_A	YJR059W, YKL198C
287	OG0000287	C7_04230W_A	YBR066C, YDR043C
288	OG0000288	C1_08570C_A	YDL127W, YDL179W
289	OG0000289	C3_02920W_A	YHR132W-A, YNL157W
290	OG0000290	C2_10690W_A	YML100W, YMR261C
291	OG0000291	C4_01820C_A	YBL068W, YER099C
292	OG0000292	C1_13220C_A	YDR264C, YOR034C
293	OG0000293	C3_03150W_A	YKL072W, YMR053C
294	OG0000294	CR_09730C_A	YDR312W, YHR066W
295	OG0000295	C5_01540W_A	YBR048W, YDR025W
296	OG0000296	C6_02480W_A	YCR105W, YMR318C
297	OG0000297	C3_06110C_A	YEL041W, YJR049C
298	OG0000298	C6_02070C_A	YBL087C, YER117W
299	OG0000299	C1_08610C_A, C3_01540W_A	YNR018W
300	OG0000300	C5_03980W_B&Allele&of&C5_03980W_A	YDR475C, YOR019W
301	OG0000301	C3_00400C_A	YKR089C, YOR081C
302	OG0000302	C3_05970C_A	YKR072C, YOR054C
303	OG0000303	C2_08760C_A	YGL049C, YGR162W
304	OG0000304	C6_01900C_A	YHR043C, YHR044C
305	OG0000305	C3_04090W_A	YHL034C, YLL046C
306	OG0000306	C4_06680C_A	YBR172C, YPL105C
307	OG0000307	C1_03620C_A, C1_06460C_A	YJL190C
308	OG0000308	C1_14210C_A	YJL082W, YKR018C
309	OG0000309	C1_05490C_A, C1_11760C_A	YGR235C
310	OG0000310	C2_05410W_A	YDL075W, YLR406C
311	OG0000311	C1_11890W_A, C1_11950W_A	YJR111C
312	OG0000312	C3_05100C_A	YNL301C, YOL120C
313	OG0000313	C4_03850W_A	YDL088C, YMR153W
314	OG0000314	C6_00970C_A, C6_01030W_A	YOL064C
315	OG0000315	C2_09260C_A	YDR272W, YOR040W
316	OG0000316	C6_00890W_A	YFL042C, YLR072W
317	OG0000317	C3_00710W_A, CR_09020C_A	YNL192W
318	OG0000318	C1_02120C_A	YDR247W, YPL026C
319	OG0000319	C3_06700C_A	YBR238C, YGL107C
320	OG0000320	C7_01780W_A	YOR227W, YPL137C
321	OG0000321	C2_08290C_A	YER067W, YIL057C
322	OG0000322	C4_06420W_A	YDR351W, YHR103W
323	OG0000323	C2_03100W_A	YDR385W, YOR133W
324	OG0000324	CR_02210W_A	YOR233W, YPL141C
325	OG0000325	C2_01410C_A	YGR108W, YPR119W
326	OG0000326	C6_00140C_A	YEL066W, YPR193C
327	OG0000327	C1_11530C_A, CR_08310C_A	YLL057C
328	OG0000328	CR_00300W_A	YLR307W, YLR308W
329	OG0000329	C7_00200W_A	YCL036W, YDR514C
330	OG0000330	C2_07440C_A	YLL012W, YLR020C
331	OG0000331	C1_02130C_A	YBR020W, YDR009W
332	OG0000332	C4_04890C_A	YGL031C, YGR148C
333	OG0000333	C1_04730C_A, C2_04460W_A	YDL131W
334	OG0000334	CR_07520C_A	YER031C, YGL210W
335	OG0000335	C1_06900C_A	YER057C, YIL051C
336	OG0000336	C5_01570C_B&Allele&of&C5_01570C_A, C6_02000W_A	YNL012W
337	OG0000337	C1_10390C_A	YHR141C, YNL162W
338	OG0000338	C1_01370C_A	YJL136C, YKR057W
339	OG0000339	C1_02990C_A	YLR300W, YOR190W
340	OG0000340	CR_10160W_A	YIL009W, YMR246W
341	OG0000341	C1_14120C_A	YJL079C, YKR013W
342	OG0000342	C1_09080C_A	YDR134C, YLR110C
343	OG0000343	C1_00140W_A	YGR238C, YHR158C
344	OG0000344	C3_04910C_A	YGR131W, YPR149W
345	OG0000345	C1_00490C_A	YCL035C, YDR513W
346	OG0000346	C1_01890C_A	YBR273C, YJL048C
347	OG0000347	C3_04960W_A	YDL136W, YDL191W
348	OG0000348	C2_05720C_A	YOR237W, YPL145C
349	OG0000349	C1_00080C_A	YER045C, YIL036W
350	OG0000350	C1_10000C_A	YIL113W, YNL053W
351	OG0000351	C1_13960W_A	YBR216C, YGL060W
352	OG0000352	C6_00260W_B&Allele&of&C6_00260W_A	YHR115C, YNL116W
353	OG0000353	C1_08460C_A	YDR213W, YLR228C
354	OG0000354	C2_08860W_B&Allele&of&C2_08860W_A	YCR091W, YNR047W
355	OG0000355	CR_07440W_A	YDR146C, YLR131C
356	OG0000356	C1_03390W_A	YBR177C, YPL095C
357	OG0000357	C3_05370C_A	YGR214W, YLR048W
358	OG0000358	C7_02240W_A	YDL222C, YNL194C
359	OG0000359	C1_10210C_A	YNL298W, YOL113W
360	OG0000360	C2_06810C_A	YGR085C, YPR102C
361	OG0000361	C3_01390C_A	YEL022W, YJR031C
362	OG0000362	C2_05780C_A	YOR231W, YPL140C
363	OG0000363	CR_08650C_A	YMR119W, YNL008C
364	OG0000364	C5_01560C_A	YBR014C, YDL010W
365	OG0000365	C7_01760C_A	YOR226C, YPL135W
366	OG0000366	C2_02200W_A	YMR243C, YOR316C
367	OG0000367	CR_10840C_A	YDL246C, YJR159W
368	OG0000368	C3_06160C_A, C3_06380W_A	YER126C
369	OG0000369	C1_02750C_A	YGR056W, YLR357W
370	OG0000370	C1_03450C_A	YHR155W, YNL257C
371	OG0000371	C3_07320W_A	YER132C, YGL197W
372	OG0000372	C2_04600C_A	YJL177W, YKL180W
373	OG0000373	C2_08070C_A	YJL133W, YKR052C
374	OG0000374	C1_05360C_A	YNL299W, YOL115W
375	OG0000375	C2_06940C_A	YCR048W, YNR019W
376	OG0000376	CR_08610W_A	YGR243W, YHR162W
377	OG0000377	C1_10150W_A	YEL007W, YHR177W
378	OG0000378	CR_03770C_A	YLR287C-A, YOR182C
379	OG0000379	C3_02370C_A	YFL050C, YOL130W
380	OG0000380	C2_10560C_A	YDR151C, YLR136C
381	OG0000381	C7_00970C_A	YDR451C, YML027W
382	OG0000382	C5_04360C_A	YER037W, YGL224C
383	OG0000383	C3_04880W_A	YGR136W, YPR154W
384	OG0000384	C2_03810C_A	YBR191W, YPL079W
385	OG0000385	C1_11350C_A	YDR501W, YLR183C
386	OG0000386	CR_08090W_A	YDL229W, YNL209W
387	OG0000387	C7_02690C_A	YHR123W, YNL130C
388	OG0000388	C2_07110C_A	YFR013W, YOL017W
389	OG0000389	C4_05030C_B&Allele&of&C4_05030C_A	YCR073C, YNR031C
390	OG0000390	C1_11770C_A	YDR251W, YPL032C
391	OG0000391	C1_10870W_A	YDR447C, YML024W
392	OG0000392	C3_06780C_A	YCL037C, YDR515W
393	OG0000393	C6_02430W_A	YGL133W, YPL216W
394	OG0000394	C7_02040C_A	YGL096W, YPL177C
395	OG0000395	CR_06910W_A	YCL068C, YCR038C
396	OG0000396	C3_03900C_A	YBL002W, YDR224C
397	OG0000397	C3_06450W_A	YJL137C, YKR058W
398	OG0000398	C1_03790C_A	YLR449W, YML074C
399	OG0000399	C3_06440W_A	YKL068W, YMR047C
400	OG0000400	C3_05450C_A	YKR075C, YOR062C
401	OG0000401	C1_10680C_A	YNL087W, YOR086C
402	OG0000402	C1_01560W_A	YDR409W, YOR156C
