	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035686_Cyberlindnera_saturnus
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_29-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-2.80&CDS=1-1317
11	OG0000011	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_2-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.14&CDS=1-1731, augustus_masked-flattened_line_25-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.31&CDS=1-1752
12	OG0000012	YDL037C, YIR019C	augustus_masked-flattened_line_514-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_514-processed-gene-0.2&CDS=1-636, augustus_masked-flattened_line_522-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_522-processed-gene-0.1&CDS=1-618, augustus_masked-flattened_line_592-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_592-processed-gene-0.2&CDS=1-486, snap_masked-flattened_line_420-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_420-processed-gene-0.0&CDS=1-900
13	OG0000013	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_21-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.95&CDS=1-3174, augustus_masked-flattened_line_25-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.56&CDS=1-3162, augustus_masked-flattened_line_44-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.182&CDS=1-3183
14	OG0000014	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-flattened_line_15-processed-gene-2.72-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.72&CDS=1-2043
15	OG0000015	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_13-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-2.50&CDS=1-1164, snap_masked-flattened_line_11-processed-gene-2.17-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.17&CDS=1-2019
16	OG0000016	YKR064W	augustus_masked-flattened_line_6-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.114&CDS=1-2568, augustus_masked-flattened_line_90-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.83&CDS=1-2532, maker-flattened_line_17-augustus-gene-2.174-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-2.174&CDS=1-2604, maker-flattened_line_17-augustus-gene-2.179-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-2.179&CDS=1-2901, snap_masked-flattened_line_9-processed-gene-4.33-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.33&CDS=1-2475
17	OG0000017	YOR049C	augustus_masked-flattened_line_11-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.86&CDS=1-1179, augustus_masked-flattened_line_46-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.57&CDS=1-1179, augustus_masked-flattened_line_86-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.4&CDS=1-1179, genemark-flattened_line_64-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.79&CDS=1-369, snap_masked-flattened_line_46-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.143&CDS=1-237
18	OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_54-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.178&CDS=1-4479
19	OG0000019	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_48-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.83&CDS=1-1875
20	OG0000020	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_48-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.198&CDS=1-1713
21	OG0000021	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_25-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.61&CDS=1-1101, maker-flattened_line_27-augustus-gene-0.42-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-0.42&CDS=1-513
22	OG0000022	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-flattened_line_9-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.132&CDS=1-1023
23	OG0000023	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-flattened_line_48-processed-gene-0.224-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.224&CDS=1-693
24	OG0000024	YER028C, YGL035C, YGL209W	augustus_masked-flattened_line_11-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-0.122&CDS=1-888, augustus_masked-flattened_line_9-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.51&CDS=1-1176
25	OG0000025	YER045C, YIL036W, YNL167C	augustus_masked-flattened_line_2-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.55&CDS=1-909, augustus_masked-flattened_line_72-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.102&CDS=1-1125
26	OG0000026	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_0-processed-gene-11.319-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.319&CDS=1-846, genemark-flattened_line_72-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.52&CDS=1-837
27	OG0000027	YER056C-A, YIL052C	augustus_masked-flattened_line_21-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.62&CDS=1-372, maker-flattened_line_8-augustus-gene-1.111-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-1.111&CDS=1-372, maker-flattened_line_8-augustus-gene-3.107-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-3.107&CDS=1-372
28	OG0000028	YGR197C, YJR015W	augustus_masked-flattened_line_54-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.161&CDS=1-1500, augustus_masked-flattened_line_64-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.91&CDS=1-1482, snap_masked-flattened_line_86-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.55&CDS=1-1491
29	OG0000029	YHR035W, YPR181C	augustus_masked-flattened_line_25-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.67&CDS=1-1791, augustus_masked-flattened_line_27-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-1.136&CDS=1-2196, augustus_masked-flattened_line_34-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.111&CDS=1-2235
30	OG0000030	YJR152W	augustus_masked-flattened_line_152-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.7&CDS=1-1575, augustus_masked-flattened_line_23-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.123&CDS=1-1536, augustus_masked-flattened_line_92-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.30&CDS=1-1575, augustus_masked-flattened_line_92-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.34&CDS=1-1575
31	OG0000031	YLL056C	augustus_masked-flattened_line_114-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.25&CDS=1-891, augustus_masked-flattened_line_173-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_173-processed-gene-0.6&CDS=1-519, augustus_masked-flattened_line_204-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_204-processed-gene-0.5&CDS=1-519, augustus_masked-flattened_line_490-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_490-processed-gene-0.1&CDS=1-531
32	OG0000032	YLR155C, YLR157C, YLR158C, YLR160C	augustus_masked-flattened_line_0-processed-gene-7.119-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.119&CDS=1-1086
33	OG0000033	YLR237W, YOR071C, YOR192C	augustus_masked-flattened_line_72-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.110&CDS=1-3225, maker-flattened_line_38-snap-gene-0.218-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.218&CDS=1-1698
34	OG0000034	YNL283C, YOL105C, YOR008C	augustus_masked-flattened_line_118-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.2&CDS=1-1101, augustus_masked-flattened_line_34-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.133&CDS=1-939
35	OG0000035	YOL055C, YPL258C, YPR121W	augustus_masked-flattened_line_31-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.146&CDS=1-1569, augustus_masked-flattened_line_31-processed-gene-1.307-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.307&CDS=1-1569
36	OG0000036	YPR118W	augustus_masked-flattened_line_32-processed-gene-1.234-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.234&CDS=1-1725, augustus_masked-flattened_line_8-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.101&CDS=1-1725, augustus_masked-flattened_line_8-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.71&CDS=1-1725, maker-flattened_line_9-augustus-gene-4.70-mRNA-1_1&gene=maker-flattened_line_9-augustus-gene-4.70&CDS=1-2871
37	OG0000037	YBL002W, YDR224C	augustus_masked-flattened_line_110-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.32&CDS=1-396, augustus_masked-flattened_line_19-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.79&CDS=1-396
38	OG0000038	YBL003C, YDR225W	augustus_masked-flattened_line_110-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.25&CDS=1-393, augustus_masked-flattened_line_19-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.60&CDS=1-393
39	OG0000039	YBR009C, YNL030W	augustus_masked-flattened_line_25-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.37&CDS=1-309, augustus_masked-flattened_line_76-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.55&CDS=1-309
40	OG0000040	YBR010W, YNL031C	augustus_masked-flattened_line_25-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.17&CDS=1-408, augustus_masked-flattened_line_76-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.28&CDS=1-408
41	OG0000041	YBR015C	augustus_masked-flattened_line_23-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.127&CDS=1-1767, augustus_masked-flattened_line_50-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.153&CDS=1-1677, snap_masked-flattened_line_0-processed-gene-8.76-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.76&CDS=1-1869
42	OG0000042	YBR019C, YHR210C, YNR071C	augustus_masked-flattened_line_2-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.82&CDS=1-987
43	OG0000043	YBR089C-A, YPR052C	augustus_masked-flattened_line_31-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.153&CDS=1-279, augustus_masked-flattened_line_31-processed-gene-1.280-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.280&CDS=1-279
44	OG0000044	YBR104W, YPR058W	augustus_masked-flattened_line_38-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.20&CDS=1-891, augustus_masked-flattened_line_38-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.21&CDS=1-915
45	OG0000045	YCL048W, YDR522C	augustus_masked-flattened_line_31-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.142&CDS=1-1383, augustus_masked-flattened_line_31-processed-gene-1.311-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.311&CDS=1-1383
46	OG0000046	YCL067C, YCR039C, YCR096C	augustus_masked-flattened_line_31-processed-gene-1.253-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.253&CDS=1-648
47	OG0000047	YDL082W, YMR142C	augustus_masked-flattened_line_2-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.150&CDS=1-597, augustus_masked-flattened_line_4-processed-gene-4.244-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.244&CDS=1-597
48	OG0000048	YDL210W	augustus_masked-flattened_line_100-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.37&CDS=1-1632, augustus_masked-flattened_line_15-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-2.122&CDS=1-1665, augustus_masked-flattened_line_90-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.73&CDS=1-1671
49	OG0000049	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_62-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.36&CDS=1-1743
50	OG0000050	YDR368W, YOR120W	augustus_masked-flattened_line_100-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.32&CDS=1-933, augustus_masked-flattened_line_34-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.102&CDS=1-924
