	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034606_Priceomyces_medius
10	OG0000010	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
11	OG0000011	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_10-processed-gene-1.120-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.120&CDS=1-1383
12	OG0000012	YBR067C, YDR542W, YER011W, YIL011W, YOR009W, YOR010C	
13	OG0000013	YBR245C, YFR038W, YOR304W	genemark-flattened_line_0-processed-gene-5.160-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.160&CDS=1-2391, genemark-flattened_line_22-processed-gene-1.23-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.23&CDS=1-3153, genemark-flattened_line_28-processed-gene-1.45-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.45&CDS=1-3027
14	OG0000014	YDL025C, YNL183C, YOR267C	genemark-flattened_line_2-processed-gene-9.119-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-9.119&CDS=1-1980, genemark-flattened_line_30-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.128&CDS=1-2370, genemark-flattened_line_32-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.64&CDS=1-1752
15	OG0000015	YDL210W, YMR177W, YPL224C	augustus_masked-flattened_line_28-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.85&CDS=1-3600, genemark-flattened_line_18-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.123&CDS=1-1695, genemark-flattened_line_4-processed-gene-10.272-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-10.272&CDS=1-1683
16	OG0000016	YDR011W, YOR153W	augustus_masked-flattened_line_4-processed-gene-10.138-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-10.138&CDS=1-4386, genemark-flattened_line_12-processed-gene-5.138-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.138&CDS=1-4467, genemark-flattened_line_4-processed-gene-10.238-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-10.238&CDS=1-4467, genemark-flattened_line_8-processed-gene-7.161-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-7.161&CDS=1-4509
17	OG0000017	YER054C, YIL045W, YLR273C, YOR178C	genemark-flattened_line_4-processed-gene-3.98-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.98&CDS=1-1740, genemark-flattened_line_8-processed-gene-6.90-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-6.90&CDS=1-1644
18	OG0000018	YGL257C, YIL014W, YNR059W	genemark-flattened_line_2-processed-gene-9.134-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-9.134&CDS=1-2316, genemark-flattened_line_22-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.35&CDS=1-2358, genemark-flattened_line_28-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.109&CDS=1-2259
19	OG0000019	YHL019C, YOL062C, YPL259C	augustus_masked-flattened_line_28-processed-gene-1.242-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.242&CDS=1-3261, genemark-flattened_line_20-processed-gene-1.17-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.17&CDS=1-2001, genemark-flattened_line_4-processed-gene-3.68-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.68&CDS=1-1311
20	OG0000020	YJL004C, YKL128C, YOR004W	augustus_masked-flattened_line_2-processed-gene-10.117-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-10.117&CDS=1-1794, genemark-flattened_line_0-processed-gene-11.116-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.116&CDS=1-948, maker-flattened_line_6-augustus-gene-0.43-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-0.43&CDS=1-1362
21	OG0000021	YJL194W, YLR301W	augustus_masked-flattened_line_16-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.77&CDS=1-435, augustus_masked-flattened_line_20-processed-gene-2.294-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.294&CDS=1-1284, genemark-flattened_line_30-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.108&CDS=1-738, snap_masked-flattened_line_172-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_172-processed-gene-0.0&CDS=1-339
22	OG0000022	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_34-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.21&CDS=1-1857, augustus_masked-flattened_line_42-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.36&CDS=1-2019
23	OG0000023	YKR039W, YLL061W, YPL274W	genemark-flattened_line_12-processed-gene-4.123-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.123&CDS=1-1956, genemark-flattened_line_2-processed-gene-9.112-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-9.112&CDS=1-1767, genemark-flattened_line_42-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.52&CDS=1-1785
24	OG0000024	YLL005C, YMR266W, YOL084W	genemark-flattened_line_0-processed-gene-9.49-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.49&CDS=1-2592, genemark-flattened_line_26-processed-gene-1.274-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.274&CDS=1-2628, genemark-flattened_line_4-processed-gene-8.94-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-8.94&CDS=1-2682
25	OG0000025	YLR129W, YMR006C, YMR008C, YOL011W	maker-flattened_line_20-augustus-gene-2.3-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-2.3&CDS=1-2727, maker-flattened_line_24-snap-gene-0.38-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.38&CDS=1-6600
26	OG0000026	YPR022C	genemark-flattened_line_14-processed-gene-4.217-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.217&CDS=1-2151, genemark-flattened_line_32-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.74&CDS=1-2148, genemark-flattened_line_6-processed-gene-8.38-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-8.38&CDS=1-3132, genemark-flattened_line_8-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.117&CDS=1-2649, maker-flattened_line_2-snap-gene-10.200-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-10.200&CDS=1-2187
27	OG0000027	YAR019C, YDR523C	genemark-flattened_line_10-processed-gene-3.155-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.155&CDS=1-3540, genemark-flattened_line_12-processed-gene-2.45-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.45&CDS=1-1587, genemark-flattened_line_6-processed-gene-4.9-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.9&CDS=1-1497
28	OG0000028	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_14-processed-gene-1.135-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.135&CDS=1-4653
29	OG0000029	YBL089W, YER119C, YIL088C	genemark-flattened_line_4-processed-gene-9.25-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-9.25&CDS=1-1308, snap_masked-flattened_line_10-processed-gene-5.64-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-5.64&CDS=1-1479
30	OG0000030	YBR015C	augustus_masked-flattened_line_2-processed-gene-8.146-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.146&CDS=1-2031, genemark-flattened_line_10-processed-gene-5.142-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.142&CDS=1-1785, genemark-flattened_line_4-processed-gene-8.92-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-8.92&CDS=1-1680, genemark-flattened_line_8-processed-gene-8.241-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-8.241&CDS=1-1848
31	OG0000031	YBR038W, YNL192W	augustus_masked-flattened_line_0-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.24&CDS=1-3132, genemark-flattened_line_0-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.19&CDS=1-3018, genemark-flattened_line_0-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.28&CDS=1-2964
32	OG0000032	YBR297W, YFL052W, YGR288W, YPR196W	genemark-flattened_line_24-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.49&CDS=1-2310
33	OG0000033	YCL024W, YDR477W, YDR507C	augustus_masked-flattened_line_6-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-6.45&CDS=1-3990, genemark-flattened_line_0-processed-gene-13.145-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-13.145&CDS=1-1770
34	OG0000034	YDR038C, YDR039C, YDR040C	genemark-flattened_line_10-processed-gene-6.176-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.176&CDS=1-4200, genemark-flattened_line_20-processed-gene-2.49-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.49&CDS=1-3240
35	OG0000035	YDR242W	augustus_masked-flattened_line_4-processed-gene-10.172-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-10.172&CDS=1-1647, genemark-flattened_line_0-processed-gene-14.231-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-14.231&CDS=1-1662, genemark-flattened_line_10-processed-gene-6.208-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.208&CDS=1-1701, genemark-flattened_line_18-processed-gene-3.151-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.151&CDS=1-1641
36	OG0000036	YDR326C, YFL042C, YHR080C	genemark-flattened_line_18-processed-gene-3.132-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.132&CDS=1-2505, genemark-flattened_line_2-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.105&CDS=1-2733
37	OG0000037	YER056C, YER060W, YER060W-A	genemark-flattened_line_12-processed-gene-4.101-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.101&CDS=1-1515, genemark-flattened_line_4-processed-gene-7.103-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.103&CDS=1-1539
38	OG0000038	YFL021W, YKR034W	genemark-flattened_line_10-processed-gene-2.112-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.112&CDS=1-1683, genemark-flattened_line_10-processed-gene-4.4-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.4&CDS=1-1560, genemark-flattened_line_34-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.90&CDS=1-1821
39	OG0000039	YGR192C, YJL052W, YJR009C	genemark-flattened_line_0-processed-gene-11.112-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.112&CDS=1-1005, genemark-flattened_line_0-processed-gene-14.168-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-14.168&CDS=1-1002
40	OG0000040	YGR281W	augustus_masked-flattened_line_0-processed-gene-14.21-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.21&CDS=1-4308, genemark-flattened_line_22-processed-gene-1.14-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.14&CDS=1-4047, genemark-flattened_line_22-processed-gene-2.197-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.197&CDS=1-4980, genemark-flattened_line_8-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.112&CDS=1-4260
41	OG0000041	YIL002C, YNL106C, YOR109W	augustus_masked-flattened_line_0-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.126&CDS=1-4647, genemark-flattened_line_4-processed-gene-5.11-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.11&CDS=1-3105
42	OG0000042	YJL042W, YOR227W, YPL137C	genemark-flattened_line_26-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.41&CDS=1-3969, genemark-flattened_line_6-processed-gene-3.18-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.18&CDS=1-3768
43	OG0000043	YLL028W	genemark-flattened_line_10-processed-gene-6.236-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.236&CDS=1-1695, genemark-flattened_line_12-processed-gene-5.166-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.166&CDS=1-1713, genemark-flattened_line_22-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.28&CDS=1-1728, maker-flattened_line_16-augustus-gene-1.5-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-1.5&CDS=1-2943
44	OG0000044	YLR144C, YNR067C	genemark-flattened_line_12-processed-gene-5.128-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.128&CDS=1-2241, genemark-flattened_line_14-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.113&CDS=1-2109, genemark-flattened_line_2-processed-gene-6.18-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.18&CDS=1-3243
45	OG0000045	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-flattened_line_56-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_56-snap-gene-0.0&CDS=1-243
46	OG0000046	YLR237W, YOR071C, YOR192C	augustus_masked-flattened_line_2-processed-gene-10.177-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-10.177&CDS=1-1701, genemark-flattened_line_38-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.17&CDS=1-1683
47	OG0000047	YLR343W, YMR307W	augustus_masked-flattened_line_40-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.36&CDS=1-1419, genemark-flattened_line_0-processed-gene-3.28-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.28&CDS=1-1650, genemark-flattened_line_10-processed-gene-6.221-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.221&CDS=1-1695
48	OG0000048	YLR380W	genemark-flattened_line_0-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.14&CDS=1-2184, genemark-flattened_line_18-processed-gene-3.150-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.150&CDS=1-1350, genemark-flattened_line_22-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.34&CDS=1-1365, genemark-flattened_line_8-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.126&CDS=1-1323
49	OG0000049	YPR194C	genemark-flattened_line_2-processed-gene-10.244-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-10.244&CDS=1-2796, genemark-flattened_line_22-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.25&CDS=1-2757, genemark-flattened_line_6-processed-gene-2.137-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.137&CDS=1-2703, snap_masked-flattened_line_6-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.98&CDS=1-2706
50	OG0000050	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_44-snap-gene-0.30-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.30&CDS=1-1641
51	OG0000051		augustus_masked-flattened_line_12-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-5.82&CDS=1-3081, augustus_masked-flattened_line_128-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.0&CDS=1-576, augustus_masked-flattened_line_2-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.100&CDS=1-2811, augustus_masked-flattened_line_52-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.2&CDS=1-1515, augustus_masked-flattened_line_58-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.2&CDS=1-3924
52	OG0000052	YAL023C, YGR199W	genemark-flattened_line_0-processed-gene-11.114-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.114&CDS=1-2283, genemark-flattened_line_2-processed-gene-6.30-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.30&CDS=1-2304
53	OG0000053	YAL054C, YLR153C	augustus_masked-flattened_line_12-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.64&CDS=1-2022, genemark-flattened_line_4-processed-gene-4.84-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.84&CDS=1-2037
54	OG0000054	YAR035W, YER024W	genemark-flattened_line_10-processed-gene-2.102-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.102&CDS=1-2532, genemark-flattened_line_2-processed-gene-3.143-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.143&CDS=1-2268
55	OG0000055	YBL002W, YDR224C	genemark-flattened_line_0-processed-gene-8.25-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.25&CDS=1-387, genemark-flattened_line_4-processed-gene-4.79-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.79&CDS=1-387
56	OG0000056	YBL052C, YOR244W	genemark-flattened_line_0-processed-gene-3.56-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.56&CDS=1-2406, genemark-flattened_line_40-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.8&CDS=1-1545
57	OG0000057	YBR008C	augustus_masked-flattened_line_6-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-8.63&CDS=1-1212, genemark-flattened_line_0-processed-gene-4.58-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.58&CDS=1-1653, genemark-flattened_line_38-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.35&CDS=1-1587
58	OG0000058	YBR009C, YNL030W	genemark-flattened_line_4-processed-gene-10.248-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-10.248&CDS=1-309, genemark-flattened_line_4-processed-gene-4.86-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.86&CDS=1-309
59	OG0000059	YBR010W, YNL031C	genemark-flattened_line_4-processed-gene-10.197-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-10.197&CDS=1-408, genemark-flattened_line_4-processed-gene-4.110-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.110&CDS=1-408
