	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026124_Ogataea_henricii
10	OG0000010	YDR242W	augustus_masked-flattened_line_40-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-1.24&CDS=1-1632, genemark-flattened_line_18-processed-gene-2.45-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.45&CDS=1-1644, genemark-flattened_line_212-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_212-processed-gene-0.2&CDS=1-1722, genemark-flattened_line_30-processed-gene-1.85-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.85&CDS=1-1674, genemark-flattened_line_56-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.31&CDS=1-1656, snap_masked-flattened_line_40-processed-gene-1.140-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.140&CDS=1-1659
11	OG0000011	YKL215C	genemark-flattened_line_16-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.1&CDS=1-3930, genemark-flattened_line_48-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.107&CDS=1-3960, genemark-flattened_line_56-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.73&CDS=1-3882, genemark-flattened_line_6-processed-gene-3.42-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.42&CDS=1-3960, genemark-flattened_line_98-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.5&CDS=1-3954, snap_masked-flattened_line_52-processed-gene-0.196-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.196&CDS=1-3945
12	OG0000012	YLR361C	augustus_masked-flattened_line_2-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.55&CDS=1-1716, augustus_masked-flattened_line_34-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.126&CDS=1-1674, genemark-flattened_line_2-processed-gene-5.151-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.151&CDS=1-1401, genemark-flattened_line_6-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.108&CDS=1-1722, snap_masked-flattened_line_16-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.125&CDS=1-1674, snap_masked-flattened_line_16-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.96&CDS=1-1683
13	OG0000013	YBR199W, YKL181W	genemark-flattened_line_28-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.125&CDS=1-1437, genemark-flattened_line_4-processed-gene-4.41-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.41&CDS=1-1314, genemark-flattened_line_58-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.69&CDS=1-1341, snap_masked-flattened_line_72-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.126&CDS=1-2571
14	OG0000014	YCL073C, YEL065W, YHL040C, YKR106W, YOL158C	augustus_masked-flattened_line_74-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.88&CDS=1-1731
15	OG0000015	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	genemark-flattened_line_78-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.4&CDS=1-1626
16	OG0000016	YGR263C	augustus_masked-flattened_line_54-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.145&CDS=1-516, genemark-flattened_line_2-processed-gene-5.150-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.150&CDS=1-864, genemark-flattened_line_56-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.77&CDS=1-954, maker-flattened_line_30-augustus-gene-1.188-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-1.188&CDS=1-1989, maker-flattened_line_54-augustus-gene-0.154-mRNA-1_1&gene=maker-flattened_line_54-augustus-gene-0.154&CDS=1-2055
17	OG0000017	YHR179W, YJR001W, YPL171C	augustus_masked-flattened_line_52-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.120&CDS=1-1197, genemark-flattened_line_32-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.111&CDS=1-3006, maker-flattened_line_4-snap-gene-3.12-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.12&CDS=1-2832
18	OG0000018	YJL172W, YOL153C	genemark-flattened_line_14-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.11&CDS=1-1707, genemark-flattened_line_18-processed-gene-2.49-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.49&CDS=1-1725, genemark-flattened_line_30-processed-gene-1.33-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.33&CDS=1-1713, snap_masked-flattened_line_2-processed-gene-5.52-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.52&CDS=1-1758
19	OG0000019	YML111W, YMR275C, YNR069C	genemark-flattened_line_16-processed-gene-2.135-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.135&CDS=1-2487, snap_masked-flattened_line_2-processed-gene-3.43-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.43&CDS=1-1989, snap_masked-flattened_line_2-processed-gene-3.44-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.44&CDS=1-2133
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_46-snap-gene-0.173-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.173&CDS=1-5220
21	OG0000021	YBR297W, YFL052W, YGR288W, YPR196W	genemark-flattened_line_54-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.68&CDS=1-2604
22	OG0000022	YCL011C, YGR156W, YNL004W	genemark-flattened_line_4-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.121&CDS=1-1575, genemark-flattened_line_8-processed-gene-3.73-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.73&CDS=1-1392
23	OG0000023	YCL024W, YDR507C, YKL101W	genemark-flattened_line_10-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.25&CDS=1-3693, genemark-flattened_line_36-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.89&CDS=1-3933
24	OG0000024	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_50-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.43&CDS=1-1620
25	OG0000025	YCR037C, YJL198W, YNR013C	genemark-flattened_line_14-processed-gene-2.182-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.182&CDS=1-2517, genemark-flattened_line_4-processed-gene-3.28-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.28&CDS=1-2637
26	OG0000026	YDL161W, YLL038C, YLR206W	genemark-flattened_line_12-processed-gene-3.141-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.141&CDS=1-783, genemark-flattened_line_56-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.9&CDS=1-1491
27	OG0000027	YDL244W, YFL058W, YJR156C, YNL332W	genemark-flattened_line_74-processed-gene-0.144-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.144&CDS=1-1026
28	OG0000028	YER130C, YKL062W, YMR037C	genemark-flattened_line_64-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.99&CDS=1-1569, maker-flattened_line_50-snap-gene-0.176-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.176&CDS=1-3471
29	OG0000029	YGL092W, YKL068W, YMR047C	genemark-flattened_line_0-processed-gene-5.101-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.101&CDS=1-3306, genemark-flattened_line_28-processed-gene-1.143-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.143&CDS=1-3759
30	OG0000030	YIL151C, YKR096W	augustus_masked-flattened_line_2-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.84&CDS=1-5676, genemark-flattened_line_2-processed-gene-1.2-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.2&CDS=1-1170, genemark-flattened_line_2-processed-gene-5.107-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.107&CDS=1-978
31	OG0000031	YJR061W, YKL201C	genemark-flattened_line_34-processed-gene-1.62-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.62&CDS=1-2751, genemark-flattened_line_34-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.93&CDS=1-2448, genemark-flattened_line_8-processed-gene-2.66-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.66&CDS=1-2214
32	OG0000032	YJR152W	genemark-flattened_line_30-processed-gene-1.34-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.34&CDS=1-1521, genemark-flattened_line_50-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.39&CDS=1-1521, genemark-flattened_line_56-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.29&CDS=1-1590, genemark-flattened_line_72-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.76&CDS=1-1515
33	OG0000033	YKL220C, YNR060W, YOR381W	genemark-flattened_line_48-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.97&CDS=1-2058, genemark-flattened_line_6-processed-gene-4.121-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.121&CDS=1-2067
34	OG0000034	YKL222C, YLR266C, YOR162C, YOR172W	genemark-flattened_line_50-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.1&CDS=1-2541
35	OG0000035	YLR237W, YOR071C, YOR192C	genemark-flattened_line_18-processed-gene-2.48-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.48&CDS=1-1671, genemark-flattened_line_38-processed-gene-1.124-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.124&CDS=1-1686
36	OG0000036	YML072C, YNL087W, YOR086C	genemark-flattened_line_96-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.25&CDS=1-4128, maker-flattened_line_28-augustus-gene-1.182-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-1.182&CDS=1-3495
37	OG0000037		genemark-flattened_line_18-processed-gene-2.91-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.91&CDS=1-1632, genemark-flattened_line_2-processed-gene-5.147-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.147&CDS=1-1653, genemark-flattened_line_30-processed-gene-1.39-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.39&CDS=1-1674, genemark-flattened_line_30-processed-gene-1.41-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.41&CDS=1-1656, genemark-flattened_line_32-processed-gene-1.117-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.117&CDS=1-1617
38	OG0000038	YAL014C, YDR468C	genemark-flattened_line_0-processed-gene-4.45-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.45&CDS=1-906, genemark-flattened_line_36-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.76&CDS=1-660
39	OG0000039	YAL023C, YGR199W	maker-flattened_line_80-augustus-gene-0.82-mRNA-1_1&gene=maker-flattened_line_80-augustus-gene-0.82&CDS=1-3987, snap_masked-flattened_line_26-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.95&CDS=1-2265
40	OG0000040	YAL054C, YLR153C	genemark-flattened_line_4-processed-gene-3.35-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.35&CDS=1-2022, genemark-flattened_line_96-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.7&CDS=1-2007
41	OG0000041	YAR035W, YER024W	genemark-flattened_line_6-processed-gene-2.63-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.63&CDS=1-2217, maker-flattened_line_14-snap-gene-2.1-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-2.1&CDS=1-3378
42	OG0000042	YBL002W, YDR224C	genemark-flattened_line_12-processed-gene-1.108-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.108&CDS=1-393, genemark-flattened_line_34-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.88&CDS=1-393
43	OG0000043	YBL016W, YGR040W	augustus_masked-flattened_line_8-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.134&CDS=1-1122, genemark-flattened_line_68-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.117&CDS=1-1053
44	OG0000044	YBL052C, YOR244W	augustus_masked-flattened_line_16-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.27&CDS=1-1413, genemark-flattened_line_84-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.5&CDS=1-2100
45	OG0000045	YBL063W, YEL061C	genemark-flattened_line_16-processed-gene-1.52-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.52&CDS=1-2655, genemark-flattened_line_90-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.56&CDS=1-3111
46	OG0000046	YBR009C, YNL030W	genemark-flattened_line_32-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.121&CDS=1-309, genemark-flattened_line_38-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.61&CDS=1-309
47	OG0000047	YBR010W, YNL031C	genemark-flattened_line_32-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.98&CDS=1-408, genemark-flattened_line_38-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.82&CDS=1-408
48	OG0000048	YBR015C	genemark-flattened_line_38-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.59&CDS=1-2127, maker-flattened_line_46-snap-gene-0.181-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.181&CDS=1-3441, snap_masked-flattened_line_58-processed-gene-0.184-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.184&CDS=1-2139
49	OG0000049	YBR021W, YIR028W	augustus_masked-flattened_line_30-processed-gene-1.169-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.169&CDS=1-1740, genemark-flattened_line_26-processed-gene-1.143-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.143&CDS=1-1782
50	OG0000050	YBR046C, YER133W	augustus_masked-flattened_line_28-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.28&CDS=1-1179, maker-flattened_line_28-augustus-gene-1.185-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-1.185&CDS=1-2697
51	OG0000051	YBR118W, YPR080W	genemark-flattened_line_106-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.15&CDS=1-1380, genemark-flattened_line_20-processed-gene-2.129-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.129&CDS=1-1380
52	OG0000052	YBR183W, YPL087W	genemark-flattened_line_66-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.28&CDS=1-849, genemark-flattened_line_66-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.29&CDS=1-963
53	OG0000053	YBR205W, YDR483W, YOR099W	augustus_masked-flattened_line_74-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.77&CDS=1-1149
54	OG0000054	YBR207W, YER145C	genemark-flattened_line_10-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.74&CDS=1-1182, genemark-flattened_line_2-processed-gene-3.92-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.92&CDS=1-1239
55	OG0000055	YBR237W, YNL112W	augustus_masked-flattened_line_78-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.49&CDS=1-2439, genemark-flattened_line_4-processed-gene-3.26-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.26&CDS=1-1593
56	OG0000056	YBR238C, YGL107C	maker-flattened_line_10-snap-gene-1.138-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.138&CDS=1-3816, snap_masked-flattened_line_66-processed-gene-0.138-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.138&CDS=1-1629
57	OG0000057	YBR245C, YOR304W	genemark-flattened_line_24-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.105&CDS=1-3207, genemark-flattened_line_28-processed-gene-1.142-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.142&CDS=1-3111
58	OG0000058	YBR298C, YDL247W, YGR289C, YJR160C	
59	OG0000059	YCL037C, YDR515W	genemark-flattened_line_50-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.8&CDS=1-1731, genemark-flattened_line_6-processed-gene-2.71-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.71&CDS=1-1923
