	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035325_Cyberlindnera_petersonii
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_23_length_186255_cov_22.018_ID_27142-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_23_length_186255_cov_22.018_ID_27142-processed-gene-0.66&CDS=1-1398, augustus_masked-NODE_52_length_71123_cov_18.1103_ID_22346-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_52_length_71123_cov_18.1103_ID_22346-processed-gene-0.30&CDS=1-1347
11	OG0000011	YBL063W, YEL061C, YKL079W	augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-1.91&CDS=1-3261, augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.200&CDS=1-1500, augustus_masked-NODE_29_length_158585_cov_18.6337_ID_25338-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_29_length_158585_cov_18.6337_ID_25338-processed-gene-0.106&CDS=1-2313, maker-NODE_2_length_519856_cov_18.5175_ID_27830-augustus-gene-0.92-mRNA-1_1&gene=maker-NODE_2_length_519856_cov_18.5175_ID_27830-augustus-gene-0.92&CDS=1-4491
12	OG0000012	YDR342C, YDR343C, YHR092C, YIL170W, YJL219W, YOL156W	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-3.150-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-3.150&CDS=1-1686
13	OG0000013	YGL185C, YPL113C	augustus_masked-NODE_28_length_160419_cov_18.3281_ID_24031-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_28_length_160419_cov_18.3281_ID_24031-processed-gene-0.114&CDS=1-1113, augustus_masked-NODE_54_length_64629_cov_19.7745_ID_25689-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_54_length_64629_cov_19.7745_ID_25689-processed-gene-0.48&CDS=1-1050, augustus_masked-NODE_5_length_397984_cov_19.4042_ID_26889-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-NODE_5_length_397984_cov_19.4042_ID_26889-processed-gene-1.113&CDS=1-1074, augustus_masked-NODE_68_length_31033_cov_18.8576_ID_24337-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_68_length_31033_cov_18.8576_ID_24337-processed-gene-0.5&CDS=1-1107, snap_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.44&CDS=1-1098
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_51_length_75935_cov_17.6369_ID_22667-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_51_length_75935_cov_17.6369_ID_22667-processed-gene-0.3&CDS=1-4518, snap_masked-NODE_52_length_71123_cov_18.1103_ID_22346-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_52_length_71123_cov_18.1103_ID_22346-processed-gene-0.23&CDS=1-4572
15	OG0000015	YBL068W-A, YBL069W, YER101C, YMR152W	augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-0.26&CDS=1-1305, augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-1.38&CDS=1-1038
16	OG0000016	YBR015C	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-3.74&CDS=1-1776, augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.89&CDS=1-2124, augustus_masked-NODE_43_length_92930_cov_18.5896_ID_19939-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_43_length_92930_cov_18.5896_ID_19939-processed-gene-0.0&CDS=1-1803, augustus_masked-NODE_47_length_89825_cov_18.2994_ID_21436-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_47_length_89825_cov_18.2994_ID_21436-processed-gene-0.85&CDS=1-1611, augustus_masked-NODE_52_length_71123_cov_18.1103_ID_22346-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_52_length_71123_cov_18.1103_ID_22346-processed-gene-0.44&CDS=1-1686
17	OG0000017	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-3.161&CDS=1-780, augustus_masked-NODE_56_length_57223_cov_19.0334_ID_26358-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_56_length_57223_cov_19.0334_ID_26358-processed-gene-0.93&CDS=1-1404, augustus_masked-NODE_61_length_45559_cov_17.5679_ID_23401-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_61_length_45559_cov_17.5679_ID_23401-processed-gene-0.10&CDS=1-1530
18	OG0000018	YCL064C, YDL079C, YIL167W, YMR139W	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-1.60&CDS=1-1050, maker-NODE_1_length_520433_cov_19.9166_ID_24536-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_1_length_520433_cov_19.9166_ID_24536-augustus-gene-0.1&CDS=1-2001
19	OG0000019	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_13_length_223642_cov_19.6583_ID_20753-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_13_length_223642_cov_19.6583_ID_20753-processed-gene-0.104&CDS=1-1770, augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-NODE_26_length_167395_cov_18.7791_ID_26584-processed-gene-0.173&CDS=1-1764
20	OG0000020	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_13_length_223642_cov_19.6583_ID_20753-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-NODE_13_length_223642_cov_19.6583_ID_20753-processed-gene-1.176&CDS=1-1647, augustus_masked-NODE_34_length_128336_cov_18.0133_ID_20674-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NODE_34_length_128336_cov_18.0133_ID_20674-processed-gene-0.154&CDS=1-1566, augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_4_length_409325_cov_17.9207_ID_19404-processed-gene-0.11&CDS=1-2343
21	OG0000021	YDL216C, YFR004W, YLR073C	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-3.87&CDS=1-1569, augustus_masked-NODE_6_length_395277_cov_19.3688_ID_21854-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NODE_6_length_395277_cov_19.3688_ID_21854-processed-gene-1.82&CDS=1-1299, augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-2.202-mRNA-1_1&gene=augustus_masked-NODE_7_length_378302_cov_18.1305_ID_20891-processed-gene-2.202&CDS=1-930
22	OG0000022	YFR040W, YGL229C, YJL098W, YKR028W	augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-0.39&CDS=1-2772, augustus_masked-NODE_22_length_190147_cov_18.853_ID_25064-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-NODE_22_length_190147_cov_18.853_ID_25064-processed-gene-0.140&CDS=1-2457
23	OG0000023	YGL257C, YNR059W	augustus_masked-NODE_32_length_131246_cov_20.7797_ID_27704-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_32_length_131246_cov_20.7797_ID_27704-processed-gene-0.102&CDS=1-2112, augustus_masked-NODE_35_length_124969_cov_18.3334_ID_20003-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_35_length_124969_cov_18.3334_ID_20003-processed-gene-0.141&CDS=1-2292, augustus_masked-NODE_53_length_69873_cov_16.9502_ID_20797-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_53_length_69873_cov_16.9502_ID_20797-processed-gene-0.107&CDS=1-2130, snap_masked-NODE_55_length_62927_cov_18.4198_ID_23359-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_55_length_62927_cov_18.4198_ID_23359-processed-gene-0.67&CDS=1-2427
24	OG0000024	YGR249W, YHR206W, YOR140W	augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-0.1&CDS=1-1389, augustus_masked-NODE_36_length_116871_cov_18.2502_ID_24379-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_36_length_116871_cov_18.2502_ID_24379-processed-gene-0.6&CDS=1-2049, augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-0.69&CDS=1-1920
25	OG0000025	YHR050W, YLR034C, YOL122C	augustus_masked-NODE_23_length_186255_cov_22.018_ID_27142-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_23_length_186255_cov_22.018_ID_27142-processed-gene-0.21&CDS=1-1755, augustus_masked-NODE_32_length_131246_cov_20.7797_ID_27704-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_32_length_131246_cov_20.7797_ID_27704-processed-gene-0.119&CDS=1-1452, augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NODE_8_length_306916_cov_19.3817_ID_20316-processed-gene-1.102&CDS=1-1659
26	OG0000026	YIL130W, YMR168C	augustus_masked-NODE_23_length_186255_cov_22.018_ID_27142-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_23_length_186255_cov_22.018_ID_27142-processed-gene-0.81&CDS=1-2517, augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.130&CDS=1-1872, augustus_masked-NODE_40_length_99991_cov_20.3342_ID_23277-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-NODE_40_length_99991_cov_20.3342_ID_23277-processed-gene-0.164&CDS=1-2343, augustus_masked-NODE_81_length_19708_cov_19.689_ID_24837-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_81_length_19708_cov_19.689_ID_24837-processed-gene-0.22&CDS=1-813
27	OG0000027	YMR006C, YMR008C, YNL012W, YOL011W	maker-NODE_14_length_213668_cov_24.3613_ID_25468-snap-gene-1.0-mRNA-1_1&gene=maker-NODE_14_length_213668_cov_24.3613_ID_25468-snap-gene-1.0&CDS=1-2133, maker-NODE_35_length_124969_cov_18.3334_ID_20003-augustus-gene-0.5-mRNA-1_1&gene=maker-NODE_35_length_124969_cov_18.3334_ID_20003-augustus-gene-0.5&CDS=1-3021
28	OG0000028	YOL119C, YOR306C	augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-1.194-mRNA-1_1&gene=augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-1.194&CDS=1-1500, augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-1.209-mRNA-1_1&gene=augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-1.209&CDS=1-1494, augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_25_length_173309_cov_21.0407_ID_21139-processed-gene-0.141&CDS=1-1470, augustus_masked-NODE_37_length_113152_cov_18.0236_ID_25423-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_37_length_113152_cov_18.0236_ID_25423-processed-gene-0.116&CDS=1-1422
29	OG0000029	YAL060W, YAL061W	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-4.23&CDS=1-1194, augustus_masked-NODE_65_length_36337_cov_17.6763_ID_23528-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_65_length_36337_cov_17.6763_ID_23528-processed-gene-0.12&CDS=1-1155, augustus_masked-NODE_6_length_395277_cov_19.3688_ID_21854-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NODE_6_length_395277_cov_19.3688_ID_21854-processed-gene-1.53&CDS=1-1281
30	OG0000030	YAR019C, YHR102W	augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_12_length_266441_cov_18.2673_ID_22134-processed-gene-0.91&CDS=1-3051, augustus_masked-NODE_29_length_158585_cov_18.6337_ID_25338-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_29_length_158585_cov_18.6337_ID_25338-processed-gene-0.125&CDS=1-2532, augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NODE_2_length_519856_cov_18.5175_ID_27830-processed-gene-1.96&CDS=1-1542
31	OG0000031	YBL089W, YER119C, YIL088C	augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NODE_1_length_520433_cov_19.9166_ID_24536-processed-gene-2.103&CDS=1-1212, maker-NODE_16_length_210287_cov_17.7656_ID_23699-augustus-gene-1.2-mRNA-1_1&gene=maker-NODE_16_length_210287_cov_17.7656_ID_23699-augustus-gene-1.2&CDS=1-1491
32	OG0000032	YBR054W, YCR021C, YDR033W	augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NODE_10_length_296761_cov_18.6106_ID_21319-processed-gene-1.181&CDS=1-888, augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NODE_3_length_431969_cov_17.8048_ID_21979-processed-gene-2.63&CDS=1-954
33	OG0000033	YBR067C	augustus_masked-NODE_13_length_223642_cov_19.6583_ID_20753-processed-gene-1.191-mRNA-1_1&gene=augustus_masked-NODE_13_length_223642_cov_19.6583_ID_20753-processed-gene-1.191&CDS=1-504, augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_15_length_211478_cov_17.7056_ID_25865-processed-gene-0.96&CDS=1-690, augustus_masked-NODE_422_length_147_cov_25.2065_ID_324501-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_422_length_147_cov_25.2065_ID_324501-processed-gene-0.1&CDS=1-144, maker-NODE_4_length_409325_cov_17.9207_ID_19404-augustus-gene-0.89-mRNA-1_1&gene=maker-NODE_4_length_409325_cov_17.9207_ID_19404-augustus-gene-0.89&CDS=1-849
