	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii
10	OG0000010	YDR011W, YOR153W, YPL058C	maker-NODE_55_length_94282_cov_67.5767_ID_109-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_55_length_94282_cov_67.5767_ID_109-snap-gene-0.2&CDS=1-4665, snap_masked-NODE_17_length_249866_cov_67.8317_ID_33-processed-gene-1.173-mRNA-1_1&gene=snap_masked-NODE_17_length_249866_cov_67.8317_ID_33-processed-gene-1.173&CDS=1-4500, snap_masked-NODE_39_length_140568_cov_64.5544_ID_77-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_39_length_140568_cov_64.5544_ID_77-processed-gene-0.133&CDS=1-4527, snap_masked-NODE_56_length_88361_cov_68.6203_ID_111-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_56_length_88361_cov_68.6203_ID_111-processed-gene-0.104&CDS=1-4533, snap_masked-NODE_6_length_442416_cov_71.3898_ID_11-processed-gene-3.115-mRNA-1_1&gene=snap_masked-NODE_6_length_442416_cov_71.3898_ID_11-processed-gene-3.115&CDS=1-4548
11	OG0000011	YER013W, YGL120C, YKR086W, YNR011C	snap_masked-NODE_27_length_209414_cov_64.4654_ID_53-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_27_length_209414_cov_64.4654_ID_53-processed-gene-1.58&CDS=1-2319, snap_masked-NODE_32_length_190965_cov_69.4963_ID_63-processed-gene-0.143-mRNA-1_1&gene=snap_masked-NODE_32_length_190965_cov_69.4963_ID_63-processed-gene-0.143&CDS=1-3210, snap_masked-NODE_50_length_104797_cov_81.7213_ID_99-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_50_length_104797_cov_81.7213_ID_99-processed-gene-0.96&CDS=1-2781, snap_masked-NODE_70_length_50974_cov_67.8381_ID_139-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_70_length_50974_cov_67.8381_ID_139-processed-gene-0.36&CDS=1-2952
12	OG0000012	YKR039W	snap_masked-NODE_15_length_287516_cov_70.6321_ID_29-processed-gene-1.221-mRNA-1_1&gene=snap_masked-NODE_15_length_287516_cov_70.6321_ID_29-processed-gene-1.221&CDS=1-1740, snap_masked-NODE_16_length_281881_cov_89.1521_ID_31-processed-gene-1.130-mRNA-1_1&gene=snap_masked-NODE_16_length_281881_cov_89.1521_ID_31-processed-gene-1.130&CDS=1-1764, snap_masked-NODE_19_length_243033_cov_65.5237_ID_37-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_19_length_243033_cov_65.5237_ID_37-processed-gene-0.0&CDS=1-1902, snap_masked-NODE_22_length_218682_cov_71.5636_ID_43-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_22_length_218682_cov_71.5636_ID_43-processed-gene-0.58&CDS=1-1785, snap_masked-NODE_32_length_190965_cov_69.4963_ID_63-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_32_length_190965_cov_69.4963_ID_63-processed-gene-0.111&CDS=1-1758, snap_masked-NODE_57_length_84806_cov_101.253_ID_113-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_57_length_84806_cov_101.253_ID_113-processed-gene-0.2&CDS=1-1773, snap_masked-NODE_59_length_79905_cov_96.9589_ID_117-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_59_length_79905_cov_96.9589_ID_117-processed-gene-0.81&CDS=1-1743
13	OG0000013	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_15_length_287516_cov_70.6321_ID_29-processed-gene-1.205-mRNA-1_1&gene=snap_masked-NODE_15_length_287516_cov_70.6321_ID_29-processed-gene-1.205&CDS=1-1683, snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.112&CDS=1-1692, snap_masked-NODE_63_length_67554_cov_61.9354_ID_125-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_63_length_67554_cov_61.9354_ID_125-processed-gene-0.25&CDS=1-1818
14	OG0000014	YCL075W	augustus_masked-NODE_102_length_2551_cov_285.312_ID_203-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_102_length_2551_cov_285.312_ID_203-processed-gene-0.2&CDS=1-939, augustus_masked-NODE_149_length_951_cov_492.473_ID_297-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_149_length_951_cov_492.473_ID_297-processed-gene-0.0&CDS=1-474, augustus_masked-NODE_175_length_657_cov_700.599_ID_349-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_175_length_657_cov_700.599_ID_349-processed-gene-0.0&CDS=1-657, augustus_masked-NODE_53_length_96461_cov_75.3153_ID_105-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_53_length_96461_cov_75.3153_ID_105-processed-gene-0.108&CDS=1-1404, maker-NODE_167_length_774_cov_549.389_ID_333-augustus-gene-0.5-mRNA-1_1&gene=maker-NODE_167_length_774_cov_549.389_ID_333-augustus-gene-0.5&CDS=1-411, snap_masked-NODE_192_length_549_cov_354.579_ID_383-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_192_length_549_cov_354.579_ID_383-processed-gene-0.0&CDS=1-414
15	OG0000015	YGR281W	augustus_masked-NODE_26_length_209935_cov_74.3309_ID_51-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_26_length_209935_cov_74.3309_ID_51-processed-gene-1.63&CDS=1-4128, augustus_masked-NODE_5_length_471877_cov_68.7965_ID_9-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-NODE_5_length_471877_cov_68.7965_ID_9-processed-gene-3.115&CDS=1-4233, genemark-NODE_36_length_155450_cov_66.759_ID_71-processed-gene-0.140-mRNA-1_1&gene=genemark-NODE_36_length_155450_cov_66.759_ID_71-processed-gene-0.140&CDS=1-3009, genemark-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-1.22-mRNA-1_1&gene=genemark-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-1.22&CDS=1-4176, snap_masked-NODE_15_length_287516_cov_70.6321_ID_29-processed-gene-1.170-mRNA-1_1&gene=snap_masked-NODE_15_length_287516_cov_70.6321_ID_29-processed-gene-1.170&CDS=1-4173, snap_masked-NODE_54_length_94987_cov_78.0702_ID_107-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_54_length_94987_cov_78.0702_ID_107-processed-gene-0.59&CDS=1-4131
16	OG0000016	YKL128C	augustus_masked-NODE_48_length_106007_cov_94.0506_ID_95-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_48_length_106007_cov_94.0506_ID_95-processed-gene-0.64&CDS=1-1080, maker-NODE_48_length_106007_cov_94.0506_ID_95-snap-gene-0.158-mRNA-1_1&gene=maker-NODE_48_length_106007_cov_94.0506_ID_95-snap-gene-0.158&CDS=1-2688, snap_masked-NODE_29_length_196675_cov_127.778_ID_57-processed-gene-0.209-mRNA-1_1&gene=snap_masked-NODE_29_length_196675_cov_127.778_ID_57-processed-gene-0.209&CDS=1-1065, snap_masked-NODE_48_length_106007_cov_94.0506_ID_95-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_48_length_106007_cov_94.0506_ID_95-processed-gene-0.14&CDS=1-1080, snap_masked-NODE_49_length_105122_cov_94.5565_ID_97-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_49_length_105122_cov_94.5565_ID_97-processed-gene-0.91&CDS=1-1020, snap_masked-NODE_56_length_88361_cov_68.6203_ID_111-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_56_length_88361_cov_68.6203_ID_111-processed-gene-0.78&CDS=1-1107
17	OG0000017		augustus_masked-NODE_50_length_104797_cov_81.7213_ID_99-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_50_length_104797_cov_81.7213_ID_99-processed-gene-0.67&CDS=1-1365, augustus_masked-NODE_57_length_84806_cov_101.253_ID_113-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_57_length_84806_cov_101.253_ID_113-processed-gene-0.52&CDS=1-1350, maker-NODE_3_length_517060_cov_73.1229_ID_5-snap-gene-4.2-mRNA-1_1&gene=maker-NODE_3_length_517060_cov_73.1229_ID_5-snap-gene-4.2&CDS=1-2406, snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.126&CDS=1-1245, snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.127&CDS=1-1638, snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_38_length_146430_cov_91.7099_ID_75-processed-gene-0.92&CDS=1-2073, snap_masked-NODE_40_length_138534_cov_94.3801_ID_79-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_40_length_138534_cov_94.3801_ID_79-processed-gene-0.79&CDS=1-3786
18	OG0000018	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
19	OG0000019	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-0.43&CDS=1-1449
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_33_length_190782_cov_64.4392_ID_65-processed-gene-0.196-mRNA-1_1&gene=snap_masked-NODE_33_length_190782_cov_64.4392_ID_65-processed-gene-0.196&CDS=1-4620, snap_masked-NODE_9_length_387442_cov_67.1628_ID_17-processed-gene-2.153-mRNA-1_1&gene=snap_masked-NODE_9_length_387442_cov_67.1628_ID_17-processed-gene-2.153&CDS=1-4605
21	OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_26_length_209935_cov_74.3309_ID_51-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NODE_26_length_209935_cov_74.3309_ID_51-processed-gene-1.25&CDS=1-1962, snap_masked-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_8_length_402452_cov_68.5072_ID_15-processed-gene-1.65&CDS=1-1818
22	OG0000022	YDL037C, YIR019C	augustus_masked-NODE_186_length_602_cov_292.159_ID_371-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_186_length_602_cov_292.159_ID_371-processed-gene-0.1&CDS=1-597, augustus_masked-NODE_64_length_67529_cov_75.5895_ID_127-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_64_length_67529_cov_75.5895_ID_127-processed-gene-0.64&CDS=1-2721, snap_masked-NODE_172_length_710_cov_275.643_ID_343-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_172_length_710_cov_275.643_ID_343-processed-gene-0.1&CDS=1-666, snap_masked-NODE_191_length_552_cov_921.741_ID_381-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_191_length_552_cov_921.741_ID_381-processed-gene-0.0&CDS=1-486
23	OG0000023	YDR242W	augustus_masked-NODE_2_length_526302_cov_74.0833_ID_3-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_2_length_526302_cov_74.0833_ID_3-processed-gene-1.38&CDS=1-1614, snap_masked-NODE_18_length_245309_cov_86.3428_ID_35-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_18_length_245309_cov_86.3428_ID_35-processed-gene-0.1&CDS=1-1605, snap_masked-NODE_30_length_196662_cov_92.3397_ID_59-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_30_length_196662_cov_92.3397_ID_59-processed-gene-0.109&CDS=1-1668, snap_masked-NODE_3_length_517060_cov_73.1229_ID_5-processed-gene-3.102-mRNA-1_1&gene=snap_masked-NODE_3_length_517060_cov_73.1229_ID_5-processed-gene-3.102&CDS=1-1716, snap_masked-NODE_5_length_471877_cov_68.7965_ID_9-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_5_length_471877_cov_68.7965_ID_9-processed-gene-1.28&CDS=1-1662
24	OG0000024	YER054C, YIL045W, YLR273C, YOR178C	maker-NODE_10_length_373830_cov_69.0868_ID_19-snap-gene-2.222-mRNA-1_1&gene=maker-NODE_10_length_373830_cov_69.0868_ID_19-snap-gene-2.222&CDS=1-2130, maker-NODE_34_length_176738_cov_71.4394_ID_67-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_34_length_176738_cov_71.4394_ID_67-snap-gene-0.2&CDS=1-1821
