	OrthologID	Saccharomyces_cerevisiae	Sugiyamaella_lignohabitans
10	OG0000010	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-CP014501.1-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-9.82&CDS=1-2625, augustus_masked-CP014503.1-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-5.90&CDS=1-1896
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-CP014501.1-processed-gene-39.125-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-39.125&CDS=1-4473
12	OG0000012	YBR015C, YJL186W	augustus_masked-CP014500.1-processed-gene-15.41-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-15.41&CDS=1-1800, augustus_masked-CP014502.1-processed-gene-19.39-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-19.39&CDS=1-2013, augustus_masked-CP014503.1-processed-gene-23.74-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-23.74&CDS=1-1764
13	OG0000013	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-CP014502.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-0.27&CDS=1-1596
14	OG0000014	YCR102C, YLR460C, YNL134C	augustus_masked-CP014501.1-processed-gene-21.30-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-21.30&CDS=1-1101, augustus_masked-CP014503.1-processed-gene-22.90-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-22.90&CDS=1-1113
15	OG0000015	YDL137W, YDL192W, YOR094W	snap_masked-CP014501.1-processed-gene-31.36-mRNA-1_1&gene=snap_masked-CP014501.1-processed-gene-31.36&CDS=1-543, snap_masked-CP014501.1-processed-gene-56.44-mRNA-1_1&gene=snap_masked-CP014501.1-processed-gene-56.44&CDS=1-561
16	OG0000016	YDR107C, YER113C, YLR083C	augustus_masked-CP014501.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-0.87&CDS=1-1968, augustus_masked-CP014501.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-1.60&CDS=1-1899
17	OG0000017	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-CP014502.1-processed-gene-12.131-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-12.131&CDS=1-714
18	OG0000018	YER001W, YGL257C, YIL014W, YNR059W	augustus_masked-CP014501.1-processed-gene-42.135-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-42.135&CDS=1-1761
19	OG0000019	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-CP014501.1-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-8.19&CDS=1-2913
20	OG0000020	YER056C, YER060W, YER060W-A	augustus_masked-CP014501.1-processed-gene-58.155-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-58.155&CDS=1-1518, augustus_masked-CP014503.1-processed-gene-45.28-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-45.28&CDS=1-1542
21	OG0000021	YGR263C	augustus_masked-CP014503.1-processed-gene-12.67-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-12.67&CDS=1-1056, maker-CP014500.1-augustus-gene-7.43-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-7.43&CDS=1-1134, maker-CP014501.1-augustus-gene-7.132-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-7.132&CDS=1-1137, maker-CP014503.1-augustus-gene-28.21-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-28.21&CDS=1-1110
22	OG0000022	YHR178W	augustus_masked-CP014502.1-processed-gene-18.94-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-18.94&CDS=1-1575, augustus_masked-CP014503.1-processed-gene-28.58-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-28.58&CDS=1-3390, genemark-CP014503.1-processed-gene-24.99-mRNA-1_1&gene=genemark-CP014503.1-processed-gene-24.99&CDS=1-1581, maker-CP014502.1-augustus-gene-1.113-mRNA-1_1&gene=maker-CP014502.1-augustus-gene-1.113&CDS=1-1728
23	OG0000023	YHR179W, YPL171C	augustus_masked-CP014500.1-processed-gene-13.114-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-13.114&CDS=1-1104, augustus_masked-CP014501.1-processed-gene-38.35-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-38.35&CDS=1-1092, augustus_masked-CP014503.1-processed-gene-21.10-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-21.10&CDS=1-1107
24	OG0000024	YIL120W, YIL121W, YNL065W	augustus_masked-CP014503.1-processed-gene-12.61-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-12.61&CDS=1-1812, maker-CP014503.1-augustus-gene-45.45-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-45.45&CDS=1-3816
25	OG0000025	YJR096W	augustus_masked-CP014501.1-processed-gene-22.135-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-22.135&CDS=1-849, augustus_masked-CP014501.1-processed-gene-33.34-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-33.34&CDS=1-840, augustus_masked-CP014502.1-processed-gene-19.27-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-19.27&CDS=1-840, augustus_masked-CP014503.1-processed-gene-42.95-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-42.95&CDS=1-861
26	OG0000026	YJR130C, YLL058W, YML082W	augustus_masked-CP014501.1-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-4.20&CDS=1-1590, augustus_masked-CP014502.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-0.2&CDS=1-1767
27	OG0000027	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
28	OG0000028	YPL088W	augustus_masked-CP014501.1-processed-gene-18.45-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-18.45&CDS=1-1020, augustus_masked-CP014501.1-processed-gene-35.56-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-35.56&CDS=1-993, augustus_masked-CP014501.1-processed-gene-46.23-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-46.23&CDS=1-996, augustus_masked-CP014503.1-processed-gene-16.64-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-16.64&CDS=1-1008
29	OG0000029	Q0045, Q0065, Q0070	maker-CP014499.1-snap-gene-0.52-mRNA-1_1&gene=maker-CP014499.1-snap-gene-0.52&CDS=1-303, maker-CP014499.1-snap-gene-0.67-mRNA-1_1&gene=maker-CP014499.1-snap-gene-0.67&CDS=1-303
30	OG0000030		augustus_masked-CP014503.1-processed-gene-43.134-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-43.134&CDS=1-5667, maker-CP014500.1-augustus-gene-0.67-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-0.67&CDS=1-2172, maker-CP014500.1-augustus-gene-15.8-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-15.8&CDS=1-2058, maker-CP014501.1-augustus-gene-55.21-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-55.21&CDS=1-1953, maker-CP014503.1-augustus-gene-42.126-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-42.126&CDS=1-2148
31	OG0000031	YAL049C	augustus_masked-CP014500.1-processed-gene-20.74-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-20.74&CDS=1-765, augustus_masked-CP014500.1-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-9.107&CDS=1-750, augustus_masked-CP014501.1-processed-gene-36.78-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-36.78&CDS=1-738
32	OG0000032	YBL043W, YJR115W	augustus_masked-CP014501.1-processed-gene-38.9-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-38.9&CDS=1-906, augustus_masked-CP014501.1-processed-gene-43.22-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-43.22&CDS=1-741
33	OG0000033	YBL061C, YDL203C	augustus_masked-CP014501.1-processed-gene-23.97-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-23.97&CDS=1-3396, augustus_masked-CP014503.1-processed-gene-35.91-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-35.91&CDS=1-2076
34	OG0000034	YBR002C, YMR101C	augustus_masked-CP014501.1-processed-gene-12.25-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-12.25&CDS=1-936, maker-CP014503.1-augustus-gene-47.110-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-47.110&CDS=1-966
35	OG0000035	YBR005W, YDR003W	augustus_masked-CP014502.1-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-5.92&CDS=1-759, augustus_masked-CP014503.1-processed-gene-26.27-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-26.27&CDS=1-591
36	OG0000036	YBR009C, YNL030W	augustus_masked-CP014500.1-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-1.3&CDS=1-309, augustus_masked-CP014500.1-processed-gene-16.40-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-16.40&CDS=1-309
37	OG0000037	YBR207W, YER145C	augustus_masked-CP014501.1-processed-gene-21.13-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-21.13&CDS=1-1086, snap_masked-CP014501.1-processed-gene-57.12-mRNA-1_1&gene=snap_masked-CP014501.1-processed-gene-57.12&CDS=1-1233
38	OG0000038	YBR237W, YNL112W	augustus_masked-CP014501.1-processed-gene-42.129-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-42.129&CDS=1-3075, maker-CP014503.1-augustus-gene-33.10-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-33.10&CDS=1-1698
39	OG0000039	YCL024W, YDR507C, YKL101W	augustus_masked-CP014502.1-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-3.28&CDS=1-3507
40	OG0000040	YCL064C, YIL167W	augustus_masked-CP014501.1-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-5.47&CDS=1-1068, augustus_masked-CP014503.1-processed-gene-37.79-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-37.79&CDS=1-984
41	OG0000041	YCR059C, YDL177C	augustus_masked-CP014502.1-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-1.116&CDS=1-801, augustus_masked-CP014502.1-processed-gene-21.113-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-21.113&CDS=1-480
42	OG0000042	YDL161W, YLR206W	augustus_masked-CP014500.1-processed-gene-20.87-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-20.87&CDS=1-1551, maker-CP014501.1-augustus-gene-14.39-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-14.39&CDS=1-735
43	OG0000043	YDL230W, YER075C	augustus_masked-CP014501.1-processed-gene-49.92-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-49.92&CDS=1-2799, maker-CP014503.1-snap-gene-36.147-mRNA-1_1&gene=maker-CP014503.1-snap-gene-36.147&CDS=1-912
44	OG0000044	YDR002W, YLR335W	maker-CP014501.1-augustus-gene-12.49-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-12.49&CDS=1-717, maker-CP014502.1-augustus-gene-21.124-mRNA-1_1&gene=maker-CP014502.1-augustus-gene-21.124&CDS=1-2505
45	OG0000045	YDR038C, YDR039C, YDR040C	augustus_masked-CP014503.1-processed-gene-36.131-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-36.131&CDS=1-3234
46	OG0000046	YDR235W, YML046W	augustus_masked-CP014501.1-processed-gene-23.102-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-23.102&CDS=1-2001, augustus_masked-CP014503.1-processed-gene-27.128-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-27.128&CDS=1-1641
47	OG0000047	YDR368W, YOR120W	augustus_masked-CP014500.1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-4.17&CDS=1-894, augustus_masked-CP014500.1-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-9.99&CDS=1-891
48	OG0000048	YER057C, YIL051C	augustus_masked-CP014503.1-processed-gene-47.70-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-47.70&CDS=1-381, maker-CP014500.1-augustus-gene-23.144-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-23.144&CDS=1-387
49	OG0000049	YER112W, YLR147C	augustus_masked-CP014501.1-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-1.43&CDS=1-471, genemark-CP014503.1-processed-gene-29.130-mRNA-1_1&gene=genemark-CP014503.1-processed-gene-29.130&CDS=1-342
50	OG0000050	YER159C, YJL065C	augustus_masked-CP014503.1-processed-gene-23.87-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-23.87&CDS=1-348, maker-CP014500.1-augustus-gene-8.46-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-8.46&CDS=1-618
51	OG0000051	YFL060C, YMR095C, YNL334C	augustus_masked-CP014502.1-processed-gene-16.27-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-16.27&CDS=1-771
52	OG0000052	YGL076C, YPL198W	augustus_masked-CP014503.1-processed-gene-11.25-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-11.25&CDS=1-753, genemark-CP014502.1-processed-gene-15.85-mRNA-1_1&gene=genemark-CP014502.1-processed-gene-15.85&CDS=1-744
53	OG0000053	YGL147C, YNL067W	augustus_masked-CP014502.1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-6.37&CDS=1-567, augustus_masked-CP014503.1-processed-gene-43.122-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-43.122&CDS=1-567
54	OG0000054	YGL205W	augustus_masked-CP014503.1-processed-gene-12.46-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-12.46&CDS=1-2139, augustus_masked-CP014503.1-processed-gene-40.95-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-40.95&CDS=1-2076, maker-CP014501.1-augustus-gene-7.131-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-7.131&CDS=1-2109
55	OG0000055	YGR087C, YLR044C, YLR134W	augustus_masked-CP014500.1-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-10.80&CDS=1-1686
56	OG0000056	YGR192C, YJL052W, YJR009C	augustus_masked-CP014503.1-processed-gene-19.95-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-19.95&CDS=1-1011
57	OG0000057	YHR071W, YNL289W	augustus_masked-CP014501.1-processed-gene-30.63-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-30.63&CDS=1-1113, maker-CP014503.1-snap-gene-27.95-mRNA-1_1&gene=maker-CP014503.1-snap-gene-27.95&CDS=1-1848
58	OG0000058	YHR154W, YJL090C	augustus_masked-CP014503.1-processed-gene-48.144-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-48.144&CDS=1-2595, genemark-CP014501.1-processed-gene-4.90-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-4.90&CDS=1-2130
59	OG0000059	YIR013C, YLR013W, YMR136W	augustus_masked-CP014501.1-processed-gene-44.9-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-44.9&CDS=1-1983
60	OG0000060	YJL092W, YOL095C	augustus_masked-CP014501.1-processed-gene-33.32-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-33.32&CDS=1-2517, maker-CP014500.1-augustus-gene-3.42-mRNA-1_1&gene=maker-CP014500.1-augustus-gene-3.42&CDS=1-2196
61	OG0000061	YJL124C, YJR022W	augustus_masked-CP014500.1-processed-gene-19.96-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-19.96&CDS=1-459, augustus_masked-CP014500.1-processed-gene-25.26-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-25.26&CDS=1-291
62	OG0000062	YJL163C	augustus_masked-CP014502.1-processed-gene-18.118-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-18.118&CDS=1-1806, augustus_masked-CP014502.1-processed-gene-18.96-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-18.96&CDS=1-1845, snap_masked-CP014500.1-processed-gene-8.87-mRNA-1_1&gene=snap_masked-CP014500.1-processed-gene-8.87&CDS=1-1467
63	OG0000063	YJL172W, YOL153C	augustus_masked-CP014500.1-processed-gene-23.102-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-23.102&CDS=1-1776, augustus_masked-CP014501.1-processed-gene-27.79-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-27.79&CDS=1-1767
64	OG0000064	YJR058C, YLR170C	maker-CP014501.1-augustus-gene-30.49-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-30.49&CDS=1-432, maker-CP014503.1-augustus-gene-43.139-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-43.139&CDS=1-471
65	OG0000065	YKL188C, YPL147W	augustus_masked-CP014502.1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-CP014502.1-processed-gene-5.106&CDS=1-2481, augustus_masked-CP014503.1-processed-gene-38.43-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-38.43&CDS=1-2076
66	OG0000066	YLL028W	augustus_masked-CP014501.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-1.62&CDS=1-1743, augustus_masked-CP014501.1-processed-gene-24.28-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-24.28&CDS=1-1623, augustus_masked-CP014503.1-processed-gene-18.106-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-18.106&CDS=1-1686
67	OG0000067	YLL057C	augustus_masked-CP014500.1-processed-gene-13.98-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-13.98&CDS=1-1113, augustus_masked-CP014503.1-processed-gene-14.15-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-14.15&CDS=1-1137, augustus_masked-CP014503.1-processed-gene-48.128-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-48.128&CDS=1-1149
68	OG0000068	YLR090W, YNL064C	augustus_masked-CP014500.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-0.72&CDS=1-1230, augustus_masked-CP014501.1-processed-gene-57.60-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-57.60&CDS=1-1290
69	OG0000069	YMR073C, YNL111C	augustus_masked-CP014503.1-processed-gene-34.22-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-34.22&CDS=1-390, maker-CP014503.1-augustus-gene-7.77-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-7.77&CDS=1-492
70	OG0000070	YMR119W, YNL008C	augustus_masked-CP014501.1-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-4.21&CDS=1-2172, genemark-CP014501.1-processed-gene-39.58-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-39.58&CDS=1-2517
71	OG0000071	YMR169C, YMR170C	augustus_masked-CP014501.1-processed-gene-56.102-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-56.102&CDS=1-1497, augustus_masked-CP014501.1-processed-gene-58.128-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-58.128&CDS=1-1488
72	OG0000072	YNL274C	augustus_masked-CP014500.1-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-7.60&CDS=1-996, augustus_masked-CP014501.1-processed-gene-26.76-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-26.76&CDS=1-1002, augustus_masked-CP014503.1-processed-gene-45.12-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-45.12&CDS=1-1005
73	OG0000073	YOL055C, YPL258C, YPR121W	maker-CP014501.1-augustus-gene-32.29-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-32.29&CDS=1-1572
74	OG0000074	YOL137W	augustus_masked-CP014501.1-processed-gene-12.36-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-12.36&CDS=1-1521, augustus_masked-CP014501.1-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-6.104&CDS=1-1404, augustus_masked-CP014503.1-processed-gene-32.87-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-32.87&CDS=1-1383
75	OG0000075	YOR126C	augustus_masked-CP014500.1-processed-gene-19.105-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-19.105&CDS=1-771, augustus_masked-CP014503.1-processed-gene-19.83-mRNA-1_1&gene=augustus_masked-CP014503.1-processed-gene-19.83&CDS=1-795, maker-CP014501.1-augustus-gene-29.45-mRNA-1_1&gene=maker-CP014501.1-augustus-gene-29.45&CDS=1-744
76	OG0000076	YOR389W, YPL277C, YPL278C	augustus_masked-CP014501.1-processed-gene-45.87-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-45.87&CDS=1-1911
77	OG0000077	YOR390W, YPL279C	augustus_masked-CP014500.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-CP014500.1-processed-gene-0.100&CDS=1-1161, augustus_masked-CP014501.1-processed-gene-33.18-mRNA-1_1&gene=augustus_masked-CP014501.1-processed-gene-33.18&CDS=1-1236
78	OG0000078	YPL113C	genemark-CP014501.1-processed-gene-3.92-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-3.92&CDS=1-1104, genemark-CP014501.1-processed-gene-6.30-mRNA-1_1&gene=genemark-CP014501.1-processed-gene-6.30&CDS=1-1128, maker-CP014503.1-augustus-gene-43.142-mRNA-1_1&gene=maker-CP014503.1-augustus-gene-43.142&CDS=1-1113
