	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034648_Candida_restingae
10	OG0000010	YBR067C, YDR542W, YER011W, YIL011W, YOR009W, YOR010C	augustus_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-0.12&CDS=1-522
11	OG0000011	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-1.101&CDS=1-993, snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_21_length_209931_cov_23.3478_ID_41-processed-gene-0.73&CDS=1-993, snap_masked-NODE_31_length_57386_cov_22.3926_ID_61-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_31_length_57386_cov_22.3926_ID_61-processed-gene-0.13&CDS=1-984
12	OG0000012	YJL034W, YLL024C	maker-NODE_14_length_538558_cov_20.8153_ID_27-snap-gene-1.111-mRNA-1_1&gene=maker-NODE_14_length_538558_cov_20.8153_ID_27-snap-gene-1.111&CDS=1-2823, snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.168-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-4.168&CDS=1-1956, snap_masked-NODE_28_length_117531_cov_21.0586_ID_55-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_28_length_117531_cov_21.0586_ID_55-processed-gene-0.141&CDS=1-1920, snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-5.87-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-5.87&CDS=1-1917, snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.119-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-2.119&CDS=1-2046
13	OG0000013	YJR004C	augustus_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_10_length_597822_cov_24.9532_ID_19-processed-gene-0.10&CDS=1-3354, augustus_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_17_length_347944_cov_21.2808_ID_33-processed-gene-0.21&CDS=1-2055, augustus_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.148&CDS=1-4275, genemark-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.135-mRNA-1_1&gene=genemark-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-10.135&CDS=1-3066, snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.81-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-2.81&CDS=1-2703, snap_masked-NODE_34_length_47638_cov_35.8433_ID_67-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_34_length_47638_cov_35.8433_ID_67-processed-gene-0.41&CDS=1-1278
14	OG0000014	YBR207W, YER145C	snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NODE_15_length_493248_cov_25.9769_ID_29-processed-gene-2.88&CDS=1-1164, snap_masked-NODE_33_length_48095_cov_21.1696_ID_65-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_33_length_48095_cov_21.1696_ID_65-processed-gene-0.9&CDS=1-1182, snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.122-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.122&CDS=1-1101, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.125-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-5.125&CDS=1-1140
15	OG0000015	YDR216W, YJR127C, YML081W	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-2.92&CDS=1-489, snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.95&CDS=1-3225, snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.65-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-3.65&CDS=1-3537
16	OG0000016	YHR050W, YLR034C, YOL122C	snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-8.21-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-8.21&CDS=1-1794, snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.124&CDS=1-1884, snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-3.49&CDS=1-1557
17	OG0000017	YIL123W, YJL116C, YKR042W, YNL066W	augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-6.120&CDS=1-1407, snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_23_length_171378_cov_22.7045_ID_45-processed-gene-0.130&CDS=1-1131
18	OG0000018	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.124-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.124&CDS=1-1869, snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NODE_16_length_359154_cov_26.9262_ID_31-processed-gene-1.3&CDS=1-3246
19	OG0000019	YPL088W	maker-NODE_5_length_815702_cov_21.7388_ID_9-snap-gene-6.46-mRNA-1_1&gene=maker-NODE_5_length_815702_cov_21.7388_ID_9-snap-gene-6.46&CDS=1-2067, snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-3.27&CDS=1-1038, snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_20_length_230954_cov_29.1452_ID_39-processed-gene-0.15&CDS=1-1038, snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.66-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-5.66&CDS=1-1038, snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-2.92&CDS=1-1038
20	OG0000020	YPR194C	maker-NODE_20_length_230954_cov_29.1452_ID_39-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_20_length_230954_cov_29.1452_ID_39-snap-gene-0.2&CDS=1-5430, maker-NODE_9_length_597890_cov_22.9962_ID_17-snap-gene-2.30-mRNA-1_1&gene=maker-NODE_9_length_597890_cov_22.9962_ID_17-snap-gene-2.30&CDS=1-5466, snap_masked-NODE_31_length_57386_cov_22.3926_ID_61-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_31_length_57386_cov_22.3926_ID_61-processed-gene-0.12&CDS=1-2733, snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.138-mRNA-1_1&gene=snap_masked-NODE_7_length_639868_cov_21.9189_ID_13-processed-gene-4.138&CDS=1-2754, snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NODE_9_length_597890_cov_22.9962_ID_17-processed-gene-1.23&CDS=1-2655
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.26&CDS=1-4716
22	OG0000022	YBL068W-A, YBL069W, YER101C, YMR152W	snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NODE_4_length_844464_cov_24.6742_ID_7-processed-gene-2.56&CDS=1-1959
23	OG0000023	YBL089W, YER119C, YIL088C	augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-9.97-mRNA-1_1&gene=augustus_masked-NODE_1_length_1198608_cov_23.6179_ID_1-processed-gene-9.97&CDS=1-1413, snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.110-mRNA-1_1&gene=snap_masked-NODE_13_length_550700_cov_25.1861_ID_25-processed-gene-4.110&CDS=1-1263
24	OG0000024	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_24_length_169180_cov_32.6027_ID_47-processed-gene-0.55&CDS=1-1797
25	OG0000025	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.91-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-9.91&CDS=1-1731
26	OG0000026	YCL024W, YDR507C, YKL101W	maker-NODE_10_length_597822_cov_24.9532_ID_19-snap-gene-4.92-mRNA-1_1&gene=maker-NODE_10_length_597822_cov_24.9532_ID_19-snap-gene-4.92&CDS=1-4659, snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_2_length_1144711_cov_23.956_ID_3-processed-gene-2.75&CDS=1-4377
27	OG0000027	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-0.94&CDS=1-1824
28	OG0000028	YCR037C, YJL198W, YNR013C	snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.102-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.102&CDS=1-2823, snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.112-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-7.112&CDS=1-2382
29	OG0000029	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-NODE_30_length_62318_cov_22.1072_ID_59-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_30_length_62318_cov_22.1072_ID_59-processed-gene-0.25&CDS=1-1014
30	OG0000030	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.71-mRNA-1_1&gene=snap_masked-NODE_8_length_627978_cov_22.2355_ID_15-processed-gene-4.71&CDS=1-708
31	OG0000031	YGR087C, YLR044C, YLR134W	snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NODE_5_length_815702_cov_21.7388_ID_9-processed-gene-3.2&CDS=1-1722, snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_6_length_681199_cov_20.8158_ID_11-processed-gene-2.36&CDS=1-1788
32	OG0000032	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.105-mRNA-1_1&gene=snap_masked-NODE_3_length_909521_cov_21.0721_ID_5-processed-gene-8.105&CDS=1-1728
33	OG0000033	YHL007C, YNL298W, YOL113W	snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_11_length_576536_cov_25.4156_ID_21-processed-gene-0.60&CDS=1-2715, snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.83-mRNA-1_1&gene=snap_masked-NODE_12_length_557510_cov_24.799_ID_23-processed-gene-4.83&CDS=1-3780
