	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035044_Barnettozyma_californica
37	OG0000037	YIL166C	augustus_masked-flattened_line_22-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.41&CDS=1-1710, genemark-flattened_line_10-processed-gene-2.61-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.61&CDS=1-1692, genemark-flattened_line_10-processed-gene-2.91-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.91&CDS=1-1647, genemark-flattened_line_92-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.13&CDS=1-1680
38	OG0000038	YKL220C, YNR060W, YOR381W	genemark-flattened_line_24-processed-gene-2.162-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.162&CDS=1-2097, genemark-flattened_line_8-processed-gene-2.85-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.85&CDS=1-2031
39	OG0000039	YKL222C, YLR266C, YOR162C, YOR172W	genemark-flattened_line_22-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.60&CDS=1-2664
40	OG0000040	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_108-snap-gene-0.9-mRNA-1_1&gene=maker-flattened_line_108-snap-gene-0.9&CDS=1-309
41	OG0000041	YAL054C, YLR153C	genemark-flattened_line_28-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.30&CDS=1-2049, genemark-flattened_line_40-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.95&CDS=1-1932
42	OG0000042	YBL002W, YDR224C	genemark-flattened_line_28-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.125&CDS=1-399, genemark-flattened_line_30-processed-gene-1.305-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.305&CDS=1-399
43	OG0000043	YBL011W, YKR067W	genemark-flattened_line_4-processed-gene-4.117-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.117&CDS=1-2112, genemark-flattened_line_6-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.44&CDS=1-2067
44	OG0000044	YBL016W, YGR040W	genemark-flattened_line_26-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.53&CDS=1-1056, genemark-flattened_line_6-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.58&CDS=1-1074
45	OG0000045	YBR008C	genemark-flattened_line_42-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.62&CDS=1-1587, maker-flattened_line_44-snap-gene-0.159-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.159&CDS=1-933, snap_masked-flattened_line_30-processed-gene-1.27-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.27&CDS=1-1587
46	OG0000046	YBR009C, YNL030W	genemark-flattened_line_2-processed-gene-5.28-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.28&CDS=1-309, genemark-flattened_line_80-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.63&CDS=1-309
47	OG0000047	YBR010W, YNL031C	genemark-flattened_line_2-processed-gene-5.59-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.59&CDS=1-408, genemark-flattened_line_80-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.51&CDS=1-408
48	OG0000048	YBR021W, YIR028W	genemark-flattened_line_4-processed-gene-7.115-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.115&CDS=1-1770, genemark-flattened_line_4-processed-gene-7.155-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.155&CDS=1-1767
49	OG0000049	YBR082C, YGR133W	genemark-flattened_line_10-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.43&CDS=1-441, genemark-flattened_line_2-processed-gene-8.119-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.119&CDS=1-468
50	OG0000050	YBR139W, YMR297W	genemark-flattened_line_20-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.69&CDS=1-1623, genemark-flattened_line_56-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.130&CDS=1-1542
51	OG0000051	YBR181C, YPL090C	genemark-flattened_line_2-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.43&CDS=1-708, genemark-flattened_line_6-processed-gene-4.246-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.246&CDS=1-708
52	OG0000052	YBR297W, YFL052W, YGR288W, YPR196W	
53	OG0000053	YCL037C, YDR515W	genemark-flattened_line_30-processed-gene-1.262-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.262&CDS=1-1446, genemark-flattened_line_64-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.92&CDS=1-1377
54	OG0000054	YCL067C, YCR039C, YCR096C	maker-flattened_line_8-augustus-gene-1.82-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-1.82&CDS=1-636
55	OG0000055	YCR010C, YNR002C	genemark-flattened_line_20-processed-gene-2.131-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.131&CDS=1-864, genemark-flattened_line_30-processed-gene-1.282-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.282&CDS=1-801
56	OG0000056	YCR037C, YJL198W	genemark-flattened_line_0-processed-gene-4.44-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.44&CDS=1-2619, genemark-flattened_line_22-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.49&CDS=1-2397
57	OG0000057	YCR094W, YNL323W, YNR048W	snap_masked-flattened_line_14-processed-gene-2.38-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.38&CDS=1-4257
58	OG0000058	YDL022W, YOL059W	genemark-flattened_line_20-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.55&CDS=1-1146, maker-flattened_line_18-augustus-gene-3.149-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-3.149&CDS=1-1578
59	OG0000059	YDL037C, YIR019C	genemark-flattened_line_32-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.19&CDS=1-3063, genemark-flattened_line_70-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.21&CDS=1-1761
60	OG0000060	YDL049C	genemark-flattened_line_22-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.72&CDS=1-834, genemark-flattened_line_60-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.13&CDS=1-837, genemark-flattened_line_84-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.7&CDS=1-462
61	OG0000061	YDL082W, YMR142C	genemark-flattened_line_18-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.119&CDS=1-597, genemark-flattened_line_58-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.36&CDS=1-597
62	OG0000062	YDL113C, YDR425W	genemark-flattened_line_0-processed-gene-4.75-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.75&CDS=1-1602, genemark-flattened_line_46-processed-gene-0.170-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.170&CDS=1-1683
63	OG0000063	YDL174C	genemark-flattened_line_12-processed-gene-4.13-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.13&CDS=1-1668, genemark-flattened_line_18-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.111&CDS=1-1686, genemark-flattened_line_66-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.67&CDS=1-1692
64	OG0000064	YDR002W, YLR335W	genemark-flattened_line_16-processed-gene-2.79-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.79&CDS=1-615, genemark-flattened_line_2-processed-gene-8.75-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.75&CDS=1-2064
65	OG0000065	YDR135C, YLL015W	genemark-flattened_line_16-processed-gene-3.74-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.74&CDS=1-4620, genemark-flattened_line_8-processed-gene-3.102-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.102&CDS=1-4341
66	OG0000066	YDR178W, YLR164W	augustus_masked-flattened_line_8-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.114&CDS=1-528, genemark-flattened_line_14-processed-gene-2.77-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.77&CDS=1-522
