	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034963_Hanseniaspora_clermontiae
10	OG0000010	YHR137W	augustus_masked-flattened_line_223-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_223-processed-gene-0.16&CDS=1-1074, augustus_masked-flattened_line_404-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_404-processed-gene-0.2&CDS=1-1074, augustus_masked-flattened_line_644-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_644-processed-gene-0.2&CDS=1-669, maker-flattened_line_270-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_270-snap-gene-0.4&CDS=1-2019, maker-flattened_line_272-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_272-snap-gene-0.10&CDS=1-2019
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_2-snap-gene-1.285-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-1.285&CDS=1-4842
12	OG0000012	YBR015C	augustus_masked-flattened_line_72-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.21&CDS=1-4602, augustus_masked-flattened_line_94-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.51&CDS=1-1737, genemark-flattened_line_86-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.64&CDS=1-1830, maker-flattened_line_94-augustus-gene-0.31-mRNA-1_1&gene=maker-flattened_line_94-augustus-gene-0.31&CDS=1-3447
13	OG0000013	YCL024W, YDR507C, YKL101W	genemark-flattened_line_14-processed-gene-1.104-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.104&CDS=1-3792, maker-flattened_line_10-snap-gene-1.77-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.77&CDS=1-3555
14	OG0000014	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_160-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.28&CDS=1-1953
15	OG0000015	YCR098C, YML010W	augustus_masked-flattened_line_174-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_174-processed-gene-0.14&CDS=1-1992, genemark-flattened_line_54-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.96&CDS=1-1758, maker-flattened_line_90-snap-gene-0.52-mRNA-1_1&gene=maker-flattened_line_90-snap-gene-0.52&CDS=1-6273
16	OG0000016	YER001W, YGL257C, YIL014W, YNR059W	genemark-flattened_line_118-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_118-processed-gene-0.5&CDS=1-2379
17	OG0000017	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-flattened_line_16-processed-gene-1.122-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.122&CDS=1-747
18	OG0000018	YGR281W	augustus_masked-flattened_line_237-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_237-processed-gene-0.0&CDS=1-4140, augustus_masked-flattened_line_237-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_237-processed-gene-0.1&CDS=1-4143, genemark-flattened_line_38-processed-gene-0.132-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.132&CDS=1-4401, snap_masked-flattened_line_122-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.63&CDS=1-4209
19	OG0000019	YJL042W, YOR227W, YPL137C	genemark-flattened_line_46-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.68&CDS=1-1899, genemark-flattened_line_84-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.52&CDS=1-2730
20	OG0000020	YJL158C, YKL164C	genemark-flattened_line_338-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_338-processed-gene-0.2&CDS=1-1005, genemark-flattened_line_62-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.46&CDS=1-972, genemark-flattened_line_80-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.5&CDS=1-597
21	OG0000021	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-flattened_line_18-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.63&CDS=1-2742
22	OG0000022	YML111W, YMR275C, YNR068C, YNR069C	maker-flattened_line_26-snap-gene-0.116-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.116&CDS=1-5499
23	OG0000023	YMR169C, YMR170C	genemark-flattened_line_24-processed-gene-0.129-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.129&CDS=1-1977, genemark-flattened_line_42-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.112&CDS=1-1530, genemark-flattened_line_42-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.78&CDS=1-1515
24	OG0000024	YMR303C, YOL086C	augustus_masked-flattened_line_16-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.26&CDS=1-822, augustus_masked-flattened_line_550-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_550-processed-gene-0.0&CDS=1-822, genemark-flattened_line_16-processed-gene-1.114-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.114&CDS=1-1083
25	OG0000025	YPR194C	augustus_masked-flattened_line_246-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_246-processed-gene-0.2&CDS=1-2511, augustus_masked-flattened_line_310-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_310-processed-gene-0.2&CDS=1-1887, augustus_masked-flattened_line_44-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.32&CDS=1-1845, snap_masked-flattened_line_310-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_310-processed-gene-0.5&CDS=1-990
26	OG0000026	YAL005C, YJL034W	genemark-flattened_line_140-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.22&CDS=1-2040, genemark-flattened_line_2-processed-gene-1.145-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.145&CDS=1-1926
27	OG0000027	YAL030W, YOR327C	genemark-flattened_line_588-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_588-processed-gene-0.2&CDS=1-414, genemark-flattened_line_620-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_620-processed-gene-0.2&CDS=1-405
28	OG0000028	YAL051W, YOR363C	genemark-flattened_line_24-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.102&CDS=1-3132, snap_masked-flattened_line_24-processed-gene-0.168-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.168&CDS=1-2142
29	OG0000029	YAR019C, YPL209C	genemark-flattened_line_6-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.122&CDS=1-855, snap_masked-flattened_line_150-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_150-processed-gene-0.10&CDS=1-3222
30	OG0000030	YBL068W-A, YBL069W, YER101C	genemark-flattened_line_22-processed-gene-0.210-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.210&CDS=1-1236
31	OG0000031	YBR078W, YDR055W, YDR522C	genemark-flattened_line_36-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.159&CDS=1-1266
32	OG0000032	YBR095C	augustus_masked-flattened_line_730-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_730-processed-gene-0.0&CDS=1-384, augustus_masked-flattened_line_732-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_732-processed-gene-0.2&CDS=1-384, snap_masked-flattened_line_64-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.37&CDS=1-1845
33	OG0000033	YBR139W, YMR297W	genemark-flattened_line_4-processed-gene-1.143-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.143&CDS=1-1701, genemark-flattened_line_52-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.128&CDS=1-1479
34	OG0000034	YBR245C, YOR304W	genemark-flattened_line_20-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.26&CDS=1-3426, genemark-flattened_line_6-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.89&CDS=1-3258
35	OG0000035	YBR263W, YLR058C	genemark-flattened_line_70-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.65&CDS=1-1494, genemark-flattened_line_80-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.20&CDS=1-1455
36	OG0000036	YBR267W, YLR387C	genemark-flattened_line_4-processed-gene-1.96-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.96&CDS=1-1254, genemark-flattened_line_70-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.44&CDS=1-1290
37	OG0000037	YCL026C-A, YCL026C-B	genemark-flattened_line_14-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.101&CDS=1-759, genemark-flattened_line_14-processed-gene-1.102-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.102&CDS=1-585
38	OG0000038	YCR069W	augustus_masked-flattened_line_1108-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1108-processed-gene-0.2&CDS=1-225, augustus_masked-flattened_line_1110-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1110-processed-gene-0.0&CDS=1-225, snap_masked-flattened_line_0-processed-gene-2.57-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.57&CDS=1-999
39	OG0000039	YCR102C, YLR460C, YNL134C	genemark-flattened_line_50-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.85&CDS=1-1176
40	OG0000040	YDL126C, YNL329C	maker-flattened_line_136-augustus-gene-0.45-mRNA-1_1&gene=maker-flattened_line_136-augustus-gene-0.45&CDS=1-2910, snap_masked-flattened_line_68-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.45&CDS=1-2250
41	OG0000041	YDL210W	genemark-flattened_line_10-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.48&CDS=1-1737, genemark-flattened_line_308-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_308-processed-gene-0.3&CDS=1-1770, genemark-flattened_line_70-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.53&CDS=1-1734
42	OG0000042	YDR134C, YLR110C	genemark-flattened_line_12-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.101&CDS=1-348, genemark-flattened_line_12-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.61&CDS=1-372
43	OG0000043	YDR330W	augustus_masked-flattened_line_314-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_314-processed-gene-0.6&CDS=1-396, augustus_masked-flattened_line_442-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_442-processed-gene-0.2&CDS=1-1167, augustus_masked-flattened_line_444-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_444-processed-gene-0.0&CDS=1-1167
44	OG0000044	YEL029C, YNR027W	augustus_masked-flattened_line_98-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.43&CDS=1-984, genemark-flattened_line_20-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.38&CDS=1-981
45	OG0000045	YER017C, YMR089C	genemark-flattened_line_94-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.0&CDS=1-2223, snap_masked-flattened_line_122-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.69&CDS=1-2766
46	OG0000046	YER056C, YER060W, YER060W-A	genemark-flattened_line_40-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.84&CDS=1-1566
47	OG0000047	YER127W	augustus_masked-flattened_line_190-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.30&CDS=1-441, augustus_masked-flattened_line_374-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_374-processed-gene-0.1&CDS=1-900, augustus_masked-flattened_line_552-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_552-processed-gene-0.0&CDS=1-900
48	OG0000048	YER133W, YML016C	genemark-flattened_line_0-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.100&CDS=1-2535, genemark-flattened_line_8-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.67&CDS=1-1062
49	OG0000049	YER172C, YGR271W	genemark-flattened_line_2-processed-gene-1.149-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.149&CDS=1-5988, genemark-flattened_line_4-processed-gene-1.121-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.121&CDS=1-5643
50	OG0000050	YFL016C, YPR061C	genemark-flattened_line_199-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_199-processed-gene-0.23&CDS=1-1452, snap_masked-flattened_line_0-processed-gene-1.102-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.102&CDS=1-1032
51	OG0000051	YFL049W, YMR091C	genemark-flattened_line_122-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.44&CDS=1-1401, snap_masked-flattened_line_6-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.57&CDS=1-1530
52	OG0000052	YGL019W, YOR039W	genemark-flattened_line_74-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.52&CDS=1-1338, genemark-flattened_line_92-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.37&CDS=1-978
53	OG0000053	YGL147C, YNL067W	genemark-flattened_line_158-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_158-processed-gene-0.8&CDS=1-573, genemark-flattened_line_42-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.104&CDS=1-573
54	OG0000054	YGL172W	augustus_masked-flattened_line_152-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.34&CDS=1-345, augustus_masked-flattened_line_229-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_229-processed-gene-0.14&CDS=1-1536, augustus_masked-flattened_line_492-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_492-processed-gene-0.0&CDS=1-1350
55	OG0000055	YGL213C	augustus_masked-flattened_line_1134-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1134-processed-gene-0.1&CDS=1-174, augustus_masked-flattened_line_1138-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1138-processed-gene-0.1&CDS=1-174, snap_masked-flattened_line_0-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.17&CDS=1-1263
56	OG0000056	YGR059W, YHR107C	genemark-flattened_line_34-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.106&CDS=1-1227, genemark-flattened_line_56-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.97&CDS=1-2265
57	OG0000057	YGR240C, YMR205C	genemark-flattened_line_108-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_108-processed-gene-0.39&CDS=1-2361, snap_masked-flattened_line_4-processed-gene-1.227-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.227&CDS=1-3075
58	OG0000058	YHL019C, YPL259C	augustus_masked-flattened_line_10-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.104&CDS=1-2655, augustus_masked-flattened_line_16-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.28&CDS=1-1476
59	OG0000059	YHR023W, YOR326W	augustus_masked-flattened_line_116-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.39&CDS=1-4902, genemark-flattened_line_140-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.39&CDS=1-5712
