	OrthologID	Saccharomyces_cerevisiae	Saccharomycopsis_malanga
10	OG0000010	YMR008C, YNL012W	-processed-gene-13.78-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-13.78&CDS=1-1860, -processed-gene-4.7-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-4.7&CDS=1-1722, -processed-gene-7.132-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-7.132&CDS=1-1719, -processed-gene-7.147-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-7.147&CDS=1-1698, -processed-gene-8.74-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-8.74&CDS=1-1902, -snap-gene-0.100-mRNA-1_1&gene=maker-gi|1002316405|dbj|BCGJ01000013.1|-snap-gene-0.100&CDS=1-2364
11	OG0000011	YAL005C, YER103W, YJL034W	-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-11.74&CDS=1-2025, -processed-gene-2.11-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-2.11&CDS=1-1956, -processed-gene-3.34-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-3.34&CDS=1-1953, -processed-gene-7.47-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-7.47&CDS=1-1935
12	OG0000012	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	-processed-gene-0.45-mRNA-1_1&gene=genemark-gi|1002316402|dbj|BCGJ01000016.1|-processed-gene-0.45&CDS=1-2553
13	OG0000013	YAR019C, YDR523C, YHR102W	-processed-gene-0.47-mRNA-1_1&gene=genemark-gi|1002316403|dbj|BCGJ01000015.1|-processed-gene-0.47&CDS=1-1404, -processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-1.87&CDS=1-1332, -processed-gene-2.53-mRNA-1_1&gene=genemark-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-2.53&CDS=1-1956, -processed-gene-7.54-mRNA-1_1&gene=genemark-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-7.54&CDS=1-2655
14	OG0000014	YBR010W, YNL031C	-processed-gene-11.29-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-11.29&CDS=1-408, -processed-gene-18.79-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-18.79&CDS=1-408, -processed-gene-3.172-mRNA-1_1&gene=genemark-gi|1002316407|dbj|BCGJ01000011.1|-processed-gene-3.172&CDS=1-408, -processed-gene-4.13-mRNA-1_1&gene=genemark-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-4.13&CDS=1-408, -processed-gene-7.31-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-7.31&CDS=1-408
15	OG0000015	YCL025C, YDR508C, YKR039W	-processed-gene-1.49-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-1.49&CDS=1-1743, -processed-gene-11.9-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-11.9&CDS=1-1743, -processed-gene-14.106-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-14.106&CDS=1-1704, -processed-gene-14.79-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-14.79&CDS=1-1701
16	OG0000016	YER130C, YKL062W	-processed-gene-10.71-mRNA-1_1&gene=genemark-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-10.71&CDS=1-3186, -processed-gene-30.91-mRNA-1_1&gene=snap_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-30.91&CDS=1-402, -processed-gene-30.92-mRNA-1_1&gene=snap_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-30.92&CDS=1-231, -processed-gene-30.93-mRNA-1_1&gene=snap_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-30.93&CDS=1-363, -processed-gene-5.70-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-5.70&CDS=1-1857
17	OG0000017	YGR058W	-augustus-gene-22.38-mRNA-1_1&gene=maker-gi|1002316417|dbj|BCGJ01000001.1|-augustus-gene-22.38&CDS=1-834, -processed-gene-2.15-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-2.15&CDS=1-1899, -processed-gene-22.17-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-22.17&CDS=1-798, -processed-gene-26.81-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-26.81&CDS=1-1107, -processed-gene-7.141-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-7.141&CDS=1-1134, -processed-gene-8.52-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-8.52&CDS=1-711
18	OG0000018	YKL222C, YLR266C, YOR162C, YOR172W	-processed-gene-15.63-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-15.63&CDS=1-3054, -processed-gene-6.81-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-6.81&CDS=1-2241, -processed-gene-7.151-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-7.151&CDS=1-2172
19	OG0000019	YBR009C, YNL030W	-processed-gene-11.14-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-11.14&CDS=1-309, -processed-gene-18.53-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-18.53&CDS=1-309, -processed-gene-3.171-mRNA-1_1&gene=genemark-gi|1002316407|dbj|BCGJ01000011.1|-processed-gene-3.171&CDS=1-309, -processed-gene-7.16-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-7.16&CDS=1-309
20	OG0000020	YBR072W	-processed-gene-10.117-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-10.117&CDS=1-591, -processed-gene-24.21-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-24.21&CDS=1-465, -processed-gene-3.20-mRNA-1_1&gene=augustus_masked-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-3.20&CDS=1-564, -processed-gene-6.115-mRNA-1_1&gene=genemark-gi|1002316409|dbj|BCGJ01000009.1|-processed-gene-6.115&CDS=1-582, -processed-gene-7.50-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-7.50&CDS=1-468
21	OG0000021	YBR140C, YOL081W	-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-2.72&CDS=1-8289, -processed-gene-27.46-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-27.46&CDS=1-8145, -processed-gene-28.18-mRNA-1_1&gene=snap_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-28.18&CDS=1-8085, -processed-gene-29.0-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-29.0&CDS=1-8436
22	OG0000022	YDL025C, YNL183C, YOR267C	-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-11.97&CDS=1-2601, -processed-gene-14.64-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-14.64&CDS=1-2481, -processed-gene-19.32-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-19.32&CDS=1-2115
23	OG0000023	YDL138W, YDL194W	-processed-gene-16.79-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-16.79&CDS=1-1587, -processed-gene-16.80-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-16.80&CDS=1-1575, -processed-gene-3.41-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-3.41&CDS=1-2541, -processed-gene-4.59-mRNA-1_1&gene=genemark-gi|1002316413|dbj|BCGJ01000005.1|-processed-gene-4.59&CDS=1-1590
24	OG0000024	YDR380W, YGR087C, YLR044C, YLR134W	-processed-gene-11.39-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-11.39&CDS=1-1779, -processed-gene-7.68-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-7.68&CDS=1-1734
25	OG0000025	YER015W	-processed-gene-10.4-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-10.4&CDS=1-2157, -processed-gene-3.23-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-3.23&CDS=1-2583, -processed-gene-4.31-mRNA-1_1&gene=augustus_masked-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-4.31&CDS=1-2301, -processed-gene-6.25-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-6.25&CDS=1-2142, -processed-gene-7.41-mRNA-1_1&gene=snap_masked-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-7.41&CDS=1-2247
26	OG0000026	YGL216W, YKL079W	-processed-gene-0.18-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-0.18&CDS=1-1875, -processed-gene-2.45-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-2.45&CDS=1-2622, -processed-gene-3.20-mRNA-1_1&gene=augustus_masked-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-3.20&CDS=1-2649, -processed-gene-6.114-mRNA-1_1&gene=snap_masked-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-6.114&CDS=1-2886
27	OG0000027	YGR197C, YJR015W	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-0.21&CDS=1-2049, -processed-gene-0.41-mRNA-1_1&gene=genemark-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-0.41&CDS=1-1689, -processed-gene-0.43-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-0.43&CDS=1-1605, -processed-gene-5.45-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-5.45&CDS=1-1380
28	OG0000028	YHL028W, YOR008C	-processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-0.9&CDS=1-1383, -processed-gene-14.69-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-14.69&CDS=1-1200, -processed-gene-6.101-mRNA-1_1&gene=genemark-gi|1002316409|dbj|BCGJ01000009.1|-processed-gene-6.101&CDS=1-1464, -processed-gene-6.21-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-6.21&CDS=1-987
29	OG0000029	YHR050W, YLR034C, YOL122C	-processed-gene-1.88-mRNA-1_1&gene=genemark-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-1.88&CDS=1-1590, -processed-gene-11.68-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-11.68&CDS=1-1659, -processed-gene-19.5-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-19.5&CDS=1-1500
30	OG0000030	YJR061W, YKL201C	-processed-gene-0.56-mRNA-1_1&gene=genemark-gi|1002316416|dbj|BCGJ01000002.1|-processed-gene-0.56&CDS=1-3126, -processed-gene-0.91-mRNA-1_1&gene=augustus_masked-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-0.91&CDS=1-3270, -processed-gene-4.88-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-4.88&CDS=1-2085, -processed-gene-6.9-mRNA-1_1&gene=augustus_masked-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-6.9&CDS=1-2025
31	OG0000031	YOR374W	-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-gi|1002316412|dbj|BCGJ01000006.1|-processed-gene-1.68&CDS=1-1578, -processed-gene-13.61-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-13.61&CDS=1-1491, -processed-gene-15.9-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-15.9&CDS=1-1581, -processed-gene-17.72-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-17.72&CDS=1-1566, -processed-gene-8.64-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-8.64&CDS=1-1494
32	OG0000032	YAL007C, YDL018C, YOR016C	-processed-gene-0.59-mRNA-1_1&gene=genemark-gi|1002316408|dbj|BCGJ01000010.1|-processed-gene-0.59&CDS=1-654, -processed-gene-15.64-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-15.64&CDS=1-645
33	OG0000033	YAL056W, YOR371C	-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-0.54&CDS=1-2568, -processed-gene-0.65-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-0.65&CDS=1-2484, -processed-gene-0.69-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-0.69&CDS=1-2364
34	OG0000034	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
35	OG0000035	YBL002W, YDR224C	-processed-gene-0.46-mRNA-1_1&gene=genemark-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-0.46&CDS=1-393, -processed-gene-1.83-mRNA-1_1&gene=genemark-gi|1002316404|dbj|BCGJ01000014.1|-processed-gene-1.83&CDS=1-393, -processed-gene-14.67-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-14.67&CDS=1-393
36	OG0000036	YBL003C, YDR225W	-processed-gene-0.64-mRNA-1_1&gene=genemark-gi|1002316406|dbj|BCGJ01000012.1|-processed-gene-0.64&CDS=1-393, -processed-gene-1.115-mRNA-1_1&gene=genemark-gi|1002316404|dbj|BCGJ01000014.1|-processed-gene-1.115&CDS=1-393, -processed-gene-14.51-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-14.51&CDS=1-393
37	OG0000037	YBL017C, YIL173W, YJL222W, YNR065C	-processed-gene-28.28-mRNA-1_1&gene=snap_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-28.28&CDS=1-4455
38	OG0000038	YBL068W, YER099C, YHL011C	-processed-gene-20.62-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-20.62&CDS=1-960, -processed-gene-25.17-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-25.17&CDS=1-975
39	OG0000039	YBR038W, YNL192W	-processed-gene-1.33-mRNA-1_1&gene=genemark-gi|1002316407|dbj|BCGJ01000011.1|-processed-gene-1.33&CDS=1-3225, -processed-gene-10.66-mRNA-1_1&gene=genemark-gi|1002316411|dbj|BCGJ01000007.1|-processed-gene-10.66&CDS=1-3039, -snap-gene-14.38-mRNA-1_1&gene=maker-gi|1002316416|dbj|BCGJ01000002.1|-snap-gene-14.38&CDS=1-6057
40	OG0000040	YBR160W, YPR161C	-processed-gene-14.82-mRNA-1_1&gene=genemark-gi|1002316414|dbj|BCGJ01000004.1|-processed-gene-14.82&CDS=1-2373, -processed-gene-16.100-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-16.100&CDS=1-2415, -processed-gene-18.44-mRNA-1_1&gene=augustus_masked-gi|1002316417|dbj|BCGJ01000001.1|-processed-gene-18.44&CDS=1-948
41	OG0000041	YBR298C, YDL247W, YGR289C, YJR160C	-processed-gene-6.54-mRNA-1_1&gene=genemark-gi|1002316415|dbj|BCGJ01000003.1|-processed-gene-6.54&CDS=1-1674
42	OG0000042	YCR037C, YJL198W, YNR013C	-processed-gene-14.0-mRNA-1_1&gene=genemark-gi|1002316413|dbj|BCGJ01000005.1|-processed-gene-14.0&CDS=1-2325, -processed-gene-6.42-mRNA-1_1&gene=genemark-gi|1002316410|dbj|BCGJ01000008.1|-processed-gene-6.42&CDS=1-2727
