	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035296_Priceomyces_carsonii
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.14&CDS=1-7743, augustus_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.8&CDS=1-4395, genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-0.80&CDS=1-2265
11	OG0000011	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.36&CDS=1-2187, augustus_masked-NODE_34_length_8620_cov_39.9273_ID_3603-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_34_length_8620_cov_39.9273_ID_3603-processed-gene-0.2&CDS=1-2148, genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.74-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.74&CDS=1-1773, snap_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.47&CDS=1-1866
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-0.65&CDS=1-1383, genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.4-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.4&CDS=1-1368
13	OG0000013	YBR132C	genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-0.27&CDS=1-1776, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.74-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.74&CDS=1-1668, genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-0.127-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-0.127&CDS=1-1788, genemark-NODE_17_length_305363_cov_27.5072_ID_2741-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_17_length_305363_cov_27.5072_ID_2741-processed-gene-0.42&CDS=1-1665, genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.159-mRNA-1_1&gene=genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.159&CDS=1-1638, genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.75&CDS=1-1713
14	OG0000014	YCL069W, YGR224W, YKR105C	augustus_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-0.33&CDS=1-1758, genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.92-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.92&CDS=1-1677, genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.99&CDS=1-1815, genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.69-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.69&CDS=1-1677
15	OG0000015	YDR338C, YNL288W	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.79-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.79&CDS=1-1434, genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.82-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-2.82&CDS=1-1455, genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-13.76-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-13.76&CDS=1-1827, genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.133-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.133&CDS=1-1419, maker-NODE_19_length_288652_cov_20.3611_ID_1693-augustus-gene-1.9-mRNA-1_1&gene=maker-NODE_19_length_288652_cov_20.3611_ID_1693-augustus-gene-1.9&CDS=1-2697
16	OG0000016	YDR541C, YOL151W	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.71&CDS=1-1005, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.27-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.27&CDS=1-1011, genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.257-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.257&CDS=1-999, genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.259-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.259&CDS=1-1017, genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-2.67-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-2.67&CDS=1-1008
17	OG0000017	YER073W, YMR169C, YMR170C, YOR374W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.80-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.80&CDS=1-1503, genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.37&CDS=1-1587, maker-NODE_1_length_1816623_cov_20.064_ID_2006-augustus-gene-17.12-mRNA-1_1&gene=maker-NODE_1_length_1816623_cov_20.064_ID_2006-augustus-gene-17.12&CDS=1-1947
18	OG0000018	YOR348C	augustus_masked-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.254-mRNA-1_1&gene=augustus_masked-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.254&CDS=1-1683, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-0.46&CDS=1-1644, genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.65-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-1.65&CDS=1-1680, genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.223-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.223&CDS=1-1725, genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.188-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.188&CDS=1-1641, maker-NODE_12_length_394886_cov_22.9142_ID_2055-augustus-gene-1.136-mRNA-1_1&gene=maker-NODE_12_length_394886_cov_22.9142_ID_2055-augustus-gene-1.136&CDS=1-2784
19	OG0000019	YBR030W, YHL039W, YPL208W	augustus_masked-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.29&CDS=1-1785, genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.179-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.179&CDS=1-1776, genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-0.86&CDS=1-1845
20	OG0000020	YBR150C, YOL089C	genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.64-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.64&CDS=1-2595, maker-NODE_12_length_394886_cov_22.9142_ID_2055-augustus-gene-0.123-mRNA-1_1&gene=maker-NODE_12_length_394886_cov_22.9142_ID_2055-augustus-gene-0.123&CDS=1-2094, snap_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.23&CDS=1-2124, snap_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-3.25&CDS=1-2475
21	OG0000021	YBR189W, YBR191W, YPL079W, YPL081W	genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-1.110-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-1.110&CDS=1-480, maker-NODE_15_length_360542_cov_26.2381_ID_2597-augustus-gene-1.175-mRNA-1_1&gene=maker-NODE_15_length_360542_cov_26.2381_ID_2597-augustus-gene-1.175&CDS=1-1038
22	OG0000022	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.98&CDS=1-1254, snap_masked-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.34-mRNA-1_1&gene=snap_masked-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.34&CDS=1-1881
