	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_eubayanus
10	OG0000010	YAL064C-A, YAR061W, YHR212W-A, YHR213W	augustus_masked-chrXI-processed-gene-5.167-mRNA-1_1&gene=augustus_masked-chrXI-processed-gene-5.167&CDS=1-960, genemark-chrI-processed-gene-0.90-mRNA-1_1&gene=genemark-chrI-processed-gene-0.90&CDS=1-573, genemark-chrI-processed-gene-0.91-mRNA-1_1&gene=genemark-chrI-processed-gene-0.91&CDS=1-978
11	OG0000011	YAR066W, YHR214W, YIL169C, YOL155C	augustus_masked-chrIII-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-chrIII-processed-gene-2.66&CDS=1-2178, augustus_masked-chrX-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-chrX-processed-gene-0.51&CDS=1-1878, maker-chrIV-snap-gene-8.93-mRNA-1_1&gene=maker-chrIV-snap-gene-8.93&CDS=1-2577
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-chrIV-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-4.61&CDS=1-1398, augustus_masked-chrVIII-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-0.67&CDS=1-1401
13	OG0000013	YBL017C, YIL173W, YJL222W, YNR065C, YNR066C	maker-scaffold_21-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_21-snap-gene-0.2&CDS=1-2643, maker-scaffold_23-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_23-snap-gene-0.1&CDS=1-2142
14	OG0000014	YBR298C, YDL247W, YJR160C	augustus_masked-chrII-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-0.38&CDS=1-1839, augustus_masked-chrV-processed-gene-4.247-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-4.247&CDS=1-1839, augustus_masked-chrXIII-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-0.23&CDS=1-1842, augustus_masked-chrXVI-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-0.93&CDS=1-1206
15	OG0000015	YDR011W, YNR070W, YPL058C	augustus_masked-chrIV-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-4.77&CDS=1-4482, augustus_masked-chrXVI-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-4.87&CDS=1-4539, maker-chrV-snap-gene-0.68-mRNA-1_1&gene=maker-chrV-snap-gene-0.68&CDS=1-3102, snap_masked-chrVII-processed-gene-0.107-mRNA-1_1&gene=snap_masked-chrVII-processed-gene-0.107&CDS=1-4278
16	OG0000016	YFL011W, YMR011W	augustus_masked-chrV-processed-gene-4.248-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-4.248&CDS=1-1716, augustus_masked-chrVI-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-chrVI-processed-gene-1.67&CDS=1-1623, augustus_masked-chrXIII-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-3.59&CDS=1-1623, augustus_masked-scaffold_28-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_28-processed-gene-0.2&CDS=1-1398, snap_masked-chrIX-processed-gene-3.105-mRNA-1_1&gene=snap_masked-chrIX-processed-gene-3.105&CDS=1-1623
17	OG0000017	YCR102C, YLR460C, YNL134C	augustus_masked-chrVII-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-chrVII-processed-gene-0.45&CDS=1-1128, augustus_masked-chrXIV-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-chrXIV-processed-gene-3.88&CDS=1-1128, genemark-chrVIII-processed-gene-0.33-mRNA-1_1&gene=genemark-chrVIII-processed-gene-0.33&CDS=1-1170
18	OG0000018	YDL066W, YLR173W, YNL009W	augustus_masked-chrIV-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-3.10&CDS=1-1287, augustus_masked-chrXII-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-4.114&CDS=1-3021, augustus_masked-chrXIV-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-chrXIV-processed-gene-6.88&CDS=1-1251
19	OG0000019	YDR406W, YOR153W, YOR328W	augustus_masked-chrII-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-10.79&CDS=1-4584, augustus_masked-chrVIII-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-4.0&CDS=1-4533, augustus_masked-chrVIII-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-7.54&CDS=1-4689
20	OG0000020	YGR032W, YLR342W, YMR306W	snap_masked-chrVII-processed-gene-5.119-mRNA-1_1&gene=snap_masked-chrVII-processed-gene-5.119&CDS=1-5529, snap_masked-chrXII-processed-gene-8.84-mRNA-1_1&gene=snap_masked-chrXII-processed-gene-8.84&CDS=1-5475, snap_masked-chrXIII-processed-gene-8.137-mRNA-1_1&gene=snap_masked-chrXIII-processed-gene-8.137&CDS=1-5355
21	OG0000021	YGR087C, YLR044C, YLR134W	augustus_masked-chrVII-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-chrVII-processed-gene-6.29&CDS=1-1689, augustus_masked-chrXII-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-2.138&CDS=1-1689, augustus_masked-chrXII-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-4.105&CDS=1-1689
22	OG0000022	YGR192C, YJL052W, YJR009C	augustus_masked-chrVII-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-chrVII-processed-gene-8.122&CDS=1-996, augustus_masked-chrX-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-chrX-processed-gene-3.110&CDS=1-996, augustus_masked-chrX-processed-gene-4.137-mRNA-1_1&gene=augustus_masked-chrX-processed-gene-4.137&CDS=1-996
23	OG0000023	YKL220C, YNR060W, YOR381W	genemark-chrVIII-processed-gene-7.122-mRNA-1_1&gene=genemark-chrVIII-processed-gene-7.122&CDS=1-2055, snap_masked-chrX-processed-gene-6.161-mRNA-1_1&gene=snap_masked-chrX-processed-gene-6.161&CDS=1-2160, snap_masked-chrXIV-processed-gene-6.199-mRNA-1_1&gene=snap_masked-chrXIV-processed-gene-6.199&CDS=1-2157
24	OG0000024	YNL018C, YNL019C, YNL033W, YNL034W	augustus_masked-chrXIV-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-chrXIV-processed-gene-6.85&CDS=1-2442, maker-chrXIV-snap-gene-5.1-mRNA-1_1&gene=maker-chrXIV-snap-gene-5.1&CDS=1-2073
25	OG0000025	YAL063C, YAL065C, YHR211W	genemark-chrVI-processed-gene-1.36-mRNA-1_1&gene=genemark-chrVI-processed-gene-1.36&CDS=1-1137, maker-chrX-snap-gene-0.1-mRNA-1_1&gene=maker-chrX-snap-gene-0.1&CDS=1-1224
26	OG0000026	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-scaffold_18-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.2&CDS=1-1020
27	OG0000027	YDR144C, YLR120C, YLR121C	augustus_masked-chrII-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-5.27&CDS=1-1803, maker-chrXII-snap-gene-4.54-mRNA-1_1&gene=maker-chrXII-snap-gene-4.54&CDS=1-3426
28	OG0000028	YDR312W, YHR066W, YHR068W	augustus_masked-chrII-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-8.59&CDS=1-1350, augustus_masked-chrXV-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-chrXV-processed-gene-4.112&CDS=1-3198
29	OG0000029	YER061C, YER062C, YIL053W	augustus_masked-chrIX-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-chrIX-processed-gene-2.114&CDS=1-750, augustus_masked-chrV-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-2.92&CDS=1-2091
30	OG0000030	YFL059W, YMR096W, YNL333W	augustus_masked-chrXIII-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-4.10&CDS=1-891, augustus_masked-scaffold_18-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.1&CDS=1-894
31	OG0000031	YGL076C, YPL196W, YPL198W	maker-chrVII-augustus-gene-3.8-mRNA-1_1&gene=maker-chrVII-augustus-gene-3.8&CDS=1-705, maker-chrXVI-augustus-gene-1.37-mRNA-1_1&gene=maker-chrXVI-augustus-gene-1.37&CDS=1-1536
32	OG0000032	YGR084C, YGR085C, YPR102C	augustus_masked-chrXVI-processed-gene-7.246-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-7.246&CDS=1-522, maker-chrVII-augustus-gene-6.84-mRNA-1_1&gene=maker-chrVII-augustus-gene-6.84&CDS=1-1476
33	OG0000033	YHR179W, YPL171C, YPL172C	maker-chrXVI-augustus-gene-2.88-mRNA-1_1&gene=maker-chrXVI-augustus-gene-2.88&CDS=1-2439, snap_masked-chrXV-processed-gene-6.137-mRNA-1_1&gene=snap_masked-chrXV-processed-gene-6.137&CDS=1-1200
34	OG0000034	YHR216W, YLR432W, YML056C	augustus_masked-chrXII-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-9.18&CDS=1-1569, maker-chrXIII-snap-gene-1.61-mRNA-1_1&gene=maker-chrXIII-snap-gene-1.61&CDS=1-1596
35	OG0000035	YIL009W, YMR246W, YOR317W	augustus_masked-chrVIII-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-6.70&CDS=1-2097, augustus_masked-chrXIII-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-7.69&CDS=1-2085
36	OG0000036	YKL163W, YKL164C	augustus_masked-chrXI-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-chrXI-processed-gene-1.78&CDS=1-1179, augustus_masked-chrXI-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-chrXI-processed-gene-1.91&CDS=1-1026, snap_masked-chrX-processed-gene-1.11-mRNA-1_1&gene=snap_masked-chrX-processed-gene-1.11&CDS=1-1194
37	OG0000037	YLR237W, YOR071C, YOR192C	augustus_masked-chrXII-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-5.81&CDS=1-1815, augustus_masked-chrXII-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-8.56&CDS=1-1794
38	OG0000038	YML085C, YML123C, YML124C	augustus_masked-chrXIII-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-0.29&CDS=1-3159, augustus_masked-chrXIII-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-1.129&CDS=1-2547
39	OG0000039	YMR186W, YPL240C, YPL242C	augustus_masked-chrXIII-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-6.10&CDS=1-1896, augustus_masked-chrXVI-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-0.122&CDS=1-7056
40	OG0000040	YOL055C, YPL258C, YPR121W	augustus_masked-chrXV-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-chrXV-processed-gene-2.109&CDS=1-1653, augustus_masked-chrXVI-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-0.114&CDS=1-1659
41	OG0000041	YAL017W, YOL045W	augustus_masked-chrI-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-chrI-processed-gene-0.14&CDS=1-4050, augustus_masked-chrXV-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-chrXV-processed-gene-2.113&CDS=1-3318
42	OG0000042	YAL024C, YOR321W	augustus_masked-chrI-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-chrI-processed-gene-0.42&CDS=1-11502, augustus_masked-chrVIII-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-6.72&CDS=1-2259
43	OG0000043	YAL029C, YOR326W	augustus_masked-chrI-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-chrI-processed-gene-0.39&CDS=1-4413, augustus_masked-chrVIII-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-6.73&CDS=1-4707
44	OG0000044	YAL038W, YOR347C	augustus_masked-chrI-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-chrI-processed-gene-0.6&CDS=1-1500, augustus_masked-chrVIII-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-7.82&CDS=1-1518
45	OG0000045	YAL062W, YOR375C	augustus_masked-chrVIII-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-7.96&CDS=1-1362, snap_masked-chrI-processed-gene-0.145-mRNA-1_1&gene=snap_masked-chrI-processed-gene-0.145&CDS=1-1371
46	OG0000046	YAR042W, YDL019C	augustus_masked-chrIV-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-4.82&CDS=1-3876, snap_masked-chrI-processed-gene-0.182-mRNA-1_1&gene=snap_masked-chrI-processed-gene-0.182&CDS=1-3468
47	OG0000047	YBL003C, YDR225W	augustus_masked-chrII-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.66&CDS=1-396, augustus_masked-chrII-processed-gene-7.112-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.112&CDS=1-396
48	OG0000048	YBL030C, YBR085W	augustus_masked-chrII-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-1.50&CDS=1-954, augustus_masked-chrIV-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-5.16&CDS=1-921
49	OG0000049	YBL039C, YJR103W	augustus_masked-chrII-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-1.46&CDS=1-1737, augustus_masked-chrX-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-chrX-processed-gene-6.72&CDS=1-1722
50	OG0000050	YBL067C, YER098W	augustus_masked-chrII-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-1.17&CDS=1-2247, augustus_masked-chrV-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-3.110&CDS=1-2268
51	OG0000051	YBL069W, YER101C	augustus_masked-chrII-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-1.11&CDS=1-2283, snap_masked-chrV-processed-gene-3.37-mRNA-1_1&gene=snap_masked-chrV-processed-gene-3.37&CDS=1-1290
52	OG0000052	YBL072C, YER102W	augustus_masked-chrII-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-1.16&CDS=1-600, augustus_masked-chrV-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-3.112&CDS=1-600
53	OG0000053	YBL079W, YER105C	augustus_masked-chrII-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-0.48&CDS=1-4542, augustus_masked-chrV-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-chrV-processed-gene-3.128&CDS=1-4179
54	OG0000054	YBL087C, YER117W	genemark-chrII-processed-gene-0.82-mRNA-1_1&gene=genemark-chrII-processed-gene-0.82&CDS=1-345, genemark-chrV-processed-gene-4.107-mRNA-1_1&gene=genemark-chrV-processed-gene-4.107&CDS=1-345
55	OG0000055	YBL106C, YPR032W	augustus_masked-chrXVI-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-6.66&CDS=1-3105, maker-chrII-augustus-gene-0.0-mRNA-1_1&gene=maker-chrII-augustus-gene-0.0&CDS=1-3618
56	OG0000056	YBR001C, YDR001C	augustus_masked-chrII-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.68&CDS=1-2340, augustus_masked-chrIV-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-4.89&CDS=1-2256
57	OG0000057	YBR009C, YNL030W	augustus_masked-chrII-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.72&CDS=1-309, augustus_masked-chrXIV-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-chrXIV-processed-gene-5.84&CDS=1-309
58	OG0000058	YBR010W, YNL031C	augustus_masked-chrII-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.57&CDS=1-408, augustus_masked-chrXIV-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-chrXIV-processed-gene-5.103&CDS=1-408
59	OG0000059	YBR020W, YDR009W	augustus_masked-chrII-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.59&CDS=1-1584, augustus_masked-chrIV-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-4.76&CDS=1-1566
60	OG0000060	YBR021W, YIR028W	augustus_masked-chrII-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.60&CDS=1-1899, snap_masked-chrIX-processed-gene-3.131-mRNA-1_1&gene=snap_masked-chrIX-processed-gene-3.131&CDS=1-1908
61	OG0000061	YBR031W, YDR012W	augustus_masked-chrII-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-3.58&CDS=1-1086, augustus_masked-chrIV-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-4.78&CDS=1-1086
62	OG0000062	YBR048W, YDR025W	augustus_masked-chrII-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-3.66&CDS=1-468, augustus_masked-chrIV-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-5.4&CDS=1-468
63	OG0000063	YBR054W, YDR033W	augustus_masked-chrII-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-3.68&CDS=1-972, augustus_masked-chrIV-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-5.5&CDS=1-1032
64	OG0000064	YBR082C, YDR054C	maker-chrII-snap-gene-3.2-mRNA-1_1&gene=maker-chrII-snap-gene-3.2&CDS=1-1764, maker-chrIV-augustus-gene-5.82-mRNA-1_1&gene=maker-chrIV-augustus-gene-5.82&CDS=1-444
65	OG0000065	YBR084W, YGR204W	augustus_masked-chrIV-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-5.15&CDS=1-2925, maker-chrVII-augustus-gene-8.50-mRNA-1_1&gene=maker-chrVII-augustus-gene-8.50&CDS=1-3270
66	OG0000066	YBR115C, YPR074C	augustus_masked-chrXVI-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-6.99&CDS=1-2040, maker-chrIV-augustus-gene-6.85-mRNA-1_1&gene=maker-chrIV-augustus-gene-6.85&CDS=1-6183
67	OG0000067	YBR118W, YPR080W	augustus_masked-chrXVI-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-6.83&CDS=1-1374, maker-chrIV-augustus-gene-6.80-mRNA-1_1&gene=maker-chrIV-augustus-gene-6.80&CDS=1-2253
68	OG0000068	YBR121C, YPR081C	augustus_masked-chrIV-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-6.29&CDS=1-2001, augustus_masked-chrXVI-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-6.102&CDS=1-2295
69	OG0000069	YBR140C, YOL081W	augustus_masked-chrIV-processed-gene-7.111-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-7.111&CDS=1-9315, augustus_masked-chrXV-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-chrXV-processed-gene-1.60&CDS=1-9243
70	OG0000070	YBR161W, YPL057C	augustus_masked-chrIV-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-7.122&CDS=1-1131, augustus_masked-chrXVI-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-4.88&CDS=1-1158
71	OG0000071	YBR169C, YPL106C	augustus_masked-chrXVI-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-chrXVI-processed-gene-3.126&CDS=1-2079, maker-chrIV-augustus-gene-7.107-mRNA-1_1&gene=maker-chrIV-augustus-gene-7.107&CDS=1-3828
72	OG0000072	YBR181C, YPL090C	snap_masked-chrIV-processed-gene-7.94-mRNA-1_1&gene=snap_masked-chrIV-processed-gene-7.94&CDS=1-708, snap_masked-chrXVI-processed-gene-3.41-mRNA-1_1&gene=snap_masked-chrXVI-processed-gene-3.41&CDS=1-708
73	OG0000073	YBR189W, YPL081W	maker-chrIV-snap-gene-7.104-mRNA-1_1&gene=maker-chrIV-snap-gene-7.104&CDS=1-1008, maker-chrXVI-snap-gene-3.48-mRNA-1_1&gene=maker-chrXVI-snap-gene-3.48&CDS=1-1008
74	OG0000074	YBR205W, YOR099W	augustus_masked-chrIV-processed-gene-8.197-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-8.197&CDS=1-2544, augustus_masked-chrVIII-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-chrVIII-processed-gene-2.21&CDS=1-1179
75	OG0000075	YBR214W, YGL056C	maker-chrVII-augustus-gene-4.58-mRNA-1_1&gene=maker-chrVII-augustus-gene-4.58&CDS=1-2361, snap_masked-chrIV-processed-gene-8.10-mRNA-1_1&gene=snap_masked-chrIV-processed-gene-8.10&CDS=1-1584
76	OG0000076	YBR218C, YGL062W	augustus_masked-chrVII-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-chrVII-processed-gene-3.81&CDS=1-4518, genemark-chrIV-processed-gene-8.152-mRNA-1_1&gene=genemark-chrIV-processed-gene-8.152&CDS=1-3537
77	OG0000077	YBR245C, YOR304W	augustus_masked-chrIV-processed-gene-8.249-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-8.249&CDS=1-3204, snap_masked-chrVIII-processed-gene-6.115-mRNA-1_1&gene=snap_masked-chrVIII-processed-gene-6.115&CDS=1-3363
78	OG0000078	YBR294W, YLR092W	augustus_masked-chrIV-processed-gene-8.230-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-8.230&CDS=1-2550, augustus_masked-chrXII-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-chrXII-processed-gene-3.49&CDS=1-4884
79	OG0000079	YCL024W, YDR507C	augustus_masked-chrII-processed-gene-11.257-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-11.257&CDS=1-3387, augustus_masked-chrIII-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-chrIII-processed-gene-0.57&CDS=1-3135
