	OrthologID	Saccharomyces_cerevisiae	Zygosaccharomyces_rouxii
16	OG0000016	YER133W, YML016C, YPL179W	augustus_masked-Zyro0D-processed-gene-11.8-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-11.8&CDS=1-2283, augustus_masked-Zyro0G-processed-gene-16.124-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-16.124&CDS=1-936, augustus_masked-Zyro0G-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-2.138&CDS=1-1431
17	OG0000017	YIL123W, YJL116C, YKR042W, YNL066W	augustus_masked-Zyro0D-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-3.4&CDS=1-1176, maker-Zyro0A-snap-gene-1.95-mRNA-1_1&gene=maker-Zyro0A-snap-gene-1.95&CDS=1-1500
18	OG0000018	YBL042C, YBR021W, YIR028W	augustus_masked-Zyro0A-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-3.35&CDS=1-2025, snap_masked-Zyro0G-processed-gene-14.23-mRNA-1_1&gene=snap_masked-Zyro0G-processed-gene-14.23&CDS=1-1788
19	OG0000019	YCL067C, YCR039C, YCR096C	augustus_masked-Zyro0F-processed-gene-13.110-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-13.110&CDS=1-675, augustus_masked-Zyro0F-processed-gene-14.159-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-14.159&CDS=1-675
20	OG0000020	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-Zyro0A-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-8.52&CDS=1-1020
21	OG0000021	YER056C, YER060W, YER060W-A	augustus_masked-Zyro0C-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-6.117&CDS=1-1566, augustus_masked-Zyro0D-processed-gene-13.73-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-13.73&CDS=1-1530
22	OG0000022	YHR179W, YPL171C	augustus_masked-Zyro0F-processed-gene-11.64-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-11.64&CDS=1-1206, augustus_masked-Zyro0F-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-9.55&CDS=1-1191, maker-Zyro0C-augustus-gene-9.44-mRNA-1_1&gene=maker-Zyro0C-augustus-gene-9.44&CDS=1-2358
23	OG0000023	YIR013C, YLR013W, YMR136W	genemark-Zyro0A-processed-gene-6.56-mRNA-1_1&gene=genemark-Zyro0A-processed-gene-6.56&CDS=1-1560, snap_masked-Zyro0E-processed-gene-1.39-mRNA-1_1&gene=snap_masked-Zyro0E-processed-gene-1.39&CDS=1-1299
24	OG0000024	YKL046C, YMR237W, YOR299W	augustus_masked-Zyro0F-processed-gene-10.1-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-10.1&CDS=1-4908, maker-Zyro0E-augustus-gene-4.1-mRNA-1_1&gene=maker-Zyro0E-augustus-gene-4.1&CDS=1-1902
25	OG0000025	YKL220C, YNR060W, YOR381W, YOR384W	augustus_masked-Zyro0G-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-5.47&CDS=1-2115
26	OG0000026	YLR266C, YOR162C, YOR172W	snap_masked-Zyro0D-processed-gene-12.101-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-12.101&CDS=1-2274, snap_masked-Zyro0D-processed-gene-12.102-mRNA-1_1&gene=snap_masked-Zyro0D-processed-gene-12.102&CDS=1-2763
27	OG0000027	YOR388C	augustus_masked-Zyro0A-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-6.104&CDS=1-1128, augustus_masked-Zyro0G-processed-gene-15.82-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-15.82&CDS=1-1221, augustus_masked-Zyro0G-processed-gene-16.148-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-16.148&CDS=1-1128, genemark-Zyro0D-processed-gene-9.54-mRNA-1_1&gene=genemark-Zyro0D-processed-gene-9.54&CDS=1-1254
28	OG0000028	YAL023C, YGR199W	augustus_masked-Zyro0D-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-4.131&CDS=1-2250, augustus_masked-Zyro0G-processed-gene-9.41-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-9.41&CDS=1-2157
29	OG0000029	YAL054C, YLR153C	augustus_masked-Zyro0F-processed-gene-11.102-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-11.102&CDS=1-2025, maker-Zyro0C-augustus-gene-0.48-mRNA-1_1&gene=maker-Zyro0C-augustus-gene-0.48&CDS=1-2787
30	OG0000030	YBL002W, YDR224C	augustus_masked-Zyro0A-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-3.23&CDS=1-396, augustus_masked-Zyro0A-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-7.139&CDS=1-396
31	OG0000031	YBL052C, YOR244W	augustus_masked-Zyro0B-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.67&CDS=1-2226, augustus_masked-Zyro0F-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-6.1&CDS=1-1299
32	OG0000032	YBL063W, YEL061C	augustus_masked-Zyro0B-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-2.92&CDS=1-3414, maker-Zyro0C-snap-gene-6.55-mRNA-1_1&gene=maker-Zyro0C-snap-gene-6.55&CDS=1-2793
33	OG0000033	YBR009C, YNL030W	augustus_masked-Zyro0A-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-1.26&CDS=1-309, augustus_masked-Zyro0A-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.67&CDS=1-309
34	OG0000034	YBR010W, YNL031C	augustus_masked-Zyro0A-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-1.44&CDS=1-408, augustus_masked-Zyro0A-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.64&CDS=1-408
35	OG0000035	YBR015C, YJL186W	augustus_masked-Zyro0A-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-4.71&CDS=1-1854, augustus_masked-Zyro0D-processed-gene-13.82-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-13.82&CDS=1-1665
36	OG0000036	YBR025C, YHL014C	augustus_masked-Zyro0A-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-3.12&CDS=1-1179, maker-Zyro0E-snap-gene-4.54-mRNA-1_1&gene=maker-Zyro0E-snap-gene-4.54&CDS=1-2073
37	OG0000037	YBR059C, YNL020C	augustus_masked-Zyro0A-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-1.20&CDS=1-2112, augustus_masked-Zyro0E-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-5.73&CDS=1-3345
38	OG0000038	YBR084W, YGR204W	augustus_masked-Zyro0G-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-10.98&CDS=1-2853, augustus_masked-Zyro0G-processed-gene-9.39-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-9.39&CDS=1-2841
39	OG0000039	YBR139W, YMR297W	augustus_masked-Zyro0B-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-4.82&CDS=1-1533, maker-Zyro0D-augustus-gene-6.49-mRNA-1_1&gene=maker-Zyro0D-augustus-gene-6.49&CDS=1-2019
40	OG0000040	YBR245C, YOR304W	augustus_masked-Zyro0G-processed-gene-17.153-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-17.153&CDS=1-3282, snap_masked-Zyro0F-processed-gene-10.90-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-10.90&CDS=1-3204
41	OG0000041	YBR263W, YLR058C	augustus_masked-Zyro0B-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-7.124&CDS=1-1485, augustus_masked-Zyro0F-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-2.115&CDS=1-1407
42	OG0000042	YCL029C, YPL174C	snap_masked-Zyro0F-processed-gene-14.189-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-14.189&CDS=1-1128, snap_masked-Zyro0F-processed-gene-9.163-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-9.163&CDS=1-1992
43	OG0000043	YCR004C, YDR032C	augustus_masked-Zyro0A-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-2.73&CDS=1-597, augustus_masked-Zyro0E-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-3.117&CDS=1-921
44	OG0000044	YCR098C, YGL216W	augustus_masked-Zyro0D-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-10.118&CDS=1-3141, augustus_masked-Zyro0E-processed-gene-7.152-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-7.152&CDS=1-2334
45	OG0000045	YCR102C, YLR460C, YNL134C	genemark-Zyro0G-processed-gene-4.73-mRNA-1_1&gene=genemark-Zyro0G-processed-gene-4.73&CDS=1-1113
46	OG0000046	YDL066W, YLR174W	augustus_masked-Zyro0B-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-10.26&CDS=1-1266, augustus_masked-Zyro0E-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-3.146&CDS=1-1233
47	OG0000047	YDL078C, YKL085W	augustus_masked-Zyro0E-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-0.51&CDS=1-996, maker-Zyro0A-augustus-gene-6.118-mRNA-1_1&gene=maker-Zyro0A-augustus-gene-6.118&CDS=1-1470
48	OG0000048	YDR038C, YDR039C, YDR040C	maker-Zyro0E-augustus-gene-5.93-mRNA-1_1&gene=maker-Zyro0E-augustus-gene-5.93&CDS=1-3966
49	OG0000049	YDR135C, YLL015W	augustus_masked-Zyro0D-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-5.60&CDS=1-4575, genemark-Zyro0G-processed-gene-17.42-mRNA-1_1&gene=genemark-Zyro0G-processed-gene-17.42&CDS=1-4710
50	OG0000050	YDR420W, YGR014W	augustus_masked-Zyro0D-processed-gene-10.114-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-10.114&CDS=1-7155, snap_masked-Zyro0G-processed-gene-9.134-mRNA-1_1&gene=snap_masked-Zyro0G-processed-gene-9.134&CDS=1-4461
51	OG0000051	YDR483W, YOR099W	augustus_masked-Zyro0E-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-1.98&CDS=1-1185, augustus_masked-Zyro0F-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-7.45&CDS=1-1380
52	OG0000052	YDR507C, YKL101W	augustus_masked-Zyro0G-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-2.117&CDS=1-4848, snap_masked-Zyro0F-processed-gene-14.232-mRNA-1_1&gene=snap_masked-Zyro0F-processed-gene-14.232&CDS=1-3567
53	OG0000053	YER017C, YMR089C	augustus_masked-Zyro0D-processed-gene-12.42-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-12.42&CDS=1-2181, augustus_masked-Zyro0G-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-2.114&CDS=1-2490
54	OG0000054	YER070W, YIL066C	augustus_masked-Zyro0C-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-6.127&CDS=1-2763, augustus_masked-Zyro0F-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-9.4&CDS=1-2625
55	OG0000055	YER123W, YHR135C	augustus_masked-Zyro0E-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-Zyro0E-processed-gene-1.106&CDS=1-1638, augustus_masked-Zyro0G-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-4.14&CDS=1-1749
56	OG0000056	YER172C, YGR271W	augustus_masked-Zyro0B-processed-gene-9.78-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-9.78&CDS=1-6465, augustus_masked-Zyro0D-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-6.132&CDS=1-5880
57	OG0000057	YFL039C, YHR129C	augustus_masked-Zyro0G-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-4.21&CDS=1-1143, maker-Zyro0F-augustus-gene-2.50-mRNA-1_1&gene=maker-Zyro0F-augustus-gene-2.50&CDS=1-1125
58	OG0000058	YGR059W, YHR107C	augustus_masked-Zyro0A-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-Zyro0A-processed-gene-5.12&CDS=1-1179, augustus_masked-Zyro0B-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-6.31&CDS=1-1773
59	OG0000059	YGR086C, YPL004C	augustus_masked-Zyro0C-processed-gene-13.153-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-13.153&CDS=1-999, augustus_masked-Zyro0F-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-Zyro0F-processed-gene-3.156&CDS=1-993
60	OG0000060	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	
61	OG0000061	YGR192C, YJL052W, YJR009C	augustus_masked-Zyro0G-processed-gene-9.25-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-9.25&CDS=1-999
62	OG0000062	YGR240C, YMR205C	augustus_masked-Zyro0B-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-6.15&CDS=1-2952, augustus_masked-Zyro0D-processed-gene-7.140-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-7.140&CDS=1-2874
63	OG0000063	YHL007C, YNL298W	augustus_masked-Zyro0B-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-1.121&CDS=1-2889, maker-Zyro0C-snap-gene-1.81-mRNA-1_1&gene=maker-Zyro0C-snap-gene-1.81&CDS=1-2538
64	OG0000064	YHR023W, YOR326W	augustus_masked-Zyro0C-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-8.119&CDS=1-5754, augustus_masked-Zyro0D-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-3.15&CDS=1-4761
65	OG0000065	YHR050W, YOL122C	augustus_masked-Zyro0C-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-Zyro0C-processed-gene-2.129&CDS=1-1638, augustus_masked-Zyro0G-processed-gene-13.79-mRNA-1_1&gene=augustus_masked-Zyro0G-processed-gene-13.79&CDS=1-1521
66	OG0000066	YHR216W, YLR432W, YML056C	augustus_masked-Zyro0B-processed-gene-11.129-mRNA-1_1&gene=augustus_masked-Zyro0B-processed-gene-11.129&CDS=1-1572
67	OG0000067	YIL039W, YPL074W	augustus_masked-Zyro0D-processed-gene-13.61-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-13.61&CDS=1-5109, augustus_masked-Zyro0D-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-Zyro0D-processed-gene-3.11&CDS=1-2055
68	OG0000068	YIL126W, YOR290C	maker-Zyro0A-augustus-gene-1.144-mRNA-1_1&gene=maker-Zyro0A-augustus-gene-1.144&CDS=1-4602, maker-Zyro0G-augustus-gene-13.92-mRNA-1_1&gene=maker-Zyro0G-augustus-gene-13.92&CDS=1-4953
