	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035033_Candida_cretensis
13	OG0000013	YPR194C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-0.19&CDS=1-2766, maker-NODE_16_length_3328_cov_20.2677_ID_31-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_16_length_3328_cov_20.2677_ID_31-augustus-gene-0.0&CDS=1-2124, maker-NODE_3_length_1568754_cov_25.1773_ID_5-snap-gene-0.40-mRNA-1_1&gene=maker-NODE_3_length_1568754_cov_25.1773_ID_5-snap-gene-0.40&CDS=1-2697, maker-NODE_3_length_1568754_cov_25.1773_ID_5-snap-gene-10.127-mRNA-1_1&gene=maker-NODE_3_length_1568754_cov_25.1773_ID_5-snap-gene-10.127&CDS=1-5433, maker-NODE_4_length_1487040_cov_29.706_ID_7-snap-gene-10.77-mRNA-1_1&gene=maker-NODE_4_length_1487040_cov_29.706_ID_7-snap-gene-10.77&CDS=1-5703, snap_masked-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-2.25&CDS=1-2592
14	OG0000014	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-16.182-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-16.182&CDS=1-1467, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.85-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-14.85&CDS=1-2040
15	OG0000015	YDR144C, YLR120C, YLR121C	genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-8.41-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-8.41&CDS=1-3153, maker-NODE_5_length_709222_cov_30.1164_ID_9-snap-gene-0.78-mRNA-1_1&gene=maker-NODE_5_length_709222_cov_30.1164_ID_9-snap-gene-0.78&CDS=1-2433, maker-NODE_7_length_636414_cov_30.2886_ID_13-snap-gene-3.2-mRNA-1_1&gene=maker-NODE_7_length_636414_cov_30.2886_ID_13-snap-gene-3.2&CDS=1-1512
16	OG0000016	YER054C, YIL045W, YLR273C, YOR178C	genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-3.151-mRNA-1_1&gene=genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-3.151&CDS=1-1731, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-5.52-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-5.52&CDS=1-2094
17	OG0000017	YGR249W, YHR206W, YOR140W	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-3.1-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-3.1&CDS=1-2361, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-0.73&CDS=1-1641, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-4.63-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-4.63&CDS=1-1791
18	OG0000018	YGR281W	genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-1.56-mRNA-1_1&gene=genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-1.56&CDS=1-4737, genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-1.89-mRNA-1_1&gene=genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-1.89&CDS=1-4284, maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-11.1-mRNA-1_1&gene=maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-11.1&CDS=1-8541, maker-NODE_4_length_1487040_cov_29.706_ID_7-snap-gene-11.3-mRNA-1_1&gene=maker-NODE_4_length_1487040_cov_29.706_ID_7-snap-gene-11.3&CDS=1-4311, snap_masked-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-0.102&CDS=1-4272
19	OG0000019	YML099C	augustus_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_13_length_357561_cov_21.9019_ID_25-processed-gene-2.12&CDS=1-1107, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-6.81-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-6.81&CDS=1-1185, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-2.178-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-2.178&CDS=1-1245, genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-0.100&CDS=1-1185, maker-NODE_9_length_512680_cov_37.0436_ID_17-augustus-gene-2.1-mRNA-1_1&gene=maker-NODE_9_length_512680_cov_37.0436_ID_17-augustus-gene-2.1&CDS=1-3654
20	OG0000020		genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_10_length_462220_cov_36.8041_ID_19-processed-gene-0.106&CDS=1-1515, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-10.57-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-10.57&CDS=1-2148, genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-5.90-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-5.90&CDS=1-2103, genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-5.199-mRNA-1_1&gene=genemark-NODE_7_length_636414_cov_30.2886_ID_13-processed-gene-5.199&CDS=1-1872, snap_masked-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-5.135-mRNA-1_1&gene=snap_masked-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-5.135&CDS=1-2181, snap_masked-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-5.136-mRNA-1_1&gene=snap_masked-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-5.136&CDS=1-2160
21	OG0000021	YAL019W, YLL057C	augustus_masked-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-NODE_8_length_605843_cov_31.9842_ID_15-processed-gene-4.85&CDS=1-4248, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-2.84-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-2.84&CDS=1-1164, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.39-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-12.39&CDS=1-1125
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_2_length_1610937_cov_29.4059_ID_3-augustus-gene-4.56-mRNA-1_1&gene=maker-NODE_2_length_1610937_cov_29.4059_ID_3-augustus-gene-4.56&CDS=1-5025
23	OG0000023	YBL089W, YER119C, YIL088C	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-11.77-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-11.77&CDS=1-1410, maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-4.145-mRNA-1_1&gene=maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-4.145&CDS=1-1857
24	OG0000024	YBR015C	genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_11_length_431558_cov_36.2547_ID_21-processed-gene-0.57&CDS=1-1740, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-14.95-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-14.95&CDS=1-1767, genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-6.47-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-6.47&CDS=1-1053, genemark-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-3.3-mRNA-1_1&gene=genemark-NODE_9_length_512680_cov_37.0436_ID_17-processed-gene-3.3&CDS=1-1704
25	OG0000025	YBR089C-A, YDL002C, YPR052C	maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-7.112-mRNA-1_1&gene=maker-NODE_4_length_1487040_cov_29.706_ID_7-augustus-gene-7.112&CDS=1-3522, snap_masked-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-2.12-mRNA-1_1&gene=snap_masked-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-2.12&CDS=1-276
26	OG0000026	YBR150C, YOL089C	genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-2.102-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-2.102&CDS=1-2607, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-2.108-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-2.108&CDS=1-2847, maker-NODE_5_length_709222_cov_30.1164_ID_9-snap-gene-2.153-mRNA-1_1&gene=maker-NODE_5_length_709222_cov_30.1164_ID_9-snap-gene-2.153&CDS=1-2508
27	OG0000027	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-9.131-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-9.131&CDS=1-1746
28	OG0000028	YCL024W, YDR507C, YKL101W	genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-8.51-mRNA-1_1&gene=genemark-NODE_1_length_1718446_cov_29.5161_ID_1-processed-gene-8.51&CDS=1-4332, genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.16-mRNA-1_1&gene=genemark-NODE_5_length_709222_cov_30.1164_ID_9-processed-gene-3.16&CDS=1-4371
29	OG0000029	YCL036W, YDR514C	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-15.161-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-15.161&CDS=1-894, genemark-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-4.17-mRNA-1_1&gene=genemark-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-4.17&CDS=1-1029, genemark-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-4.37-mRNA-1_1&gene=genemark-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-4.37&CDS=1-783
30	OG0000030	YCL064C, YIL167W, YML020W	augustus_masked-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NODE_6_length_679914_cov_30.7648_ID_11-processed-gene-2.125&CDS=1-6690, genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.13-mRNA-1_1&gene=genemark-NODE_4_length_1487040_cov_29.706_ID_7-processed-gene-3.13&CDS=1-1056
31	OG0000031	YCR028C, YDR242W	genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-2.118-mRNA-1_1&gene=genemark-NODE_2_length_1610937_cov_29.4059_ID_3-processed-gene-2.118&CDS=1-1665, genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-8.79-mRNA-1_1&gene=genemark-NODE_3_length_1568754_cov_25.1773_ID_5-processed-gene-8.79&CDS=1-1719, maker-NODE_12_length_373043_cov_22.0375_ID_23-augustus-gene-2.2-mRNA-1_1&gene=maker-NODE_12_length_373043_cov_22.0375_ID_23-augustus-gene-2.2&CDS=1-3111
