	OrthologID	Metschnikowia_borealis	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-bor_s272-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s272-processed-gene-0.10&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
11	OG0000011	augustus_masked-bor_s171-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s171-processed-gene-0.12&CDS=1-2322, augustus_masked-bor_s302-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-bor_s302-processed-gene-1.61&CDS=1-4662, augustus_masked-bor_s449-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s449-processed-gene-0.14&CDS=1-705, augustus_masked-bor_s67-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-bor_s67-processed-gene-0.66&CDS=1-405	YGL131C, YLR298C, YMR075W
12	OG0000012	augustus_masked-bor_s199-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s199-processed-gene-0.7&CDS=1-966, augustus_masked-bor_s777-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.91&CDS=1-1170, genemark-bor_s26-processed-gene-0.7-mRNA-1_1&gene=genemark-bor_s26-processed-gene-0.7&CDS=1-957	YBL068W, YER099C, YHL011C, YOL061W
13	OG0000013	augustus_masked-bor_s399-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s399-processed-gene-0.26&CDS=1-2043, augustus_masked-bor_s946-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s946-processed-gene-0.5&CDS=1-1347, genemark-bor_s777-processed-gene-0.65-mRNA-1_1&gene=genemark-bor_s777-processed-gene-0.65&CDS=1-1839	YDL229W, YJL034W, YLL024C, YNL209W
14	OG0000014	augustus_masked-bor_s663-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s663-processed-gene-0.3&CDS=1-456, augustus_masked-bor_s7-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bor_s7-processed-gene-0.34&CDS=1-372, augustus_masked-bor_s920-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s920-processed-gene-0.1&CDS=1-363, genemark-bor_s55-processed-gene-0.16-mRNA-1_1&gene=genemark-bor_s55-processed-gene-0.16&CDS=1-456, genemark-bor_s56-processed-gene-0.10-mRNA-1_1&gene=genemark-bor_s56-processed-gene-0.10&CDS=1-201	YGL089C, YPL187W
15	OG0000015	snap_masked-bor_s102-processed-gene-0.93-mRNA-1_1&gene=snap_masked-bor_s102-processed-gene-0.93&CDS=1-201, snap_masked-bor_s204-processed-gene-0.1-mRNA-1_1&gene=snap_masked-bor_s204-processed-gene-0.1&CDS=1-201, snap_masked-bor_s321-processed-gene-0.19-mRNA-1_1&gene=snap_masked-bor_s321-processed-gene-0.19&CDS=1-438, snap_masked-bor_s365-processed-gene-0.6-mRNA-1_1&gene=snap_masked-bor_s365-processed-gene-0.6&CDS=1-186, snap_masked-bor_s623-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bor_s623-processed-gene-0.2&CDS=1-201, snap_masked-bor_s837-processed-gene-0.12-mRNA-1_1&gene=snap_masked-bor_s837-processed-gene-0.12&CDS=1-186	
16	OG0000016	augustus_masked-bor_s198-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s198-processed-gene-0.6&CDS=1-759, augustus_masked-bor_s5-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s5-processed-gene-0.28&CDS=1-759, genemark-bor_s699-processed-gene-0.4-mRNA-1_1&gene=genemark-bor_s699-processed-gene-0.4&CDS=1-627, maker-bor_s109-snap-gene-0.0-mRNA-1_1&gene=maker-bor_s109-snap-gene-0.0&CDS=1-507	YER062C, YIL053W
17	OG0000017	augustus_masked-bor_s123-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s123-processed-gene-0.14&CDS=1-2571, augustus_masked-bor_s514-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bor_s514-processed-gene-0.17&CDS=1-2562, augustus_masked-bor_s538-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s538-processed-gene-0.23&CDS=1-2664	YLL005C, YMR266W, YOL084W
18	OG0000018	augustus_masked-bor_s13-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s13-processed-gene-0.0&CDS=1-1446, augustus_masked-bor_s186-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s186-processed-gene-0.8&CDS=1-534, augustus_masked-bor_s940-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s940-processed-gene-0.0&CDS=1-1383	YDL155W, YGR108W, YPR119W
19	OG0000019	augustus_masked-bor_s212-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-bor_s212-processed-gene-0.85&CDS=1-1917, augustus_masked-bor_s414-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bor_s414-processed-gene-0.53&CDS=1-1632, genemark-bor_s135-processed-gene-0.3-mRNA-1_1&gene=genemark-bor_s135-processed-gene-0.3&CDS=1-1953, snap_masked-bor_s759-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bor_s759-processed-gene-0.7&CDS=1-381	YBR015C, YJL186W
20	OG0000020	augustus_masked-bor_s16-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bor_s16-processed-gene-0.46&CDS=1-2904, snap_masked-bor_s399-processed-gene-0.102-mRNA-1_1&gene=snap_masked-bor_s399-processed-gene-0.102&CDS=1-2532, snap_masked-bor_s562-processed-gene-0.5-mRNA-1_1&gene=snap_masked-bor_s562-processed-gene-0.5&CDS=1-321	YDR385W, YKL173W, YOR133W
21	OG0000021	augustus_masked-bor_s176-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s176-processed-gene-0.3&CDS=1-2205, augustus_masked-bor_s477-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s477-processed-gene-0.1&CDS=1-2367, augustus_masked-bor_s777-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.110&CDS=1-1866	YDL025C, YNL183C, YOR267C
22	OG0000022	augustus_masked-bor_s197-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-bor_s197-processed-gene-1.139&CDS=1-1098, augustus_masked-bor_s201-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s201-processed-gene-0.4&CDS=1-1089, augustus_masked-bor_s770-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s770-processed-gene-0.9&CDS=1-678, snap_masked-bor_s800-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bor_s800-processed-gene-0.7&CDS=1-1080	YCR105W, YMR318C
23	OG0000023	augustus_masked-bor_s20-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-bor_s20-processed-gene-0.56&CDS=1-702, augustus_masked-bor_s348-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s348-processed-gene-0.2&CDS=1-324, augustus_masked-bor_s49-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-bor_s49-processed-gene-0.100&CDS=1-8193, snap_masked-bor_s370-processed-gene-1.33-mRNA-1_1&gene=snap_masked-bor_s370-processed-gene-1.33&CDS=1-7695	YLR454W, YPR117W
24	OG0000024	augustus_masked-bor_s407-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s407-processed-gene-0.8&CDS=1-690, augustus_masked-bor_s80-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.32&CDS=1-2997, maker-bor_s26-augustus-gene-1.148-mRNA-1_1&gene=maker-bor_s26-augustus-gene-1.148&CDS=1-1590, snap_masked-bor_s762-processed-gene-0.4-mRNA-1_1&gene=snap_masked-bor_s762-processed-gene-0.4&CDS=1-273, snap_masked-bor_s84-processed-gene-0.23-mRNA-1_1&gene=snap_masked-bor_s84-processed-gene-0.23&CDS=1-216	YLL003W
25	OG0000025	augustus_masked-bor_s261-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bor_s261-processed-gene-0.29&CDS=1-1671, augustus_masked-bor_s350-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.19&CDS=1-1722, augustus_masked-bor_s735-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s735-processed-gene-0.18&CDS=1-1668	YBR298C, YDL247W, YJR160C
26	OG0000026	snap_masked-bor_s425-processed-gene-0.3-mRNA-1_1&gene=snap_masked-bor_s425-processed-gene-0.3&CDS=1-969	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
27	OG0000027	augustus_masked-bor_s486-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s486-processed-gene-0.26&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
28	OG0000028	augustus_masked-bor_s561-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s561-processed-gene-0.25&CDS=1-1470, augustus_masked-bor_s97-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.110&CDS=1-2121, genemark-bor_s839-processed-gene-0.145-mRNA-1_1&gene=genemark-bor_s839-processed-gene-0.145&CDS=1-2394	YGR249W, YHR206W, YOR140W
29	OG0000029	augustus_masked-bor_s586-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-bor_s586-processed-gene-0.95&CDS=1-3111, augustus_masked-bor_s784-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.27&CDS=1-3093, snap_masked-bor_s93-processed-gene-0.47-mRNA-1_1&gene=snap_masked-bor_s93-processed-gene-0.47&CDS=1-3117	YBR245C, YFR038W, YOR304W
30	OG0000030	augustus_masked-bor_s649-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s649-processed-gene-0.5&CDS=1-1374, augustus_masked-bor_s964-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-bor_s964-processed-gene-0.63&CDS=1-2193, maker-bor_s69-augustus-gene-0.19-mRNA-1_1&gene=maker-bor_s69-augustus-gene-0.19&CDS=1-2058	YBR118W, YKR084C, YPR080W
31	OG0000031	maker-bor_s67-snap-gene-0.1-mRNA-1_1&gene=maker-bor_s67-snap-gene-0.1&CDS=1-216, maker-bor_s876-snap-gene-0.1-mRNA-1_1&gene=maker-bor_s876-snap-gene-0.1&CDS=1-204	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
32	OG0000032	augustus_masked-bor_s80-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.42&CDS=1-2958, augustus_masked-bor_s964-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bor_s964-processed-gene-0.53&CDS=1-2817	YFR040W, YGL229C, YJL098W, YKR028W
33	OG0000033		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
34	OG0000034	augustus_masked-bor_s102-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s102-processed-gene-0.5&CDS=1-435, augustus_masked-bor_s168-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s168-processed-gene-0.16&CDS=1-711, augustus_masked-bor_s500-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-bor_s500-processed-gene-0.77&CDS=1-1617, snap_masked-bor_s917-processed-gene-0.14-mRNA-1_1&gene=snap_masked-bor_s917-processed-gene-0.14&CDS=1-360	YMR223W
35	OG0000035	augustus_masked-bor_s125-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s125-processed-gene-0.1&CDS=1-1584, augustus_masked-bor_s125-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s125-processed-gene-0.4&CDS=1-1920, augustus_masked-bor_s47-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s47-processed-gene-0.10&CDS=1-1527	YGR197C, YJR015W
36	OG0000036	augustus_masked-bor_s129-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s129-processed-gene-0.0&CDS=1-294, augustus_masked-bor_s350-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.86&CDS=1-2475, augustus_masked-bor_s953-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s953-processed-gene-0.0&CDS=1-1545	YBL052C, YOR244W
37	OG0000037	augustus_masked-bor_s134-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s134-processed-gene-0.23&CDS=1-1155, augustus_masked-bor_s28-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s28-processed-gene-0.6&CDS=1-1302, augustus_masked-bor_s943-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s943-processed-gene-0.7&CDS=1-1248	YBR207W, YER145C
38	OG0000038	augustus_masked-bor_s14-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s14-processed-gene-0.26&CDS=1-873, maker-bor_s14-snap-gene-0.43-mRNA-1_1&gene=maker-bor_s14-snap-gene-0.43&CDS=1-888, snap_masked-bor_s568-processed-gene-0.95-mRNA-1_1&gene=snap_masked-bor_s568-processed-gene-0.95&CDS=1-912	YDR368W, YOR120W
39	OG0000039	augustus_masked-bor_s148-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bor_s148-processed-gene-0.35&CDS=1-1293, augustus_masked-bor_s483-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-bor_s483-processed-gene-0.110&CDS=1-1395	YBL089W, YER119C, YIL088C
40	OG0000040	augustus_masked-bor_s16-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bor_s16-processed-gene-0.27&CDS=1-1101, augustus_masked-bor_s178-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-bor_s178-processed-gene-0.100&CDS=1-897, augustus_masked-bor_s451-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-1.106&CDS=1-717	YJL079C, YKR013W
41	OG0000041	augustus_masked-bor_s160-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s160-processed-gene-0.5&CDS=1-2229, augustus_masked-bor_s263-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s263-processed-gene-0.11&CDS=1-2319	YAL053W, YGL139W, YPL221W
42	OG0000042	augustus_masked-bor_s571-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.61&CDS=1-2241, augustus_masked-bor_s80-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.45&CDS=1-5589, snap_masked-bor_s182-processed-gene-0.6-mRNA-1_1&gene=snap_masked-bor_s182-processed-gene-0.6&CDS=1-264	YJL095W, YLR362W
43	OG0000043	augustus_masked-bor_s26-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bor_s26-processed-gene-0.61&CDS=1-759, genemark-bor_s190-processed-gene-0.2-mRNA-1_1&gene=genemark-bor_s190-processed-gene-0.2&CDS=1-792, genemark-bor_s687-processed-gene-0.9-mRNA-1_1&gene=genemark-bor_s687-processed-gene-0.9&CDS=1-771	YCR010C, YNR002C
44	OG0000044	augustus_masked-bor_s192-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bor_s192-processed-gene-0.39&CDS=1-1713, augustus_masked-bor_s482-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-bor_s482-processed-gene-0.96&CDS=1-1815, genemark-bor_s965-processed-gene-0.8-mRNA-1_1&gene=genemark-bor_s965-processed-gene-0.8&CDS=1-2436	YDR338C, YHR032W
45	OG0000045	augustus_masked-bor_s197-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-bor_s197-processed-gene-1.165&CDS=1-3534, augustus_masked-bor_s553-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s553-processed-gene-0.6&CDS=1-489, snap_masked-bor_s907-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bor_s907-processed-gene-0.2&CDS=1-288	YGL133W, YPL216W
46	OG0000046	augustus_masked-bor_s20-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bor_s20-processed-gene-0.53&CDS=1-1260, augustus_masked-bor_s451-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bor_s451-processed-gene-0.49&CDS=1-1197, augustus_masked-bor_s683-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s683-processed-gene-0.3&CDS=1-1272	YKL106W, YLR027C
47	OG0000047	augustus_masked-bor_s381-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bor_s381-processed-gene-0.43&CDS=1-1656, augustus_masked-bor_s568-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.59&CDS=1-1527, maker-bor_s20-augustus-gene-0.63-mRNA-1_1&gene=maker-bor_s20-augustus-gene-0.63&CDS=1-1209	YER133W, YML016C
48	OG0000048	augustus_masked-bor_s201-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s201-processed-gene-0.5&CDS=1-1449, augustus_masked-bor_s635-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-bor_s635-processed-gene-0.55&CDS=1-1278	YBR177C, YMR210W, YPL095C
