	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034671_Blastobotrys_peoriensis
10	OG0000010	YCR028C	augustus_masked-NODE_116_length_35106_cov_16.8397_ID_231-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_116_length_35106_cov_16.8397_ID_231-processed-gene-0.43&CDS=1-1488, augustus_masked-NODE_54_length_91515_cov_11.5492_ID_107-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_54_length_91515_cov_11.5492_ID_107-processed-gene-0.104&CDS=1-1443, genemark-NODE_16_length_213903_cov_13.474_ID_31-processed-gene-1.155-mRNA-1_1&gene=genemark-NODE_16_length_213903_cov_13.474_ID_31-processed-gene-1.155&CDS=1-1578, genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_24_length_164461_cov_14.7024_ID_47-processed-gene-0.94&CDS=1-1551, genemark-NODE_38_length_121218_cov_15.9074_ID_75-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_38_length_121218_cov_15.9074_ID_75-processed-gene-0.73&CDS=1-1548, genemark-NODE_45_length_109254_cov_12.0209_ID_89-processed-gene-0.113-mRNA-1_1&gene=genemark-NODE_45_length_109254_cov_12.0209_ID_89-processed-gene-0.113&CDS=1-1512
11	OG0000011	YPR022C	genemark-NODE_124_length_31400_cov_11.1959_ID_247-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_124_length_31400_cov_11.1959_ID_247-processed-gene-0.3&CDS=1-2322, genemark-NODE_169_length_3083_cov_14.2645_ID_337-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_169_length_3083_cov_14.2645_ID_337-processed-gene-0.1&CDS=1-2253, genemark-NODE_34_length_128293_cov_13.6237_ID_67-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_34_length_128293_cov_13.6237_ID_67-processed-gene-0.42&CDS=1-2586, genemark-NODE_69_length_73151_cov_12.5137_ID_137-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_69_length_73151_cov_12.5137_ID_137-processed-gene-0.82&CDS=1-2904, genemark-NODE_86_length_58384_cov_11.7647_ID_171-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_86_length_58384_cov_11.7647_ID_171-processed-gene-0.58&CDS=1-2298, snap_masked-NODE_50_length_98139_cov_11.6892_ID_99-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_50_length_98139_cov_11.6892_ID_99-processed-gene-0.141&CDS=1-198
12	OG0000012	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_4_length_296429_cov_12.5131_ID_7-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NODE_4_length_296429_cov_12.5131_ID_7-processed-gene-1.107&CDS=1-1140, genemark-NODE_56_length_89863_cov_12.3234_ID_111-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_56_length_89863_cov_12.3234_ID_111-processed-gene-0.9&CDS=1-1110, maker-NODE_7_length_280080_cov_11.8606_ID_13-snap-gene-1.95-mRNA-1_1&gene=maker-NODE_7_length_280080_cov_11.8606_ID_13-snap-gene-1.95&CDS=1-1605
13	OG0000013	YGR096W, YNL083W, YPR011C	genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.178-mRNA-1_1&gene=genemark-NODE_20_length_182759_cov_12.4136_ID_39-processed-gene-0.178&CDS=1-954, genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.224-mRNA-1_1&gene=genemark-NODE_5_length_295438_cov_11.9743_ID_9-processed-gene-1.224&CDS=1-1638, genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.144-mRNA-1_1&gene=genemark-NODE_8_length_266187_cov_12.3814_ID_15-processed-gene-1.144&CDS=1-966
14	OG0000014	YKL071W	augustus_masked-NODE_60_length_88785_cov_12.0581_ID_119-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_60_length_88785_cov_12.0581_ID_119-processed-gene-0.20&CDS=1-744, snap_masked-NODE_16_length_213903_cov_13.474_ID_31-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_16_length_213903_cov_13.474_ID_31-processed-gene-1.69&CDS=1-732, snap_masked-NODE_29_length_143740_cov_12.1056_ID_57-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_29_length_143740_cov_12.1056_ID_57-processed-gene-0.48&CDS=1-600, snap_masked-NODE_58_length_89598_cov_11.9073_ID_115-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_58_length_89598_cov_11.9073_ID_115-processed-gene-0.119&CDS=1-735, snap_masked-NODE_83_length_62489_cov_12.1932_ID_165-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_83_length_62489_cov_12.1932_ID_165-processed-gene-0.75&CDS=1-741
15	OG0000015	YKL107W	augustus_masked-NODE_64_length_82670_cov_15.6859_ID_127-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_64_length_82670_cov_15.6859_ID_127-processed-gene-0.16&CDS=1-816, genemark-NODE_15_length_224791_cov_11.9214_ID_29-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_15_length_224791_cov_11.9214_ID_29-processed-gene-0.13&CDS=1-966, genemark-NODE_28_length_144136_cov_11.9627_ID_55-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_28_length_144136_cov_11.9627_ID_55-processed-gene-0.86&CDS=1-957, genemark-NODE_54_length_91515_cov_11.5492_ID_107-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_54_length_91515_cov_11.5492_ID_107-processed-gene-0.24&CDS=1-978, genemark-NODE_80_length_63433_cov_11.8645_ID_159-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_80_length_63433_cov_11.8645_ID_159-processed-gene-0.43&CDS=1-951
16	OG0000016	YMR256C	genemark-NODE_12_length_235068_cov_12.0792_ID_23-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_12_length_235068_cov_12.0792_ID_23-processed-gene-0.117&CDS=1-1215, genemark-NODE_142_length_19449_cov_12.1292_ID_283-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_142_length_19449_cov_12.1292_ID_283-processed-gene-0.10&CDS=1-1188, genemark-NODE_7_length_280080_cov_11.8606_ID_13-processed-gene-0.129-mRNA-1_1&gene=genemark-NODE_7_length_280080_cov_11.8606_ID_13-processed-gene-0.129&CDS=1-1701, genemark-NODE_84_length_62399_cov_13.074_ID_167-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_84_length_62399_cov_13.074_ID_167-processed-gene-0.20&CDS=1-1353, maker-NODE_2_length_299800_cov_11.8646_ID_3-augustus-gene-0.103-mRNA-1_1&gene=maker-NODE_2_length_299800_cov_11.8646_ID_3-augustus-gene-0.103&CDS=1-1365
17	OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_44_length_113619_cov_12.4587_ID_87-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_44_length_113619_cov_12.4587_ID_87-processed-gene-0.44&CDS=1-4467
18	OG0000018	YBR118W, YKR084C, YPR080W	genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-1.86&CDS=1-1377, genemark-NODE_28_length_144136_cov_11.9627_ID_55-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_28_length_144136_cov_11.9627_ID_55-processed-gene-0.121&CDS=1-2535
19	OG0000019	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NODE_11_length_240857_cov_12.1525_ID_21-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_11_length_240857_cov_12.1525_ID_21-processed-gene-0.105&CDS=1-1551
20	OG0000020	YDL246C, YJR159W, YLR070C	genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-1.53&CDS=1-1119, genemark-NODE_38_length_121218_cov_15.9074_ID_75-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_38_length_121218_cov_15.9074_ID_75-processed-gene-0.71&CDS=1-1185
21	OG0000021	YDR107C, YER113C, YLR083C	genemark-NODE_51_length_97760_cov_11.4993_ID_101-processed-gene-0.139-mRNA-1_1&gene=genemark-NODE_51_length_97760_cov_11.4993_ID_101-processed-gene-0.139&CDS=1-1896, genemark-NODE_68_length_76945_cov_12.2257_ID_135-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_68_length_76945_cov_12.2257_ID_135-processed-gene-0.5&CDS=1-1911
22	OG0000022	YDR144C, YLR120C, YLR121C	genemark-NODE_11_length_240857_cov_12.1525_ID_21-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_11_length_240857_cov_12.1525_ID_21-processed-gene-0.103&CDS=1-1662, genemark-NODE_70_length_73143_cov_12.9276_ID_139-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_70_length_73143_cov_12.9276_ID_139-processed-gene-0.95&CDS=1-1671
23	OG0000023	YDR402C	genemark-NODE_33_length_131941_cov_12.6916_ID_65-processed-gene-0.178-mRNA-1_1&gene=genemark-NODE_33_length_131941_cov_12.6916_ID_65-processed-gene-0.178&CDS=1-1665, genemark-NODE_3_length_297376_cov_12.4251_ID_5-processed-gene-1.280-mRNA-1_1&gene=genemark-NODE_3_length_297376_cov_12.4251_ID_5-processed-gene-1.280&CDS=1-1611, genemark-NODE_87_length_58037_cov_11.6484_ID_173-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_87_length_58037_cov_11.6484_ID_173-processed-gene-0.47&CDS=1-1599, genemark-NODE_89_length_56946_cov_12.1427_ID_177-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_89_length_56946_cov_12.1427_ID_177-processed-gene-0.23&CDS=1-1584
24	OG0000024	YDR533C, YMR322C, YOR391C, YPL280W	genemark-NODE_74_length_68791_cov_12.1023_ID_147-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_74_length_68791_cov_12.1023_ID_147-processed-gene-0.44&CDS=1-705
25	OG0000025	YER057C, YIL051C	genemark-NODE_171_length_2433_cov_14.0475_ID_341-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_171_length_2433_cov_14.0475_ID_341-processed-gene-0.0&CDS=1-378, genemark-NODE_26_length_150816_cov_11.8845_ID_51-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_26_length_150816_cov_11.8845_ID_51-processed-gene-0.35&CDS=1-381, genemark-NODE_52_length_95410_cov_12.4958_ID_103-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_52_length_95410_cov_12.4958_ID_103-processed-gene-0.77&CDS=1-384
26	OG0000026	YER145C	genemark-NODE_122_length_32040_cov_11.817_ID_243-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_122_length_32040_cov_11.817_ID_243-processed-gene-0.34&CDS=1-1236, genemark-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.159-mRNA-1_1&gene=genemark-NODE_37_length_121468_cov_12.1133_ID_73-processed-gene-0.159&CDS=1-1149, maker-NODE_38_length_121218_cov_15.9074_ID_75-snap-gene-0.177-mRNA-1_1&gene=maker-NODE_38_length_121218_cov_15.9074_ID_75-snap-gene-0.177&CDS=1-1356, snap_masked-NODE_55_length_91178_cov_12.208_ID_109-processed-gene-0.128-mRNA-1_1&gene=snap_masked-NODE_55_length_91178_cov_12.208_ID_109-processed-gene-0.128&CDS=1-1122
27	OG0000027	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-0.73&CDS=1-255
28	OG0000028	YGR189C, YML131W	genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_14_length_227584_cov_11.4277_ID_27-processed-gene-0.20&CDS=1-1038, genemark-NODE_57_length_89632_cov_11.3018_ID_113-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_57_length_89632_cov_11.3018_ID_113-processed-gene-0.86&CDS=1-1479, maker-NODE_143_length_16611_cov_13.1178_ID_285-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_143_length_16611_cov_13.1178_ID_285-augustus-gene-0.0&CDS=1-2199
