	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035048_Barnettozyma_salicaria
31	OG0000031	YDR368W, YOR120W	genemark-flattened_line_0-processed-gene-8.241-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.241&CDS=1-933, genemark-flattened_line_0-processed-gene-8.288-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.288&CDS=1-927
32	OG0000032	YDR391C, YOR013W	augustus_masked-flattened_line_13-processed-gene-4.234-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-4.234&CDS=1-618, augustus_masked-flattened_line_13-processed-gene-4.235-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-4.235&CDS=1-612
33	OG0000033	YDR524C, YIL044C	genemark-flattened_line_13-processed-gene-4.6-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-4.6&CDS=1-1149, snap_masked-flattened_line_3-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.5&CDS=1-2706
34	OG0000034	YEL006W, YIL006W	genemark-flattened_line_2-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.20&CDS=1-1146, genemark-flattened_line_2-processed-gene-8.51-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.51&CDS=1-1146
35	OG0000035	YEL047C, YJR051W	genemark-flattened_line_2-processed-gene-4.134-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.134&CDS=1-1377, genemark-flattened_line_2-processed-gene-4.140-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.140&CDS=1-1377
36	OG0000036	YER056C-A, YIL052C	genemark-flattened_line_19-processed-gene-2.268-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-2.268&CDS=1-372, genemark-flattened_line_39-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.64&CDS=1-372
37	OG0000037	YER185W, YGR213C, YLR046C	augustus_masked-flattened_line_7-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-5.5&CDS=1-1029
38	OG0000038	YFL047W, YHR182W	augustus_masked-flattened_line_0-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.116&CDS=1-2547, maker-flattened_line_3-augustus-gene-6.1-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-6.1&CDS=1-2253
39	OG0000039	YFR032C-A, YFR033C	genemark-flattened_line_0-processed-gene-7.15-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.15&CDS=1-612, maker-flattened_line_19-snap-gene-0.53-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-0.53&CDS=1-528
40	OG0000040	YGL076C, YPL198W	genemark-flattened_line_29-processed-gene-1.250-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.250&CDS=1-759, genemark-flattened_line_9-processed-gene-1.86-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.86&CDS=1-759
41	OG0000041	YGR154C, YKR076W, YMR251W	augustus_masked-flattened_line_33-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.62&CDS=1-2382
42	OG0000042	YGR192C, YJL052W, YJR009C	genemark-flattened_line_9-processed-gene-3.103-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.103&CDS=1-1002
43	OG0000043	YGR209C, YLR043C, YOL088C	genemark-flattened_line_25-processed-gene-1.163-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.163&CDS=1-312
44	OG0000044	YHL033C, YLL045C	genemark-flattened_line_0-processed-gene-7.14-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.14&CDS=1-780, genemark-flattened_line_19-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.81&CDS=1-783
45	OG0000045	YHR203C, YJR145C	genemark-flattened_line_23-processed-gene-2.77-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.77&CDS=1-783, snap_masked-flattened_line_13-processed-gene-4.223-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-4.223&CDS=1-783
46	OG0000046	YIL105C, YNL047C	genemark-flattened_line_2-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.16&CDS=1-2133, genemark-flattened_line_2-processed-gene-8.55-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.55&CDS=1-2133
47	OG0000047	YIR001C	genemark-flattened_line_2-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.35&CDS=1-591, genemark-flattened_line_2-processed-gene-8.36-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.36&CDS=1-591, genemark-flattened_line_21-processed-gene-2.29-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-2.29&CDS=1-621
48	OG0000048	YKL068W, YMR047C	genemark-flattened_line_2-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.13&CDS=1-3192, genemark-flattened_line_2-processed-gene-8.58-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.58&CDS=1-3192
49	OG0000049	YKL071W	genemark-flattened_line_11-processed-gene-5.235-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-5.235&CDS=1-759, genemark-flattened_line_57-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.20&CDS=1-759, genemark-flattened_line_9-processed-gene-5.141-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-5.141&CDS=1-759
50	OG0000050	YLR237W, YOR071C, YOR192C	genemark-flattened_line_37-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.124&CDS=1-1713
51	OG0000051	YLR456W, YPR172W	genemark-flattened_line_2-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.123&CDS=1-570, genemark-flattened_line_2-processed-gene-7.38-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.38&CDS=1-570
52	OG0000052	YML111W, YMR275C	genemark-flattened_line_13-processed-gene-2.115-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-2.115&CDS=1-2358, maker-flattened_line_45-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_45-snap-gene-0.2&CDS=1-4620
53	OG0000053	YMR006C, YMR008C, YOL011W	maker-flattened_line_23-augustus-gene-2.4-mRNA-1_1&gene=maker-flattened_line_23-augustus-gene-2.4&CDS=1-3489
54	OG0000054	YMR169C, YMR170C	genemark-flattened_line_2-processed-gene-2.137-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.137&CDS=1-1497, genemark-flattened_line_2-processed-gene-7.29-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.29&CDS=1-1497
55	OG0000055	YMR316W, YNL165W, YOR385W	snap_masked-flattened_line_39-processed-gene-0.179-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.179&CDS=1-1275
56	OG0000056	YOL027C, YPR125W	genemark-flattened_line_0-processed-gene-8.232-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.232&CDS=1-1329, genemark-flattened_line_3-processed-gene-3.38-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-3.38&CDS=1-1320
57	OG0000057	YOL055C, YPL258C, YPR121W	snap_masked-flattened_line_17-processed-gene-2.101-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.101&CDS=1-1611
58	OG0000058	Q0045, Q0065, Q0070	maker-flattened_line_51-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_51-snap-gene-0.0&CDS=1-240
59	OG0000059	YAL007C, YOR016C	genemark-flattened_line_21-processed-gene-2.17-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-2.17&CDS=1-636
60	OG0000060	YAL009W	genemark-flattened_line_2-processed-gene-2.165-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.165&CDS=1-1125, genemark-flattened_line_2-processed-gene-6.175-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.175&CDS=1-1125
61	OG0000061	YAL010C	maker-flattened_line_2-snap-gene-2.127-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-2.127&CDS=1-1182, maker-flattened_line_2-snap-gene-6.61-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-6.61&CDS=1-1182
62	OG0000062	YAL011W	genemark-flattened_line_2-processed-gene-2.164-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.164&CDS=1-1962, genemark-flattened_line_2-processed-gene-6.176-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.176&CDS=1-1962
63	OG0000063	YAL012W	genemark-flattened_line_2-processed-gene-2.160-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.160&CDS=1-1185, genemark-flattened_line_2-processed-gene-6.180-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.180&CDS=1-1185
64	OG0000064	YAL013W	genemark-flattened_line_2-processed-gene-2.158-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.158&CDS=1-1473, genemark-flattened_line_2-processed-gene-6.182-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.182&CDS=1-1473
65	OG0000065	YAL014C	genemark-flattened_line_2-processed-gene-2.162-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.162&CDS=1-792, genemark-flattened_line_2-processed-gene-6.178-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.178&CDS=1-792
66	OG0000066	YAL015C, YOL043C	genemark-flattened_line_13-processed-gene-2.95-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-2.95&CDS=1-1188
67	OG0000067	YAL017W, YOL045W	genemark-flattened_line_13-processed-gene-2.126-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-2.126&CDS=1-3426
68	OG0000068	YAL019W	genemark-flattened_line_2-processed-gene-2.182-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.182&CDS=1-2985, genemark-flattened_line_2-processed-gene-6.155-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.155&CDS=1-2985
69	OG0000069	YAL020C	genemark-flattened_line_2-processed-gene-2.156-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.156&CDS=1-993, genemark-flattened_line_2-processed-gene-6.184-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.184&CDS=1-993
70	OG0000070	YAL034C, YOR338W	snap_masked-flattened_line_15-processed-gene-3.77-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.77&CDS=1-1086
71	OG0000071	YAL037W, YOR342C	genemark-flattened_line_9-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.7&CDS=1-744
72	OG0000072	YAL044C	genemark-flattened_line_2-processed-gene-2.181-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.181&CDS=1-501, genemark-flattened_line_2-processed-gene-6.156-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.156&CDS=1-501
73	OG0000073	YAL044W-A	augustus_masked-flattened_line_2-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.23&CDS=1-372, augustus_masked-flattened_line_2-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.121&CDS=1-372
74	OG0000074	YAL056W, YOR371C	snap_masked-flattened_line_57-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.36&CDS=1-1866
75	OG0000075	YAL060W, YAL061W	genemark-flattened_line_5-processed-gene-5.165-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-5.165&CDS=1-1182
76	OG0000076	YAL062W, YOR375C	maker-flattened_line_41-augustus-gene-0.175-mRNA-1_1&gene=maker-flattened_line_41-augustus-gene-0.175&CDS=1-4032
77	OG0000077	YAR002C-A, YGL002W	genemark-flattened_line_0-processed-gene-5.151-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.151&CDS=1-645
78	OG0000078	YBL002W, YDR224C	genemark-flattened_line_5-processed-gene-3.43-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.43&CDS=1-399
79	OG0000079	YBL009W, YGL021W	genemark-flattened_line_5-processed-gene-3.35-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.35&CDS=1-2604
80	OG0000080	YBL020W	genemark-flattened_line_2-processed-gene-1.129-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.129&CDS=1-1680, genemark-flattened_line_2-processed-gene-8.2-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.2&CDS=1-1680
81	OG0000081	YBL027W, YBR084C-A	genemark-flattened_line_15-processed-gene-2.136-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-2.136&CDS=1-594
82	OG0000082	YBL056W, YER089C	snap_masked-flattened_line_27-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.62&CDS=1-1329
83	OG0000083	YBL067C, YER098W	genemark-flattened_line_9-processed-gene-5.129-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-5.129&CDS=1-2229
84	OG0000084	YBL068W, YER099C	genemark-flattened_line_9-processed-gene-5.157-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-5.157&CDS=1-963
85	OG0000085	YBL072C, YER102W	genemark-flattened_line_9-processed-gene-5.134-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-5.134&CDS=1-600
86	OG0000086	YBL087C, YER117W	genemark-flattened_line_39-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_39-processed-gene-0.42&CDS=1-399
87	OG0000087	YBL089W, YER119C	maker-flattened_line_39-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_39-augustus-gene-0.7&CDS=1-2400
88	OG0000088	YBL101C, YPR030W	augustus_masked-flattened_line_3-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-5.131&CDS=1-2007
89	OG0000089	YBL106C, YPR032W	genemark-flattened_line_9-processed-gene-2.52-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.52&CDS=1-2964
90	OG0000090	YBR005W, YDR003W	genemark-flattened_line_37-processed-gene-0.144-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-0.144&CDS=1-591
91	OG0000091	YBR014C, YDL010W	genemark-flattened_line_23-processed-gene-1.124-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.124&CDS=1-675
92	OG0000092	YBR031W, YDR012W	augustus_masked-flattened_line_25-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.129&CDS=1-2970
93	OG0000093	YBR033W, YKL038W	genemark-flattened_line_7-processed-gene-1.47-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.47&CDS=1-2544
94	OG0000094	YBR048W, YDR025W	genemark-flattened_line_23-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.123&CDS=1-468
95	OG0000095	YBR055C	genemark-flattened_line_2-processed-gene-4.137-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.137&CDS=1-2661, genemark-flattened_line_2-processed-gene-5.104-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.104&CDS=1-2661
96	OG0000096	YBR078W, YDR055W	snap_masked-flattened_line_15-processed-gene-3.59-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.59&CDS=1-1320
97	OG0000097	YBR089C-A, YPR052C	snap_masked-flattened_line_3-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.48&CDS=1-279
98	OG0000098	YBR104W, YPR058W	genemark-flattened_line_19-processed-gene-2.275-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-2.275&CDS=1-888
99	OG0000099	YBR118W, YPR080W	genemark-flattened_line_9-processed-gene-2.9-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.9&CDS=1-1374
100	OG0000100	YBR140C, YOL081W	snap_masked-flattened_line_5-processed-gene-7.220-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-7.220&CDS=1-8016
101	OG0000101	YBR147W, YOL092W	genemark-flattened_line_11-processed-gene-5.246-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-5.246&CDS=1-945
102	OG0000102	YBR150C, YOL089C	genemark-flattened_line_11-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.52&CDS=1-2478
103	OG0000103	YBR161W, YPL057C	genemark-flattened_line_11-processed-gene-4.51-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-4.51&CDS=1-1020
104	OG0000104	YBR169C, YPL106C	genemark-flattened_line_5-processed-gene-3.19-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.19&CDS=1-2073
105	OG0000105	YBR172C, YPL105C	genemark-flattened_line_5-processed-gene-3.26-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-3.26&CDS=1-2442
106	OG0000106	YBR177C, YPL095C	genemark-flattened_line_7-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.55&CDS=1-1317
107	OG0000107	YBR181C, YPL090C	augustus_masked-flattened_line_0-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.13&CDS=1-723
108	OG0000108	YBR183W, YPL087W	genemark-flattened_line_7-processed-gene-6.26-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-6.26&CDS=1-852
109	OG0000109	YBR191W, YPL079W	genemark-flattened_line_35-processed-gene-0.276-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.276&CDS=1-480
110	OG0000110	YBR214W, YGL056C	genemark-flattened_line_23-processed-gene-2.56-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.56&CDS=1-1458
111	OG0000111	YBR216C, YGL060W	genemark-flattened_line_17-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.30&CDS=1-1956
112	OG0000112	YBR238C, YGL107C	genemark-flattened_line_29-processed-gene-1.198-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.198&CDS=1-1902
113	OG0000113	YBR241C, YGL104C	snap_masked-flattened_line_11-processed-gene-2.125-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.125&CDS=1-1410
114	OG0000114	YBR242W, YGL101W	genemark-flattened_line_11-processed-gene-2.16-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-2.16&CDS=1-675
115	OG0000115	YBR257W	genemark-flattened_line_2-processed-gene-1.136-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.136&CDS=1-783, genemark-flattened_line_2-processed-gene-7.23-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.23&CDS=1-783
116	OG0000116	YBR270C, YJL058C	genemark-flattened_line_17-processed-gene-2.134-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-2.134&CDS=1-1299
