	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034709_Kluyveromyces_aestuarii
10	OG0000010	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C	snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-0.2&CDS=1-1785
11	OG0000011	YER040W, YFL021W, YJL110C, YKR034W	snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-2.48&CDS=1-1407, snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.259-mRNA-1_1&gene=snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.259&CDS=1-1863, snap_masked-NODE_22_length_97324_cov_29.8668_ID_43-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_22_length_97324_cov_29.8668_ID_43-processed-gene-0.46&CDS=1-2094
12	OG0000012	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
13	OG0000013	YDL025C, YNL183C, YOR267C	maker-NODE_5_length_653240_cov_27.0146_ID_9-augustus-gene-5.84-mRNA-1_1&gene=maker-NODE_5_length_653240_cov_27.0146_ID_9-augustus-gene-5.84&CDS=1-2646, snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-0.103&CDS=1-1704, snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-3.122-mRNA-1_1&gene=snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-3.122&CDS=1-1749
14	OG0000014	YDL210W, YJR077C	maker-NODE_31_length_28265_cov_30.9157_ID_61-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_31_length_28265_cov_30.9157_ID_61-augustus-gene-0.0&CDS=1-2607, snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-1.103&CDS=1-1701, snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-0.55&CDS=1-1707, snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-0.84&CDS=1-1725
15	OG0000015	YDR135C, YGR281W, YLL015W	snap_masked-NODE_17_length_240136_cov_29.3823_ID_33-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_17_length_240136_cov_29.3823_ID_33-processed-gene-0.2&CDS=1-4368, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-3.94-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-3.94&CDS=1-4551, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-5.36-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-5.36&CDS=1-4695
16	OG0000016	YDR144C, YIL015W, YLR120C, YLR121C	snap_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-2.191-mRNA-1_1&gene=snap_masked-NODE_13_length_344462_cov_51.4643_ID_25-processed-gene-2.191&CDS=1-1554, snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-2.26-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-2.26&CDS=1-1716
17	OG0000017	YDR380W, YLR044C	snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.130-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.130&CDS=1-1686, snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-1.137-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-1.137&CDS=1-1689, snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-5.23-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-5.23&CDS=1-1692, snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-3.108-mRNA-1_1&gene=snap_masked-NODE_8_length_516559_cov_30.1547_ID_15-processed-gene-3.108&CDS=1-1884
18	OG0000018	YER001W, YIL014W	augustus_masked-NODE_41_length_7835_cov_60.454_ID_81-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_41_length_7835_cov_60.454_ID_81-processed-gene-0.5&CDS=1-2181, augustus_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-1.11&CDS=1-1785, snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.153&CDS=1-1830, snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-0.3&CDS=1-2190
19	OG0000019	YER133W, YML016C, YPL179W	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.2-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-2.2&CDS=1-1944, snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-2.159-mRNA-1_1&gene=snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-2.159&CDS=1-1443, snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-0.90&CDS=1-933
20	OG0000020	YFL029C, YKL139W, YPL031C	snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.109&CDS=1-912, snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-2.36&CDS=1-1230, snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.233-mRNA-1_1&gene=snap_masked-NODE_15_length_291038_cov_28.0476_ID_29-processed-gene-1.233&CDS=1-942
21	OG0000021	YHR050W, YLR034C, YOL122C	snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-2.164-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-2.164&CDS=1-1764, snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-0.114&CDS=1-1626, snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-4.16-mRNA-1_1&gene=snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-4.16&CDS=1-1392
22	OG0000022	YIL039W, YPL074W, YPR173C	maker-NODE_2_length_765917_cov_27.8866_ID_3-augustus-gene-2.174-mRNA-1_1&gene=maker-NODE_2_length_765917_cov_27.8866_ID_3-augustus-gene-2.174&CDS=1-4599, snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-3.72&CDS=1-1965, snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-8.156-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-8.156&CDS=1-1281
23	OG0000023	YLL005C, YMR266W, YOL084W	snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.33&CDS=1-2703, snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-1.154-mRNA-1_1&gene=snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-1.154&CDS=1-2988, snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-4.122&CDS=1-2424
24	OG0000024	YLR237W, YOR071C, YOR192C	augustus_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-6.223-mRNA-1_1&gene=augustus_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-6.223&CDS=1-1845, maker-NODE_13_length_344462_cov_51.4643_ID_25-snap-gene-2.73-mRNA-1_1&gene=maker-NODE_13_length_344462_cov_51.4643_ID_25-snap-gene-2.73&CDS=1-3456, snap_masked-NODE_36_length_13334_cov_29.8516_ID_71-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_36_length_13334_cov_29.8516_ID_71-processed-gene-0.8&CDS=1-1806
25	OG0000025	YLR343W, YMR307W, YOL030W	augustus_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.167-mRNA-1_1&gene=augustus_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.167&CDS=1-1584, maker-NODE_14_length_314412_cov_27.9629_ID_27-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_14_length_314412_cov_27.9629_ID_27-snap-gene-0.35&CDS=1-3228, snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.105&CDS=1-1401
26	OG0000026	YMR083W, YMR303C, YOL086C	snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-1.183-mRNA-1_1&gene=snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-1.183&CDS=1-1044, snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-1.199-mRNA-1_1&gene=snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-1.199&CDS=1-1122, snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-2.141-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-2.141&CDS=1-1113
27	OG0000027	YPR013C, YPR015C	augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.128&CDS=1-879, snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.39&CDS=1-906, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-5.35-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-5.35&CDS=1-1332, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-5.4-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-5.4&CDS=1-552
28	OG0000028	YAL053W, YGL139W, YPL221W	genemark-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-2.29-mRNA-1_1&gene=genemark-NODE_6_length_597287_cov_27.2088_ID_11-processed-gene-2.29&CDS=1-2313, snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-4.32-mRNA-1_1&gene=snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-4.32&CDS=1-2346
29	OG0000029	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_26_length_63280_cov_28.0214_ID_51-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_26_length_63280_cov_28.0214_ID_51-processed-gene-0.4&CDS=1-4656
30	OG0000030	YBR293W, YDR119W	snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.26-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-6.26&CDS=1-1779, snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-2.153-mRNA-1_1&gene=snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-2.153&CDS=1-1782, snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NODE_7_length_533625_cov_27.154_ID_13-processed-gene-4.61&CDS=1-1674
31	OG0000031	YCR037C, YJL198W, YNR013C	snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-0.77&CDS=1-2628, snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.12&CDS=1-2547
32	OG0000032	YDL037C, YIR019C	maker-NODE_4_length_706832_cov_27.5555_ID_7-snap-gene-2.91-mRNA-1_1&gene=maker-NODE_4_length_706832_cov_27.5555_ID_7-snap-gene-2.91&CDS=1-2346, snap_masked-NODE_24_length_80013_cov_32.4726_ID_47-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_24_length_80013_cov_32.4726_ID_47-processed-gene-0.43&CDS=1-3129, snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-2.95&CDS=1-4092
33	OG0000033	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-6.148-mRNA-1_1&gene=snap_masked-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-6.148&CDS=1-1020
34	OG0000034	YDR242W	snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_12_length_381431_cov_26.8905_ID_23-processed-gene-0.38&CDS=1-1719, snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-0.78&CDS=1-1635, snap_masked-NODE_38_length_10829_cov_44.3817_ID_75-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_38_length_10829_cov_44.3817_ID_75-processed-gene-0.5&CDS=1-1665, snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NODE_4_length_706832_cov_27.5555_ID_7-processed-gene-2.96&CDS=1-1737
35	OG0000035	YDR253C, YKL062W, YMR037C	snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.134-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-2.134&CDS=1-783, snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.138-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-3.138&CDS=1-2229
36	OG0000036	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-5.17-mRNA-1_1&gene=snap_masked-NODE_5_length_653240_cov_27.0146_ID_9-processed-gene-5.17&CDS=1-1068
37	OG0000037	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-5.104-mRNA-1_1&gene=snap_masked-NODE_2_length_765917_cov_27.8866_ID_3-processed-gene-5.104&CDS=1-627
38	OG0000038	YGR224W, YKR105C, YPR198W	genemark-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-2.47&CDS=1-1665, snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-2.160-mRNA-1_1&gene=snap_masked-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-2.160&CDS=1-1767
39	OG0000039	YIL120W, YIL121W, YNL065W	snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-1.4&CDS=1-1848, snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-1.5&CDS=1-1653
40	OG0000040	YIL123W, YKR042W, YNL066W	snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_11_length_412906_cov_27.0339_ID_21-processed-gene-0.62&CDS=1-1227, snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_16_length_247587_cov_27.0586_ID_31-processed-gene-0.38&CDS=1-1119
41	OG0000041	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
42	OG0000042	YLR342W, YMR306W	genemark-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_3_length_740742_cov_27.1728_ID_5-processed-gene-0.91&CDS=1-5418, snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_14_length_314412_cov_27.9629_ID_27-processed-gene-0.81&CDS=1-5265, snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.78-mRNA-1_1&gene=snap_masked-NODE_9_length_479268_cov_27.3414_ID_17-processed-gene-3.78&CDS=1-5604
43	OG0000043	YNL283C, YOL105C, YOR008C	genemark-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-2.36-mRNA-1_1&gene=genemark-NODE_1_length_907998_cov_27.5965_ID_1-processed-gene-2.36&CDS=1-1275, snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NODE_10_length_474261_cov_27.8157_ID_19-processed-gene-1.106&CDS=1-963
