	OrthologID	Saccharomyces_cerevisiae	Vanderwaltozyma_polyspora
17	OG0000017	YBR010W, YNL031C	augustus_masked-NW_001834654.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NW_001834654.1-processed-gene-0.94&CDS=1-408, augustus_masked-NW_001834675.1-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NW_001834675.1-processed-gene-0.169&CDS=1-408, augustus_masked-NW_001834692.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.83&CDS=1-408
18	OG0000018	YGR197C, YJR015W	augustus_masked-NW_001834655.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.24&CDS=1-1467, augustus_masked-NW_001834655.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NW_001834655.1-processed-gene-0.25&CDS=1-1431, snap_masked-NW_001834604.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NW_001834604.1-processed-gene-0.31&CDS=1-1494
19	OG0000019	YHR179W, YPL171C	augustus_masked-NW_001834677.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.68&CDS=1-1200, augustus_masked-NW_001834694.1-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-3.121&CDS=1-1200, snap_masked-NW_001834670.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NW_001834670.1-processed-gene-0.30&CDS=1-1185
20	OG0000020	YMR083W, YMR303C, YOL086C	augustus_masked-NW_001834589.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834589.1-processed-gene-0.13&CDS=1-1140, augustus_masked-NW_001834692.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.46&CDS=1-1059
21	OG0000021	YMR316W, YOR385W	augustus_masked-NW_001834604.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834604.1-processed-gene-0.24&CDS=1-903, snap_masked-NW_001834611.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NW_001834611.1-processed-gene-0.20&CDS=1-939, snap_masked-NW_001834629.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NW_001834629.1-processed-gene-0.44&CDS=1-918
22	OG0000022	YOL151W	augustus_masked-NW_001834590.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834590.1-processed-gene-0.13&CDS=1-1029, augustus_masked-NW_001834629.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834629.1-processed-gene-0.78&CDS=1-1029, augustus_masked-NW_001834647.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NW_001834647.1-processed-gene-0.50&CDS=1-1005, augustus_masked-NW_001834652.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834652.1-processed-gene-0.27&CDS=1-1026
23	OG0000023	YOR231W, YPL140C, YPL141C	augustus_masked-NW_001834571.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NW_001834571.1-processed-gene-0.33&CDS=1-1884, maker-NW_001834663.1-snap-gene-0.170-mRNA-1_1&gene=maker-NW_001834663.1-snap-gene-0.170&CDS=1-4227
24	OG0000024	YPL088W	augustus_masked-NW_001834584.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NW_001834584.1-processed-gene-0.22&CDS=1-1023, augustus_masked-NW_001834604.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NW_001834604.1-processed-gene-0.17&CDS=1-1023, augustus_masked-NW_001834690.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.56&CDS=1-1026, snap_masked-NW_001834629.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NW_001834629.1-processed-gene-0.54&CDS=1-1014
25	OG0000025		augustus_masked-NW_001834419.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834419.1-processed-gene-0.2&CDS=1-291, augustus_masked-NW_001834581.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001834581.1-processed-gene-0.21&CDS=1-2844, snap_masked-NW_001834592.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NW_001834592.1-processed-gene-0.47&CDS=1-1593, snap_masked-NW_001834600.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NW_001834600.1-processed-gene-0.49&CDS=1-255, snap_masked-NW_001834645.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NW_001834645.1-processed-gene-0.127&CDS=1-684
26	OG0000026	YBL002W, YDR224C	augustus_masked-NW_001834652.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834652.1-processed-gene-0.1&CDS=1-384, augustus_masked-NW_001834679.1-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NW_001834679.1-processed-gene-1.31&CDS=1-390
27	OG0000027	YBL003C, YDR225W	augustus_masked-NW_001834652.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_001834652.1-processed-gene-0.15&CDS=1-396, augustus_masked-NW_001834679.1-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NW_001834679.1-processed-gene-1.11&CDS=1-396
28	OG0000028	YBL027W, YBR084C-A	augustus_masked-NW_001834514.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834514.1-processed-gene-0.0&CDS=1-594, augustus_masked-NW_001834660.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.77&CDS=1-573
29	OG0000029	YBL067C, YER098W	augustus_masked-NW_001834694.1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-2.58&CDS=1-2265, maker-NW_001834678.1-snap-gene-0.248-mRNA-1_1&gene=maker-NW_001834678.1-snap-gene-0.248&CDS=1-1863
30	OG0000030	YBL072C, YER102W	augustus_masked-NW_001834678.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.133&CDS=1-606, augustus_masked-NW_001834694.1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-2.59&CDS=1-609
31	OG0000031	YBL085W, YER114C	augustus_masked-NW_001834694.1-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-2.85&CDS=1-3381, snap_masked-NW_001834678.1-processed-gene-0.176-mRNA-1_1&gene=snap_masked-NW_001834678.1-processed-gene-0.176&CDS=1-2586
32	OG0000032	YBR001C, YDR001C	augustus_masked-NW_001834692.1-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.115&CDS=1-2271, snap_masked-NW_001834678.1-processed-gene-0.234-mRNA-1_1&gene=snap_masked-NW_001834678.1-processed-gene-0.234&CDS=1-2583
33	OG0000033	YBR005W, YDR003W	augustus_masked-NW_001834678.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.110&CDS=1-708, augustus_masked-NW_001834692.1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.81&CDS=1-672
34	OG0000034	YBR023C, YBR038W	augustus_masked-NW_001834668.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NW_001834668.1-processed-gene-0.105&CDS=1-3519, maker-NW_001834692.1-snap-gene-0.36-mRNA-1_1&gene=maker-NW_001834692.1-snap-gene-0.36&CDS=1-6195
35	OG0000035	YBR054W, YDR033W	augustus_masked-NW_001834589.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834589.1-processed-gene-0.11&CDS=1-996, augustus_masked-NW_001834671.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NW_001834671.1-processed-gene-0.118&CDS=1-963
36	OG0000036	YBR066C, YDR043C	genemark-NW_001834691.1-processed-gene-1.144-mRNA-1_1&gene=genemark-NW_001834691.1-processed-gene-1.144&CDS=1-837, snap_masked-NW_001834653.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NW_001834653.1-processed-gene-0.14&CDS=1-1071
37	OG0000037	YBR084W, YGR204W	augustus_masked-NW_001834691.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.91&CDS=1-2844, genemark-NW_001834514.1-processed-gene-0.13-mRNA-1_1&gene=genemark-NW_001834514.1-processed-gene-0.13&CDS=1-2901
38	OG0000038	YBR118W, YPR080W	augustus_masked-NW_001834665.1-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-NW_001834665.1-processed-gene-0.144&CDS=1-1371, augustus_masked-NW_001834681.1-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NW_001834681.1-processed-gene-1.36&CDS=1-1371
39	OG0000039	YBR181C, YPL090C	augustus_masked-NW_001834685.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.77&CDS=1-708, genemark-NW_001834594.1-processed-gene-0.7-mRNA-1_1&gene=genemark-NW_001834594.1-processed-gene-0.7&CDS=1-705
40	OG0000040	YBR189W, YPL081W	maker-NW_001834657.1-snap-gene-0.46-mRNA-1_1&gene=maker-NW_001834657.1-snap-gene-0.46&CDS=1-1002, maker-NW_001834685.1-snap-gene-1.137-mRNA-1_1&gene=maker-NW_001834685.1-snap-gene-1.137&CDS=1-993
41	OG0000041	YBR218C, YGL062W	augustus_masked-NW_001834602.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834602.1-processed-gene-0.2&CDS=1-3531, augustus_masked-NW_001834670.1-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.162&CDS=1-3534
42	OG0000042	YCL035C, YDR513W	augustus_masked-NW_001834689.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.35&CDS=1-327, augustus_masked-NW_001834690.1-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.24&CDS=1-423
43	OG0000043	YCL050C, YDR530C	augustus_masked-NW_001834689.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.25&CDS=1-966, augustus_masked-NW_001834690.1-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.28&CDS=1-966
44	OG0000044	YCL067C, YCR039C, YCR096C	augustus_masked-NW_001834689.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.1&CDS=1-669
45	OG0000045	YDL075W, YLR406C	augustus_masked-NW_001834686.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NW_001834686.1-processed-gene-1.79&CDS=1-339, augustus_masked-NW_001834693.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-0.57&CDS=1-339
46	OG0000046	YDL229W, YNL209W	augustus_masked-NW_001834642.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NW_001834642.1-processed-gene-0.74&CDS=1-1839, augustus_masked-NW_001834677.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.104&CDS=1-1839
47	OG0000047	YDR038C, YDR039C, YDR040C	augustus_masked-NW_001834653.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NW_001834653.1-processed-gene-0.105&CDS=1-3273
48	OG0000048	YDR052C, YDR227W	augustus_masked-NW_001834660.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NW_001834660.1-processed-gene-0.82&CDS=1-1896, snap_masked-NW_001834532.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NW_001834532.1-processed-gene-0.16&CDS=1-1737
49	OG0000049	YDR155C, YDR304C, YHR057C	maker-NW_001834688.1-snap-gene-1.214-mRNA-1_1&gene=maker-NW_001834688.1-snap-gene-1.214&CDS=1-1218
50	OG0000050	YDR213W, YLR228C	maker-NW_001834652.1-snap-gene-0.61-mRNA-1_1&gene=maker-NW_001834652.1-snap-gene-0.61&CDS=1-2142, maker-NW_001834679.1-snap-gene-1.128-mRNA-1_1&gene=maker-NW_001834679.1-snap-gene-1.128&CDS=1-2547
51	OG0000051	YDR312W, YHR066W	augustus_masked-NW_001834566.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NW_001834566.1-processed-gene-0.18&CDS=1-1329, augustus_masked-NW_001834575.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001834575.1-processed-gene-0.21&CDS=1-1332
52	OG0000052	YDR379W, YOR127W	augustus_masked-NW_001834666.1-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-NW_001834666.1-processed-gene-0.164&CDS=1-3075, genemark-NW_001834595.1-processed-gene-0.19-mRNA-1_1&gene=genemark-NW_001834595.1-processed-gene-0.19&CDS=1-2904
53	OG0000053	YDR385W, YOR133W	augustus_masked-NW_001834595.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834595.1-processed-gene-0.38&CDS=1-2526, augustus_masked-NW_001834680.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NW_001834680.1-processed-gene-0.41&CDS=1-2526
54	OG0000054	YDR453C, YML028W	augustus_masked-NW_001834672.1-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NW_001834672.1-processed-gene-0.141&CDS=1-588, augustus_masked-NW_001834688.1-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NW_001834688.1-processed-gene-1.91&CDS=1-585
55	OG0000055	YDR492W, YOL002C	augustus_masked-NW_001834644.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NW_001834644.1-processed-gene-0.32&CDS=1-972, augustus_masked-NW_001834683.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NW_001834683.1-processed-gene-0.79&CDS=1-954
56	OG0000056	YEL063C, YNL268W	augustus_masked-NW_001834690.1-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.10&CDS=1-1785, augustus_masked-NW_001834690.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.35&CDS=1-1830
57	OG0000057	YER047C, YPL074W	augustus_masked-NW_001834640.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_001834640.1-processed-gene-0.44&CDS=1-2643, augustus_masked-NW_001834685.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.64&CDS=1-2346
58	OG0000058	YER070W, YIL066C	augustus_masked-NW_001834526.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NW_001834526.1-processed-gene-0.4&CDS=1-2622, augustus_masked-NW_001834588.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834588.1-processed-gene-0.13&CDS=1-2649
59	OG0000059	YER081W, YIL074C	augustus_masked-NW_001834582.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NW_001834582.1-processed-gene-0.36&CDS=1-1410, augustus_masked-NW_001834588.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_001834588.1-processed-gene-0.8&CDS=1-1407
60	OG0000060	YER133W, YPL179W	augustus_masked-NW_001834636.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NW_001834636.1-processed-gene-0.32&CDS=1-933, augustus_masked-NW_001834673.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NW_001834673.1-processed-gene-0.105&CDS=1-1677
61	OG0000061	YFL042C, YLR072W	snap_masked-NW_001834669.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NW_001834669.1-processed-gene-0.37&CDS=1-1467, snap_masked-NW_001834688.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NW_001834688.1-processed-gene-0.95&CDS=1-2247
62	OG0000062	YFL059W, YMR096W, YNL333W	augustus_masked-NW_001834615.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NW_001834615.1-processed-gene-0.70&CDS=1-897
63	OG0000063	YFL060C, YMR095C, YNL334C	augustus_masked-NW_001834615.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NW_001834615.1-processed-gene-0.60&CDS=1-711
64	OG0000064	YFR015C, YLR258W	augustus_masked-NW_001834536.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NW_001834536.1-processed-gene-0.3&CDS=1-2118, augustus_masked-NW_001834597.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NW_001834597.1-processed-gene-0.30&CDS=1-2127
65	OG0000065	YFR031C-A, YIL018W	augustus_masked-NW_001834598.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834598.1-processed-gene-0.13&CDS=1-789, snap_masked-NW_001834610.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NW_001834610.1-processed-gene-0.11&CDS=1-762
