	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034607_Saccharomycopsis_capsularis
10	OG0000010	YPL088W	augustus_masked-flattened_line_228-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_228-processed-gene-0.5&CDS=1-405, augustus_masked-flattened_line_303-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_303-processed-gene-0.2&CDS=1-858, augustus_masked-flattened_line_305-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_305-processed-gene-0.0&CDS=1-858, genemark-flattened_line_203-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_203-processed-gene-0.12&CDS=1-1050, genemark-flattened_line_22-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.78&CDS=1-843, maker-flattened_line_183-snap-gene-0.20-mRNA-1_1&gene=maker-flattened_line_183-snap-gene-0.20&CDS=1-2835, snap_masked-flattened_line_177-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_177-processed-gene-0.19&CDS=1-1212
11	OG0000011	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	genemark-flattened_line_0-processed-gene-6.33-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.33&CDS=1-1641
12	OG0000012	YBR010W, YNL031C	genemark-flattened_line_146-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_146-processed-gene-0.45&CDS=1-408, genemark-flattened_line_2-processed-gene-4.30-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.30&CDS=1-408, genemark-flattened_line_28-processed-gene-2.16-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-2.16&CDS=1-408, genemark-flattened_line_60-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.100&CDS=1-408, genemark-flattened_line_88-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.49&CDS=1-408
13	OG0000013	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_8-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.42&CDS=1-2562, augustus_masked-flattened_line_8-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.43&CDS=1-2436
14	OG0000014	YOR306C	augustus_masked-flattened_line_40-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-1.114&CDS=1-1524, genemark-flattened_line_226-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_226-processed-gene-0.0&CDS=1-1398, genemark-flattened_line_24-processed-gene-2.180-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.180&CDS=1-1539, genemark-flattened_line_60-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.102&CDS=1-1629, genemark-flattened_line_8-processed-gene-4.117-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.117&CDS=1-1608, maker-flattened_line_2-snap-gene-5.38-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-5.38&CDS=1-3045
15	OG0000015	YPR127W	augustus_masked-flattened_line_1106-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1106-processed-gene-0.1&CDS=1-345, augustus_masked-flattened_line_1358-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1358-processed-gene-0.0&CDS=1-231, augustus_masked-flattened_line_205-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_205-processed-gene-0.15&CDS=1-903, genemark-flattened_line_342-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_342-processed-gene-0.1&CDS=1-723, genemark-flattened_line_658-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_658-processed-gene-0.2&CDS=1-384, maker-flattened_line_90-snap-gene-0.85-mRNA-1_1&gene=maker-flattened_line_90-snap-gene-0.85&CDS=1-1953
16	OG0000016	YBR009C, YNL030W	genemark-flattened_line_146-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_146-processed-gene-0.37&CDS=1-309, genemark-flattened_line_28-processed-gene-2.42-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-2.42&CDS=1-309, genemark-flattened_line_60-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.79&CDS=1-309, genemark-flattened_line_88-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.24&CDS=1-309
17	OG0000017	YBR297W, YFL052W, YGR288W, YPR196W	maker-flattened_line_2-snap-gene-6.65-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-6.65&CDS=1-399, snap_masked-flattened_line_14-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.66&CDS=1-1080
18	OG0000018	YCR089W, YLR110C	genemark-flattened_line_110-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.4&CDS=1-1308, genemark-flattened_line_76-processed-gene-0.149-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.149&CDS=1-2757, maker-flattened_line_110-snap-gene-0.65-mRNA-1_1&gene=maker-flattened_line_110-snap-gene-0.65&CDS=1-1785, snap_masked-flattened_line_76-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.18&CDS=1-477
19	OG0000019	YDL138W, YDL194W	genemark-flattened_line_2-processed-gene-4.16-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.16&CDS=1-2586, genemark-flattened_line_36-processed-gene-1.185-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.185&CDS=1-1593, genemark-flattened_line_70-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.46&CDS=1-2583, maker-flattened_line_128-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_128-snap-gene-0.1&CDS=1-4755
20	OG0000020	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_78-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.25&CDS=1-705, genemark-flattened_line_8-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.11&CDS=1-705
21	OG0000021	YGL216W, YKL079W	augustus_masked-flattened_line_24-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-2.12&CDS=1-2889, genemark-flattened_line_2-processed-gene-6.24-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.24&CDS=1-2700, genemark-flattened_line_32-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.89&CDS=1-2085, genemark-flattened_line_4-processed-gene-2.3-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.3&CDS=1-2949
22	OG0000022	YGR058W	augustus_masked-flattened_line_56-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.29&CDS=1-1011, genemark-flattened_line_46-processed-gene-1.47-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-1.47&CDS=1-1212, genemark-flattened_line_68-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.133&CDS=1-747, maker-flattened_line_100-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_100-snap-gene-0.5&CDS=1-1641, snap_masked-flattened_line_16-processed-gene-2.38-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.38&CDS=1-2130
23	OG0000023	YHR179W, YPL171C	genemark-flattened_line_179-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_179-processed-gene-0.1&CDS=1-1221, genemark-flattened_line_4-processed-gene-5.61-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.61&CDS=1-792, maker-flattened_line_28-snap-gene-2.126-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-2.126&CDS=1-1980, maker-flattened_line_46-snap-gene-1.57-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-1.57&CDS=1-3654
24	OG0000024	YJR061W, YKL201C	augustus_masked-flattened_line_4-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.60&CDS=1-1149, genemark-flattened_line_16-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.64&CDS=1-3231, genemark-flattened_line_62-processed-gene-0.213-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.213&CDS=1-2118, genemark-flattened_line_98-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.28&CDS=1-3264
25	OG0000025	YOR374W	genemark-flattened_line_158-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_158-processed-gene-0.4&CDS=1-1497, genemark-flattened_line_16-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.95&CDS=1-1581, genemark-flattened_line_32-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.99&CDS=1-1581, genemark-flattened_line_44-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.6&CDS=1-1566, genemark-flattened_line_90-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.2&CDS=1-1491
26	OG0000026	YAL007C, YDL018C, YOR016C	genemark-flattened_line_66-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.9&CDS=1-645, genemark-flattened_line_76-processed-gene-0.166-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.166&CDS=1-663
27	OG0000027	YAL056W, YOR371C	snap_masked-flattened_line_106-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.48&CDS=1-2700, snap_masked-flattened_line_106-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.52&CDS=1-2541, snap_masked-flattened_line_106-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.68&CDS=1-2697
28	OG0000028	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
29	OG0000029	YBL002W, YDR224C	genemark-flattened_line_116-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.83&CDS=1-390, genemark-flattened_line_160-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.0&CDS=1-390, genemark-flattened_line_160-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.14&CDS=1-390
30	OG0000030	YBL003C, YDR225W	genemark-flattened_line_116-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.67&CDS=1-393, genemark-flattened_line_160-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.7&CDS=1-393, genemark-flattened_line_160-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.8&CDS=1-393
31	OG0000031	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_72-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.120&CDS=1-4623
32	OG0000032	YBR072W	genemark-flattened_line_102-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.94&CDS=1-636, genemark-flattened_line_12-processed-gene-3.196-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.196&CDS=1-465, genemark-flattened_line_18-processed-gene-3.5-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.5&CDS=1-642, genemark-flattened_line_94-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.18&CDS=1-639
33	OG0000033	YBR140C, YOL081W	augustus_masked-flattened_line_14-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.103&CDS=1-8460, augustus_masked-flattened_line_56-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.38&CDS=1-8118, augustus_masked-flattened_line_56-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.39&CDS=1-8061
34	OG0000034	YBR207W, YER145C	genemark-flattened_line_38-processed-gene-1.163-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.163&CDS=1-1194, genemark-flattened_line_44-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.32&CDS=1-1191, genemark-flattened_line_66-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.6&CDS=1-1281
35	OG0000035	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_2-processed-gene-2.21-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.21&CDS=1-1722
36	OG0000036	YCR102C, YLR460C, YNL134C	genemark-flattened_line_104-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.90&CDS=1-1125, genemark-flattened_line_44-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.42&CDS=1-1125
37	OG0000037	YCR105W, YMR318C	genemark-flattened_line_134-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_134-processed-gene-0.3&CDS=1-1095, genemark-flattened_line_2-processed-gene-4.9-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.9&CDS=1-1086, genemark-flattened_line_216-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_216-processed-gene-0.1&CDS=1-1077
38	OG0000038	YDL049C, YJL174W	genemark-flattened_line_10-processed-gene-1.9-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.9&CDS=1-837, genemark-flattened_line_76-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.175&CDS=1-843, genemark-flattened_line_82-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.18&CDS=1-828
39	OG0000039	YDR143C, YDR265W	augustus_masked-flattened_line_44-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-1.92&CDS=1-1434, genemark-flattened_line_26-processed-gene-2.159-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.159&CDS=1-1239, snap_masked-flattened_line_108-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.38&CDS=1-1875
40	OG0000040	YDR391C, YOR013W	augustus_masked-flattened_line_8-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.56&CDS=1-612, snap_masked-flattened_line_2-processed-gene-2.68-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.68&CDS=1-615, snap_masked-flattened_line_2-processed-gene-2.69-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.69&CDS=1-615
