	OrthologID	Meyerozyma_guilliermondii	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-NW_001809794.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-0.52&CDS=1-2328, augustus_masked-NW_001809797.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-0.71&CDS=1-2133, genemark-NW_001809800.1-processed-gene-18.122-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-18.122&CDS=1-3171, genemark-NW_001809800.1-processed-gene-3.87-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-3.87&CDS=1-2958	YDR368W, YOR120W, YPR022C
11	OG0000011	augustus_masked-NW_001809794.1-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-3.134&CDS=1-2202, augustus_masked-NW_001809798.1-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.90&CDS=1-2139	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
12	OG0000012	augustus_masked-NW_001809794.1-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-4.12&CDS=1-807, augustus_masked-NW_001809794.1-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-5.23&CDS=1-828, augustus_masked-NW_001809799.1-processed-gene-12.140-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-12.140&CDS=1-834, augustus_masked-NW_001809799.1-processed-gene-16.119-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-16.119&CDS=1-4665, augustus_masked-NW_001809799.1-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-9.21&CDS=1-804, augustus_masked-NW_001809800.1-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-3.7&CDS=1-780	YLR425W
13	OG0000013	augustus_masked-NW_001809800.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-1.123&CDS=1-2250, genemark-NW_001809796.1-processed-gene-10.8-mRNA-1_1&gene=genemark-NW_001809796.1-processed-gene-10.8&CDS=1-1494, maker-NW_001809798.1-augustus-gene-2.109-mRNA-1_1&gene=maker-NW_001809798.1-augustus-gene-2.109&CDS=1-3723, maker-NW_001809798.1-snap-gene-10.5-mRNA-1_1&gene=maker-NW_001809798.1-snap-gene-10.5&CDS=1-1965	YMR169C, YMR170C, YPL109C
14	OG0000014	augustus_masked-NW_001809799.1-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-8.93&CDS=1-3942, genemark-NW_001809793.1-processed-gene-2.6-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-2.6&CDS=1-4170, genemark-NW_001809798.1-processed-gene-12.123-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-12.123&CDS=1-7098, snap_masked-NW_001809793.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NW_001809793.1-processed-gene-0.37&CDS=1-3708, snap_masked-NW_001809794.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NW_001809794.1-processed-gene-0.110&CDS=1-3870	YKL215C
15	OG0000015	augustus_masked-NW_001809793.1-processed-gene-3.204-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.204&CDS=1-3333, augustus_masked-NW_001809798.1-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.54&CDS=1-2007, augustus_masked-NW_001809799.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-0.80&CDS=1-3387, augustus_masked-NW_001809800.1-processed-gene-19.88-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-19.88&CDS=1-5250, snap_masked-NW_001809795.1-processed-gene-4.13-mRNA-1_1&gene=snap_masked-NW_001809795.1-processed-gene-4.13&CDS=1-1893, snap_masked-NW_001809799.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NW_001809799.1-processed-gene-0.32&CDS=1-2796	
16	OG0000016	augustus_masked-NW_001809794.1-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.35&CDS=1-1086, augustus_masked-NW_001809794.1-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-3.135&CDS=1-1272, augustus_masked-NW_001809795.1-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-7.12&CDS=1-1167, genemark-NW_001809797.1-processed-gene-1.87-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-1.87&CDS=1-1146	YBR207W, YER145C
17	OG0000017	augustus_masked-NW_001809794.1-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-5.11&CDS=1-3225, augustus_masked-NW_001809799.1-processed-gene-14.120-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-14.120&CDS=1-2736, maker-NW_001809799.1-augustus-gene-17.94-mRNA-1_1&gene=maker-NW_001809799.1-augustus-gene-17.94&CDS=1-4092	YGL120C, YKR086W, YNR011C
18	OG0000018	augustus_masked-NW_001809796.1-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-11.29&CDS=1-1563, augustus_masked-NW_001809797.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-4.72&CDS=1-1533, maker-NW_001809798.1-augustus-gene-6.64-mRNA-1_1&gene=maker-NW_001809798.1-augustus-gene-6.64&CDS=1-2214, snap_masked-NW_001809800.1-processed-gene-14.13-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-14.13&CDS=1-1929	YJL068C, YLR062C
19	OG0000019	maker-NW_001809792.1-snap-gene-0.29-mRNA-1_1&gene=maker-NW_001809792.1-snap-gene-0.29&CDS=1-273	Q0105, Q0110, Q0115, Q0120
20	OG0000020	maker-NW_001809792.1-snap-gene-0.31-mRNA-1_1&gene=maker-NW_001809792.1-snap-gene-0.31&CDS=1-255	Q0045, Q0060, Q0065, Q0070
21	OG0000021	augustus_masked-NW_001809793.1-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.132&CDS=1-1749, augustus_masked-NW_001809795.1-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-5.128&CDS=1-1716, augustus_masked-NW_001809799.1-processed-gene-10.20-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-10.20&CDS=1-1716, maker-NW_001809796.1-augustus-gene-5.61-mRNA-1_1&gene=maker-NW_001809796.1-augustus-gene-5.61&CDS=1-2709	YBR015C
22	OG0000022	augustus_masked-NW_001809793.1-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.134&CDS=1-2268, genemark-NW_001809794.1-processed-gene-1.139-mRNA-1_1&gene=genemark-NW_001809794.1-processed-gene-1.139&CDS=1-2790	YML111W, YMR275C, YNR069C
23	OG0000023	augustus_masked-NW_001809793.1-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.115&CDS=1-2391, augustus_masked-NW_001809796.1-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-5.44&CDS=1-2154, snap_masked-NW_001809797.1-processed-gene-5.51-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-5.51&CDS=1-2634	YGL257C, YNR059W
24	OG0000024	augustus_masked-NW_001809793.1-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.161&CDS=1-1557, augustus_masked-NW_001809794.1-processed-gene-7.265-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-7.265&CDS=1-1545, augustus_masked-NW_001809796.1-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-1.11&CDS=1-1491, augustus_masked-NW_001809799.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-0.94&CDS=1-1557	YDR402C
25	OG0000025	augustus_masked-NW_001809793.1-processed-gene-3.200-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.200&CDS=1-1542, augustus_masked-NW_001809796.1-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-2.9&CDS=1-1485, augustus_masked-NW_001809799.1-processed-gene-16.128-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-16.128&CDS=1-1539	YER056C, YER060W
26	OG0000026	augustus_masked-NW_001809794.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-0.45&CDS=1-1725, augustus_masked-NW_001809796.1-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-2.5&CDS=1-1713, augustus_masked-NW_001809798.1-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-2.11&CDS=1-1800	YJL172W, YOL153C
27	OG0000027	augustus_masked-NW_001809794.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-0.50&CDS=1-1215, augustus_masked-NW_001809795.1-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-9.99&CDS=1-1227, augustus_masked-NW_001809798.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-0.68&CDS=1-1086, augustus_masked-NW_001809800.1-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.27&CDS=1-1092, genemark-NW_001809797.1-processed-gene-7.51-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-7.51&CDS=1-1089	
28	OG0000028	augustus_masked-NW_001809794.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-0.72&CDS=1-1680, augustus_masked-NW_001809794.1-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.11&CDS=1-1641	YDR342C, YDR343C, YHR092C
29	OG0000029	augustus_masked-NW_001809794.1-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.25&CDS=1-3378, augustus_masked-NW_001809798.1-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-5.45&CDS=1-1521, genemark-NW_001809797.1-processed-gene-7.54-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-7.54&CDS=1-1242	YAR019C, YDR523C
30	OG0000030	augustus_masked-NW_001809794.1-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-2.30&CDS=1-1536, augustus_masked-NW_001809798.1-processed-gene-13.147-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-13.147&CDS=1-1737, genemark-NW_001809799.1-processed-gene-12.72-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-12.72&CDS=1-1596	YFL021W, YKR034W
31	OG0000031	augustus_masked-NW_001809794.1-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-4.31&CDS=1-735, augustus_masked-NW_001809797.1-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.88&CDS=1-2391	YCL029C, YNL148C, YPL174C
32	OG0000032	augustus_masked-NW_001809794.1-processed-gene-7.232-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-7.232&CDS=1-2481, maker-NW_001809794.1-snap-gene-6.126-mRNA-1_1&gene=maker-NW_001809794.1-snap-gene-6.126&CDS=1-2466	YCR037C, YJL198W, YNR013C
33	OG0000033	augustus_masked-NW_001809795.1-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-0.120&CDS=1-1044, augustus_masked-NW_001809800.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-0.83&CDS=1-1011, maker-NW_001809794.1-augustus-gene-6.5-mRNA-1_1&gene=maker-NW_001809794.1-augustus-gene-6.5&CDS=1-2001, maker-NW_001809795.1-snap-gene-9.154-mRNA-1_1&gene=maker-NW_001809795.1-snap-gene-9.154&CDS=1-954	YDL144C
34	OG0000034	augustus_masked-NW_001809795.1-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-0.123&CDS=1-2808, augustus_masked-NW_001809797.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-0.73&CDS=1-3381, augustus_masked-NW_001809800.1-processed-gene-13.162-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-13.162&CDS=1-5412	YLR144C, YNR067C
35	OG0000035	augustus_masked-NW_001809795.1-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-1.122&CDS=1-1878, augustus_masked-NW_001809798.1-processed-gene-15.103-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-15.103&CDS=1-1689, augustus_masked-NW_001809800.1-processed-gene-11.150-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-11.150&CDS=1-1731	YDR380W, YLR044C
36	OG0000036	augustus_masked-NW_001809795.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-1.123&CDS=1-1335, augustus_masked-NW_001809798.1-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-10.38&CDS=1-2190, augustus_masked-NW_001809799.1-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-8.79&CDS=1-1272, snap_masked-NW_001809797.1-processed-gene-11.129-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-11.129&CDS=1-1662	YDL170W
37	OG0000037	augustus_masked-NW_001809799.1-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-8.73&CDS=1-2142, genemark-NW_001809795.1-processed-gene-1.80-mRNA-1_1&gene=genemark-NW_001809795.1-processed-gene-1.80&CDS=1-3642, maker-NW_001809799.1-augustus-gene-10.159-mRNA-1_1&gene=maker-NW_001809799.1-augustus-gene-10.159&CDS=1-2568	YER015W, YPL235W
38	OG0000038	augustus_masked-NW_001809800.1-processed-gene-19.87-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-19.87&CDS=1-1443, maker-NW_001809795.1-augustus-gene-1.56-mRNA-1_1&gene=maker-NW_001809795.1-augustus-gene-1.56&CDS=1-2250, maker-NW_001809800.1-augustus-gene-19.108-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-19.108&CDS=1-2424	YDR338C, YMR202W
39	OG0000039	augustus_masked-NW_001809795.1-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-1.138&CDS=1-4803, maker-NW_001809797.1-augustus-gene-8.54-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-8.54&CDS=1-5109	YML072C, YNL087W, YOR086C
40	OG0000040	augustus_masked-NW_001809795.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-5.101&CDS=1-6708, augustus_masked-NW_001809800.1-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-1.145&CDS=1-4530, genemark-NW_001809795.1-processed-gene-2.96-mRNA-1_1&gene=genemark-NW_001809795.1-processed-gene-2.96&CDS=1-4572	YDR135C, YLL015W
41	OG0000041	augustus_masked-NW_001809795.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-6.67&CDS=1-1065, maker-NW_001809795.1-augustus-gene-5.3-mRNA-1_1&gene=maker-NW_001809795.1-augustus-gene-5.3&CDS=1-3579	YCL064C, YIL167W, YML020W
42	OG0000042	augustus_masked-NW_001809800.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-0.56&CDS=1-4431, genemark-NW_001809799.1-processed-gene-9.169-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-9.169&CDS=1-4092, maker-NW_001809796.1-augustus-gene-4.43-mRNA-1_1&gene=maker-NW_001809796.1-augustus-gene-4.43&CDS=1-5388, maker-NW_001809797.1-augustus-gene-9.48-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-9.48&CDS=1-4263	YOR153W
43	OG0000043	augustus_masked-NW_001809797.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-0.80&CDS=1-3840, maker-NW_001809796.1-augustus-gene-8.6-mRNA-1_1&gene=maker-NW_001809796.1-augustus-gene-8.6&CDS=1-10086	YBL105C, YCL024W, YDR507C
44	OG0000044	augustus_masked-NW_001809796.1-processed-gene-9.89-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-9.89&CDS=1-468, augustus_masked-NW_001809800.1-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.61&CDS=1-810	YDR178W, YLR164W, YPR166C
45	OG0000045	augustus_masked-NW_001809796.1-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-10.124&CDS=1-1479, augustus_masked-NW_001809797.1-processed-gene-11.223-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.223&CDS=1-1680, augustus_masked-NW_001809798.1-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.81&CDS=1-7383	YJL109C, YOR348C
46	OG0000046	augustus_masked-NW_001809796.1-processed-gene-11.27-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-11.27&CDS=1-999, augustus_masked-NW_001809799.1-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-2.119&CDS=1-1005	YGR192C, YJL052W, YJR009C
