	OrthologID	Saccharomyces_cerevisiae	yHAB132_Kazachstania_martiniae
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-scf7180000030516-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000030516-processed-gene-0.33&CDS=1-1431
11	OG0000011	YBR012C, YER076C	augustus_masked-scf7180000030403-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000030403-processed-gene-0.11&CDS=1-804, augustus_masked-scf7180000030408-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000030408-processed-gene-0.22&CDS=1-468, augustus_masked-scf7180000030453-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000030453-processed-gene-0.15&CDS=1-906, snap_masked-scf7180000030011-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030011-processed-gene-0.2&CDS=1-168
12	OG0000012	YBR145W, YMR083W, YMR303C, YOL086C	genemark-scf7180000030490-processed-gene-0.136-mRNA-1_1&gene=genemark-scf7180000030490-processed-gene-0.136&CDS=1-1125, maker-scf7180000030482-augustus-gene-0.14-mRNA-1_1&gene=maker-scf7180000030482-augustus-gene-0.14&CDS=1-1335
13	OG0000013	YCL066W, YCR040W	augustus_masked-scf7180000030475-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-scf7180000030475-processed-gene-0.173&CDS=1-516, augustus_masked-scf7180000030492-processed-gene-1.214-mRNA-1_1&gene=augustus_masked-scf7180000030492-processed-gene-1.214&CDS=1-516, augustus_masked-scf7180000030493-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scf7180000030493-processed-gene-0.64&CDS=1-516, augustus_masked-scf7180000030522-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000030522-processed-gene-0.51&CDS=1-516
14	OG0000014	YDL037C	genemark-scf7180000030094-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000030094-processed-gene-0.1&CDS=1-2457, snap_masked-scf7180000029955-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000029955-processed-gene-0.2&CDS=1-1380, snap_masked-scf7180000029973-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000029973-processed-gene-0.5&CDS=1-1323, snap_masked-scf7180000030029-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030029-processed-gene-0.2&CDS=1-972, snap_masked-scf7180000030497-processed-gene-0.149-mRNA-1_1&gene=snap_masked-scf7180000030497-processed-gene-0.149&CDS=1-1290
15	OG0000015	YDR406W, YOR153W	augustus_masked-scf7180000030451-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000030451-processed-gene-0.116&CDS=1-5820, augustus_masked-scf7180000030502-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000030502-processed-gene-0.5&CDS=1-4488, genemark-scf7180000030494-processed-gene-0.197-mRNA-1_1&gene=genemark-scf7180000030494-processed-gene-0.197&CDS=1-4494, genemark-scf7180000030519-processed-gene-0.107-mRNA-1_1&gene=genemark-scf7180000030519-processed-gene-0.107&CDS=1-4689
16	OG0000016	YGR032W, YLR342W, YMR306W	maker-scf7180000030480-snap-gene-1.94-mRNA-1_1&gene=maker-scf7180000030480-snap-gene-1.94&CDS=1-5388, maker-scf7180000030489-augustus-gene-0.45-mRNA-1_1&gene=maker-scf7180000030489-augustus-gene-0.45&CDS=1-7044, maker-scf7180000030490-snap-gene-1.103-mRNA-1_1&gene=maker-scf7180000030490-snap-gene-1.103&CDS=1-5112
17	OG0000017	YGR192C, YJL052W, YJR009C	maker-scf7180000030435-snap-gene-0.53-mRNA-1_1&gene=maker-scf7180000030435-snap-gene-0.53&CDS=1-1302, snap_masked-scf7180000030442-processed-gene-0.130-mRNA-1_1&gene=snap_masked-scf7180000030442-processed-gene-0.130&CDS=1-993, snap_masked-scf7180000030521-processed-gene-0.131-mRNA-1_1&gene=snap_masked-scf7180000030521-processed-gene-0.131&CDS=1-978
18	OG0000018	YAL005C, YER103W, YLL024C	genemark-scf7180000030481-processed-gene-1.242-mRNA-1_1&gene=genemark-scf7180000030481-processed-gene-1.242&CDS=1-1893, snap_masked-scf7180000030519-processed-gene-1.183-mRNA-1_1&gene=snap_masked-scf7180000030519-processed-gene-1.183&CDS=1-1917
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	maker-scf7180000030524-augustus-gene-0.5-mRNA-1_1&gene=maker-scf7180000030524-augustus-gene-0.5&CDS=1-5016
20	OG0000020	YCL075W	augustus_masked-scf7180000030130-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030130-processed-gene-0.2&CDS=1-1965, snap_masked-scf7180000030136-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030136-processed-gene-0.0&CDS=1-1848, snap_masked-scf7180000030401-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030401-processed-gene-0.2&CDS=1-1134, snap_masked-scf7180000030401-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000030401-processed-gene-0.3&CDS=1-708
21	OG0000021	YCR102C, YLR460C, YNL134C	genemark-scf7180000030486-processed-gene-1.28-mRNA-1_1&gene=genemark-scf7180000030486-processed-gene-1.28&CDS=1-1131, snap_masked-scf7180000030453-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000030453-processed-gene-0.4&CDS=1-1125
22	OG0000022	YCR105W, YMR318C	genemark-scf7180000030360-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000030360-processed-gene-0.4&CDS=1-1080, snap_masked-scf7180000030456-processed-gene-1.36-mRNA-1_1&gene=snap_masked-scf7180000030456-processed-gene-1.36&CDS=1-1077, snap_masked-scf7180000030499-processed-gene-1.140-mRNA-1_1&gene=snap_masked-scf7180000030499-processed-gene-1.140&CDS=1-1080
23	OG0000023	YDR021W, YJL138C, YKR059W	genemark-scf7180000030526-processed-gene-1.227-mRNA-1_1&gene=genemark-scf7180000030526-processed-gene-1.227&CDS=1-1176, maker-scf7180000030452-snap-gene-0.50-mRNA-1_1&gene=maker-scf7180000030452-snap-gene-0.50&CDS=1-4260
24	OG0000024	YER011W, YOR010C	augustus_masked-scf7180000030524-processed-gene-5.175-mRNA-1_1&gene=augustus_masked-scf7180000030524-processed-gene-5.175&CDS=1-858, snap_masked-scf7180000030412-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scf7180000030412-processed-gene-0.39&CDS=1-741, snap_masked-scf7180000030510-processed-gene-2.99-mRNA-1_1&gene=snap_masked-scf7180000030510-processed-gene-2.99&CDS=1-720
25	OG0000025	YGL249W	snap_masked-scf7180000029998-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000029998-processed-gene-0.8&CDS=1-1809, snap_masked-scf7180000030016-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000030016-processed-gene-0.4&CDS=1-648, snap_masked-scf7180000030364-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000030364-processed-gene-0.15&CDS=1-1809, snap_masked-scf7180000030437-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000030437-processed-gene-0.12&CDS=1-1809
26	OG0000026	YGR087C, YLR044C, YLR134W	genemark-scf7180000030501-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000030501-processed-gene-0.4&CDS=1-1605, snap_masked-scf7180000030510-processed-gene-2.117-mRNA-1_1&gene=snap_masked-scf7180000030510-processed-gene-2.117&CDS=1-1689
27	OG0000027	YJR015W	genemark-scf7180000030435-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000030435-processed-gene-0.18&CDS=1-1461, snap_masked-scf7180000030435-processed-gene-0.83-mRNA-1_1&gene=snap_masked-scf7180000030435-processed-gene-0.83&CDS=1-1602, snap_masked-scf7180000030435-processed-gene-0.85-mRNA-1_1&gene=snap_masked-scf7180000030435-processed-gene-0.85&CDS=1-1566, snap_masked-scf7180000030435-processed-gene-0.87-mRNA-1_1&gene=snap_masked-scf7180000030435-processed-gene-0.87&CDS=1-1485
28	OG0000028	YKL072W, YKL073W, YMR053C	genemark-scf7180000030481-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000030481-processed-gene-0.12&CDS=1-2625, maker-scf7180000030526-augustus-gene-1.9-mRNA-1_1&gene=maker-scf7180000030526-augustus-gene-1.9&CDS=1-4881
29	OG0000029	YLR152C	maker-scf7180000029966-augustus-gene-0.11-mRNA-1_1&gene=maker-scf7180000029966-augustus-gene-0.11&CDS=1-2772, maker-scf7180000030045-snap-gene-0.5-mRNA-1_1&gene=maker-scf7180000030045-snap-gene-0.5&CDS=1-2814, maker-scf7180000030047-snap-gene-0.5-mRNA-1_1&gene=maker-scf7180000030047-snap-gene-0.5&CDS=1-2814, maker-scf7180000030503-snap-gene-0.23-mRNA-1_1&gene=maker-scf7180000030503-snap-gene-0.23&CDS=1-2814
30	OG0000030	YOR162C, YOR172W	augustus_masked-scf7180000030455-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-scf7180000030455-processed-gene-1.47&CDS=1-2298, augustus_masked-scf7180000030510-processed-gene-2.258-mRNA-1_1&gene=augustus_masked-scf7180000030510-processed-gene-2.258&CDS=1-2454, augustus_masked-scf7180000030525-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scf7180000030525-processed-gene-1.92&CDS=1-2586
31	OG0000031	YOR231W, YPL140C, YPL141C	genemark-scf7180000030488-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000030488-processed-gene-0.57&CDS=1-2685, maker-scf7180000030521-snap-gene-0.214-mRNA-1_1&gene=maker-scf7180000030521-snap-gene-0.214&CDS=1-4005
32	OG0000032	YPR127W	augustus_masked-scf7180000029942-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000029942-processed-gene-0.5&CDS=1-825, genemark-scf7180000030316-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000030316-processed-gene-0.1&CDS=1-804, genemark-scf7180000030349-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000030349-processed-gene-0.1&CDS=1-762, snap_masked-scf7180000030496-processed-gene-0.103-mRNA-1_1&gene=snap_masked-scf7180000030496-processed-gene-0.103&CDS=1-1038
33	OG0000033	YAL028W, YOR324C	snap_masked-scf7180000030456-processed-gene-1.98-mRNA-1_1&gene=snap_masked-scf7180000030456-processed-gene-1.98&CDS=1-1644, snap_masked-scf7180000030510-processed-gene-2.126-mRNA-1_1&gene=snap_masked-scf7180000030510-processed-gene-2.126&CDS=1-1509
34	OG0000034	YAL034C, YOR338W	snap_masked-scf7180000030456-processed-gene-1.61-mRNA-1_1&gene=snap_masked-scf7180000030456-processed-gene-1.61&CDS=1-1101, snap_masked-scf7180000030501-processed-gene-0.200-mRNA-1_1&gene=snap_masked-scf7180000030501-processed-gene-0.200&CDS=1-1044
35	OG0000035	YAR042W, YDL019C	genemark-scf7180000030474-processed-gene-0.190-mRNA-1_1&gene=genemark-scf7180000030474-processed-gene-0.190&CDS=1-3804, maker-scf7180000030479-augustus-gene-0.130-mRNA-1_1&gene=maker-scf7180000030479-augustus-gene-0.130&CDS=1-3435
36	OG0000036	YAR066W, YHR214W, YIL169C, YOL155C	
37	OG0000037	YBL003C, YDR225W	genemark-scf7180000030474-processed-gene-0.163-mRNA-1_1&gene=genemark-scf7180000030474-processed-gene-0.163&CDS=1-396, snap_masked-scf7180000030493-processed-gene-1.79-mRNA-1_1&gene=snap_masked-scf7180000030493-processed-gene-1.79&CDS=1-396
38	OG0000038	YBL052C, YOR244W	snap_masked-scf7180000030481-processed-gene-1.159-mRNA-1_1&gene=snap_masked-scf7180000030481-processed-gene-1.159&CDS=1-2106, snap_masked-scf7180000030521-processed-gene-0.164-mRNA-1_1&gene=snap_masked-scf7180000030521-processed-gene-0.164&CDS=1-1326
39	OG0000039	YBL087C, YER117W	snap_masked-scf7180000030481-processed-gene-1.145-mRNA-1_1&gene=snap_masked-scf7180000030481-processed-gene-1.145&CDS=1-405, snap_masked-scf7180000030499-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scf7180000030499-processed-gene-0.20&CDS=1-405
40	OG0000040	YBR008C	genemark-scf7180000030489-processed-gene-1.77-mRNA-1_1&gene=genemark-scf7180000030489-processed-gene-1.77&CDS=1-1629, genemark-scf7180000030512-processed-gene-0.169-mRNA-1_1&gene=genemark-scf7180000030512-processed-gene-0.169&CDS=1-1641, maker-scf7180000030496-snap-gene-0.185-mRNA-1_1&gene=maker-scf7180000030496-snap-gene-0.185&CDS=1-3132
41	OG0000041	YBR009C, YNL030W	snap_masked-scf7180000030484-processed-gene-0.148-mRNA-1_1&gene=snap_masked-scf7180000030484-processed-gene-0.148&CDS=1-309, snap_masked-scf7180000030518-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scf7180000030518-processed-gene-0.73&CDS=1-309
42	OG0000042	YBR010W, YNL031C	genemark-scf7180000030484-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000030484-processed-gene-0.3&CDS=1-408, snap_masked-scf7180000030518-processed-gene-0.96-mRNA-1_1&gene=snap_masked-scf7180000030518-processed-gene-0.96&CDS=1-408
43	OG0000043	YBR024W, YBR037C	augustus_masked-scf7180000030474-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000030474-processed-gene-0.48&CDS=1-819, snap_masked-scf7180000030479-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scf7180000030479-processed-gene-0.74&CDS=1-852
44	OG0000044	YBR048W, YDR025W	augustus_masked-scf7180000030484-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000030484-processed-gene-0.78&CDS=1-468, snap_masked-scf7180000030526-processed-gene-1.120-mRNA-1_1&gene=snap_masked-scf7180000030526-processed-gene-1.120&CDS=1-468
45	OG0000045	YBR054W, YDR033W	snap_masked-scf7180000030484-processed-gene-0.161-mRNA-1_1&gene=snap_masked-scf7180000030484-processed-gene-0.161&CDS=1-984, snap_masked-scf7180000030526-processed-gene-1.121-mRNA-1_1&gene=snap_masked-scf7180000030526-processed-gene-1.121&CDS=1-921
46	OG0000046	YBR084W, YGR204W	augustus_masked-scf7180000030484-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000030484-processed-gene-0.89&CDS=1-2892, genemark-scf7180000030435-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000030435-processed-gene-0.41&CDS=1-3699
47	OG0000047	YBR140C, YOL081W	genemark-scf7180000030456-processed-gene-1.254-mRNA-1_1&gene=genemark-scf7180000030456-processed-gene-1.254&CDS=1-9348, genemark-scf7180000030474-processed-gene-0.146-mRNA-1_1&gene=genemark-scf7180000030474-processed-gene-0.146&CDS=1-9030
48	OG0000048	YBR181C, YPL090C	snap_masked-scf7180000030493-processed-gene-2.115-mRNA-1_1&gene=snap_masked-scf7180000030493-processed-gene-2.115&CDS=1-753, snap_masked-scf7180000030525-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scf7180000030525-processed-gene-2.11&CDS=1-708
49	OG0000049	YBR189W, YPL081W	maker-scf7180000030493-snap-gene-2.11-mRNA-1_1&gene=maker-scf7180000030493-snap-gene-2.11&CDS=1-1002, maker-scf7180000030525-snap-gene-2.156-mRNA-1_1&gene=maker-scf7180000030525-snap-gene-2.156&CDS=1-987
50	OG0000050	YBR197C, YPL077C	augustus_masked-scf7180000030493-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-scf7180000030493-processed-gene-2.38&CDS=1-867, snap_masked-scf7180000030525-processed-gene-2.6-mRNA-1_1&gene=snap_masked-scf7180000030525-processed-gene-2.6&CDS=1-1038
51	OG0000051	YBR242W, YGL101W	genemark-scf7180000030455-processed-gene-0.129-mRNA-1_1&gene=genemark-scf7180000030455-processed-gene-0.129&CDS=1-684, snap_masked-scf7180000030442-processed-gene-0.121-mRNA-1_1&gene=snap_masked-scf7180000030442-processed-gene-0.121&CDS=1-642
52	OG0000052	YCL011C, YNL004W	maker-scf7180000030490-augustus-gene-1.299-mRNA-1_1&gene=maker-scf7180000030490-augustus-gene-1.299&CDS=1-1254, maker-scf7180000030518-augustus-gene-0.148-mRNA-1_1&gene=maker-scf7180000030518-augustus-gene-0.148&CDS=1-1500
53	OG0000053	YCL043C, YDR517W	maker-scf7180000030494-snap-gene-0.11-mRNA-1_1&gene=maker-scf7180000030494-snap-gene-0.11&CDS=1-2751, snap_masked-scf7180000030475-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000030475-processed-gene-0.41&CDS=1-1587
54	OG0000054	YCR061W	augustus_masked-scf7180000030092-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000030092-processed-gene-0.1&CDS=1-375, genemark-scf7180000030498-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000030498-processed-gene-0.1&CDS=1-1716, snap_masked-scf7180000030489-processed-gene-0.128-mRNA-1_1&gene=snap_masked-scf7180000030489-processed-gene-0.128&CDS=1-435
55	OG0000055	YCR097W	snap_masked-scf7180000030475-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scf7180000030475-processed-gene-0.60&CDS=1-219, snap_masked-scf7180000030493-processed-gene-0.105-mRNA-1_1&gene=snap_masked-scf7180000030493-processed-gene-0.105&CDS=1-255, snap_masked-scf7180000030522-processed-gene-0.91-mRNA-1_1&gene=snap_masked-scf7180000030522-processed-gene-0.91&CDS=1-219
56	OG0000056	YDL109C, YGL144C	augustus_masked-scf7180000030414-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000030414-processed-gene-0.56&CDS=1-2082, maker-scf7180000030452-augustus-gene-1.108-mRNA-1_1&gene=maker-scf7180000030452-augustus-gene-1.108&CDS=1-4515
57	OG0000057	YDL131W, YDL182W	genemark-scf7180000030510-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000030510-processed-gene-0.6&CDS=1-1353, maker-scf7180000030486-snap-gene-0.54-mRNA-1_1&gene=maker-scf7180000030486-snap-gene-0.54&CDS=1-1611
58	OG0000058	YDL161W, YLR206W	genemark-scf7180000030438-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000030438-processed-gene-0.43&CDS=1-1755, genemark-scf7180000030486-processed-gene-1.44-mRNA-1_1&gene=genemark-scf7180000030486-processed-gene-1.44&CDS=1-1293
59	OG0000059	YDL178W, YEL071W	genemark-scf7180000030510-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000030510-processed-gene-0.12&CDS=1-1599, snap_masked-scf7180000030451-processed-gene-0.238-mRNA-1_1&gene=snap_masked-scf7180000030451-processed-gene-0.238&CDS=1-1485
60	OG0000060	YDL224C, YNL197C	snap_masked-scf7180000030434-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000030434-processed-gene-0.29&CDS=1-2001, snap_masked-scf7180000030492-processed-gene-1.55-mRNA-1_1&gene=snap_masked-scf7180000030492-processed-gene-1.55&CDS=1-1857
61	OG0000061	YDR038C, YDR039C, YDR040C	genemark-scf7180000030478-processed-gene-0.189-mRNA-1_1&gene=genemark-scf7180000030478-processed-gene-0.189&CDS=1-3252
62	OG0000062	YDR080W	genemark-scf7180000030001-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000030001-processed-gene-0.1&CDS=1-1566, maker-scf7180000030425-snap-gene-0.72-mRNA-1_1&gene=maker-scf7180000030425-snap-gene-0.72&CDS=1-2532, snap_masked-scf7180000030524-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scf7180000030524-processed-gene-0.70&CDS=1-1959
63	OG0000063	YDR085C, YER158C	augustus_masked-scf7180000030508-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000030508-processed-gene-0.30&CDS=1-1263, augustus_masked-scf7180000030522-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-scf7180000030522-processed-gene-1.179&CDS=1-1536
