	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034623_Pichia_norvegensis
10	OG0000010	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_0-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.62&CDS=1-4545
11	OG0000011	YBR089C-A, YDL002C, YPR052C	snap_masked-flattened_line_24-processed-gene-0.254-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.254&CDS=1-288, snap_masked-flattened_line_28-processed-gene-0.174-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.174&CDS=1-1386
12	OG0000012	YBR207W, YER145C	snap_masked-flattened_line_4-processed-gene-2.97-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.97&CDS=1-1125, snap_masked-flattened_line_40-processed-gene-0.131-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.131&CDS=1-1176, snap_masked-flattened_line_68-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.29&CDS=1-1119
13	OG0000013	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_104-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.87&CDS=1-3465
14	OG0000014	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_40-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.93&CDS=1-1635
15	OG0000015	YCR106W, YLL054C	genemark-flattened_line_6-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.23&CDS=1-474, genemark-flattened_line_98-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.17&CDS=1-1569, snap_masked-flattened_line_10-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.70&CDS=1-2169
16	OG0000016	YDR011W, YNR070W	augustus_masked-flattened_line_260-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_260-processed-gene-0.0&CDS=1-3027, augustus_masked-flattened_line_292-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_292-processed-gene-0.0&CDS=1-3027, genemark-flattened_line_82-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.48&CDS=1-6360
17	OG0000017	YDR038C, YDR039C, YDR040C	genemark-flattened_line_0-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.16&CDS=1-3300, snap_masked-flattened_line_0-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.94&CDS=1-3249
18	OG0000018	YER067W, YIL057C, YOR132W	maker-flattened_line_24-augustus-gene-0.97-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-0.97&CDS=1-2223, snap_masked-flattened_line_2-processed-gene-2.56-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.56&CDS=1-543
19	OG0000019	YGR031W	snap_masked-flattened_line_298-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_298-processed-gene-0.8&CDS=1-966, snap_masked-flattened_line_298-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_298-processed-gene-0.9&CDS=1-954, snap_masked-flattened_line_300-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_300-processed-gene-0.8&CDS=1-963, snap_masked-flattened_line_300-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_300-processed-gene-0.9&CDS=1-954
20	OG0000020	YJL089W, YMR280C	augustus_masked-flattened_line_1038-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1038-processed-gene-0.2&CDS=1-240, genemark-flattened_line_110-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.78&CDS=1-2076, snap_masked-flattened_line_6-processed-gene-1.109-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.109&CDS=1-3630
21	OG0000021	YJL137C, YJL146W, YKR058W	augustus_masked-flattened_line_10-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.24&CDS=1-876, snap_masked-flattened_line_24-processed-gene-0.223-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.223&CDS=1-1557
22	OG0000022	YLR454W	snap_masked-flattened_line_1046-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1046-processed-gene-0.0&CDS=1-219, snap_masked-flattened_line_1158-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1158-processed-gene-0.0&CDS=1-219, snap_masked-flattened_line_384-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_384-processed-gene-0.0&CDS=1-3195, snap_masked-flattened_line_396-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_396-processed-gene-0.0&CDS=1-3093
23	OG0000023	YOL055C, YPL258C, YPR121W	snap_masked-flattened_line_286-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_286-processed-gene-0.8&CDS=1-1635, snap_masked-flattened_line_304-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_304-processed-gene-0.0&CDS=1-1635
24	OG0000024	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_132-snap-gene-0.36-mRNA-1_1&gene=maker-flattened_line_132-snap-gene-0.36&CDS=1-1116
25	OG0000025	YAL051W, YOR363C	snap_masked-flattened_line_108-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.40&CDS=1-2913, snap_masked-flattened_line_46-processed-gene-0.182-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.182&CDS=1-2682
26	OG0000026	YBL002W, YDR224C	snap_masked-flattened_line_18-processed-gene-1.1-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.1&CDS=1-384, snap_masked-flattened_line_28-processed-gene-0.172-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.172&CDS=1-375
27	OG0000027	YBL003C, YDR225W	snap_masked-flattened_line_18-processed-gene-1.8-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.8&CDS=1-393, snap_masked-flattened_line_28-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.122&CDS=1-393
28	OG0000028	YBR009C, YNL030W	augustus_masked-flattened_line_12-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.55&CDS=1-309, snap_masked-flattened_line_54-processed-gene-0.166-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.166&CDS=1-309
29	OG0000029	YBR010W, YNL031C	snap_masked-flattened_line_12-processed-gene-1.95-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.95&CDS=1-408, snap_masked-flattened_line_54-processed-gene-0.207-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.207&CDS=1-408
30	OG0000030	YBR151W, YML050W	augustus_masked-flattened_line_22-processed-gene-0.245-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.245&CDS=1-906, augustus_masked-flattened_line_54-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.66&CDS=1-723
31	OG0000031	YBR238C, YGL107C	snap_masked-flattened_line_114-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.24&CDS=1-3738, snap_masked-flattened_line_4-processed-gene-1.145-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.145&CDS=1-1959
32	OG0000032	YBR293W, YDR270W	augustus_masked-flattened_line_68-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.139&CDS=1-1626, maker-flattened_line_98-snap-gene-0.108-mRNA-1_1&gene=maker-flattened_line_98-snap-gene-0.108&CDS=1-5082
33	OG0000033	YCL067C, YCR039C, YCR096C	maker-flattened_line_80-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_80-augustus-gene-0.7&CDS=1-636
34	OG0000034	YCR102C, YLR460C, YNL134C	snap_masked-flattened_line_160-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.20&CDS=1-1104
35	OG0000035	YDL015C	augustus_masked-flattened_line_318-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_318-processed-gene-0.0&CDS=1-885, augustus_masked-flattened_line_550-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_550-processed-gene-0.4&CDS=1-885, augustus_masked-flattened_line_62-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.135&CDS=1-255
36	OG0000036	YDL144C, YOL152W	augustus_masked-flattened_line_174-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_174-processed-gene-0.19&CDS=1-2859, maker-flattened_line_70-augustus-gene-0.155-mRNA-1_1&gene=maker-flattened_line_70-augustus-gene-0.155&CDS=1-1908
37	OG0000037	YDR002W, YLR335W	snap_masked-flattened_line_146-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_146-processed-gene-0.22&CDS=1-1974, snap_masked-flattened_line_20-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.94&CDS=1-642
38	OG0000038	YDR144C, YLR120C, YLR121C	genemark-flattened_line_94-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.86&CDS=1-1938
39	OG0000039	YDR235W, YML046W	snap_masked-flattened_line_10-processed-gene-1.19-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.19&CDS=1-1500, snap_masked-flattened_line_18-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.60&CDS=1-1962
40	OG0000040	YDR237W, YLL057C	maker-flattened_line_10-augustus-gene-1.185-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.185&CDS=1-4101, maker-flattened_line_26-augustus-gene-0.292-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-0.292&CDS=1-1848
41	OG0000041	YDR276C, YDR525W-A, YJL151C	genemark-flattened_line_18-processed-gene-1.75-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.75&CDS=1-516
42	OG0000042	YDR384C	augustus_masked-flattened_line_896-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_896-processed-gene-0.2&CDS=1-327, augustus_masked-flattened_line_906-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_906-processed-gene-0.0&CDS=1-327, snap_masked-flattened_line_166-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_166-processed-gene-0.11&CDS=1-756
43	OG0000043	YEL006W, YIL006W, YIL134W	snap_masked-flattened_line_44-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.89&CDS=1-963
44	OG0000044	YEL063C, YNL268W, YNL270C	maker-flattened_line_68-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.6&CDS=1-3399
45	OG0000045	YER131W, YGL189C	augustus_masked-flattened_line_204-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_204-processed-gene-0.11&CDS=1-357, snap_masked-flattened_line_232-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_232-processed-gene-0.1&CDS=1-357
46	OG0000046	YER176W, YOR330C	genemark-flattened_line_6-processed-gene-1.176-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.176&CDS=1-7125, snap_masked-flattened_line_166-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_166-processed-gene-0.12&CDS=1-4029
47	OG0000047	YFL017W-A, YNL147W	snap_masked-flattened_line_18-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.74&CDS=1-222, snap_masked-flattened_line_96-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.14&CDS=1-375
48	OG0000048	YFL048C, YLR080W	snap_masked-flattened_line_138-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_138-processed-gene-0.15&CDS=1-1353, snap_masked-flattened_line_274-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_274-processed-gene-0.4&CDS=1-1353
49	OG0000049	YFR023W, YHR015W	augustus_masked-flattened_line_888-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_888-processed-gene-0.2&CDS=1-372, snap_masked-flattened_line_68-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.12&CDS=1-2445
50	OG0000050	YGL071W, YPL202C	augustus_masked-flattened_line_700-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_700-processed-gene-0.2&CDS=1-432, snap_masked-flattened_line_718-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_718-processed-gene-0.2&CDS=1-429
51	OG0000051	YGL139W, YPL221W	snap_masked-flattened_line_368-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_368-processed-gene-0.2&CDS=1-966, snap_masked-flattened_line_370-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_370-processed-gene-0.1&CDS=1-966
52	OG0000052	YGR012W, YOR043W	augustus_masked-flattened_line_10-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.17&CDS=1-3036, snap_masked-flattened_line_80-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.48&CDS=1-1161
53	OG0000053	YGR037C, YML007W	maker-flattened_line_126-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_126-augustus-gene-0.1&CDS=1-2643, snap_masked-flattened_line_8-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.58&CDS=1-261
54	OG0000054	YGR087C, YLR044C, YLR134W	snap_masked-flattened_line_150-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_150-processed-gene-0.9&CDS=1-1719
55	OG0000055	YGR131W, YPR149W	snap_masked-flattened_line_12-processed-gene-1.112-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.112&CDS=1-510, snap_masked-flattened_line_92-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.47&CDS=1-510
56	OG0000056	YGR192C, YJL052W, YJR009C	snap_masked-flattened_line_0-processed-gene-2.102-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.102&CDS=1-1545
57	OG0000057	YHR028C, YOR219C	maker-flattened_line_74-augustus-gene-0.148-mRNA-1_1&gene=maker-flattened_line_74-augustus-gene-0.148&CDS=1-3522, snap_masked-flattened_line_58-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.122&CDS=1-2940
58	OG0000058	YHR179W, YPL171C	maker-flattened_line_64-snap-gene-0.170-mRNA-1_1&gene=maker-flattened_line_64-snap-gene-0.170&CDS=1-2364, snap_masked-flattened_line_46-processed-gene-0.160-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.160&CDS=1-1209
59	OG0000059	YIL041W	augustus_masked-flattened_line_242-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_242-processed-gene-0.16&CDS=1-417, augustus_masked-flattened_line_532-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_532-processed-gene-0.1&CDS=1-417, augustus_masked-flattened_line_62-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.134&CDS=1-720
60	OG0000060	YIL126W, YOR290C	augustus_masked-flattened_line_54-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.58&CDS=1-3972, maker-flattened_line_8-snap-gene-1.153-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-1.153&CDS=1-5031
61	OG0000061	YIL133C, YNL069C	maker-flattened_line_626-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_626-snap-gene-0.2&CDS=1-600, maker-flattened_line_690-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_690-snap-gene-0.0&CDS=1-600
62	OG0000062	YIL151C, YKR096W	maker-flattened_line_86-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_86-snap-gene-0.1&CDS=1-4299, snap_masked-flattened_line_4-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.110&CDS=1-1215
63	OG0000063	YJL035C, YPR062W	snap_masked-flattened_line_66-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.47&CDS=1-450, snap_masked-flattened_line_74-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.69&CDS=1-531
64	OG0000064	YJR059W, YKL198C	snap_masked-flattened_line_24-processed-gene-0.279-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.279&CDS=1-1938, snap_masked-flattened_line_8-processed-gene-1.3-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.3&CDS=1-2268
65	OG0000065	YJR092W	snap_masked-flattened_line_508-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_508-processed-gene-0.4&CDS=1-975, snap_masked-flattened_line_598-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_598-processed-gene-0.1&CDS=1-975, snap_masked-flattened_line_60-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.15&CDS=1-1470
66	OG0000066	YKL054C	augustus_masked-flattened_line_332-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_332-processed-gene-0.10&CDS=1-507, augustus_masked-flattened_line_336-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_336-processed-gene-0.2&CDS=1-492, snap_masked-flattened_line_24-processed-gene-0.308-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.308&CDS=1-1944
67	OG0000067	YKL094W	augustus_masked-flattened_line_366-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_366-processed-gene-0.5&CDS=1-450, maker-flattened_line_246-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_246-snap-gene-0.2&CDS=1-423, maker-flattened_line_82-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_82-augustus-gene-0.2&CDS=1-1629
68	OG0000068	YKR039W	snap_masked-flattened_line_16-processed-gene-1.213-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.213&CDS=1-1791, snap_masked-flattened_line_174-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_174-processed-gene-0.17&CDS=1-1740, snap_masked-flattened_line_4-processed-gene-2.86-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.86&CDS=1-1749
69	OG0000069	YKR070W, YLR220W	augustus_masked-flattened_line_254-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_254-processed-gene-0.12&CDS=1-2136, snap_masked-flattened_line_254-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_254-processed-gene-0.5&CDS=1-1152
