	OrthologID	Saccharomyces_cerevisiae	yHAB160_Kazachstania_kunashirensis
10	OG0000010	YBL017C, YIL173W, YJL222W, YNR065C	maker-scf7180000008948-snap-gene-0.160-mRNA-1_1&gene=maker-scf7180000008948-snap-gene-0.160&CDS=1-4779
11	OG0000011	YBR009C, YNL030W	augustus_masked-scf7180000008955-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-scf7180000008955-processed-gene-0.124&CDS=1-309, augustus_masked-scf7180000008955-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-scf7180000008955-processed-gene-0.128&CDS=1-309, augustus_masked-scf7180000008976-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-scf7180000008976-processed-gene-1.68&CDS=1-309
12	OG0000012	YBR040W, YBR041W	augustus_masked-scf7180000008648-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000008648-processed-gene-0.4&CDS=1-870, augustus_masked-scf7180000008947-processed-gene-0.240-mRNA-1_1&gene=augustus_masked-scf7180000008947-processed-gene-0.240&CDS=1-432, augustus_masked-scf7180000008969-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000008969-processed-gene-0.14&CDS=1-2748
13	OG0000013	YCR045C	augustus_masked-scf7180000008733-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000008733-processed-gene-0.4&CDS=1-1491, augustus_masked-scf7180000008895-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000008895-processed-gene-0.26&CDS=1-1491, genemark-scf7180000008734-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000008734-processed-gene-0.12&CDS=1-1491, genemark-scf7180000008896-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000008896-processed-gene-0.53&CDS=1-1491
14	OG0000014	YCR046C	genemark-scf7180000008733-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000008733-processed-gene-0.13&CDS=1-522, genemark-scf7180000008734-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000008734-processed-gene-0.13&CDS=1-522, genemark-scf7180000008895-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000008895-processed-gene-0.41&CDS=1-522, genemark-scf7180000008896-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000008896-processed-gene-0.54&CDS=1-522
15	OG0000015	YCR047C	augustus_masked-scf7180000008733-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000008733-processed-gene-0.2&CDS=1-819, augustus_masked-scf7180000008734-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000008734-processed-gene-0.9&CDS=1-819, augustus_masked-scf7180000008895-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000008895-processed-gene-0.28&CDS=1-819, augustus_masked-scf7180000008896-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000008896-processed-gene-0.33&CDS=1-819
16	OG0000016	YDL159W	augustus_masked-scf7180000008710-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000008710-processed-gene-0.2&CDS=1-819, augustus_masked-scf7180000008952-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-scf7180000008952-processed-gene-3.32&CDS=1-1857, snap_masked-scf7180000008713-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000008713-processed-gene-0.1&CDS=1-774, snap_masked-scf7180000008715-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000008715-processed-gene-0.3&CDS=1-783
17	OG0000017	YDL225W	augustus_masked-scf7180000008661-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000008661-processed-gene-0.2&CDS=1-996, augustus_masked-scf7180000008680-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008680-processed-gene-0.1&CDS=1-1440, augustus_masked-scf7180000008897-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000008897-processed-gene-0.13&CDS=1-1614, augustus_masked-scf7180000008927-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000008927-processed-gene-0.5&CDS=1-1365
18	OG0000018	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-scf7180000008938-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000008938-processed-gene-0.68&CDS=1-1755
19	OG0000019	YDR541C, YGL039W, YGL157W	genemark-scf7180000008901-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000008901-processed-gene-0.7&CDS=1-1047, maker-scf7180000008974-augustus-gene-0.11-mRNA-1_1&gene=maker-scf7180000008974-augustus-gene-0.11&CDS=1-2961
20	OG0000020	YER056C, YER060W, YER060W-A	augustus_masked-scf7180000008948-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000008948-processed-gene-0.56&CDS=1-1602, augustus_masked-scf7180000008977-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000008977-processed-gene-0.17&CDS=1-1587
21	OG0000021	YGR192C, YJL052W, YJR009C	augustus_masked-scf7180000008979-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-scf7180000008979-processed-gene-1.183&CDS=1-990, augustus_masked-scf7180000008987-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-scf7180000008987-processed-gene-1.174&CDS=1-990
22	OG0000022	YHL009W-A, YHL009W-B, YJL114W, YPL060C-A	augustus_masked-scf7180000008944-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000008944-processed-gene-0.19&CDS=1-1326
23	OG0000023	YHR025W	augustus_masked-scf7180000008762-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008762-processed-gene-0.1&CDS=1-1077, augustus_masked-scf7180000008763-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008763-processed-gene-0.0&CDS=1-1065, augustus_masked-scf7180000008979-processed-gene-1.218-mRNA-1_1&gene=augustus_masked-scf7180000008979-processed-gene-1.218&CDS=1-1566, augustus_masked-scf7180000008980-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000008980-processed-gene-0.12&CDS=1-1071
24	OG0000024	YIR033W, YKL020C	augustus_masked-scf7180000008723-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000008723-processed-gene-0.3&CDS=1-888, snap_masked-scf7180000008937-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000008937-processed-gene-0.11&CDS=1-3150, snap_masked-scf7180000008987-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scf7180000008987-processed-gene-0.69&CDS=1-2745
25	OG0000025	YJR015W	augustus_masked-scf7180000008647-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008647-processed-gene-0.1&CDS=1-1557, augustus_masked-scf7180000008859-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000008859-processed-gene-0.2&CDS=1-1557, augustus_masked-scf7180000008902-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008902-processed-gene-0.0&CDS=1-1311, augustus_masked-scf7180000008987-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000008987-processed-gene-0.96&CDS=1-1653
26	OG0000026	YJR078W	augustus_masked-scf7180000008692-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008692-processed-gene-0.1&CDS=1-450, augustus_masked-scf7180000008714-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000008714-processed-gene-0.2&CDS=1-1437, augustus_masked-scf7180000008927-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000008927-processed-gene-0.28&CDS=1-984, genemark-scf7180000008959-processed-gene-0.97-mRNA-1_1&gene=genemark-scf7180000008959-processed-gene-0.97&CDS=1-1275
27	OG0000027	YJR127C, YML080W, YML081W	augustus_masked-scf7180000008954-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-scf7180000008954-processed-gene-0.208&CDS=1-3126, maker-scf7180000008985-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000008985-augustus-gene-0.3&CDS=1-5205
28	OG0000028	YKL205W	augustus_masked-scf7180000008760-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008760-processed-gene-0.1&CDS=1-801, augustus_masked-scf7180000008761-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008761-processed-gene-0.0&CDS=1-807, augustus_masked-scf7180000008978-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000008978-processed-gene-0.51&CDS=1-3216, snap_masked-scf7180000008759-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000008759-processed-gene-0.2&CDS=1-804
29	OG0000029	YLR187W, YNL278W	augustus_masked-scf7180000008964-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scf7180000008964-processed-gene-0.94&CDS=1-2889, augustus_masked-scf7180000008977-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-scf7180000008977-processed-gene-1.64&CDS=1-3168, augustus_masked-scf7180000008981-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008981-processed-gene-0.0&CDS=1-1662
30	OG0000030	YLR259C	augustus_masked-scf7180000008722-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000008722-processed-gene-0.2&CDS=1-1620, augustus_masked-scf7180000008725-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008725-processed-gene-0.0&CDS=1-1620, augustus_masked-scf7180000008933-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000008933-processed-gene-0.19&CDS=1-1710, snap_masked-scf7180000008724-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000008724-processed-gene-0.1&CDS=1-1623
31	OG0000031	YLR342W, YMR306W	augustus_masked-scf7180000008956-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-scf7180000008956-processed-gene-1.166&CDS=1-4674, augustus_masked-scf7180000008960-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000008960-processed-gene-0.59&CDS=1-5592, snap_masked-scf7180000008971-processed-gene-1.2-mRNA-1_1&gene=snap_masked-scf7180000008971-processed-gene-1.2&CDS=1-5571
32	OG0000032	YPL085W	augustus_masked-scf7180000008644-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000008644-processed-gene-0.3&CDS=1-4545, augustus_masked-scf7180000008717-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008717-processed-gene-0.0&CDS=1-1878, augustus_masked-scf7180000008926-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000008926-processed-gene-0.19&CDS=1-4296, snap_masked-scf7180000008716-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000008716-processed-gene-0.2&CDS=1-1884
33	OG0000033	YPL266W, YPL268W	augustus_masked-scf7180000008699-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008699-processed-gene-0.0&CDS=1-1680, maker-scf7180000008942-augustus-gene-0.6-mRNA-1_1&gene=maker-scf7180000008942-augustus-gene-0.6&CDS=1-2511, snap_masked-scf7180000008891-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000008891-processed-gene-0.13&CDS=1-1749
34	OG0000034	Q0105, Q0110, Q0115, Q0120	snap_masked-scf7180000008776-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000008776-processed-gene-0.0&CDS=1-225
35	OG0000035	YAL017W, YOL045W	augustus_masked-scf7180000008987-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-scf7180000008987-processed-gene-1.157&CDS=1-4203, snap_masked-scf7180000008961-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000008961-processed-gene-0.42&CDS=1-3111
36	OG0000036	YAL031C	augustus_masked-scf7180000008689-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008689-processed-gene-0.1&CDS=1-1374, augustus_masked-scf7180000008951-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000008951-processed-gene-0.6&CDS=1-567, augustus_masked-scf7180000008987-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-scf7180000008987-processed-gene-1.162&CDS=1-2652
37	OG0000037	YAL054C	augustus_masked-scf7180000008728-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008728-processed-gene-0.1&CDS=1-1455, augustus_masked-scf7180000008729-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008729-processed-gene-0.1&CDS=1-1467, augustus_masked-scf7180000008943-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scf7180000008943-processed-gene-0.66&CDS=1-2130
38	OG0000038	YAR002C-A	augustus_masked-scf7180000008683-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008683-processed-gene-0.0&CDS=1-663, augustus_masked-scf7180000008925-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000008925-processed-gene-0.79&CDS=1-663, augustus_masked-scf7180000008960-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scf7180000008960-processed-gene-0.83&CDS=1-588
39	OG0000039	YAR066W, YHR214W, YIL169C, YOL155C	
40	OG0000040	YBL003C, YDR225W	augustus_masked-scf7180000008899-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000008899-processed-gene-0.1&CDS=1-393, augustus_masked-scf7180000008949-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000008949-processed-gene-0.51&CDS=1-393
41	OG0000041	YBL054W, YER088C	augustus_masked-scf7180000008973-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-scf7180000008973-processed-gene-1.34&CDS=1-1995, maker-scf7180000008952-snap-gene-3.1-mRNA-1_1&gene=maker-scf7180000008952-snap-gene-3.1&CDS=1-2001
42	OG0000042	YBL067C, YER098W	augustus_masked-scf7180000008952-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-scf7180000008952-processed-gene-3.58&CDS=1-2370, augustus_masked-scf7180000008973-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-scf7180000008973-processed-gene-1.60&CDS=1-2160
43	OG0000043	YBL072C, YER102W	augustus_masked-scf7180000008952-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-scf7180000008952-processed-gene-3.57&CDS=1-597, augustus_masked-scf7180000008973-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-scf7180000008973-processed-gene-1.58&CDS=1-597
44	OG0000044	YBR008C	augustus_masked-scf7180000008977-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000008977-processed-gene-0.23&CDS=1-1665, augustus_masked-scf7180000008980-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-scf7180000008980-processed-gene-1.112&CDS=1-1665, snap_masked-scf7180000008943-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000008943-processed-gene-0.3&CDS=1-1668
45	OG0000045	YBR024W, YBR037C	augustus_masked-scf7180000008962-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000008962-processed-gene-0.69&CDS=1-861, augustus_masked-scf7180000008976-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-scf7180000008976-processed-gene-1.79&CDS=1-924
46	OG0000046	YBR068C, YDR046C	augustus_masked-scf7180000008971-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-scf7180000008971-processed-gene-1.182&CDS=1-1842, augustus_masked-scf7180000008976-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scf7180000008976-processed-gene-0.94&CDS=1-1782
47	OG0000047	YBR084W, YGR204W	augustus_masked-scf7180000008983-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000008983-processed-gene-0.46&CDS=1-2886, augustus_masked-scf7180000008987-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scf7180000008987-processed-gene-0.114&CDS=1-2853
48	OG0000048	YBR130C	augustus_masked-scf7180000008848-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008848-processed-gene-0.0&CDS=1-330, augustus_masked-scf7180000008957-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scf7180000008957-processed-gene-2.95&CDS=1-531, snap_masked-scf7180000008966-processed-gene-0.107-mRNA-1_1&gene=snap_masked-scf7180000008966-processed-gene-0.107&CDS=1-1914
49	OG0000049	YBR150C, YOL089C	augustus_masked-scf7180000008976-processed-gene-2.241-mRNA-1_1&gene=augustus_masked-scf7180000008976-processed-gene-2.241&CDS=1-3150, snap_masked-scf7180000008898-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scf7180000008898-processed-gene-0.37&CDS=1-3048
50	OG0000050	YBR160W, YPL031C	maker-scf7180000008949-augustus-gene-1.207-mRNA-1_1&gene=maker-scf7180000008949-augustus-gene-1.207&CDS=1-1845, maker-scf7180000008957-augustus-gene-1.138-mRNA-1_1&gene=maker-scf7180000008957-augustus-gene-1.138&CDS=1-2988
51	OG0000051	YBR181C, YPL090C	augustus_masked-scf7180000008957-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-scf7180000008957-processed-gene-2.158&CDS=1-708, augustus_masked-scf7180000008963-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-scf7180000008963-processed-gene-3.102&CDS=1-708
52	OG0000052	YBR182C, YPL089C	augustus_masked-scf7180000008957-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-scf7180000008957-processed-gene-2.159&CDS=1-1884, augustus_masked-scf7180000008963-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-scf7180000008963-processed-gene-3.101&CDS=1-1332
53	OG0000053	YBR189W, YPL081W	maker-scf7180000008926-snap-gene-0.60-mRNA-1_1&gene=maker-scf7180000008926-snap-gene-0.60&CDS=1-993, maker-scf7180000008963-snap-gene-3.231-mRNA-1_1&gene=maker-scf7180000008963-snap-gene-3.231&CDS=1-903
54	OG0000054	YBR197C, YPL077C	augustus_masked-scf7180000008926-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000008926-processed-gene-0.33&CDS=1-876, snap_masked-scf7180000008963-processed-gene-3.22-mRNA-1_1&gene=snap_masked-scf7180000008963-processed-gene-3.22&CDS=1-795
55	OG0000055	YCR031C, YJL191W	augustus_masked-scf7180000008973-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000008973-processed-gene-0.92&CDS=1-408, augustus_masked-scf7180000008978-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-scf7180000008978-processed-gene-1.49&CDS=1-408
56	OG0000056	YCR073C, YNR031C	augustus_masked-scf7180000008951-processed-gene-1.177-mRNA-1_1&gene=augustus_masked-scf7180000008951-processed-gene-1.177&CDS=1-5016, augustus_masked-scf7180000008975-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000008975-processed-gene-0.6&CDS=1-6570
57	OG0000057	YCR105W	augustus_masked-scf7180000008901-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000008901-processed-gene-0.3&CDS=1-1080, augustus_masked-scf7180000008961-processed-gene-0.224-mRNA-1_1&gene=augustus_masked-scf7180000008961-processed-gene-0.224&CDS=1-1080, snap_masked-scf7180000008974-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000008974-processed-gene-0.6&CDS=1-1080
58	OG0000058	YDL083C, YMR143W	genemark-scf7180000008941-processed-gene-0.153-mRNA-1_1&gene=genemark-scf7180000008941-processed-gene-0.153&CDS=1-423, genemark-scf7180000008985-processed-gene-2.49-mRNA-1_1&gene=genemark-scf7180000008985-processed-gene-2.49&CDS=1-423
59	OG0000059	YDR038C, YDR039C, YDR040C	augustus_masked-scf7180000008976-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000008976-processed-gene-0.97&CDS=1-3240
60	OG0000060	YDR085C, YER158C	augustus_masked-scf7180000008952-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scf7180000008952-processed-gene-1.13&CDS=1-1803, augustus_masked-scf7180000008984-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-scf7180000008984-processed-gene-1.68&CDS=1-912
61	OG0000061	YDR178W, YLR164W	augustus_masked-scf7180000008975-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008975-processed-gene-0.0&CDS=1-528, augustus_masked-scf7180000008977-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-scf7180000008977-processed-gene-1.35&CDS=1-534
62	OG0000062	YDR206W	augustus_masked-scf7180000008700-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000008700-processed-gene-0.0&CDS=1-1467, augustus_masked-scf7180000008949-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000008949-processed-gene-0.40&CDS=1-2724, augustus_masked-scf7180000008977-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-scf7180000008977-processed-gene-1.46&CDS=1-1476
63	OG0000063	YDR213W, YLR228C	maker-scf7180000008949-snap-gene-0.123-mRNA-1_1&gene=maker-scf7180000008949-snap-gene-0.123&CDS=1-2139, maker-scf7180000008957-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000008957-snap-gene-0.3&CDS=1-2238
64	OG0000064	YDR409W, YOR156C	augustus_masked-scf7180000008963-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-scf7180000008963-processed-gene-3.79&CDS=1-2370, augustus_masked-scf7180000008966-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000008966-processed-gene-0.49&CDS=1-2313
65	OG0000065	YDR418W, YEL054C	augustus_masked-scf7180000008940-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000008940-processed-gene-0.59&CDS=1-495, augustus_masked-scf7180000008963-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-scf7180000008963-processed-gene-3.85&CDS=1-495
