	OrthologID	Saccharomyces_cerevisiae	Wickerhamia_fluorescens
10	OG0000010		-processed-gene-0.6-mRNA-1_1&gene=genemark-gi|1002316294|dbj|BCGE01000010.1|-processed-gene-0.6&CDS=1-2232, -processed-gene-10.78-mRNA-1_1&gene=augustus_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-10.78&CDS=1-2385, -processed-gene-10.79-mRNA-1_1&gene=augustus_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-10.79&CDS=1-2226, -processed-gene-14.85-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-14.85&CDS=1-2232, -processed-gene-15.142-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-15.142&CDS=1-2232, -processed-gene-17.76-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-17.76&CDS=1-2253, -processed-gene-3.106-mRNA-1_1&gene=snap_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-3.106&CDS=1-1458
11	OG0000011	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	-processed-gene-13.68-mRNA-1_1&gene=genemark-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-13.68&CDS=1-1953
12	OG0000012	YBR006W, YHR155W, YNL257C	-processed-gene-18.101-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-18.101&CDS=1-5154, -processed-gene-25.54-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-25.54&CDS=1-1524, -processed-gene-9.68-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-9.68&CDS=1-1476
13	OG0000013	YBR015C, YJL186W	-processed-gene-15.140-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-15.140&CDS=1-1755, -processed-gene-15.154-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-15.154&CDS=1-1695, -processed-gene-6.63-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-6.63&CDS=1-1734, -processed-gene-8.70-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-8.70&CDS=1-1701
14	OG0000014	YBR118W, YKR084C, YPR080W	-processed-gene-11.49-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-11.49&CDS=1-1374, -processed-gene-15.84-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-15.84&CDS=1-1374, -snap-gene-23.5-mRNA-1_1&gene=maker-gi|1002316303|dbj|BCGE01000001.1|-snap-gene-23.5&CDS=1-2007
15	OG0000015	YBR237W, YDR243C, YNL112W	-processed-gene-12.20-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-12.20&CDS=1-2736, -processed-gene-4.61-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-4.61&CDS=1-1764, -snap-gene-22.52-mRNA-1_1&gene=maker-gi|1002316303|dbj|BCGE01000001.1|-snap-gene-22.52&CDS=1-1662
16	OG0000016	YBR245C, YFR038W, YOR304W	-processed-gene-1.37-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-1.37&CDS=1-3111, -processed-gene-16.47-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-16.47&CDS=1-2592, -processed-gene-7.65-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-7.65&CDS=1-3261
17	OG0000017	YBR293W, YMR088C	-processed-gene-13.20-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-13.20&CDS=1-1701, -processed-gene-14.44-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-14.44&CDS=1-1731, -processed-gene-18.40-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-18.40&CDS=1-1671, -processed-gene-18.41-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-18.41&CDS=1-1710
18	OG0000018	YDL025C, YNL183C, YOR267C	-processed-gene-1.54-mRNA-1_1&gene=snap_masked-gi|1002316295|dbj|BCGE01000009.1|-processed-gene-1.54&CDS=1-1743, -processed-gene-3.42-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-3.42&CDS=1-2076, -processed-gene-4.81-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-4.81&CDS=1-2772
19	OG0000019	YDR216W, YJR127C, YML081W	-processed-gene-12.95-mRNA-1_1&gene=genemark-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-12.95&CDS=1-480, -processed-gene-20.35-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-20.35&CDS=1-4218, -processed-gene-7.64-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-7.64&CDS=1-3969
20	OG0000020	YER001W, YGL257C, YIL014W, YNR059W	-processed-gene-12.59-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-12.59&CDS=1-2064, -processed-gene-3.25-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-3.25&CDS=1-2319
21	OG0000021	YER054C, YIL045W, YLR273C, YOR178C	-processed-gene-17.51-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-17.51&CDS=1-2493, -processed-gene-19.5-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-19.5&CDS=1-2184
22	OG0000022	YJR019C	-processed-gene-2.10-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-2.10&CDS=1-981, -processed-gene-2.11-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-2.11&CDS=1-1089, -processed-gene-2.12-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-2.12&CDS=1-1062, -processed-gene-2.13-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-2.13&CDS=1-1263, -processed-gene-2.9-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-2.9&CDS=1-1023
23	OG0000023	YLL005C, YMR266W, YOL084W	-processed-gene-15.70-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-15.70&CDS=1-2703, -processed-gene-18.90-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-18.90&CDS=1-2238, -processed-gene-9.27-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-9.27&CDS=1-2619
24	OG0000024	YAL053W, YGL139W, YPL221W	-processed-gene-7.139-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-7.139&CDS=1-2343, -processed-gene-8.51-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-8.51&CDS=1-2394
25	OG0000025	YBL017C, YIL173W, YJL222W, YNR065C	-processed-gene-16.82-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-16.82&CDS=1-4650
26	OG0000026	YBL068W, YER099C, YHL011C	-processed-gene-13.52-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-13.52&CDS=1-969, -processed-gene-5.86-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-5.86&CDS=1-960
27	OG0000027	YBL089W, YER119C, YIL088C	-processed-gene-10.9-mRNA-1_1&gene=augustus_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-10.9&CDS=1-1326, -processed-gene-14.102-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-14.102&CDS=1-1416
28	OG0000028	YBR150C, YOL089C	-processed-gene-2.20-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-2.20&CDS=1-2775, -processed-gene-2.21-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-2.21&CDS=1-2826, -processed-gene-8.83-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-8.83&CDS=1-1656
29	OG0000029	YBR207W, YER145C	-processed-gene-11.115-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-11.115&CDS=1-1263, -processed-gene-16.13-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-16.13&CDS=1-1188, -processed-gene-5.116-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-5.116&CDS=1-1236
30	OG0000030	YBR289W, YIL124W	-processed-gene-11.37-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-11.37&CDS=1-897, -processed-gene-3.35-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-3.35&CDS=1-873, -processed-gene-9.107-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-9.107&CDS=1-4464
31	OG0000031	YBR297W, YFL052W, YGR288W, YPR196W	-processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-0.0&CDS=1-1650
32	OG0000032	YCL069W, YGR224W, YKR105C, YPR198W	-processed-gene-3.79-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-3.79&CDS=1-1842
33	OG0000033	YCR010C, YNR002C	-processed-gene-10.79-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-10.79&CDS=1-804, -processed-gene-2.28-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-2.28&CDS=1-792, -processed-gene-5.109-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-5.109&CDS=1-786
34	OG0000034	YCR032W, YOL119C	-processed-gene-12.112-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-12.112&CDS=1-8373, -processed-gene-20.26-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-20.26&CDS=1-1443, -processed-gene-8.68-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-8.68&CDS=1-1362
35	OG0000035	YCR037C, YJL198W, YNR013C	-processed-gene-1.63-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-1.63&CDS=1-2682, -processed-gene-2.3-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-2.3&CDS=1-2604
36	OG0000036	YCR065W, YIL131C, YNL068C	-processed-gene-5.25-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-5.25&CDS=1-2244, -processed-gene-9.26-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-9.26&CDS=1-2148
37	OG0000037	YCR094W, YNL323W, YNR048W	-processed-gene-10.113-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-10.113&CDS=1-1302, -processed-gene-26.24-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-26.24&CDS=1-1203
38	OG0000038	YDL078C, YKL085W	-processed-gene-17.52-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-17.52&CDS=1-1011, -processed-gene-21.7-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-21.7&CDS=1-996, -processed-gene-3.92-mRNA-1_1&gene=snap_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-3.92&CDS=1-1035
39	OG0000039	YDL229W, YLL024C, YNL209W	-processed-gene-13.23-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-13.23&CDS=1-1839, -processed-gene-4.46-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-4.46&CDS=1-1938
40	OG0000040	YDL244W, YFL058W, YJR156C, YNL332W	-processed-gene-14.55-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-14.55&CDS=1-1017
41	OG0000041	YDR038C, YDR039C, YDR040C	-processed-gene-1.67-mRNA-1_1&gene=snap_masked-gi|1002316295|dbj|BCGE01000009.1|-processed-gene-1.67&CDS=1-3252, -processed-gene-23.85-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-23.85&CDS=1-4173
42	OG0000042	YDR134C, YLR110C	-processed-gene-14.86-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-14.86&CDS=1-699, -processed-gene-14.88-mRNA-1_1&gene=augustus_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-14.88&CDS=1-759, -processed-gene-19.11-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-19.11&CDS=1-801
43	OG0000043	YDR135C, YLL015W	-processed-gene-10.65-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-10.65&CDS=1-4749, -processed-gene-13.41-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-13.41&CDS=1-6825, -processed-gene-7.23-mRNA-1_1&gene=genemark-gi|1002316297|dbj|BCGE01000007.1|-processed-gene-7.23&CDS=1-5070
44	OG0000044	YDR326C, YFL042C, YHR080C	-processed-gene-11.8-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-11.8&CDS=1-2742, -processed-gene-22.102-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-22.102&CDS=1-3135
45	OG0000045	YDR385W, YKL173W, YOR133W	-processed-gene-2.30-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-2.30&CDS=1-2526, -snap-gene-2.119-mRNA-1_1&gene=maker-gi|1002316302|dbj|BCGE01000002.1|-snap-gene-2.119&CDS=1-3501
46	OG0000046	YDR471W, YDR490C, YHR010W	-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-1.28&CDS=1-3330, -processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-4.91&CDS=1-3834
47	OG0000047	YER073W, YMR169C, YMR170C	-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-2.66&CDS=1-1998, -processed-gene-8.78-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-8.78&CDS=1-1503
48	OG0000048	YER133W, YML016C	-processed-gene-2.32-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-2.32&CDS=1-1752, -processed-gene-26.4-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-26.4&CDS=1-1779, -snap-gene-13.143-mRNA-1_1&gene=maker-gi|1002316298|dbj|BCGE01000006.1|-snap-gene-13.143&CDS=1-1215
49	OG0000049	YGR197C, YJR015W	-processed-gene-7.88-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-7.88&CDS=1-1680, -processed-gene-8.62-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-8.62&CDS=1-2130, -processed-gene-8.78-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-8.78&CDS=1-1920
50	OG0000050	YHR206W, YOR140W	-processed-gene-1.56-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-1.56&CDS=1-1719, -processed-gene-5.92-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-5.92&CDS=1-2190, -snap-gene-6.129-mRNA-1_1&gene=maker-gi|1002316299|dbj|BCGE01000005.1|-snap-gene-6.129&CDS=1-2610
51	OG0000051	YIL002C, YNL106C, YOR109W	-processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-0.20&CDS=1-3159, -processed-gene-14.130-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-14.130&CDS=1-3459
52	OG0000052	YIL095W, YNL020C, YNL313C	-processed-gene-13.98-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-13.98&CDS=1-2316, -processed-gene-3.62-mRNA-1_1&gene=augustus_masked-gi|1002316296|dbj|BCGE01000008.1|-processed-gene-3.62&CDS=1-5373
53	OG0000053	YIR013C, YLR013W	-processed-gene-22.55-mRNA-1_1&gene=augustus_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-22.55&CDS=1-1074, -processed-gene-3.0-mRNA-1_1&gene=snap_masked-gi|1002316298|dbj|BCGE01000006.1|-processed-gene-3.0&CDS=1-1275, -processed-gene-5.89-mRNA-1_1&gene=snap_masked-gi|1002316300|dbj|BCGE01000004.1|-processed-gene-5.89&CDS=1-1233
54	OG0000054	YJL042W, YOR227W, YPL137C	-processed-gene-13.33-mRNA-1_1&gene=genemark-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-13.33&CDS=1-4329, -processed-gene-6.10-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-6.10&CDS=1-3789
55	OG0000055	YJL212C, YPR194C	-processed-gene-13.83-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-13.83&CDS=1-2364, -processed-gene-21.38-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-21.38&CDS=1-2664, -processed-gene-22.28-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-22.28&CDS=1-2793
56	OG0000056	YJR004C	-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-gi|1002316294|dbj|BCGE01000010.1|-processed-gene-0.12&CDS=1-1497, -processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-0.24&CDS=1-1008, -processed-gene-22.111-mRNA-1_1&gene=snap_masked-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-22.111&CDS=1-1230, -processed-gene-8.76-mRNA-1_1&gene=snap_masked-gi|1002316301|dbj|BCGE01000003.1|-processed-gene-8.76&CDS=1-2244
57	OG0000057	YJR061W, YKL201C	-processed-gene-16.77-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-16.77&CDS=1-2931, -processed-gene-18.72-mRNA-1_1&gene=genemark-gi|1002316302|dbj|BCGE01000002.1|-processed-gene-18.72&CDS=1-2298, -processed-gene-27.91-mRNA-1_1&gene=snap_masked-gi|1002316303|dbj|BCGE01000001.1|-processed-gene-27.91&CDS=1-2529
58	OG0000058	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
59	OG0000059	YKL222C, YLR266C, YOR162C, YOR172W	-processed-gene-11.98-mRNA-1_1&gene=snap_masked-gi|1002316299|dbj|BCGE01000005.1|-processed-gene-11.98&CDS=1-3522
