	OrthologID	Saccharomyces_cerevisiae	Zygosaccharomyces_bailii
16	OG0000016	YIL123W, YJL116C, YKR042W, YNL066W	genemark-ZYBA0S01-processed-gene-5.90-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-5.90&CDS=1-1149, maker-ZYBA0S10-snap-gene-1.89-mRNA-1_1&gene=maker-ZYBA0S10-snap-gene-1.89&CDS=1-1512
17	OG0000017	YMR316W, YOR385W	augustus_masked-ZYBA0S03-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-ZYBA0S03-processed-gene-0.94&CDS=1-3309, snap_masked-ZYBA0S01-processed-gene-15.239-mRNA-1_1&gene=snap_masked-ZYBA0S01-processed-gene-15.239&CDS=1-213, snap_masked-ZYBA0S03-processed-gene-10.122-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-10.122&CDS=1-621, snap_masked-ZYBA0S03-processed-gene-10.93-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-10.93&CDS=1-1002
18	OG0000018		augustus_masked-ZYBA0S01-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-4.39&CDS=1-2022, augustus_masked-ZYBA0S21-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ZYBA0S21-processed-gene-0.0&CDS=1-1746, snap_masked-ZYBA0S03-processed-gene-10.101-mRNA-1_1&gene=snap_masked-ZYBA0S03-processed-gene-10.101&CDS=1-1767, snap_masked-ZYBA0S07-processed-gene-4.9-mRNA-1_1&gene=snap_masked-ZYBA0S07-processed-gene-4.9&CDS=1-618, snap_masked-ZYBA0S21-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ZYBA0S21-processed-gene-0.12&CDS=1-1845, snap_masked-ZYBA0S21-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ZYBA0S21-processed-gene-0.16&CDS=1-2016
19	OG0000019	YAL023C, YGR199W, YOR321W	augustus_masked-ZYBA0S07-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-ZYBA0S07-processed-gene-4.79&CDS=1-6189, genemark-ZYBA0S01-processed-gene-6.130-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-6.130&CDS=1-2178
20	OG0000020	YBL042C, YBR021W, YIR028W	augustus_masked-ZYBA0S03-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-ZYBA0S03-processed-gene-6.24&CDS=1-2508, genemark-ZYBA0S06-processed-gene-4.15-mRNA-1_1&gene=genemark-ZYBA0S06-processed-gene-4.15&CDS=1-1818
21	OG0000021	YBR015C, YJL186W	maker-ZYBA0S03-augustus-gene-8.1-mRNA-1_1&gene=maker-ZYBA0S03-augustus-gene-8.1&CDS=1-3027, snap_masked-ZYBA0S02-processed-gene-1.60-mRNA-1_1&gene=snap_masked-ZYBA0S02-processed-gene-1.60&CDS=1-1665, snap_masked-ZYBA0S06-processed-gene-3.59-mRNA-1_1&gene=snap_masked-ZYBA0S06-processed-gene-3.59&CDS=1-1965
22	OG0000022	YCR037C, YJL198W, YNR013C	augustus_masked-ZYBA0S04-processed-gene-8.191-mRNA-1_1&gene=augustus_masked-ZYBA0S04-processed-gene-8.191&CDS=1-6288, genemark-ZYBA0S12-processed-gene-1.193-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.193&CDS=1-2550
23	OG0000023	YDL244W, YFL058W, YJR156C, YNL332W	genemark-ZYBA0S02-processed-gene-8.68-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-8.68&CDS=1-1020
24	OG0000024	YDR144C, YLR120C, YLR121C	genemark-ZYBA0S03-processed-gene-6.53-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-6.53&CDS=1-1596, maker-ZYBA0S08-snap-gene-1.105-mRNA-1_1&gene=maker-ZYBA0S08-snap-gene-1.105&CDS=1-5367
25	OG0000025	YDR242W	genemark-ZYBA0S03-processed-gene-0.39-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-0.39&CDS=1-1656, genemark-ZYBA0S12-processed-gene-1.162-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.162&CDS=1-1716, genemark-ZYBA0S13-processed-gene-0.34-mRNA-1_1&gene=genemark-ZYBA0S13-processed-gene-0.34&CDS=1-1662, genemark-ZYBA0S15-processed-gene-0.129-mRNA-1_1&gene=genemark-ZYBA0S15-processed-gene-0.129&CDS=1-1659
26	OG0000026	YDR481C, YKL081W, YPL048W	genemark-ZYBA0S01-processed-gene-15.172-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-15.172&CDS=1-1227, maker-ZYBA0S09-snap-gene-3.5-mRNA-1_1&gene=maker-ZYBA0S09-snap-gene-3.5&CDS=1-3267
27	OG0000027	YDR483W, YOR099W	genemark-ZYBA0S09-processed-gene-3.193-mRNA-1_1&gene=genemark-ZYBA0S09-processed-gene-3.193&CDS=1-1437, genemark-ZYBA0S12-processed-gene-1.104-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.104&CDS=1-1152, snap_masked-ZYBA0S05-processed-gene-5.38-mRNA-1_1&gene=snap_masked-ZYBA0S05-processed-gene-5.38&CDS=1-1215
28	OG0000028	YDR541C, YOL151W	genemark-ZYBA0S02-processed-gene-0.58-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-0.58&CDS=1-1029, genemark-ZYBA0S09-processed-gene-1.32-mRNA-1_1&gene=genemark-ZYBA0S09-processed-gene-1.32&CDS=1-1023, genemark-ZYBA0S16-processed-gene-0.26-mRNA-1_1&gene=genemark-ZYBA0S16-processed-gene-0.26&CDS=1-1029
29	OG0000029	YER056C, YER060W, YER060W-A	genemark-ZYBA0S02-processed-gene-1.17-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-1.17&CDS=1-1533, genemark-ZYBA0S04-processed-gene-2.107-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-2.107&CDS=1-1656
30	OG0000030	YGR032W, YLR342W, YMR306W	genemark-ZYBA0S02-processed-gene-6.151-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-6.151&CDS=1-7389, snap_masked-ZYBA0S07-processed-gene-2.61-mRNA-1_1&gene=snap_masked-ZYBA0S07-processed-gene-2.61&CDS=1-5787
31	OG0000031	YGR087C, YLR044C, YLR134W	genemark-ZYBA0S07-processed-gene-0.52-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-0.52&CDS=1-1647, maker-ZYBA0S10-augustus-gene-0.82-mRNA-1_1&gene=maker-ZYBA0S10-augustus-gene-0.82&CDS=1-957
32	OG0000032	YHR179W, YPL171C	genemark-ZYBA0S03-processed-gene-10.139-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.139&CDS=1-1191, genemark-ZYBA0S11-processed-gene-0.24-mRNA-1_1&gene=genemark-ZYBA0S11-processed-gene-0.24&CDS=1-1200, maker-ZYBA0S03-snap-gene-3.130-mRNA-1_1&gene=maker-ZYBA0S03-snap-gene-3.130&CDS=1-2313
33	OG0000033	YLL057C, YPL266W	augustus_masked-ZYBA0S17-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ZYBA0S17-processed-gene-0.18&CDS=1-2151, genemark-ZYBA0S02-processed-gene-0.36-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-0.36&CDS=1-1218, genemark-ZYBA0S15-processed-gene-0.128-mRNA-1_1&gene=genemark-ZYBA0S15-processed-gene-0.128&CDS=1-1227
34	OG0000034	YLR098C, YOR337W	genemark-ZYBA0S07-processed-gene-4.57-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-4.57&CDS=1-2220, snap_masked-ZYBA0S06-processed-gene-4.62-mRNA-1_1&gene=snap_masked-ZYBA0S06-processed-gene-4.62&CDS=1-1560, snap_masked-ZYBA0S07-processed-gene-2.93-mRNA-1_1&gene=snap_masked-ZYBA0S07-processed-gene-2.93&CDS=1-2898
35	OG0000035	YLR152C, YNL095C, YOR092W	genemark-ZYBA0S12-processed-gene-1.149-mRNA-1_1&gene=genemark-ZYBA0S12-processed-gene-1.149&CDS=1-1734, maker-ZYBA0S03-augustus-gene-10.128-mRNA-1_1&gene=maker-ZYBA0S03-augustus-gene-10.128&CDS=1-2646
36	OG0000036	YMR275C, YNR069C	augustus_masked-ZYBA0S03-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-ZYBA0S03-processed-gene-1.102&CDS=1-1965, genemark-ZYBA0S04-processed-gene-6.71-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-6.71&CDS=1-2718, snap_masked-ZYBA0S09-processed-gene-1.58-mRNA-1_1&gene=snap_masked-ZYBA0S09-processed-gene-1.58&CDS=1-2193
37	OG0000037	YOR388C, YPL275W	augustus_masked-ZYBA0S11-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-ZYBA0S11-processed-gene-0.96&CDS=1-1059, genemark-ZYBA0S06-processed-gene-2.75-mRNA-1_1&gene=genemark-ZYBA0S06-processed-gene-2.75&CDS=1-1251, maker-ZYBA0S09-snap-gene-0.92-mRNA-1_1&gene=maker-ZYBA0S09-snap-gene-0.92&CDS=1-528
38	OG0000038	Q0105, Q0110, Q0115, Q0120	maker-ZYBA0S01-snap-gene-10.110-mRNA-1_1&gene=maker-ZYBA0S01-snap-gene-10.110&CDS=1-210
39	OG0000039	YAL054C, YLR153C	genemark-ZYBA0S03-processed-gene-10.186-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-10.186&CDS=1-2025, genemark-ZYBA0S07-processed-gene-5.78-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-5.78&CDS=1-2175
40	OG0000040	YBL003C, YDR225W	genemark-ZYBA0S01-processed-gene-12.25-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-12.25&CDS=1-396, genemark-ZYBA0S03-processed-gene-7.158-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.158&CDS=1-396
41	OG0000041	YBL011W, YKR067W	genemark-ZYBA0S01-processed-gene-8.116-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-8.116&CDS=1-2223, genemark-ZYBA0S08-processed-gene-1.74-mRNA-1_1&gene=genemark-ZYBA0S08-processed-gene-1.74&CDS=1-2148
42	OG0000042	YBL016W, YLR352W	genemark-ZYBA0S05-processed-gene-6.197-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.197&CDS=1-1107, maker-ZYBA0S02-augustus-gene-6.109-mRNA-1_1&gene=maker-ZYBA0S02-augustus-gene-6.109&CDS=1-3507
43	OG0000043	YBL052C, YOR244W	genemark-ZYBA0S10-processed-gene-2.74-mRNA-1_1&gene=genemark-ZYBA0S10-processed-gene-2.74&CDS=1-2289, maker-ZYBA0S09-snap-gene-3.1-mRNA-1_1&gene=maker-ZYBA0S09-snap-gene-3.1&CDS=1-2637
44	OG0000044	YBL063W, YEL061C	genemark-ZYBA0S02-processed-gene-3.91-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-3.91&CDS=1-3405, genemark-ZYBA0S04-processed-gene-3.64-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-3.64&CDS=1-2940
45	OG0000045	YBR025C, YHL014C	genemark-ZYBA0S03-processed-gene-7.109-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.109&CDS=1-1179, maker-ZYBA0S06-augustus-gene-0.1-mRNA-1_1&gene=maker-ZYBA0S06-augustus-gene-0.1&CDS=1-2115
46	OG0000046	YBR038W, YNL192W	augustus_masked-ZYBA0S04-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-ZYBA0S04-processed-gene-1.115&CDS=1-6114, maker-ZYBA0S03-snap-gene-7.2-mRNA-1_1&gene=maker-ZYBA0S03-snap-gene-7.2&CDS=1-2808
47	OG0000047	YBR059C, YIL095W	genemark-ZYBA0S02-processed-gene-5.100-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-5.100&CDS=1-3003, genemark-ZYBA0S04-processed-gene-5.96-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-5.96&CDS=1-2130
48	OG0000048	YBR139W, YMR297W	genemark-ZYBA0S01-processed-gene-9.89-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-9.89&CDS=1-1464, genemark-ZYBA0S07-processed-gene-2.111-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-2.111&CDS=1-1590
49	OG0000049	YBR186W, YBR187W	augustus_masked-ZYBA0S02-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-ZYBA0S02-processed-gene-6.4&CDS=1-2391, genemark-ZYBA0S06-processed-gene-5.131-mRNA-1_1&gene=genemark-ZYBA0S06-processed-gene-5.131&CDS=1-774
50	OG0000050	YBR245C, YOR304W	genemark-ZYBA0S03-processed-gene-4.76-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-4.76&CDS=1-3249, snap_masked-ZYBA0S02-processed-gene-12.85-mRNA-1_1&gene=snap_masked-ZYBA0S02-processed-gene-12.85&CDS=1-3150
51	OG0000051	YBR263W, YLR058C	genemark-ZYBA0S02-processed-gene-8.84-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-8.84&CDS=1-1479, maker-ZYBA0S15-augustus-gene-0.68-mRNA-1_1&gene=maker-ZYBA0S15-augustus-gene-0.68&CDS=1-2556
52	OG0000052	YCR004C, YDR032C	genemark-ZYBA0S03-processed-gene-7.151-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.151&CDS=1-597, genemark-ZYBA0S06-processed-gene-1.39-mRNA-1_1&gene=genemark-ZYBA0S06-processed-gene-1.39&CDS=1-888
53	OG0000053	YCR102C, YLR460C, YNL134C	genemark-ZYBA0S16-processed-gene-0.23-mRNA-1_1&gene=genemark-ZYBA0S16-processed-gene-0.23&CDS=1-1110
54	OG0000054	YDL049C, YJL174W	genemark-ZYBA0S06-processed-gene-5.133-mRNA-1_1&gene=genemark-ZYBA0S06-processed-gene-5.133&CDS=1-804, snap_masked-ZYBA0S07-processed-gene-1.102-mRNA-1_1&gene=snap_masked-ZYBA0S07-processed-gene-1.102&CDS=1-819
55	OG0000055	YDL078C, YKL085W	genemark-ZYBA0S01-processed-gene-15.174-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-15.174&CDS=1-999, snap_masked-ZYBA0S02-processed-gene-9.21-mRNA-1_1&gene=snap_masked-ZYBA0S02-processed-gene-9.21&CDS=1-1500
56	OG0000056	YDL131W, YDL182W	genemark-ZYBA0S04-processed-gene-1.24-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-1.24&CDS=1-1551, snap_masked-ZYBA0S02-processed-gene-6.56-mRNA-1_1&gene=snap_masked-ZYBA0S02-processed-gene-6.56&CDS=1-1179
57	OG0000057	YDL178W, YEL071W	genemark-ZYBA0S04-processed-gene-2.62-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-2.62&CDS=1-1605, genemark-ZYBA0S23-processed-gene-0.4-mRNA-1_1&gene=genemark-ZYBA0S23-processed-gene-0.4&CDS=1-1488
58	OG0000058	YDL210W	genemark-ZYBA0S01-processed-gene-13.18-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-13.18&CDS=1-1731, genemark-ZYBA0S01-processed-gene-13.31-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-13.31&CDS=1-1734, genemark-ZYBA0S13-processed-gene-1.132-mRNA-1_1&gene=genemark-ZYBA0S13-processed-gene-1.132&CDS=1-1719
59	OG0000059	YDR038C, YDR039C, YDR040C	maker-ZYBA0S02-augustus-gene-5.81-mRNA-1_1&gene=maker-ZYBA0S02-augustus-gene-5.81&CDS=1-4053
60	OG0000060	YDR135C, YLL015W	genemark-ZYBA0S05-processed-gene-6.164-mRNA-1_1&gene=genemark-ZYBA0S05-processed-gene-6.164&CDS=1-4647, genemark-ZYBA0S07-processed-gene-3.69-mRNA-1_1&gene=genemark-ZYBA0S07-processed-gene-3.69&CDS=1-4572
61	OG0000061	YDR160W, YLR138W	augustus_masked-ZYBA0S03-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-ZYBA0S03-processed-gene-10.16&CDS=1-11232, snap_masked-ZYBA0S05-processed-gene-2.0-mRNA-1_1&gene=snap_masked-ZYBA0S05-processed-gene-2.0&CDS=1-2499
62	OG0000062	YDR218C, YJR076C	genemark-ZYBA0S01-processed-gene-12.36-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-12.36&CDS=1-1158, genemark-ZYBA0S02-processed-gene-13.207-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-13.207&CDS=1-1221
63	OG0000063	YDR270W, YLR314C	augustus_masked-ZYBA0S05-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-ZYBA0S05-processed-gene-6.13&CDS=1-5085, maker-ZYBA0S03-augustus-gene-2.80-mRNA-1_1&gene=maker-ZYBA0S03-augustus-gene-2.80&CDS=1-3774
64	OG0000064	YDR420W, YGR014W	augustus_masked-ZYBA0S01-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-ZYBA0S01-processed-gene-6.45&CDS=1-2940, snap_masked-ZYBA0S05-processed-gene-3.37-mRNA-1_1&gene=snap_masked-ZYBA0S05-processed-gene-3.37&CDS=1-7371
65	OG0000065	YDR492W, YOL002C	genemark-ZYBA0S04-processed-gene-3.70-mRNA-1_1&gene=genemark-ZYBA0S04-processed-gene-3.70&CDS=1-966, maker-ZYBA0S01-augustus-gene-10.0-mRNA-1_1&gene=maker-ZYBA0S01-augustus-gene-10.0&CDS=1-1323
66	OG0000066	YDR507C, YKL101W	genemark-ZYBA0S03-processed-gene-6.64-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-6.64&CDS=1-4920, maker-ZYBA0S14-augustus-gene-1.68-mRNA-1_1&gene=maker-ZYBA0S14-augustus-gene-1.68&CDS=1-4128
67	OG0000067	YEL036C, YMR278W	augustus_masked-ZYBA0S04-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-ZYBA0S04-processed-gene-6.11&CDS=1-4140, genemark-ZYBA0S09-processed-gene-1.14-mRNA-1_1&gene=genemark-ZYBA0S09-processed-gene-1.14&CDS=1-1356
68	OG0000068	YEL063C, YNL268W	genemark-ZYBA0S14-processed-gene-0.62-mRNA-1_1&gene=genemark-ZYBA0S14-processed-gene-0.62&CDS=1-1707, snap_masked-ZYBA0S14-processed-gene-0.84-mRNA-1_1&gene=snap_masked-ZYBA0S14-processed-gene-0.84&CDS=1-1674
