	OrthologID	Saccharomyces_cerevisiae	Starmerella_bombicola_JCM9596
27	OG0000027	YGR209C, YLR043C, YOL088C	-processed-gene-3.71-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-3.71&CDS=1-1071, -processed-gene-8.87-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-8.87&CDS=1-306
28	OG0000028	YGR263C	-processed-gene-21.75-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-21.75&CDS=1-1008, -processed-gene-27.95-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-27.95&CDS=1-1011, -processed-gene-8.144-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-8.144&CDS=1-1236, -processed-gene-9.67-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-9.67&CDS=1-1302
29	OG0000029	YHR019C, YPR194C	-augustus-gene-16.0-mRNA-1_1&gene=maker-gi|1002316117|dbj|BCGO01000002.1|-augustus-gene-16.0&CDS=1-5526, -processed-gene-11.11-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.11&CDS=1-2592, -processed-gene-11.60-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-11.60&CDS=1-2622
30	OG0000030	YIL130W, YJL089W, YJL206C	-processed-gene-27.240-mRNA-1_1&gene=genemark-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-27.240&CDS=1-1884, -processed-gene-7.123-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-7.123&CDS=1-2112
31	OG0000031	YJL172W, YOL153C	-processed-gene-11.114-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-11.114&CDS=1-1635, -processed-gene-14.143-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.143&CDS=1-1749, -processed-gene-19.282-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.282&CDS=1-1551
32	OG0000032	YKL222C, YLR266C, YOR162C, YOR172W	-processed-gene-12.87-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-12.87&CDS=1-3036
33	OG0000033	YKR039W	-augustus-gene-27.189-mRNA-1_1&gene=maker-gi|1002316117|dbj|BCGO01000002.1|-augustus-gene-27.189&CDS=1-4461, -processed-gene-1.119-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-1.119&CDS=1-1740, -processed-gene-4.57-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-4.57&CDS=1-1782, -snap-gene-7.140-mRNA-1_1&gene=maker-gi|1002316117|dbj|BCGO01000002.1|-snap-gene-7.140&CDS=1-3672
34	OG0000034	YKR089C, YMR313C, YOR081C	-processed-gene-10.130-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-10.130&CDS=1-1803, -processed-gene-11.65-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-11.65&CDS=1-1638
35	OG0000035		-processed-gene-11.51-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-11.51&CDS=1-1758, -processed-gene-13.84-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-13.84&CDS=1-1731, -processed-gene-20.80-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-20.80&CDS=1-1479, -processed-gene-7.56-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-7.56&CDS=1-1758, -processed-gene-9.16-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-9.16&CDS=1-1614
36	OG0000036	YBL088C, YBR136W	-processed-gene-17.95-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-17.95&CDS=1-6900, -processed-gene-8.115-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-8.115&CDS=1-4563
37	OG0000037	YBR010W, YNL031C	-processed-gene-10.144-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-10.144&CDS=1-459, -processed-gene-6.62-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-6.62&CDS=1-459
38	OG0000038	YBR114W, YOR191W	-processed-gene-1.29-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-1.29&CDS=1-3300, -processed-gene-3.57-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-3.57&CDS=1-2292
39	OG0000039	YBR240C, YML099C	-processed-gene-1.10-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-1.10&CDS=1-1752, -processed-gene-18.39-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-18.39&CDS=1-2748
40	OG0000040	YBR263W, YLR058C	-processed-gene-13.58-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-13.58&CDS=1-1434, -processed-gene-19.323-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.323&CDS=1-1407
41	OG0000041	YCR092C, YDR097C	-processed-gene-13.99-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-13.99&CDS=1-2910, -processed-gene-19.284-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-19.284&CDS=1-3474
42	OG0000042	YCR105W, YMR318C	-processed-gene-0.54-mRNA-1_1&gene=snap_masked-gi|1002316113|dbj|BCGO01000006.1|-processed-gene-0.54&CDS=1-1032, -processed-gene-8.116-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-8.116&CDS=1-1083
43	OG0000043	YDL025C, YNL183C	-processed-gene-13.57-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-13.57&CDS=1-1914, -processed-gene-9.105-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-9.105&CDS=1-1674
44	OG0000044	YDL056W, YLR182W	-processed-gene-0.53-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-0.53&CDS=1-2364, -processed-gene-19.14-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-19.14&CDS=1-2253
45	OG0000045	YDL100C, YLR138W	-augustus-gene-19.0-mRNA-1_1&gene=maker-gi|1002316116|dbj|BCGO01000003.1|-augustus-gene-19.0&CDS=1-2145, -processed-gene-0.63-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-0.63&CDS=1-2826
46	OG0000046	YDL108W, YPR161C	-processed-gene-0.54-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-0.54&CDS=1-1290, -processed-gene-11.41-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-11.41&CDS=1-942
47	OG0000047	YDL126C, YLR397C	-augustus-gene-4.0-mRNA-1_1&gene=maker-gi|1002316117|dbj|BCGO01000002.1|-augustus-gene-4.0&CDS=1-3867, -processed-gene-8.107-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-8.107&CDS=1-2436
48	OG0000048	YDL132W, YGR003W	-processed-gene-10.80-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-10.80&CDS=1-2301, -processed-gene-5.153-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-5.153&CDS=1-2220
49	OG0000049	YDL210W, YPL227C	-augustus-gene-7.0-mRNA-1_1&gene=maker-gi|1002316116|dbj|BCGO01000003.1|-augustus-gene-7.0&CDS=1-5721, -processed-gene-6.76-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-6.76&CDS=1-1740
50	OG0000050	YDL246C, YJR159W, YLR070C	-processed-gene-14.130-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.130&CDS=1-1080
51	OG0000051	YDR037W, YNL072W	-processed-gene-13.65-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-13.65&CDS=1-1725, -processed-gene-2.70-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-2.70&CDS=1-2430
52	OG0000052	YDR089W, YJL012C	-processed-gene-23.49-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-23.49&CDS=1-2097, -processed-gene-7.113-mRNA-1_1&gene=augustus_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-7.113&CDS=1-2157
53	OG0000053	YDR144C, YLR120C, YLR121C	-processed-gene-12.81-mRNA-1_1&gene=augustus_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-12.81&CDS=1-1602
54	OG0000054	YDR172W, YKR084C	-processed-gene-3.15-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-3.15&CDS=1-2226, -processed-gene-7.98-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-7.98&CDS=1-1926
55	OG0000055	YDR276C, YDR525W-A, YJL151C	-processed-gene-10.75-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-10.75&CDS=1-384
56	OG0000056	YDR453C, YML028W	-processed-gene-11.82-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-11.82&CDS=1-558, -processed-gene-27.76-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-27.76&CDS=1-579
57	OG0000057	YDR477W, YKL101W	-processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002316114|dbj|BCGO01000005.1|-processed-gene-0.45&CDS=1-1707, -processed-gene-5.151-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-5.151&CDS=1-3060
58	OG0000058	YER056C, YER060W, YER060W-A	-augustus-gene-23.133-mRNA-1_1&gene=maker-gi|1002316118|dbj|BCGO01000001.1|-augustus-gene-23.133&CDS=1-3075
59	OG0000059	YER103W, YJL034W	-processed-gene-2.13-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-2.13&CDS=1-1935, -processed-gene-26.75-mRNA-1_1&gene=augustus_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-26.75&CDS=1-1992
60	OG0000060	YFL050C, YOL130W	-processed-gene-23.61-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-23.61&CDS=1-1971, -processed-gene-28.82-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-28.82&CDS=1-1356
61	OG0000061	YFL060C, YMR095C, YNL334C	-processed-gene-4.152-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-4.152&CDS=1-642
62	OG0000062	YFR037C, YJL176C	-processed-gene-14.118-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.118&CDS=1-1497, -processed-gene-15.160-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-15.160&CDS=1-2574
63	OG0000063	YGL003C, YGL116W	-processed-gene-27.50-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-27.50&CDS=1-1740, -processed-gene-8.75-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-8.75&CDS=1-1488
64	OG0000064	YGR154C, YKR076W, YMR251W	-processed-gene-8.59-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-8.59&CDS=1-1014
65	OG0000065	YHL007C, YNL298W	-processed-gene-2.140-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-2.140&CDS=1-2295, -processed-gene-8.80-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-8.80&CDS=1-2694
66	OG0000066	YHL010C, YOL133W	-processed-gene-0.44-mRNA-1_1&gene=snap_masked-gi|1002316114|dbj|BCGO01000005.1|-processed-gene-0.44&CDS=1-840, -processed-gene-12.59-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-12.59&CDS=1-498
67	OG0000067	YHR023W, YMR109W	-processed-gene-1.39-mRNA-1_1&gene=genemark-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-1.39&CDS=1-5217, -processed-gene-7.117-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-7.117&CDS=1-3474
68	OG0000068	YHR208W, YJR148W	-processed-gene-3.0-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-3.0&CDS=1-1080, -processed-gene-9.117-mRNA-1_1&gene=genemark-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-9.117&CDS=1-1158
69	OG0000069	YIL120W, YIL121W, YNL065W	-processed-gene-18.92-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-18.92&CDS=1-1662
70	OG0000070	YIL147C	-processed-gene-12.78-mRNA-1_1&gene=augustus_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-12.78&CDS=1-4302, -processed-gene-13.103-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-13.103&CDS=1-3243, -processed-gene-7.18-mRNA-1_1&gene=genemark-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-7.18&CDS=1-3204
71	OG0000071	YIR035C, YIR036C	-processed-gene-14.123-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.123&CDS=1-729, -processed-gene-14.124-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-14.124&CDS=1-726
72	OG0000072	YJL095W, YLR362W	-processed-gene-10.105-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-10.105&CDS=1-3417, -processed-gene-2.54-mRNA-1_1&gene=snap_masked-gi|1002316117|dbj|BCGO01000002.1|-processed-gene-2.54&CDS=1-1908
73	OG0000073	YJL130C, YJR109C	-processed-gene-23.83-mRNA-1_1&gene=snap_masked-gi|1002316118|dbj|BCGO01000001.1|-processed-gene-23.83&CDS=1-3399, -processed-gene-6.94-mRNA-1_1&gene=snap_masked-gi|1002316116|dbj|BCGO01000003.1|-processed-gene-6.94&CDS=1-6357
74	OG0000074	YKL059C	-processed-gene-0.23-mRNA-1_1&gene=genemark-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-0.23&CDS=1-408, -processed-gene-0.64-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-0.64&CDS=1-510, -processed-gene-7.107-mRNA-1_1&gene=snap_masked-gi|1002316115|dbj|BCGO01000004.1|-processed-gene-7.107&CDS=1-1407
