	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034974_Deakozyma_indianensis
10	OG0000010	YOL133W, YPR093C	augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-1.110&CDS=1-1194, augustus_masked-NODE_22_length_237600_cov_23.5216_ID_43-processed-gene-1.217-mRNA-1_1&gene=augustus_masked-NODE_22_length_237600_cov_23.5216_ID_43-processed-gene-1.217&CDS=1-1767, augustus_masked-NODE_6_length_470546_cov_23.8238_ID_11-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_6_length_470546_cov_23.8238_ID_11-processed-gene-1.63&CDS=1-1080, maker-NODE_3_length_734043_cov_24.8_ID_5-augustus-gene-2.100-mRNA-1_1&gene=maker-NODE_3_length_734043_cov_24.8_ID_5-augustus-gene-2.100&CDS=1-309, snap_masked-NODE_18_length_262085_cov_23.2177_ID_35-processed-gene-1.133-mRNA-1_1&gene=snap_masked-NODE_18_length_262085_cov_23.2177_ID_35-processed-gene-1.133&CDS=1-1305
11	OG0000011	YPL092W	maker-NODE_4_length_629897_cov_23.9612_ID_7-snap-gene-3.71-mRNA-1_1&gene=maker-NODE_4_length_629897_cov_23.9612_ID_7-snap-gene-3.71&CDS=1-1635, maker-NODE_4_length_629897_cov_23.9612_ID_7-snap-gene-3.72-mRNA-1_1&gene=maker-NODE_4_length_629897_cov_23.9612_ID_7-snap-gene-3.72&CDS=1-2739, maker-NODE_4_length_629897_cov_23.9612_ID_7-snap-gene-3.74-mRNA-1_1&gene=maker-NODE_4_length_629897_cov_23.9612_ID_7-snap-gene-3.74&CDS=1-363, maker-NODE_4_length_629897_cov_23.9612_ID_7-snap-gene-3.75-mRNA-1_1&gene=maker-NODE_4_length_629897_cov_23.9612_ID_7-snap-gene-3.75&CDS=1-2043, snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-6.96-mRNA-1_1&gene=snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-6.96&CDS=1-525, snap_masked-NODE_27_length_183370_cov_23.42_ID_53-processed-gene-0.149-mRNA-1_1&gene=snap_masked-NODE_27_length_183370_cov_23.42_ID_53-processed-gene-0.149&CDS=1-1167
12	OG0000012		augustus_masked-NODE_24_length_197201_cov_29.2507_ID_47-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_24_length_197201_cov_29.2507_ID_47-processed-gene-0.79&CDS=1-2094, augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-0.94&CDS=1-2100, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-3.27&CDS=1-2043, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-3.28&CDS=1-2148, snap_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-2.61&CDS=1-1770, snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-3.114-mRNA-1_1&gene=snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-3.114&CDS=1-516, snap_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-3.73-mRNA-1_1&gene=snap_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-3.73&CDS=1-1698
13	OG0000013	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-0.86&CDS=1-1701
14	OG0000014	YBR237W, YDR243C, YNL112W	augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-12.103-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-12.103&CDS=1-2367, augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-1.39&CDS=1-1629, maker-NODE_11_length_409265_cov_25.2302_ID_21-augustus-gene-3.105-mRNA-1_1&gene=maker-NODE_11_length_409265_cov_25.2302_ID_21-augustus-gene-3.105&CDS=1-1704
15	OG0000015	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-2.193-mRNA-1_1&gene=augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-2.193&CDS=1-1668, maker-NODE_3_length_734043_cov_24.8_ID_5-snap-gene-5.1-mRNA-1_1&gene=maker-NODE_3_length_734043_cov_24.8_ID_5-snap-gene-5.1&CDS=1-3324
16	OG0000016	YDL216C, YFR004W, YLR073C	augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-1.56&CDS=1-933, augustus_masked-NODE_30_length_88320_cov_22.7683_ID_59-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_30_length_88320_cov_22.7683_ID_59-processed-gene-0.80&CDS=1-1359, augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.78&CDS=1-981
17	OG0000017	YDR385W, YKL173W, YOR133W	augustus_masked-NODE_26_length_184323_cov_24.5943_ID_51-processed-gene-0.233-mRNA-1_1&gene=augustus_masked-NODE_26_length_184323_cov_24.5943_ID_51-processed-gene-0.233&CDS=1-2880, augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-1.42&CDS=1-2526, snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-7.53-mRNA-1_1&gene=snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-7.53&CDS=1-2526
18	OG0000018	YER185W, YGR213C, YLR046C	augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-0.106&CDS=1-858, augustus_masked-NODE_16_length_290319_cov_24.671_ID_31-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_16_length_290319_cov_24.671_ID_31-processed-gene-1.125&CDS=1-858, augustus_masked-NODE_28_length_124063_cov_22.7088_ID_55-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_28_length_124063_cov_22.7088_ID_55-processed-gene-0.27&CDS=1-861
19	OG0000019	YKR064W, YNR063W	augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-1.67&CDS=1-1701, augustus_masked-NODE_13_length_396458_cov_24.2092_ID_25-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_13_length_396458_cov_24.2092_ID_25-processed-gene-0.29&CDS=1-2154, augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NODE_2_length_765441_cov_23.7578_ID_3-processed-gene-3.48&CDS=1-2307, augustus_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-2.60&CDS=1-2271
20	OG0000020		augustus_masked-NODE_15_length_303709_cov_21.9907_ID_29-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NODE_15_length_303709_cov_21.9907_ID_29-processed-gene-2.25&CDS=1-2787, augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-1.68&CDS=1-690, augustus_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-3.17&CDS=1-2241, augustus_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-3.18&CDS=1-2214, snap_masked-NODE_15_length_303709_cov_21.9907_ID_29-processed-gene-2.134-mRNA-1_1&gene=snap_masked-NODE_15_length_303709_cov_21.9907_ID_29-processed-gene-2.134&CDS=1-2343, snap_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NODE_8_length_421068_cov_22.5296_ID_15-processed-gene-1.38&CDS=1-1971
21	OG0000021	YAL053W, YGL139W, YPL221W	augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-2.130&CDS=1-2265, snap_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NODE_12_length_398490_cov_23.3519_ID_23-processed-gene-1.10&CDS=1-2376
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-4.248-mRNA-1_1&gene=augustus_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-4.248&CDS=1-2463
23	OG0000023	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.79&CDS=1-1635
24	OG0000024	YCL011C, YDR432W, YNL004W	genemark-NODE_20_length_253619_cov_23.9657_ID_39-processed-gene-1.99-mRNA-1_1&gene=genemark-NODE_20_length_253619_cov_23.9657_ID_39-processed-gene-1.99&CDS=1-1065, snap_masked-NODE_21_length_245991_cov_23.2876_ID_41-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_21_length_245991_cov_23.2876_ID_41-processed-gene-0.96&CDS=1-327
25	OG0000025	YCL039W, YOR272W	augustus_masked-NODE_13_length_396458_cov_24.2092_ID_25-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NODE_13_length_396458_cov_24.2092_ID_25-processed-gene-1.93&CDS=1-1278, augustus_masked-NODE_24_length_197201_cov_29.2507_ID_47-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_24_length_197201_cov_29.2507_ID_47-processed-gene-0.27&CDS=1-963, snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.121-mRNA-1_1&gene=snap_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-8.121&CDS=1-1755
26	OG0000026	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-NODE_7_length_449235_cov_25.4959_ID_13-processed-gene-3.133&CDS=1-1770
27	OG0000027	YDR143C, YOL013C	augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-4.119&CDS=1-1224, augustus_masked-NODE_33_length_58837_cov_33.2076_ID_65-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_33_length_58837_cov_33.2076_ID_65-processed-gene-0.11&CDS=1-1116, snap_masked-NODE_20_length_253619_cov_23.9657_ID_39-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_20_length_253619_cov_23.9657_ID_39-processed-gene-0.108&CDS=1-1569
28	OG0000028	YDR379W, YOR127W	augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-3.64&CDS=1-1140, snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-2.140-mRNA-1_1&gene=snap_masked-NODE_10_length_413368_cov_23.0473_ID_19-processed-gene-2.140&CDS=1-2274, snap_masked-NODE_26_length_184323_cov_24.5943_ID_51-processed-gene-0.172-mRNA-1_1&gene=snap_masked-NODE_26_length_184323_cov_24.5943_ID_51-processed-gene-0.172&CDS=1-2475
