	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034978_Cyberlindnera_mrakii
10	OG0000010	YJR152W	genemark-NODE_31_length_126043_cov_12.0497_ID_61-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_31_length_126043_cov_12.0497_ID_61-processed-gene-0.85&CDS=1-1575, genemark-NODE_49_length_59562_cov_13.1968_ID_97-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_49_length_59562_cov_13.1968_ID_97-processed-gene-0.24&CDS=1-1530, genemark-NODE_51_length_39543_cov_12.3257_ID_101-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_51_length_39543_cov_12.3257_ID_101-processed-gene-0.14&CDS=1-696, genemark-NODE_51_length_39543_cov_12.3257_ID_101-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_51_length_39543_cov_12.3257_ID_101-processed-gene-0.15&CDS=1-849, genemark-NODE_8_length_379377_cov_11.5979_ID_15-processed-gene-2.1-mRNA-1_1&gene=genemark-NODE_8_length_379377_cov_11.5979_ID_15-processed-gene-2.1&CDS=1-1536, maker-NODE_57_length_31197_cov_12.7885_ID_113-snap-gene-0.21-mRNA-1_1&gene=maker-NODE_57_length_31197_cov_12.7885_ID_113-snap-gene-0.21&CDS=1-666
11	OG0000011	YAL051W, YOR363C	genemark-NODE_19_length_218239_cov_12.78_ID_37-processed-gene-1.128-mRNA-1_1&gene=genemark-NODE_19_length_218239_cov_12.78_ID_37-processed-gene-1.128&CDS=1-2604, genemark-NODE_7_length_458531_cov_11.9306_ID_13-processed-gene-3.167-mRNA-1_1&gene=genemark-NODE_7_length_458531_cov_11.9306_ID_13-processed-gene-3.167&CDS=1-2550, maker-NODE_28_length_146636_cov_11.8629_ID_55-augustus-gene-0.224-mRNA-1_1&gene=maker-NODE_28_length_146636_cov_11.8629_ID_55-augustus-gene-0.224&CDS=1-2457, snap_masked-NODE_6_length_464862_cov_11.3774_ID_11-processed-gene-3.153-mRNA-1_1&gene=snap_masked-NODE_6_length_464862_cov_11.3774_ID_11-processed-gene-3.153&CDS=1-2559
12	OG0000012	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_52_length_38500_cov_15.7626_ID_103-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_52_length_38500_cov_15.7626_ID_103-processed-gene-0.12&CDS=1-4575, maker-NODE_13_length_280725_cov_12.346_ID_25-augustus-gene-1.290-mRNA-1_1&gene=maker-NODE_13_length_280725_cov_12.346_ID_25-augustus-gene-1.290&CDS=1-4869
13	OG0000013	YDL037C, YIR019C	augustus_masked-NODE_230_length_792_cov_17.7004_ID_459-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_230_length_792_cov_17.7004_ID_459-processed-gene-0.2&CDS=1-738, augustus_masked-NODE_236_length_766_cov_41.1473_ID_471-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_236_length_766_cov_41.1473_ID_471-processed-gene-0.0&CDS=1-639, augustus_masked-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_5_length_658169_cov_12.3468_ID_9-processed-gene-0.110&CDS=1-990, snap_masked-NODE_16_length_257578_cov_11.8083_ID_31-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_16_length_257578_cov_11.8083_ID_31-processed-gene-0.43&CDS=1-285
14	OG0000014	YDL210W	genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.153-mRNA-1_1&gene=genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.153&CDS=1-1686, genemark-NODE_23_length_188232_cov_11.929_ID_45-processed-gene-0.252-mRNA-1_1&gene=genemark-NODE_23_length_188232_cov_11.929_ID_45-processed-gene-0.252&CDS=1-1626, genemark-NODE_31_length_126043_cov_12.0497_ID_61-processed-gene-0.113-mRNA-1_1&gene=genemark-NODE_31_length_126043_cov_12.0497_ID_61-processed-gene-0.113&CDS=1-1659, genemark-NODE_6_length_464862_cov_11.3774_ID_11-processed-gene-3.236-mRNA-1_1&gene=genemark-NODE_6_length_464862_cov_11.3774_ID_11-processed-gene-3.236&CDS=1-1671, genemark-NODE_9_length_336998_cov_12.2226_ID_17-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_9_length_336998_cov_12.2226_ID_17-processed-gene-0.69&CDS=1-1638
15	OG0000015	YDR028C, YKR075C, YOR062C	genemark-NODE_12_length_292987_cov_12.0567_ID_23-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_12_length_292987_cov_12.0567_ID_23-processed-gene-0.52&CDS=1-678, genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-6.181-mRNA-1_1&gene=genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-6.181&CDS=1-2094, genemark-NODE_49_length_59562_cov_13.1968_ID_97-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_49_length_59562_cov_13.1968_ID_97-processed-gene-0.23&CDS=1-669
16	OG0000016	YGL098W	genemark-NODE_53_length_37644_cov_11.8607_ID_105-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_53_length_37644_cov_11.8607_ID_105-processed-gene-0.35&CDS=1-1482, genemark-NODE_67_length_21016_cov_14.4917_ID_133-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_67_length_21016_cov_14.4917_ID_133-processed-gene-0.7&CDS=1-1341, genemark-NODE_67_length_21016_cov_14.4917_ID_133-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_67_length_21016_cov_14.4917_ID_133-processed-gene-0.9&CDS=1-1059, maker-NODE_3_length_717632_cov_12.2362_ID_5-snap-gene-3.153-mRNA-1_1&gene=maker-NODE_3_length_717632_cov_12.2362_ID_5-snap-gene-3.153&CDS=1-5832, maker-NODE_6_length_464862_cov_11.3774_ID_11-snap-gene-3.4-mRNA-1_1&gene=maker-NODE_6_length_464862_cov_11.3774_ID_11-snap-gene-3.4&CDS=1-3555
17	OG0000017	YKL220C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_31_length_126043_cov_12.0497_ID_61-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-NODE_31_length_126043_cov_12.0497_ID_61-processed-gene-0.193&CDS=1-1905, genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-5.55-mRNA-1_1&gene=genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-5.55&CDS=1-2085
18	OG0000018	YKL222C, YLR266C, YOR162C, YOR172W	genemark-NODE_17_length_236667_cov_11.7538_ID_33-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_17_length_236667_cov_11.7538_ID_33-processed-gene-1.47&CDS=1-1140, genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-5.45-mRNA-1_1&gene=genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-5.45&CDS=1-2226
19	OG0000019	YLL057C	genemark-NODE_17_length_236667_cov_11.7538_ID_33-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_17_length_236667_cov_11.7538_ID_33-processed-gene-0.133&CDS=1-1164, genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_2_length_726406_cov_11.9842_ID_3-processed-gene-1.10&CDS=1-1176, genemark-NODE_33_length_117799_cov_11.4822_ID_65-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_33_length_117799_cov_11.4822_ID_65-processed-gene-0.87&CDS=1-1089, genemark-NODE_89_length_7863_cov_13.6059_ID_177-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_89_length_7863_cov_13.6059_ID_177-processed-gene-0.6&CDS=1-1098, maker-NODE_20_length_196215_cov_11.9671_ID_39-augustus-gene-0.12-mRNA-1_1&gene=maker-NODE_20_length_196215_cov_11.9671_ID_39-augustus-gene-0.12&CDS=1-1584
20	OG0000020	YLR237W, YOR071C, YOR192C	genemark-NODE_124_length_2535_cov_16.0791_ID_247-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_124_length_2535_cov_16.0791_ID_247-processed-gene-0.5&CDS=1-1089, genemark-NODE_156_length_1640_cov_16.2284_ID_311-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_156_length_1640_cov_16.2284_ID_311-processed-gene-0.2&CDS=1-570, genemark-NODE_156_length_1640_cov_16.2284_ID_311-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_156_length_1640_cov_16.2284_ID_311-processed-gene-0.3&CDS=1-489
21	OG0000021	YOR049C	genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.100&CDS=1-882, genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.146-mRNA-1_1&gene=genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.146&CDS=1-990, genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.147-mRNA-1_1&gene=genemark-NODE_22_length_193242_cov_11.5092_ID_43-processed-gene-0.147&CDS=1-891, genemark-NODE_49_length_59562_cov_13.1968_ID_97-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_49_length_59562_cov_13.1968_ID_97-processed-gene-0.22&CDS=1-1179, genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-3.61-mRNA-1_1&gene=genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-3.61&CDS=1-1179
22	OG0000022	Q0105, Q0110, Q0115, Q0120	maker-NODE_50_length_54734_cov_283.118_ID_99-snap-gene-0.12-mRNA-1_1&gene=maker-NODE_50_length_54734_cov_283.118_ID_99-snap-gene-0.12&CDS=1-267, maker-NODE_50_length_54734_cov_283.118_ID_99-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_50_length_54734_cov_283.118_ID_99-snap-gene-0.3&CDS=1-915
23	OG0000023	YAL007C, YDL018C, YOR016C	genemark-NODE_40_length_88697_cov_12.0789_ID_79-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_40_length_88697_cov_12.0789_ID_79-processed-gene-0.67&CDS=1-609, genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-6.120-mRNA-1_1&gene=genemark-NODE_4_length_705674_cov_11.8238_ID_7-processed-gene-6.120&CDS=1-621
24	OG0000024	YBR118W, YKR084C, YPR080W	augustus_masked-NODE_179_length_1344_cov_22.3434_ID_357-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_179_length_1344_cov_22.3434_ID_357-processed-gene-0.2&CDS=1-1341, maker-NODE_37_length_98088_cov_12.3594_ID_73-snap-gene-0.173-mRNA-1_1&gene=maker-NODE_37_length_98088_cov_12.3594_ID_73-snap-gene-0.173&CDS=1-2094
25	OG0000025	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NODE_21_length_195718_cov_12.8148_ID_41-processed-gene-0.184-mRNA-1_1&gene=genemark-NODE_21_length_195718_cov_12.8148_ID_41-processed-gene-0.184&CDS=1-1500
