	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041824_Debaryomyces_subglobosus
10	OG0000010	YLR425W	genemark-NODE_15_length_260769_cov_14.0345_ID_2968-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_15_length_260769_cov_14.0345_ID_2968-processed-gene-1.76&CDS=1-813, genemark-NODE_21_length_113198_cov_13.7137_ID_3403-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_21_length_113198_cov_13.7137_ID_3403-processed-gene-0.49&CDS=1-5184, genemark-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-1.20-mRNA-1_1&gene=genemark-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-1.20&CDS=1-834, snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.37&CDS=1-774, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-1.129-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-1.129&CDS=1-855, snap_masked-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-7.154-mRNA-1_1&gene=snap_masked-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-7.154&CDS=1-780, snap_masked-NODE_7_length_495289_cov_14.9861_ID_1813-processed-gene-3.50-mRNA-1_1&gene=snap_masked-NODE_7_length_495289_cov_14.9861_ID_1813-processed-gene-3.50&CDS=1-807
11	OG0000011	YPR147C	augustus_masked-NODE_24_length_56889_cov_66.0018_ID_6734-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_24_length_56889_cov_66.0018_ID_6734-processed-gene-0.55&CDS=1-3357, genemark-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.218-mRNA-1_1&gene=genemark-NODE_20_length_192465_cov_17.6434_ID_2653-processed-gene-0.218&CDS=1-1503, genemark-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-11.9-mRNA-1_1&gene=genemark-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-11.9&CDS=1-1590, snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-2.57&CDS=1-1692, snap_masked-NODE_24_length_56889_cov_66.0018_ID_6734-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_24_length_56889_cov_66.0018_ID_6734-processed-gene-0.21&CDS=1-1455, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-2.128-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-2.128&CDS=1-1488, snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_8_length_473764_cov_15.914_ID_3315-processed-gene-0.45&CDS=1-1491
12	OG0000012	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	snap_masked-NODE_23_length_67132_cov_14.3869_ID_7329-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_23_length_67132_cov_14.3869_ID_7329-processed-gene-0.59&CDS=1-1896
13	OG0000013	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_3_length_1038804_cov_12.7237_ID_1581-snap-gene-7.60-mRNA-1_1&gene=maker-NODE_3_length_1038804_cov_12.7237_ID_1581-snap-gene-7.60&CDS=1-2763, snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-1.104-mRNA-1_1&gene=snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-1.104&CDS=1-1392
14	OG0000014	YBR240C, YDR207C	genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-5.18-mRNA-1_1&gene=genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-5.18&CDS=1-1479, maker-NODE_3_length_1038804_cov_12.7237_ID_1581-snap-gene-5.157-mRNA-1_1&gene=maker-NODE_3_length_1038804_cov_12.7237_ID_1581-snap-gene-5.157&CDS=1-1686, snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-7.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-7.79&CDS=1-810, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-8.4-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-8.4&CDS=1-1263, snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-7.110-mRNA-1_1&gene=snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-7.110&CDS=1-945
15	OG0000015	YDL035C, YGR149W	genemark-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-6.64-mRNA-1_1&gene=genemark-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-6.64&CDS=1-2079, genemark-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-0.49&CDS=1-870, genemark-NODE_60_length_1599_cov_20.3393_ID_5756-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_60_length_1599_cov_20.3393_ID_5756-processed-gene-0.0&CDS=1-960, maker-NODE_10_length_307641_cov_16.6427_ID_3803-augustus-gene-1.100-mRNA-1_1&gene=maker-NODE_10_length_307641_cov_16.6427_ID_3803-augustus-gene-1.100&CDS=1-2886, snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-16.137-mRNA-1_1&gene=snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-16.137&CDS=1-1560
16	OG0000016	YDR338C, YHR032W	augustus_masked-NODE_11_length_297985_cov_17.1524_ID_2860-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_11_length_297985_cov_17.1524_ID_2860-processed-gene-0.54&CDS=1-1080, maker-NODE_4_length_857964_cov_14.0836_ID_1980-snap-gene-0.137-mRNA-1_1&gene=maker-NODE_4_length_857964_cov_14.0836_ID_1980-snap-gene-0.137&CDS=1-1710, snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-10.76-mRNA-1_1&gene=snap_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-10.76&CDS=1-1848, snap_masked-NODE_27_length_26933_cov_20.5171_ID_3789-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_27_length_26933_cov_20.5171_ID_3789-processed-gene-0.20&CDS=1-1452, snap_masked-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-7.163-mRNA-1_1&gene=snap_masked-NODE_5_length_819411_cov_14.2285_ID_4253-processed-gene-7.163&CDS=1-1773
17	OG0000017	YFR007W, YPL248C	genemark-NODE_26_length_32503_cov_21.6233_ID_3717-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_26_length_32503_cov_21.6233_ID_3717-processed-gene-0.9&CDS=1-2541, snap_masked-NODE_17_length_205252_cov_16.5659_ID_2361-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NODE_17_length_205252_cov_16.5659_ID_2361-processed-gene-1.100&CDS=1-2277, snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-5.139-mRNA-1_1&gene=snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-5.139&CDS=1-687, snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-4.0-mRNA-1_1&gene=snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-4.0&CDS=1-2988, snap_masked-NODE_7_length_495289_cov_14.9861_ID_1813-processed-gene-3.105-mRNA-1_1&gene=snap_masked-NODE_7_length_495289_cov_14.9861_ID_1813-processed-gene-3.105&CDS=1-2268
18	OG0000018	YLL005C, YMR266W, YOL084W	augustus_masked-NODE_46_length_2581_cov_16.6764_ID_5163-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_46_length_2581_cov_16.6764_ID_5163-processed-gene-0.1&CDS=1-1752, genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-4.5-mRNA-1_1&gene=genemark-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-4.5&CDS=1-1761, snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_10_length_307641_cov_16.6427_ID_3803-processed-gene-0.48&CDS=1-2703, snap_masked-NODE_3_length_1038804_cov_12.7237_ID_1581-processed-gene-4.106-mRNA-1_1&gene=snap_masked-NODE_3_length_1038804_cov_12.7237_ID_1581-processed-gene-4.106&CDS=1-2598
19	OG0000019	YMR008C, YNL012W, YOL011W	augustus_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_1734690_cov_13.5478_ID_3616-processed-gene-10.38&CDS=1-2010, augustus_masked-NODE_3_length_1038804_cov_12.7237_ID_1581-processed-gene-9.173-mRNA-1_1&gene=augustus_masked-NODE_3_length_1038804_cov_12.7237_ID_1581-processed-gene-9.173&CDS=1-3141, snap_masked-NODE_14_length_267384_cov_11.5819_ID_2200-processed-gene-1.165-mRNA-1_1&gene=snap_masked-NODE_14_length_267384_cov_11.5819_ID_2200-processed-gene-1.165&CDS=1-1896, snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-6.77-mRNA-1_1&gene=snap_masked-NODE_4_length_857964_cov_14.0836_ID_1980-processed-gene-6.77&CDS=1-2127
20	OG0000020		augustus_masked-NODE_42_length_3186_cov_19.7252_ID_5047-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_42_length_3186_cov_19.7252_ID_5047-processed-gene-0.0&CDS=1-1587, augustus_masked-NODE_42_length_3186_cov_19.7252_ID_5047-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_42_length_3186_cov_19.7252_ID_5047-processed-gene-0.1&CDS=1-744, snap_masked-NODE_16_length_210475_cov_13.9038_ID_3569-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NODE_16_length_210475_cov_13.9038_ID_3569-processed-gene-1.82&CDS=1-2127, snap_masked-NODE_35_length_8260_cov_12.7233_ID_4581-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_35_length_8260_cov_12.7233_ID_4581-processed-gene-0.4&CDS=1-2457, snap_masked-NODE_35_length_8260_cov_12.7233_ID_4581-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_35_length_8260_cov_12.7233_ID_4581-processed-gene-0.6&CDS=1-2016, snap_masked-NODE_50_length_2174_cov_14.4584_ID_5197-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_50_length_2174_cov_14.4584_ID_5197-processed-gene-0.1&CDS=1-1230, snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_6_length_797504_cov_13.4927_ID_1893-processed-gene-0.57&CDS=1-1221
21	OG0000021	YAR066W, YHR214W, YIL169C, YOL155C	snap_masked-NODE_23_length_67132_cov_14.3869_ID_7329-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_23_length_67132_cov_14.3869_ID_7329-processed-gene-0.60&CDS=1-1368, snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-3.88-mRNA-1_1&gene=snap_masked-NODE_2_length_1437268_cov_13.7297_ID_2256-processed-gene-3.88&CDS=1-2493
