	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034946_Ambrosiozyma_oregonensis
10	OG0000010	YKL220C, YNR060W, YOR077W, YOR381W	maker-NODE_11_length_356766_cov_67.6943_ID_21-augustus-gene-2.215-mRNA-1_1&gene=maker-NODE_11_length_356766_cov_67.6943_ID_21-augustus-gene-2.215&CDS=1-3051, maker-NODE_27_length_200086_cov_97.5813_ID_53-snap-gene-1.142-mRNA-1_1&gene=maker-NODE_27_length_200086_cov_97.5813_ID_53-snap-gene-1.142&CDS=1-4047, snap_masked-NODE_47_length_113448_cov_67.9831_ID_93-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_47_length_113448_cov_67.9831_ID_93-processed-gene-0.66&CDS=1-2106, snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NODE_5_length_517853_cov_64.868_ID_9-processed-gene-1.21&CDS=1-2103, snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-3.15&CDS=1-2157
11	OG0000011	YKR064W	augustus_masked-NODE_36_length_143234_cov_69.1716_ID_71-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-NODE_36_length_143234_cov_69.1716_ID_71-processed-gene-0.173&CDS=1-2982, maker-NODE_30_length_175768_cov_73.1768_ID_59-augustus-gene-0.86-mRNA-1_1&gene=maker-NODE_30_length_175768_cov_73.1768_ID_59-augustus-gene-0.86&CDS=1-3333, snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-0.35&CDS=1-2925, snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-0.43&CDS=1-2286, snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_26_length_203786_cov_80.1698_ID_51-processed-gene-0.44&CDS=1-2280, snap_masked-NODE_30_length_175768_cov_73.1768_ID_59-processed-gene-0.140-mRNA-1_1&gene=snap_masked-NODE_30_length_175768_cov_73.1768_ID_59-processed-gene-0.140&CDS=1-3108, snap_masked-NODE_36_length_143234_cov_69.1716_ID_71-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_36_length_143234_cov_69.1716_ID_71-processed-gene-0.45&CDS=1-2745, snap_masked-NODE_63_length_50841_cov_125.583_ID_125-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_63_length_50841_cov_125.583_ID_125-processed-gene-0.51&CDS=1-2004
12	OG0000012	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_285_length_692_cov_198.408_ID_569-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_285_length_692_cov_198.408_ID_569-processed-gene-0.1&CDS=1-558
13	OG0000013	YDL037C, YIR019C	augustus_masked-NODE_45_length_117565_cov_76.451_ID_89-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_45_length_117565_cov_76.451_ID_89-processed-gene-0.25&CDS=1-2382, maker-NODE_13_length_350314_cov_71.6933_ID_25-augustus-gene-1.107-mRNA-1_1&gene=maker-NODE_13_length_350314_cov_71.6933_ID_25-augustus-gene-1.107&CDS=1-9006, maker-NODE_1_length_719706_cov_69.2366_ID_1-snap-gene-0.76-mRNA-1_1&gene=maker-NODE_1_length_719706_cov_69.2366_ID_1-snap-gene-0.76&CDS=1-1347, maker-NODE_1_length_719706_cov_69.2366_ID_1-snap-gene-0.77-mRNA-1_1&gene=maker-NODE_1_length_719706_cov_69.2366_ID_1-snap-gene-0.77&CDS=1-1809, snap_masked-NODE_32_length_163693_cov_61.6862_ID_63-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_32_length_163693_cov_61.6862_ID_63-processed-gene-0.108&CDS=1-1056, snap_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.56&CDS=1-1980
14	OG0000014	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	maker-NODE_34_length_152273_cov_66.6081_ID_67-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_34_length_152273_cov_66.6081_ID_67-snap-gene-0.5&CDS=1-1098
15	OG0000015	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-0.23&CDS=1-1398, snap_masked-NODE_39_length_135585_cov_103.842_ID_77-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_39_length_135585_cov_103.842_ID_77-processed-gene-0.55&CDS=1-1395
16	OG0000016	YBR067C, YDR542W, YER011W, YIL011W, YOR009W, YOR010C	maker-NODE_57_length_72165_cov_65.6225_ID_113-snap-gene-0.96-mRNA-1_1&gene=maker-NODE_57_length_72165_cov_65.6225_ID_113-snap-gene-0.96&CDS=1-1272
17	OG0000017	YDR011W, YNR070W, YPL058C	augustus_masked-NODE_42_length_127492_cov_113.867_ID_83-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_42_length_127492_cov_113.867_ID_83-processed-gene-0.33&CDS=1-2538, augustus_masked-NODE_85_length_15405_cov_81.7632_ID_169-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_85_length_15405_cov_81.7632_ID_169-processed-gene-0.9&CDS=1-2550, snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-5.63-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-5.63&CDS=1-4500, snap_masked-NODE_41_length_129558_cov_66.2536_ID_81-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_41_length_129558_cov_66.2536_ID_81-processed-gene-0.2&CDS=1-4491
18	OG0000018	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-0.63&CDS=1-1854, maker-NODE_47_length_113448_cov_67.9831_ID_93-snap-gene-0.133-mRNA-1_1&gene=maker-NODE_47_length_113448_cov_67.9831_ID_93-snap-gene-0.133&CDS=1-1467, maker-NODE_87_length_13092_cov_99.772_ID_173-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_87_length_13092_cov_99.772_ID_173-snap-gene-0.11&CDS=1-1794, snap_masked-NODE_33_length_156756_cov_89.183_ID_65-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_33_length_156756_cov_89.183_ID_65-processed-gene-0.92&CDS=1-1659
19	OG0000019	YGR281W, YKR104W	augustus_masked-NODE_22_length_240944_cov_72.0822_ID_43-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_22_length_240944_cov_72.0822_ID_43-processed-gene-0.30&CDS=1-4110, augustus_masked-NODE_265_length_772_cov_186.031_ID_529-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_265_length_772_cov_186.031_ID_529-processed-gene-0.1&CDS=1-768, maker-NODE_25_length_206780_cov_70.5737_ID_49-snap-gene-1.160-mRNA-1_1&gene=maker-NODE_25_length_206780_cov_70.5737_ID_49-snap-gene-1.160&CDS=1-8220, snap_masked-NODE_47_length_113448_cov_67.9831_ID_93-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_47_length_113448_cov_67.9831_ID_93-processed-gene-0.79&CDS=1-4227, snap_masked-NODE_72_length_35940_cov_86.5794_ID_143-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_72_length_35940_cov_86.5794_ID_143-processed-gene-0.36&CDS=1-4188
20	OG0000020	YKL128C	snap_masked-NODE_11_length_356766_cov_67.6943_ID_21-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_11_length_356766_cov_67.6943_ID_21-processed-gene-1.42&CDS=1-1092, snap_masked-NODE_12_length_351220_cov_69.727_ID_23-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NODE_12_length_351220_cov_69.727_ID_23-processed-gene-2.11&CDS=1-1014, snap_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_49_length_98167_cov_122.508_ID_97-processed-gene-0.74&CDS=1-1086, snap_masked-NODE_61_length_52752_cov_72.8796_ID_121-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_61_length_52752_cov_72.8796_ID_121-processed-gene-0.6&CDS=1-1107, snap_masked-NODE_61_length_52752_cov_72.8796_ID_121-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_61_length_52752_cov_72.8796_ID_121-processed-gene-0.7&CDS=1-1095, snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-4.136-mRNA-1_1&gene=snap_masked-NODE_6_length_511637_cov_80.4519_ID_11-processed-gene-4.136&CDS=1-1134
21	OG0000021	Q0105, Q0110, Q0115, Q0120	genemark-NODE_62_length_52366_cov_2735.4_ID_123-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_62_length_52366_cov_2735.4_ID_123-processed-gene-0.115&CDS=1-306, maker-NODE_62_length_52366_cov_2735.4_ID_123-snap-gene-0.54-mRNA-1_1&gene=maker-NODE_62_length_52366_cov_2735.4_ID_123-snap-gene-0.54&CDS=1-891, maker-NODE_62_length_52366_cov_2735.4_ID_123-snap-gene-0.61-mRNA-1_1&gene=maker-NODE_62_length_52366_cov_2735.4_ID_123-snap-gene-0.61&CDS=1-969
