	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034754_Lipomyces_arxii
10	OG0000010	YIL120W, YIL121W, YNL065W	genemark-NODE_111_length_51220_cov_12.301_ID_221-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_111_length_51220_cov_12.301_ID_221-processed-gene-0.28&CDS=1-1758, genemark-NODE_128_length_40329_cov_13.3336_ID_255-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_128_length_40329_cov_13.3336_ID_255-processed-gene-0.8&CDS=1-1731, genemark-NODE_212_length_17722_cov_12.5474_ID_423-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_212_length_17722_cov_12.5474_ID_423-processed-gene-0.1&CDS=1-1458, genemark-NODE_56_length_99794_cov_11.0017_ID_111-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_56_length_99794_cov_11.0017_ID_111-processed-gene-0.68&CDS=1-1611
11	OG0000011	YMR088C	genemark-NODE_104_length_57380_cov_11.9769_ID_207-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_104_length_57380_cov_11.9769_ID_207-processed-gene-0.27&CDS=1-1674, genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-3.110-mRNA-1_1&gene=genemark-NODE_1_length_424910_cov_11.4403_ID_1-processed-gene-3.110&CDS=1-1617, genemark-NODE_21_length_195060_cov_11.2816_ID_41-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_21_length_195060_cov_11.2816_ID_41-processed-gene-0.109&CDS=1-1659, genemark-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.140-mRNA-1_1&gene=genemark-NODE_22_length_187272_cov_11.383_ID_43-processed-gene-0.140&CDS=1-1701, genemark-NODE_294_length_8155_cov_11.3914_ID_587-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_294_length_8155_cov_11.3914_ID_587-processed-gene-0.7&CDS=1-1629, genemark-NODE_56_length_99794_cov_11.0017_ID_111-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_56_length_99794_cov_11.0017_ID_111-processed-gene-0.84&CDS=1-1794
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_102_length_59237_cov_11.1668_ID_203-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_102_length_59237_cov_11.1668_ID_203-processed-gene-0.77&CDS=1-1461
13	OG0000013	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_231_length_15401_cov_11.2882_ID_461-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_231_length_15401_cov_11.2882_ID_461-processed-gene-0.13&CDS=1-1401, genemark-NODE_175_length_25622_cov_11.3141_ID_349-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_175_length_25622_cov_11.3141_ID_349-processed-gene-0.14&CDS=1-1533
14	OG0000014	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.57&CDS=1-1785, snap_masked-NODE_136_length_38548_cov_12.4748_ID_271-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_136_length_38548_cov_12.4748_ID_271-processed-gene-0.35&CDS=1-711
15	OG0000015	YDL138W	genemark-NODE_115_length_49180_cov_14.0186_ID_229-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_115_length_49180_cov_14.0186_ID_229-processed-gene-0.22&CDS=1-1572, genemark-NODE_188_length_22899_cov_13.2511_ID_375-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_188_length_22899_cov_13.2511_ID_375-processed-gene-0.1&CDS=1-1560, genemark-NODE_66_length_88344_cov_12.8616_ID_131-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_66_length_88344_cov_12.8616_ID_131-processed-gene-0.77&CDS=1-1560, genemark-NODE_85_length_69627_cov_13.1806_ID_169-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_85_length_69627_cov_13.1806_ID_169-processed-gene-0.16&CDS=1-1620, snap_masked-NODE_59_length_97968_cov_11.3929_ID_117-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_59_length_97968_cov_11.3929_ID_117-processed-gene-0.55&CDS=1-1617
16	OG0000016	YDR242W	genemark-NODE_181_length_24351_cov_15.3716_ID_361-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_181_length_24351_cov_15.3716_ID_361-processed-gene-0.15&CDS=1-1590, genemark-NODE_49_length_108944_cov_11.5035_ID_97-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_49_length_108944_cov_11.5035_ID_97-processed-gene-0.62&CDS=1-1638, genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.142-mRNA-1_1&gene=genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.142&CDS=1-1638, genemark-NODE_90_length_67021_cov_12.7312_ID_179-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_90_length_67021_cov_12.7312_ID_179-processed-gene-0.94&CDS=1-1665, snap_masked-NODE_145_length_34410_cov_11.2031_ID_289-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_145_length_34410_cov_11.2031_ID_289-processed-gene-0.11&CDS=1-1674
17	OG0000017	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-NODE_589_length_917_cov_93.45_ID_1177-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_589_length_917_cov_93.45_ID_1177-processed-gene-0.1&CDS=1-471, snap_masked-NODE_635_length_710_cov_67.793_ID_1269-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_635_length_710_cov_67.793_ID_1269-processed-gene-0.0&CDS=1-360
18	OG0000018	YML099C	augustus_masked-NODE_431_length_2038_cov_29.1173_ID_861-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_431_length_2038_cov_29.1173_ID_861-processed-gene-0.0&CDS=1-960, genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_10_length_247159_cov_11.3339_ID_19-processed-gene-0.78&CDS=1-1890, genemark-NODE_135_length_38631_cov_13.3763_ID_269-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_135_length_38631_cov_13.3763_ID_269-processed-gene-0.31&CDS=1-1719, genemark-NODE_77_length_77390_cov_11.3037_ID_153-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_77_length_77390_cov_11.3037_ID_153-processed-gene-0.39&CDS=1-2733, maker-NODE_16_length_223381_cov_11.4667_ID_31-snap-gene-0.57-mRNA-1_1&gene=maker-NODE_16_length_223381_cov_11.4667_ID_31-snap-gene-0.57&CDS=1-1284
19	OG0000019	YMR111C, YOL116W	genemark-NODE_137_length_37560_cov_11.0685_ID_273-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_137_length_37560_cov_11.0685_ID_273-processed-gene-0.62&CDS=1-1080, genemark-NODE_75_length_78762_cov_11.5555_ID_149-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_75_length_78762_cov_11.5555_ID_149-processed-gene-0.133&CDS=1-894, snap_masked-NODE_150_length_32944_cov_12.071_ID_299-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_150_length_32944_cov_12.071_ID_299-processed-gene-0.31&CDS=1-1080, snap_masked-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.155-mRNA-1_1&gene=snap_masked-NODE_15_length_231195_cov_11.3764_ID_29-processed-gene-1.155&CDS=1-1989
20	OG0000020	YAR019C, YDR523C	genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_18_length_217989_cov_11.6202_ID_35-processed-gene-0.62&CDS=1-1704, maker-NODE_10_length_247159_cov_11.3339_ID_19-snap-gene-1.98-mRNA-1_1&gene=maker-NODE_10_length_247159_cov_11.3339_ID_19-snap-gene-1.98&CDS=1-1404, maker-NODE_91_length_65902_cov_11.5626_ID_181-snap-gene-0.89-mRNA-1_1&gene=maker-NODE_91_length_65902_cov_11.5626_ID_181-snap-gene-0.89&CDS=1-927
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_80_length_75781_cov_11.369_ID_159-processed-gene-0.52&CDS=1-2754
22	OG0000022	YCR102C, YLR460C, YNL134C	genemark-NODE_149_length_33029_cov_11.2425_ID_297-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_149_length_33029_cov_11.2425_ID_297-processed-gene-0.2&CDS=1-1050, genemark-NODE_45_length_117910_cov_11.3462_ID_89-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_45_length_117910_cov_11.3462_ID_89-processed-gene-0.128&CDS=1-1050
23	OG0000023	YDL161W, YLR206W	genemark-NODE_116_length_49005_cov_10.7127_ID_231-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_116_length_49005_cov_10.7127_ID_231-processed-gene-0.20&CDS=1-1581, genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.133&CDS=1-1317, snap_masked-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_63_length_91661_cov_11.196_ID_125-processed-gene-0.71&CDS=1-1437
24	OG0000024	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-NODE_89_length_67453_cov_12.474_ID_177-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_89_length_67453_cov_12.474_ID_177-processed-gene-0.81&CDS=1-1074
25	OG0000025	YDR135C	genemark-NODE_107_length_55003_cov_11.5659_ID_213-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_107_length_55003_cov_11.5659_ID_213-processed-gene-0.56&CDS=1-4455, genemark-NODE_35_length_136208_cov_11.4011_ID_69-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_35_length_136208_cov_11.4011_ID_69-processed-gene-0.80&CDS=1-4431, genemark-NODE_70_length_85938_cov_11.473_ID_139-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_70_length_85938_cov_11.473_ID_139-processed-gene-0.117&CDS=1-4542, maker-NODE_185_length_23429_cov_13.0241_ID_369-augustus-gene-0.19-mRNA-1_1&gene=maker-NODE_185_length_23429_cov_13.0241_ID_369-augustus-gene-0.19&CDS=1-3813
26	OG0000026	YDR144C, YLR120C, YLR121C	genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-1.108-mRNA-1_1&gene=genemark-NODE_3_length_308411_cov_11.3318_ID_5-processed-gene-1.108&CDS=1-1392, genemark-NODE_87_length_67939_cov_11.8386_ID_173-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_87_length_67939_cov_11.8386_ID_173-processed-gene-0.111&CDS=1-1611
