	OrthologID	Metschnikowia_shivogae	Saccharomyces_cerevisiae
10	OG0000010	genemark-shi_s18-processed-gene-3.75-mRNA-1_1&gene=genemark-shi_s18-processed-gene-3.75&CDS=1-2076, genemark-shi_s48-processed-gene-1.75-mRNA-1_1&gene=genemark-shi_s48-processed-gene-1.75&CDS=1-2064, genemark-shi_s59-processed-gene-3.134-mRNA-1_1&gene=genemark-shi_s59-processed-gene-3.134&CDS=1-1635, genemark-shi_s76-processed-gene-5.138-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.138&CDS=1-1911, snap_masked-shi_s53-processed-gene-1.23-mRNA-1_1&gene=snap_masked-shi_s53-processed-gene-1.23&CDS=1-1959	YBR015C, YJL186W
11	OG0000011	genemark-shi_s25-processed-gene-2.21-mRNA-1_1&gene=genemark-shi_s25-processed-gene-2.21&CDS=1-1305, genemark-shi_s25-processed-gene-2.50-mRNA-1_1&gene=genemark-shi_s25-processed-gene-2.50&CDS=1-1338, genemark-shi_s48-processed-gene-3.123-mRNA-1_1&gene=genemark-shi_s48-processed-gene-3.123&CDS=1-1035	YDL048C, YDR463W, YHR006W, YLR375W
12	OG0000012	genemark-shi_s25-processed-gene-4.84-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.84&CDS=1-2313, genemark-shi_s53-processed-gene-11.30-mRNA-1_1&gene=genemark-shi_s53-processed-gene-11.30&CDS=1-1776, genemark-shi_s59-processed-gene-5.116-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.116&CDS=1-2253, genemark-shi_s96-processed-gene-1.94-mRNA-1_1&gene=genemark-shi_s96-processed-gene-1.94&CDS=1-2241, snap_masked-shi_s76-processed-gene-0.103-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-0.103&CDS=1-2373	YJR061W, YKL201C
13	OG0000013	augustus_masked-shi_s29-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-shi_s29-processed-gene-0.30&CDS=1-3393, augustus_masked-shi_s48-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-2.27&CDS=1-3216, genemark-shi_s35-processed-gene-1.114-mRNA-1_1&gene=genemark-shi_s35-processed-gene-1.114&CDS=1-2757, genemark-shi_s48-processed-gene-2.90-mRNA-1_1&gene=genemark-shi_s48-processed-gene-2.90&CDS=1-3120, genemark-shi_s76-processed-gene-3.67-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.67&CDS=1-2625, genemark-shi_s91-processed-gene-1.47-mRNA-1_1&gene=genemark-shi_s91-processed-gene-1.47&CDS=1-2694	YKR064W
14	OG0000014	genemark-shi_s35-processed-gene-0.77-mRNA-1_1&gene=genemark-shi_s35-processed-gene-0.77&CDS=1-3123, genemark-shi_s91-processed-gene-0.33-mRNA-1_1&gene=genemark-shi_s91-processed-gene-0.33&CDS=1-2808, snap_masked-shi_s53-processed-gene-10.80-mRNA-1_1&gene=snap_masked-shi_s53-processed-gene-10.80&CDS=1-2526	YDR385W, YKL173W, YNL163C, YOR133W
15	OG0000015	genemark-shi_C10486-processed-gene-0.2-mRNA-1_1&gene=genemark-shi_C10486-processed-gene-0.2&CDS=1-1656, genemark-shi_s35-processed-gene-3.1-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.1&CDS=1-1722, maker-shi_s32-snap-gene-0.41-mRNA-1_1&gene=maker-shi_s32-snap-gene-0.41&CDS=1-2793	YBR298C, YDL247W, YJR160C
16	OG0000016	augustus_masked-shi_s13-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-shi_s13-processed-gene-0.18&CDS=1-4506, genemark-shi_s13-processed-gene-1.55-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.55&CDS=1-1344, genemark-shi_s53-processed-gene-5.37-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.37&CDS=1-1434	YGL194C, YNL330C, YOR346W
17	OG0000017	augustus_masked-shi_s35-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-shi_s35-processed-gene-0.104&CDS=1-3081, genemark-shi_s13-processed-gene-3.224-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.224&CDS=1-1599, genemark-shi_s48-processed-gene-2.104-mRNA-1_1&gene=genemark-shi_s48-processed-gene-2.104&CDS=1-2706, genemark-shi_s59-processed-gene-4.95-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.95&CDS=1-1410	YDR243C, YNL112W
18	OG0000018	genemark-shi_s16-processed-gene-1.20-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.20&CDS=1-1794, snap_masked-shi_s96-processed-gene-2.143-mRNA-1_1&gene=snap_masked-shi_s96-processed-gene-2.143&CDS=1-1815	YER054C, YIL045W, YLR273C, YOR178C
19	OG0000019	genemark-shi_s16-processed-gene-2.32-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.32&CDS=1-2835, snap_masked-shi_s35-processed-gene-1.66-mRNA-1_1&gene=snap_masked-shi_s35-processed-gene-1.66&CDS=1-2757	YFR040W, YGL229C, YJL098W, YKR028W
20	OG0000020	genemark-shi_s16-processed-gene-3.83-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.83&CDS=1-1707, genemark-shi_s18-processed-gene-6.65-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.65&CDS=1-3765, snap_masked-shi_s76-processed-gene-6.12-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-6.12&CDS=1-4827	YIL126W, YKR008W, YOR290C
21	OG0000021	genemark-shi_s19-processed-gene-0.138-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.138&CDS=1-1155, genemark-shi_s53-processed-gene-7.57-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.57&CDS=1-1263, maker-shi_s48-augustus-gene-8.169-mRNA-1_1&gene=maker-shi_s48-augustus-gene-8.169&CDS=1-2214	YBR046C, YBR207W, YER145C
22	OG0000022	genemark-shi_s35-processed-gene-4.31-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.31&CDS=1-2202, genemark-shi_s53-processed-gene-2.33-mRNA-1_1&gene=genemark-shi_s53-processed-gene-2.33&CDS=1-1965, maker-shi_s53-snap-gene-8.91-mRNA-1_1&gene=maker-shi_s53-snap-gene-8.91&CDS=1-1653	YDL025C, YNL183C, YOR267C
23	OG0000023	augustus_masked-shi_s53-processed-gene-12.163-mRNA-1_1&gene=augustus_masked-shi_s53-processed-gene-12.163&CDS=1-1779, genemark-shi_s38-processed-gene-1.82-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.82&CDS=1-2307, snap_masked-shi_s48-processed-gene-3.59-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-3.59&CDS=1-9516	YDR457W, YER125W, YGL141W
24	OG0000024	genemark-shi_s48-processed-gene-1.70-mRNA-1_1&gene=genemark-shi_s48-processed-gene-1.70&CDS=1-1038, genemark-shi_s79-processed-gene-2.197-mRNA-1_1&gene=genemark-shi_s79-processed-gene-2.197&CDS=1-1308	YIL123W, YJL116C, YKR042W, YNL066W
25	OG0000025	genemark-shi_s48-processed-gene-8.56-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.56&CDS=1-1644, genemark-shi_s53-processed-gene-4.75-mRNA-1_1&gene=genemark-shi_s53-processed-gene-4.75&CDS=1-1635	YDR342C, YDR343C, YDR345C, YHR092C
26	OG0000026	genemark-shi_s53-processed-gene-7.100-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.100&CDS=1-1362, genemark-shi_s53-processed-gene-9.77-mRNA-1_1&gene=genemark-shi_s53-processed-gene-9.77&CDS=1-876, snap_masked-shi_s51-processed-gene-1.91-mRNA-1_1&gene=snap_masked-shi_s51-processed-gene-1.91&CDS=1-2892	YIL107C, YJL155C, YOL136C
27	OG0000027	genemark-shi_s53-processed-gene-7.58-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.58&CDS=1-1203, maker-shi_s53-snap-gene-4.105-mRNA-1_1&gene=maker-shi_s53-snap-gene-4.105&CDS=1-2607, snap_masked-shi_s59-processed-gene-4.156-mRNA-1_1&gene=snap_masked-shi_s59-processed-gene-4.156&CDS=1-951	YBR160W, YPL031C, YPR161C
28	OG0000028	genemark-shi_s53-processed-gene-4.79-mRNA-1_1&gene=genemark-shi_s53-processed-gene-4.79&CDS=1-951	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
29	OG0000029	genemark-shi_s53-processed-gene-11.3-mRNA-1_1&gene=genemark-shi_s53-processed-gene-11.3&CDS=1-3990, genemark-shi_s53-processed-gene-7.77-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.77&CDS=1-1839, genemark-shi_s59-processed-gene-4.69-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.69&CDS=1-1932	YAL005C, YDL229W, YNL209W
30	OG0000030	genemark-shi_s76-processed-gene-6.79-mRNA-1_1&gene=genemark-shi_s76-processed-gene-6.79&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
31	OG0000031		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
32	OG0000032	genemark-shi_s16-processed-gene-4.55-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.55&CDS=1-1839, maker-shi_C10930-augustus-gene-0.88-mRNA-1_1&gene=maker-shi_C10930-augustus-gene-0.88&CDS=1-3588, maker-shi_s48-augustus-gene-1.47-mRNA-1_1&gene=maker-shi_s48-augustus-gene-1.47&CDS=1-2877	YEL015W, YEL061C
33	OG0000033	genemark-shi_s13-processed-gene-0.83-mRNA-1_1&gene=genemark-shi_s13-processed-gene-0.83&CDS=1-1542, genemark-shi_s53-processed-gene-1.49-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.49&CDS=1-1818, genemark-shi_s53-processed-gene-1.73-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.73&CDS=1-1461	YGR197C, YJR015W
34	OG0000034	genemark-shi_s13-processed-gene-1.71-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.71&CDS=1-1860, genemark-shi_s35-processed-gene-4.3-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.3&CDS=1-1428	YCR065W, YIL131C, YNL068C
35	OG0000035	augustus_masked-shi_s53-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-shi_s53-processed-gene-3.21&CDS=1-3768, genemark-shi_s38-processed-gene-1.29-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.29&CDS=1-2946, snap_masked-shi_s13-processed-gene-1.11-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-1.11&CDS=1-3051	YBR038W, YNL192W
36	OG0000036	genemark-shi_s13-processed-gene-1.66-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.66&CDS=1-2457, genemark-shi_s76-processed-gene-6.105-mRNA-1_1&gene=genemark-shi_s76-processed-gene-6.105&CDS=1-2145	YFL050C, YKL064W, YOL130W
37	OG0000037	genemark-shi_s13-processed-gene-2.70-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.70&CDS=1-1413, genemark-shi_s38-processed-gene-1.42-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.42&CDS=1-1446	YCL040W, YDR516C, YGL253W
38	OG0000038	genemark-shi_s3-processed-gene-0.62-mRNA-1_1&gene=genemark-shi_s3-processed-gene-0.62&CDS=1-1893, genemark-shi_s93-processed-gene-1.113-mRNA-1_1&gene=genemark-shi_s93-processed-gene-1.113&CDS=1-2085, snap_masked-shi_s13-processed-gene-3.169-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.169&CDS=1-1986	YMR008C, YOL011W
39	OG0000039	genemark-shi_s48-processed-gene-0.126-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.126&CDS=1-636, genemark-shi_s91-processed-gene-1.70-mRNA-1_1&gene=genemark-shi_s91-processed-gene-1.70&CDS=1-1431, maker-shi_s13-augustus-gene-3.288-mRNA-1_1&gene=maker-shi_s13-augustus-gene-3.288&CDS=1-1992	YBR283C, YLR378C
40	OG0000040	genemark-shi_s13-processed-gene-3.265-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.265&CDS=1-1314, genemark-shi_s53-processed-gene-1.58-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.58&CDS=1-1308	YDL155W, YGR108W, YPR119W
41	OG0000041	genemark-shi_s48-processed-gene-5.45-mRNA-1_1&gene=genemark-shi_s48-processed-gene-5.45&CDS=1-876, maker-shi_s16-snap-gene-0.3-mRNA-1_1&gene=maker-shi_s16-snap-gene-0.3&CDS=1-4482	YDL210W, YFL059W, YNL333W
42	OG0000042	genemark-shi_s16-processed-gene-2.26-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.26&CDS=1-993, genemark-shi_s16-processed-gene-3.99-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.99&CDS=1-1002, genemark-shi_s51-processed-gene-0.131-mRNA-1_1&gene=genemark-shi_s51-processed-gene-0.131&CDS=1-1026	YDL078C, YKL085W
43	OG0000043	genemark-shi_s16-processed-gene-3.53-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.53&CDS=1-1197, genemark-shi_s3-processed-gene-1.102-mRNA-1_1&gene=genemark-shi_s3-processed-gene-1.102&CDS=1-1254, genemark-shi_s48-processed-gene-8.55-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.55&CDS=1-1272	YKL106W, YLR027C
44	OG0000044	augustus_masked-shi_s16-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-shi_s16-processed-gene-3.137&CDS=1-3375, genemark-shi_s35-processed-gene-2.119-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.119&CDS=1-1080	YBL067C, YER098W, YLR130C
45	OG0000045	genemark-shi_s16-processed-gene-4.6-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.6&CDS=1-840, genemark-shi_s8-processed-gene-0.66-mRNA-1_1&gene=genemark-shi_s8-processed-gene-0.66&CDS=1-792, genemark-shi_s91-processed-gene-0.21-mRNA-1_1&gene=genemark-shi_s91-processed-gene-0.21&CDS=1-1032	YJL079C, YKR013W
46	OG0000046	genemark-shi_s18-processed-gene-0.21-mRNA-1_1&gene=genemark-shi_s18-processed-gene-0.21&CDS=1-1410, genemark-shi_s51-processed-gene-3.71-mRNA-1_1&gene=genemark-shi_s51-processed-gene-3.71&CDS=1-1167, maker-shi_s48-augustus-gene-1.48-mRNA-1_1&gene=maker-shi_s48-augustus-gene-1.48&CDS=1-2235	YCR045C, YEL060C
47	OG0000047	genemark-shi_s48-processed-gene-0.137-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.137&CDS=1-1239, genemark-shi_s91-processed-gene-0.22-mRNA-1_1&gene=genemark-shi_s91-processed-gene-0.22&CDS=1-3048, snap_masked-shi_s18-processed-gene-1.58-mRNA-1_1&gene=snap_masked-shi_s18-processed-gene-1.58&CDS=1-1110	YFR024C-A, YJL020C
48	OG0000048	genemark-shi_s18-processed-gene-1.114-mRNA-1_1&gene=genemark-shi_s18-processed-gene-1.114&CDS=1-999, genemark-shi_s35-processed-gene-3.12-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.12&CDS=1-1470	YBL056W, YBR125C, YER089C
49	OG0000049	augustus_masked-shi_s51-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-shi_s51-processed-gene-3.131&CDS=1-3141, genemark-shi_s18-processed-gene-1.134-mRNA-1_1&gene=genemark-shi_s18-processed-gene-1.134&CDS=1-1416	YBR126C, YML100W, YMR261C
50	OG0000050	genemark-shi_s18-processed-gene-2.57-mRNA-1_1&gene=genemark-shi_s18-processed-gene-2.57&CDS=1-2097, genemark-shi_s53-processed-gene-8.24-mRNA-1_1&gene=genemark-shi_s53-processed-gene-8.24&CDS=1-2289, genemark-shi_s87-processed-gene-0.3-mRNA-1_1&gene=genemark-shi_s87-processed-gene-0.3&CDS=1-1575	YGL257C, YNR059W
51	OG0000051	genemark-shi_s18-processed-gene-4.56-mRNA-1_1&gene=genemark-shi_s18-processed-gene-4.56&CDS=1-1593, genemark-shi_s48-processed-gene-8.63-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.63&CDS=1-2310, genemark-shi_s59-processed-gene-5.142-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.142&CDS=1-1662	YLR343W, YMR307W
52	OG0000052	genemark-shi_s51-processed-gene-3.94-mRNA-1_1&gene=genemark-shi_s51-processed-gene-3.94&CDS=1-999, maker-shi_s18-augustus-gene-5.141-mRNA-1_1&gene=maker-shi_s18-augustus-gene-5.141&CDS=1-2490	YAL034C, YIL049W, YOR338W
53	OG0000053	genemark-shi_s18-processed-gene-5.71-mRNA-1_1&gene=genemark-shi_s18-processed-gene-5.71&CDS=1-1536, genemark-shi_s79-processed-gene-0.59-mRNA-1_1&gene=genemark-shi_s79-processed-gene-0.59&CDS=1-1524	YER056C, YER060W, YER060W-A
54	OG0000054	maker-shi_s18-snap-gene-5.137-mRNA-1_1&gene=maker-shi_s18-snap-gene-5.137&CDS=1-186	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
55	OG0000055	genemark-shi_s18-processed-gene-6.63-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.63&CDS=1-2400, genemark-shi_s53-processed-gene-12.66-mRNA-1_1&gene=genemark-shi_s53-processed-gene-12.66&CDS=1-2295	YDL109C, YDR444W, YGL144C
56	OG0000056	genemark-shi_s18-processed-gene-6.112-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.112&CDS=1-2247, genemark-shi_s53-processed-gene-0.31-mRNA-1_1&gene=genemark-shi_s53-processed-gene-0.31&CDS=1-2313	YAL053W, YGL139W, YPL221W
57	OG0000057	genemark-shi_s19-processed-gene-0.163-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.163&CDS=1-2493, genemark-shi_s51-processed-gene-2.143-mRNA-1_1&gene=genemark-shi_s51-processed-gene-2.143&CDS=1-2814	YCR037C, YJL198W, YNR013C
58	OG0000058	augustus_masked-shi_s19-processed-gene-0.263-mRNA-1_1&gene=augustus_masked-shi_s19-processed-gene-0.263&CDS=1-3537, maker-shi_s48-augustus-gene-4.124-mRNA-1_1&gene=maker-shi_s48-augustus-gene-4.124&CDS=1-4011	YIL002C, YNL106C, YOR109W
59	OG0000059	genemark-shi_s19-processed-gene-0.176-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.176&CDS=1-954, snap_masked-shi_s29-processed-gene-0.195-mRNA-1_1&gene=snap_masked-shi_s29-processed-gene-0.195&CDS=1-912	YDR368W, YJR096W, YOR120W
60	OG0000060	genemark-shi_s25-processed-gene-1.79-mRNA-1_1&gene=genemark-shi_s25-processed-gene-1.79&CDS=1-1281, genemark-shi_s59-processed-gene-1.67-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.67&CDS=1-1311	YAL040C, YMR199W, YPL256C
61	OG0000061	genemark-shi_s79-processed-gene-1.66-mRNA-1_1&gene=genemark-shi_s79-processed-gene-1.66&CDS=1-1950, maker-shi_s25-augustus-gene-3.152-mRNA-1_1&gene=maker-shi_s25-augustus-gene-3.152&CDS=1-2346	YDR107C, YER113C, YLR083C
62	OG0000062	genemark-shi_s25-processed-gene-4.98-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.98&CDS=1-4353, genemark-shi_s51-processed-gene-5.31-mRNA-1_1&gene=genemark-shi_s51-processed-gene-5.31&CDS=1-4374, genemark-shi_s79-processed-gene-0.50-mRNA-1_1&gene=genemark-shi_s79-processed-gene-0.50&CDS=1-4569	YDR011W, YOR153W
63	OG0000063	augustus_masked-shi_s76-processed-gene-6.146-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-6.146&CDS=1-615, augustus_masked-shi_s80-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-shi_s80-processed-gene-0.81&CDS=1-597, augustus_masked-shi_s89-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-shi_s89-processed-gene-0.0&CDS=1-543, genemark-shi_s29-processed-gene-0.273-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.273&CDS=1-891	YKL096W
64	OG0000064	genemark-shi_s76-processed-gene-5.130-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.130&CDS=1-3003, genemark-shi_s96-processed-gene-2.98-mRNA-1_1&gene=genemark-shi_s96-processed-gene-2.98&CDS=1-3063, snap_masked-shi_s3-processed-gene-0.7-mRNA-1_1&gene=snap_masked-shi_s3-processed-gene-0.7&CDS=1-333	YDR395W, YJR132W
65	OG0000065	genemark-shi_s3-processed-gene-0.50-mRNA-1_1&gene=genemark-shi_s3-processed-gene-0.50&CDS=1-1116, maker-shi_s51-snap-gene-0.1-mRNA-1_1&gene=maker-shi_s51-snap-gene-0.1&CDS=1-4407	YDL079C, YMR139W, YNL307C
