	OrthologID	Saccharomyces_cerevisiae	yHAB158_Kazachstania_viticola
21	OG0000021	YDR027C	augustus_masked-scf7180000049695-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049695-processed-gene-0.1&CDS=1-1011, augustus_masked-scf7180000050203-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000050203-processed-gene-0.23&CDS=1-2607, genemark-scf7180000049742-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000049742-processed-gene-0.0&CDS=1-1713, snap_masked-scf7180000050202-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000050202-processed-gene-0.0&CDS=1-1173
22	OG0000022	YDR159W	augustus_masked-scf7180000049345-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049345-processed-gene-0.23&CDS=1-3336, genemark-scf7180000049526-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000049526-processed-gene-0.1&CDS=1-1407, genemark-scf7180000049527-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000049527-processed-gene-0.5&CDS=1-1407, genemark-scf7180000049683-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000049683-processed-gene-0.2&CDS=1-1218
23	OG0000023	YDR342C, YDR343C, YHR092C	augustus_masked-scf7180000050271-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000050271-processed-gene-0.6&CDS=1-1686, augustus_masked-scf7180000050381-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-scf7180000050381-processed-gene-0.152&CDS=1-1785
24	OG0000024	YDR436W, YER133W, YML016C	augustus_masked-scf7180000049353-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.153&CDS=1-2415, augustus_masked-scf7180000050304-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050304-processed-gene-0.44&CDS=1-942
25	OG0000025	YEL072W	augustus_masked-scf7180000050368-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000050368-processed-gene-0.33&CDS=1-378, augustus_masked-scf7180000050379-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000050379-processed-gene-0.3&CDS=1-2367, augustus_masked-scf7180000050381-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-scf7180000050381-processed-gene-0.144&CDS=1-657, snap_masked-scf7180000050223-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000050223-processed-gene-0.1&CDS=1-240
26	OG0000026	YER064C, YIL056W	augustus_masked-scf7180000049425-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049425-processed-gene-0.3&CDS=1-1563, augustus_masked-scf7180000049727-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049727-processed-gene-0.1&CDS=1-405, augustus_masked-scf7180000050334-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-scf7180000050334-processed-gene-0.152&CDS=1-1347
27	OG0000027	YER184C	augustus_masked-scf7180000049719-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049719-processed-gene-0.12&CDS=1-2394, augustus_masked-scf7180000049740-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.33&CDS=1-2394, augustus_masked-scf7180000050333-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000050333-processed-gene-0.46&CDS=1-2379, augustus_masked-scf7180000050400-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.136&CDS=1-2367
28	OG0000028	YGR162W	augustus_masked-scf7180000050360-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000050360-processed-gene-0.48&CDS=1-2328, augustus_masked-scf7180000050400-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.94&CDS=1-2448, genemark-scf7180000049416-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000049416-processed-gene-0.6&CDS=1-2235, snap_masked-scf7180000049715-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049715-processed-gene-0.1&CDS=1-1758
29	OG0000029	YKL062W, YMR037C	augustus_masked-scf7180000049385-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.54&CDS=1-1623, augustus_masked-scf7180000049528-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.1&CDS=1-1563, augustus_masked-scf7180000049529-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049529-processed-gene-0.2&CDS=1-1575
30	OG0000030	YKL072W, YMR053C	augustus_masked-scf7180000049726-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000049726-processed-gene-0.39&CDS=1-2265, augustus_masked-scf7180000049740-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000049740-processed-gene-0.17&CDS=1-2265, augustus_masked-scf7180000050220-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000050220-processed-gene-0.45&CDS=1-2532
31	OG0000031	YKL096W	augustus_masked-scf7180000049765-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049765-processed-gene-0.0&CDS=1-441, augustus_masked-scf7180000050265-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000050265-processed-gene-0.6&CDS=1-591, snap_masked-scf7180000049346-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scf7180000049346-processed-gene-0.23&CDS=1-441, snap_masked-scf7180000049472-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049472-processed-gene-0.1&CDS=1-441
32	OG0000032	YLR237W, YOR071C, YOR192C	augustus_masked-scf7180000050252-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000050252-processed-gene-0.2&CDS=1-1716, augustus_masked-scf7180000050328-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000050328-processed-gene-0.9&CDS=1-1803
33	OG0000033	YLR340W	augustus_masked-scf7180000049471-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049471-processed-gene-0.0&CDS=1-939, augustus_masked-scf7180000049546-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049546-processed-gene-0.1&CDS=1-897, augustus_masked-scf7180000050227-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000050227-processed-gene-0.7&CDS=1-900, genemark-scf7180000050104-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000050104-processed-gene-0.6&CDS=1-936
34	OG0000034	YMR274C	augustus_masked-scf7180000050093-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.43&CDS=1-954, augustus_masked-scf7180000050218-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000050218-processed-gene-0.3&CDS=1-642, snap_masked-scf7180000049691-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049691-processed-gene-0.0&CDS=1-462, snap_masked-scf7180000049704-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000049704-processed-gene-0.5&CDS=1-765
35	OG0000035	YOL151W	augustus_masked-scf7180000049385-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.78&CDS=1-1026, augustus_masked-scf7180000050347-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050347-processed-gene-0.51&CDS=1-1023, augustus_masked-scf7180000050363-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000050363-processed-gene-0.35&CDS=1-1032, augustus_masked-scf7180000050400-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.135&CDS=1-1029
36	OG0000036	YOR229W, YOR230W, YPL139C	augustus_masked-scf7180000050291-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.127&CDS=1-2616, augustus_masked-scf7180000050294-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000050294-processed-gene-0.35&CDS=1-1398
37	OG0000037	YAL001C	augustus_masked-scf7180000050273-processed-gene-1.288-mRNA-1_1&gene=augustus_masked-scf7180000050273-processed-gene-1.288&CDS=1-3579, augustus_masked-scf7180000050392-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000050392-processed-gene-0.5&CDS=1-912, augustus_masked-scf7180000050397-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000050397-processed-gene-0.43&CDS=1-912
38	OG0000038	YAR042W, YDL019C	augustus_masked-scf7180000050314-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000050314-processed-gene-0.35&CDS=1-3861, genemark-scf7180000050319-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000050319-processed-gene-0.15&CDS=1-5169
39	OG0000039	YAR066W, YHR214W, YIL169C, YOL155C	
40	OG0000040	YBL039W-B	snap_masked-scf7180000049343-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049343-processed-gene-0.0&CDS=1-177, snap_masked-scf7180000049681-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000049681-processed-gene-0.2&CDS=1-177, snap_masked-scf7180000050197-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000050197-processed-gene-0.28&CDS=1-177
41	OG0000041	YBL069W, YER101C	augustus_masked-scf7180000050326-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-scf7180000050326-processed-gene-0.189&CDS=1-1281, augustus_masked-scf7180000050346-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000050346-processed-gene-0.92&CDS=1-1284
42	OG0000042	YBL087C, YER117W	augustus_masked-scf7180000050326-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-scf7180000050326-processed-gene-0.225&CDS=1-345, augustus_masked-scf7180000050346-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scf7180000050346-processed-gene-0.72&CDS=1-345
43	OG0000043	YBR024W, YBR037C	augustus_masked-scf7180000050314-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000050314-processed-gene-0.30&CDS=1-831, augustus_masked-scf7180000050319-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000050319-processed-gene-0.60&CDS=1-864
44	OG0000044	YBR048W, YDR025W	augustus_masked-scf7180000050202-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000050202-processed-gene-0.35&CDS=1-468, augustus_masked-scf7180000050330-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000050330-processed-gene-0.23&CDS=1-468
45	OG0000045	YBR055C	augustus_masked-scf7180000049699-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049699-processed-gene-0.0&CDS=1-1086, augustus_masked-scf7180000049735-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049735-processed-gene-0.1&CDS=1-1599, augustus_masked-scf7180000050203-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000050203-processed-gene-0.28&CDS=1-2628
46	OG0000046	YBR140C, YOL081W	augustus_masked-scf7180000050297-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.28&CDS=1-9288, augustus_masked-scf7180000050319-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-scf7180000050319-processed-gene-1.114&CDS=1-9360
47	OG0000047	YBR189W, YPL081W	maker-scf7180000050207-snap-gene-0.60-mRNA-1_1&gene=maker-scf7180000050207-snap-gene-0.60&CDS=1-1065, maker-scf7180000050374-snap-gene-0.222-mRNA-1_1&gene=maker-scf7180000050374-snap-gene-0.222&CDS=1-1071
48	OG0000048	YBR197C, YPL077C	augustus_masked-scf7180000050207-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.44&CDS=1-792, snap_masked-scf7180000050374-processed-gene-0.120-mRNA-1_1&gene=snap_masked-scf7180000050374-processed-gene-0.120&CDS=1-882
49	OG0000049	YBR205W, YOR099W	augustus_masked-scf7180000050207-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.50&CDS=1-2541, augustus_masked-scf7180000050299-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scf7180000050299-processed-gene-0.84&CDS=1-1254
50	OG0000050	YBR225W	augustus_masked-scf7180000049732-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049732-processed-gene-0.1&CDS=1-1158, augustus_masked-scf7180000050196-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.51&CDS=1-2763, snap_masked-scf7180000049352-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000049352-processed-gene-0.5&CDS=1-777
51	OG0000051	YBR258C, YCR097W	augustus_masked-scf7180000050310-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000050310-processed-gene-0.4&CDS=1-606, snap_masked-scf7180000050339-processed-gene-0.93-mRNA-1_1&gene=snap_masked-scf7180000050339-processed-gene-0.93&CDS=1-210
52	OG0000052	YBR265W, YBR267W	augustus_masked-scf7180000049840-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049840-processed-gene-0.2&CDS=1-444, maker-scf7180000050332-augustus-gene-0.77-mRNA-1_1&gene=maker-scf7180000050332-augustus-gene-0.77&CDS=1-3330
