	OrthologID	Saccharomyces_cerevisiae	Sporopachydermia_quercuum
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	-processed-gene-5.61-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-5.61&CDS=1-1722
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	-processed-gene-18.60-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-18.60&CDS=1-4542, -processed-gene-4.26-mRNA-1_1&gene=augustus_masked-gi|1002316348|dbj|BCGN01000005.1|-processed-gene-4.26&CDS=1-4740
12	OG0000012	YBR043C, YBR180W	-augustus-gene-10.1-mRNA-1_1&gene=maker-gi|1002316350|dbj|BCGN01000003.1|-augustus-gene-10.1&CDS=1-2646, -processed-gene-12.117-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-12.117&CDS=1-1422, -processed-gene-19.45-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-19.45&CDS=1-1776, -processed-gene-2.144-mRNA-1_1&gene=snap_masked-gi|1002316341|dbj|BCGN01000012.1|-processed-gene-2.144&CDS=1-1659
13	OG0000013	YBR054W, YDR033W	-processed-gene-12.89-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-12.89&CDS=1-843, -processed-gene-2.47-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-2.47&CDS=1-852, -processed-gene-3.10-mRNA-1_1&gene=snap_masked-gi|1002316342|dbj|BCGN01000011.1|-processed-gene-3.10&CDS=1-870, -processed-gene-8.110-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-8.110&CDS=1-864
14	OG0000014	YBR118W, YKR084C, YPR080W	-processed-gene-11.29-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-11.29&CDS=1-1374, -snap-gene-11.97-mRNA-1_1&gene=maker-gi|1002316346|dbj|BCGN01000007.1|-snap-gene-11.97&CDS=1-1710, -snap-gene-3.71-mRNA-1_1&gene=maker-gi|1002316347|dbj|BCGN01000006.1|-snap-gene-3.71&CDS=1-2103
15	OG0000015	YBR149W, YDR368W, YOR120W	-processed-gene-2.25-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-2.25&CDS=1-927, -processed-gene-2.79-mRNA-1_1&gene=snap_masked-gi|1002316348|dbj|BCGN01000005.1|-processed-gene-2.79&CDS=1-936, -processed-gene-5.49-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-5.49&CDS=1-960
16	OG0000016	YBR160W, YKL139W, YPR161C	-processed-gene-0.22-mRNA-1_1&gene=snap_masked-gi|1002316342|dbj|BCGN01000011.1|-processed-gene-0.22&CDS=1-2139, -processed-gene-13.84-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-13.84&CDS=1-1602, -processed-gene-2.64-mRNA-1_1&gene=snap_masked-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-2.64&CDS=1-882
17	OG0000017	YBR199W, YOR099W	-processed-gene-1.21-mRNA-1_1&gene=genemark-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-1.21&CDS=1-1452, -processed-gene-1.32-mRNA-1_1&gene=snap_masked-gi|1002316344|dbj|BCGN01000009.1|-processed-gene-1.32&CDS=1-1284, -processed-gene-1.75-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-1.75&CDS=1-1407, -processed-gene-13.101-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-13.101&CDS=1-1320
18	OG0000018	YBR237W, YDR243C, YNL112W	-processed-gene-12.125-mRNA-1_1&gene=snap_masked-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-12.125&CDS=1-1890, -processed-gene-15.23-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-15.23&CDS=1-3186, -snap-gene-8.5-mRNA-1_1&gene=maker-gi|1002316347|dbj|BCGN01000006.1|-snap-gene-8.5&CDS=1-1626
19	OG0000019	YBR245C, YFR038W, YOR304W	-processed-gene-16.49-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-16.49&CDS=1-3270, -processed-gene-18.54-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-18.54&CDS=1-3165, -snap-gene-14.5-mRNA-1_1&gene=maker-gi|1002316349|dbj|BCGN01000004.1|-snap-gene-14.5&CDS=1-2874
20	OG0000020	YBR297W, YFL052W, YGR288W, YPR196W	-processed-gene-12.41-mRNA-1_1&gene=genemark-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-12.41&CDS=1-1110, -processed-gene-12.94-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-12.94&CDS=1-2814
21	OG0000021	YDL025C, YNL183C	-processed-gene-1.87-mRNA-1_1&gene=snap_masked-gi|1002316342|dbj|BCGN01000011.1|-processed-gene-1.87&CDS=1-2559, -processed-gene-17.70-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-17.70&CDS=1-2028, -processed-gene-9.101-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-9.101&CDS=1-1872, -processed-gene-9.37-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-9.37&CDS=1-1791
22	OG0000022	YDR326C, YFL042C, YHR080C, YLR072W	-processed-gene-11.72-mRNA-1_1&gene=snap_masked-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-11.72&CDS=1-3912, -processed-gene-17.41-mRNA-1_1&gene=genemark-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-17.41&CDS=1-3756
23	OG0000023	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-6.83&CDS=1-2139
24	OG0000024	YML111W, YMR275C, YNR068C, YNR069C	-processed-gene-11.35-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-11.35&CDS=1-2325, -processed-gene-4.56-mRNA-1_1&gene=snap_masked-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-4.56&CDS=1-3240
25	OG0000025	YAL007C, YDL018C, YOR016C	-processed-gene-2.61-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-2.61&CDS=1-648, -processed-gene-7.22-mRNA-1_1&gene=snap_masked-gi|1002316344|dbj|BCGN01000009.1|-processed-gene-7.22&CDS=1-660
26	OG0000026	YAL053W, YGL139W, YPL221W	-processed-gene-0.31-mRNA-1_1&gene=genemark-gi|1002316341|dbj|BCGN01000012.1|-processed-gene-0.31&CDS=1-2127, -processed-gene-2.62-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-2.62&CDS=1-2301
27	OG0000027	YAR019C, YDR523C	-processed-gene-13.86-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-13.86&CDS=1-1797, -processed-gene-3.53-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-3.53&CDS=1-2244, -snap-gene-12.98-mRNA-1_1&gene=maker-gi|1002316351|dbj|BCGN01000002.1|-snap-gene-12.98&CDS=1-1752
28	OG0000028	YBR008C, YHR048W	-processed-gene-11.46-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-11.46&CDS=1-1734, -processed-gene-4.63-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-4.63&CDS=1-1647, -processed-gene-9.5-mRNA-1_1&gene=snap_masked-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-9.5&CDS=1-1875
29	OG0000029	YBR195C, YEL056W	-snap-gene-11.37-mRNA-1_1&gene=maker-gi|1002316347|dbj|BCGN01000006.1|-snap-gene-11.37&CDS=1-1512, -snap-gene-14.23-mRNA-1_1&gene=maker-gi|1002316351|dbj|BCGN01000002.1|-snap-gene-14.23&CDS=1-1245, -snap-gene-21.17-mRNA-1_1&gene=maker-gi|1002316351|dbj|BCGN01000002.1|-snap-gene-21.17&CDS=1-1350
30	OG0000030	YCR094W, YNL323W, YNR048W	-processed-gene-3.71-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-3.71&CDS=1-1191, -snap-gene-2.38-mRNA-1_1&gene=maker-gi|1002316346|dbj|BCGN01000007.1|-snap-gene-2.38&CDS=1-1161
31	OG0000031	YCR105W, YMR318C	-processed-gene-10.63-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-10.63&CDS=1-1089, -processed-gene-11.50-mRNA-1_1&gene=snap_masked-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-11.50&CDS=1-1086, -snap-gene-6.4-mRNA-1_1&gene=maker-gi|1002316344|dbj|BCGN01000009.1|-snap-gene-6.4&CDS=1-1095
32	OG0000032	YDL056W, YLR182W	-processed-gene-1.16-mRNA-1_1&gene=genemark-gi|1002316344|dbj|BCGN01000009.1|-processed-gene-1.16&CDS=1-2295, -processed-gene-11.34-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-11.34&CDS=1-2886, -snap-gene-4.13-mRNA-1_1&gene=maker-gi|1002316347|dbj|BCGN01000006.1|-snap-gene-4.13&CDS=1-2877
33	OG0000033	YDL109C, YDR444W, YGL144C	-processed-gene-17.41-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-17.41&CDS=1-2829, -snap-gene-13.10-mRNA-1_1&gene=maker-gi|1002316348|dbj|BCGN01000005.1|-snap-gene-13.10&CDS=1-2202
34	OG0000034	YDL137W, YDL192W, YOR094W	-processed-gene-18.102-mRNA-1_1&gene=genemark-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-18.102&CDS=1-546, -processed-gene-9.77-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-9.77&CDS=1-543
35	OG0000035	YDL210W, YKL174C	-processed-gene-0.38-mRNA-1_1&gene=snap_masked-gi|1002316344|dbj|BCGN01000009.1|-processed-gene-0.38&CDS=1-1572, -processed-gene-1.41-mRNA-1_1&gene=genemark-gi|1002316341|dbj|BCGN01000012.1|-processed-gene-1.41&CDS=1-1575, -processed-gene-1.81-mRNA-1_1&gene=snap_masked-gi|1002316341|dbj|BCGN01000012.1|-processed-gene-1.81&CDS=1-1755
36	OG0000036	YDL244W, YFL058W, YJR156C, YNL332W	-processed-gene-7.111-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-7.111&CDS=1-915
37	OG0000037	YDR021W, YJL138C, YKR059W	-processed-gene-11.79-mRNA-1_1&gene=genemark-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-11.79&CDS=1-1191, -processed-gene-6.20-mRNA-1_1&gene=genemark-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-6.20&CDS=1-1185
38	OG0000038	YDR107C, YER113C, YLR083C	-processed-gene-0.69-mRNA-1_1&gene=genemark-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-0.69&CDS=1-1794, -processed-gene-11.18-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-11.18&CDS=1-1887
39	OG0000039	YDR143C, YOL013C	-processed-gene-3.71-mRNA-1_1&gene=snap_masked-gi|1002316348|dbj|BCGN01000005.1|-processed-gene-3.71&CDS=1-1740, -processed-gene-4.37-mRNA-1_1&gene=snap_masked-gi|1002316348|dbj|BCGN01000005.1|-processed-gene-4.37&CDS=1-1464, -processed-gene-7.93-mRNA-1_1&gene=augustus_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-7.93&CDS=1-2145
40	OG0000040	YDR385W, YKL173W, YOR133W	-processed-gene-12.38-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-12.38&CDS=1-2526, -processed-gene-5.47-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-5.47&CDS=1-3141
41	OG0000041	YDR387C, YDR497C, YOL103W	-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-1.25&CDS=1-1659, -processed-gene-1.73-mRNA-1_1&gene=snap_masked-gi|1002316343|dbj|BCGN01000010.1|-processed-gene-1.73&CDS=1-1665
42	OG0000042	YDR477W, YKL101W	-processed-gene-22.55-mRNA-1_1&gene=genemark-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-22.55&CDS=1-3351, -processed-gene-3.73-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-3.73&CDS=1-3675, -processed-gene-3.89-mRNA-1_1&gene=snap_masked-gi|1002316348|dbj|BCGN01000005.1|-processed-gene-3.89&CDS=1-1812
43	OG0000043	YDR541C, YGL039W, YGL157W, YOL151W	-processed-gene-4.55-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-4.55&CDS=1-1029
44	OG0000044	YEL036C, YML115C	-processed-gene-23.116-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-23.116&CDS=1-1581, -processed-gene-3.39-mRNA-1_1&gene=snap_masked-gi|1002316342|dbj|BCGN01000011.1|-processed-gene-3.39&CDS=1-1761, -processed-gene-3.68-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-3.68&CDS=1-1455
45	OG0000045	YER133W, YML016C	-processed-gene-2.76-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-2.76&CDS=1-2118, -processed-gene-4.31-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-4.31&CDS=1-2010, -processed-gene-7.113-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-7.113&CDS=1-972
46	OG0000046	YFL050C, YKL064W, YOL130W	-processed-gene-0.119-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-0.119&CDS=1-2508, -snap-gene-13.45-mRNA-1_1&gene=maker-gi|1002316347|dbj|BCGN01000006.1|-snap-gene-13.45&CDS=1-2970
47	OG0000047	YGR087C, YLR044C, YLR134W	-processed-gene-3.59-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-3.59&CDS=1-1707, -processed-gene-9.23-mRNA-1_1&gene=augustus_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-9.23&CDS=1-1740
48	OG0000048	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	-processed-gene-2.49-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-2.49&CDS=1-534
49	OG0000049	YHL007C, YNL298W, YOL113W	-processed-gene-12.73-mRNA-1_1&gene=augustus_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-12.73&CDS=1-2667, -processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-4.56&CDS=1-2826
50	OG0000050	YHR031C, YML061C	-processed-gene-1.46-mRNA-1_1&gene=genemark-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-1.46&CDS=1-3411, -processed-gene-10.25-mRNA-1_1&gene=snap_masked-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-10.25&CDS=1-1719, -processed-gene-17.94-mRNA-1_1&gene=augustus_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-17.94&CDS=1-2388
51	OG0000051	YHR086W, YML017W	-processed-gene-13.28-mRNA-1_1&gene=snap_masked-gi|1002316348|dbj|BCGN01000005.1|-processed-gene-13.28&CDS=1-1656, -processed-gene-14.27-mRNA-1_1&gene=genemark-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-14.27&CDS=1-1869, -processed-gene-16.47-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-16.47&CDS=1-1356
52	OG0000052	YIL002C, YNL106C, YOR109W	-processed-gene-11.46-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-11.46&CDS=1-3480, -processed-gene-18.70-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-18.70&CDS=1-3432
53	OG0000053	YIL043C, YML087C, YML125C	-processed-gene-10.99-mRNA-1_1&gene=snap_masked-gi|1002316352|dbj|BCGN01000001.1|-processed-gene-10.99&CDS=1-828, -processed-gene-2.76-mRNA-1_1&gene=snap_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-2.76&CDS=1-924
54	OG0000054	YIL137C, YKL157W	-processed-gene-10.113-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-10.113&CDS=1-2991, -processed-gene-14.118-mRNA-1_1&gene=augustus_masked-gi|1002316351|dbj|BCGN01000002.1|-processed-gene-14.118&CDS=1-2901, -processed-gene-3.13-mRNA-1_1&gene=snap_masked-gi|1002316344|dbj|BCGN01000009.1|-processed-gene-3.13&CDS=1-2640
55	OG0000055	YJL042W, YOR227W, YPL137C	-processed-gene-1.77-mRNA-1_1&gene=snap_masked-gi|1002316342|dbj|BCGN01000011.1|-processed-gene-1.77&CDS=1-3996, -processed-gene-17.57-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-17.57&CDS=1-4599
56	OG0000056	YJL110C, YKR034W	-processed-gene-12.113-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-12.113&CDS=1-3054, -processed-gene-19.141-mRNA-1_1&gene=genemark-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-19.141&CDS=1-1575, -processed-gene-6.63-mRNA-1_1&gene=snap_masked-gi|1002316347|dbj|BCGN01000006.1|-processed-gene-6.63&CDS=1-2226
57	OG0000057	YJR154W	-processed-gene-18.93-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-18.93&CDS=1-1044, -processed-gene-2.45-mRNA-1_1&gene=snap_masked-gi|1002316346|dbj|BCGN01000007.1|-processed-gene-2.45&CDS=1-1026, -processed-gene-4.56-mRNA-1_1&gene=snap_masked-gi|1002316349|dbj|BCGN01000004.1|-processed-gene-4.56&CDS=1-1050, -processed-gene-9.48-mRNA-1_1&gene=snap_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-9.48&CDS=1-993
58	OG0000058	YKL221W	-processed-gene-11.34-mRNA-1_1&gene=snap_masked-gi|1002316345|dbj|BCGN01000008.1|-processed-gene-11.34&CDS=1-1833, -processed-gene-18.89-mRNA-1_1&gene=augustus_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-18.89&CDS=1-1518, -processed-gene-19.24-mRNA-1_1&gene=augustus_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-19.24&CDS=1-1935, -processed-gene-19.25-mRNA-1_1&gene=augustus_masked-gi|1002316350|dbj|BCGN01000003.1|-processed-gene-19.25&CDS=1-1689
