	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034635_Nadsonia_fulvescens
240	OG0000240	YAL062W, YOR375C	augustus_masked-flattened_line_44-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.217&CDS=1-1362
241	OG0000241	YAL067C	augustus_masked-flattened_line_126-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.11&CDS=1-1698, augustus_masked-flattened_line_36-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.43&CDS=1-1698
242	OG0000242	YAR002C-A, YGL002W	augustus_masked-flattened_line_6-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.68&CDS=1-642
243	OG0000243	YAR007C	augustus_masked-flattened_line_0-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.16&CDS=1-1893, augustus_masked-flattened_line_84-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.184&CDS=1-2235
244	OG0000244	YAR042W, YDL019C	augustus_masked-flattened_line_12-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.34&CDS=1-3543
245	OG0000245	YBL007C	augustus_masked-flattened_line_24-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.197&CDS=1-4008, maker-flattened_line_110-augustus-gene-0.97-mRNA-1_1&gene=maker-flattened_line_110-augustus-gene-0.97&CDS=1-3312
246	OG0000246	YBL008W	augustus_masked-flattened_line_58-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.31&CDS=1-2730, maker-flattened_line_6-augustus-gene-2.47-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-2.47&CDS=1-3195
247	OG0000247	YBL009W, YGL021W	augustus_masked-flattened_line_64-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.71&CDS=1-3138
248	OG0000248	YBL016W	augustus_masked-flattened_line_2-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.14&CDS=1-1224, augustus_masked-flattened_line_28-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.86&CDS=1-1200
249	OG0000249	YBL022C	augustus_masked-flattened_line_46-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.57&CDS=1-3561, augustus_masked-flattened_line_84-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.134&CDS=1-3207
250	OG0000250	YBL029W	augustus_masked-flattened_line_0-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.139&CDS=1-1419, augustus_masked-flattened_line_58-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.25&CDS=1-1380
251	OG0000251	YBL056W, YER089C	maker-flattened_line_60-augustus-gene-0.92-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.92&CDS=1-1380
252	OG0000252	YBL060W	augustus_masked-flattened_line_30-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.94&CDS=1-2925, snap_masked-flattened_line_16-processed-gene-1.65-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.65&CDS=1-3282
253	OG0000253	YBL067C, YER098W	augustus_masked-flattened_line_76-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.133&CDS=1-3243
254	OG0000254	YBL079W, YER105C	augustus_masked-flattened_line_16-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.99&CDS=1-4584
255	OG0000255	YBL085W, YER114C	augustus_masked-flattened_line_130-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.93&CDS=1-2448
256	OG0000256	YBL087C, YER117W	augustus_masked-flattened_line_2-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.133&CDS=1-405
257	OG0000257	YBL089W, YER119C	snap_masked-flattened_line_2-processed-gene-2.7-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.7&CDS=1-1503
258	OG0000258	YBL091C-A, YER120W	maker-flattened_line_6-augustus-gene-3.51-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-3.51&CDS=1-780
259	OG0000259	YBL106C, YPR032W	maker-flattened_line_96-augustus-gene-0.114-mRNA-1_1&gene=maker-flattened_line_96-augustus-gene-0.114&CDS=1-2943
260	OG0000260	YBR001C, YDR001C	maker-flattened_line_0-augustus-gene-6.88-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.88&CDS=1-2265
261	OG0000261	YBR002C	augustus_masked-flattened_line_34-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.30&CDS=1-861, maker-flattened_line_2-augustus-gene-5.82-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-5.82&CDS=1-894
262	OG0000262	YBR007C	augustus_masked-flattened_line_52-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.56&CDS=1-1557, augustus_masked-flattened_line_54-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.48&CDS=1-3027
263	OG0000263	YBR014C, YDL010W	augustus_masked-flattened_line_36-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.15&CDS=1-582
264	OG0000264	YBR020W, YDR009W	augustus_masked-flattened_line_122-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.22&CDS=1-1545
265	OG0000265	YBR021W, YIR028W	augustus_masked-flattened_line_122-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.0&CDS=1-1659
266	OG0000266	YBR033W, YKL038W	augustus_masked-flattened_line_50-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.182&CDS=1-2523
267	OG0000267	YBR054W, YDR033W	augustus_masked-flattened_line_14-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.158&CDS=1-1086
268	OG0000268	YBR066C, YDR043C	augustus_masked-flattened_line_8-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.113&CDS=1-963
269	OG0000269	YBR078W, YDR055W	augustus_masked-flattened_line_80-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.33&CDS=1-1296
270	OG0000270	YBR082C, YDR059C	augustus_masked-flattened_line_24-processed-gene-1.221-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.221&CDS=1-441
271	OG0000271	YBR083W	augustus_masked-flattened_line_104-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.109&CDS=1-4674, snap_masked-flattened_line_8-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.37&CDS=1-363
272	OG0000272	YBR085W	augustus_masked-flattened_line_110-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.135&CDS=1-906, augustus_masked-flattened_line_88-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.32&CDS=1-906
273	OG0000273	YBR104W, YPR058W	augustus_masked-flattened_line_58-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.38&CDS=1-930
274	OG0000274	YBR105C	augustus_masked-flattened_line_30-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.185&CDS=1-843, augustus_masked-flattened_line_58-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.76&CDS=1-1155
275	OG0000275	YBR112C	augustus_masked-flattened_line_106-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.35&CDS=1-2469, augustus_masked-flattened_line_98-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.90&CDS=1-3816
276	OG0000276	YBR147W, YOL092W	augustus_masked-flattened_line_84-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.139&CDS=1-891
277	OG0000277	YBR158W	augustus_masked-flattened_line_50-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.162&CDS=1-1515, augustus_masked-flattened_line_70-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.56&CDS=1-2214
278	OG0000278	YBR161W, YPL057C	augustus_masked-flattened_line_54-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.18&CDS=1-1188
279	OG0000279	YBR169C	augustus_masked-flattened_line_0-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.31&CDS=1-2064, augustus_masked-flattened_line_8-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.140&CDS=1-2106
280	OG0000280	YBR172C, YPL105C	augustus_masked-flattened_line_0-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.32&CDS=1-3621
281	OG0000281	YBR182C, YPL089C	maker-flattened_line_4-augustus-gene-4.59-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-4.59&CDS=1-2457
282	OG0000282	YBR183W, YPL087W	maker-flattened_line_48-snap-gene-0.191-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.191&CDS=1-876
283	OG0000283	YBR197C, YPL077C	augustus_masked-flattened_line_0-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.22&CDS=1-1032
284	OG0000284	YBR198C	augustus_masked-flattened_line_0-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.21&CDS=1-2664, snap_masked-flattened_line_6-processed-gene-3.103-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.103&CDS=1-2301
285	OG0000285	YBR239C	maker-flattened_line_0-augustus-gene-1.86-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.86&CDS=1-2295, snap_masked-flattened_line_42-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.58&CDS=1-2085
286	OG0000286	YBR241C, YGL104C	maker-flattened_line_0-augustus-gene-1.83-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.83&CDS=1-1482
287	OG0000287	YBR242W, YGL101W	augustus_masked-flattened_line_30-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.108&CDS=1-681
288	OG0000288	YBR244W, YIR037W	maker-flattened_line_0-snap-gene-2.101-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.101&CDS=1-1011
289	OG0000289	YBR260C	augustus_masked-flattened_line_10-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.13&CDS=1-2175, maker-flattened_line_68-augustus-gene-0.84-mRNA-1_1&gene=maker-flattened_line_68-augustus-gene-0.84&CDS=1-3762
290	OG0000290	YBR270C, YJL058C	augustus_masked-flattened_line_8-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.116&CDS=1-1902
291	OG0000291	YBR276C	augustus_masked-flattened_line_32-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.179&CDS=1-2928, snap_masked-flattened_line_2-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.21&CDS=1-2892
292	OG0000292	YBR294W, YLR092W	augustus_masked-flattened_line_112-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.17&CDS=1-2433
293	OG0000293	YCL011C, YNL004W	augustus_masked-flattened_line_8-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.87&CDS=1-1680
294	OG0000294	YCL037C, YDR515W	augustus_masked-flattened_line_44-processed-gene-0.271-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.271&CDS=1-1740
295	OG0000295	YCL040W, YDR516C	augustus_masked-flattened_line_0-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.14&CDS=1-1398
296	OG0000296	YCL043C	augustus_masked-flattened_line_164-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_164-processed-gene-0.30&CDS=1-1440, augustus_masked-flattened_line_44-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.232&CDS=1-1602
297	OG0000297	YCL050C, YDR530C	augustus_masked-flattened_line_14-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.150&CDS=1-1035
298	OG0000298	YCR008W	augustus_masked-flattened_line_18-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.38&CDS=1-1962, augustus_masked-flattened_line_26-processed-gene-1.219-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.219&CDS=1-2187
299	OG0000299	YCR010C, YNR002C	maker-flattened_line_116-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_116-snap-gene-0.4&CDS=1-1581
300	OG0000300	YCR026C, YEL016C	augustus_masked-flattened_line_72-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.11&CDS=1-1965
301	OG0000301	YCR048W, YNR019W	maker-flattened_line_110-snap-gene-0.112-mRNA-1_1&gene=maker-flattened_line_110-snap-gene-0.112&CDS=1-1563
302	OG0000302	YCR065W	augustus_masked-flattened_line_30-processed-gene-1.184-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.184&CDS=1-2733, augustus_masked-flattened_line_58-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.78&CDS=1-3315
303	OG0000303	YCR067C, YNR026C	maker-flattened_line_24-augustus-gene-1.3-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.3&CDS=1-1833
304	OG0000304	YCR073C, YNR031C	augustus_masked-flattened_line_106-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.25&CDS=1-4383
305	OG0000305	YCR075C	augustus_masked-flattened_line_4-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.84&CDS=1-681, augustus_masked-flattened_line_58-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.49&CDS=1-777
306	OG0000306	YCR091W, YNR047W	genemark-flattened_line_22-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.16&CDS=1-3243
307	OG0000307	YCR105W, YMR318C	augustus_masked-flattened_line_18-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.34&CDS=1-1080
308	OG0000308	YDL035C	augustus_masked-flattened_line_20-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.120&CDS=1-1680, augustus_masked-flattened_line_30-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.165&CDS=1-1527
309	OG0000309	YDL042C, YOL068C	augustus_masked-flattened_line_78-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.36&CDS=1-1806
310	OG0000310	YDL049C, YJL174W	augustus_masked-flattened_line_16-processed-gene-2.171-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.171&CDS=1-825
311	OG0000311	YDL052C	augustus_masked-flattened_line_10-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.131&CDS=1-834, augustus_masked-flattened_line_42-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.165&CDS=1-969
312	OG0000312	YDL054C	augustus_masked-flattened_line_54-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.39&CDS=1-1476, augustus_masked-flattened_line_54-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.60&CDS=1-1389
313	OG0000313	YDL063C	augustus_masked-flattened_line_24-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.96&CDS=1-2031, augustus_masked-flattened_line_8-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.115&CDS=1-2193
314	OG0000314	YDL072C	augustus_masked-flattened_line_110-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.129&CDS=1-594, augustus_masked-flattened_line_6-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.40&CDS=1-660
315	OG0000315	YDL075W, YLR406C	maker-flattened_line_0-snap-gene-1.98-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.98&CDS=1-351
316	OG0000316	YDL081C	augustus_masked-flattened_line_86-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.49&CDS=1-315, maker-flattened_line_6-augustus-gene-3.52-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-3.52&CDS=1-318
317	OG0000317	YDL088C, YMR153W	augustus_masked-flattened_line_6-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.93&CDS=1-1734
318	OG0000318	YDL093W, YDL095W	augustus_masked-flattened_line_38-processed-gene-0.251-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.251&CDS=1-3213
319	OG0000319	YDL104C	augustus_masked-flattened_line_2-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.92&CDS=1-1293, snap_masked-flattened_line_6-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.53&CDS=1-1383
320	OG0000320	YDL109C, YGL144C	augustus_masked-flattened_line_6-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.137&CDS=1-2706
321	OG0000321	YDL134C	augustus_masked-flattened_line_106-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.34&CDS=1-1047, maker-flattened_line_0-augustus-gene-1.90-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.90&CDS=1-1071
322	OG0000322	YDL136W, YDL191W	augustus_masked-flattened_line_0-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.109&CDS=1-366
323	OG0000323	YDL155W, YLR210W	augustus_masked-flattened_line_20-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.49&CDS=1-2025
324	OG0000324	YDL168W	augustus_masked-flattened_line_104-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.116&CDS=1-1134, augustus_masked-flattened_line_114-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.123&CDS=1-1140
325	OG0000325	YDL174C	augustus_masked-flattened_line_100-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.7&CDS=1-1752, augustus_masked-flattened_line_118-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.90&CDS=1-1734
326	OG0000326	YDL175C, YIL079C	augustus_masked-flattened_line_20-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.104&CDS=1-1323
327	OG0000327	YDL182W	augustus_masked-flattened_line_76-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.162&CDS=1-1323, genemark-flattened_line_74-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.42&CDS=1-1224
328	OG0000328	YDL204W, YDR233C	augustus_masked-flattened_line_12-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.27&CDS=1-1098
329	OG0000329	YDL210W	augustus_masked-flattened_line_14-processed-gene-2.186-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.186&CDS=1-1602, augustus_masked-flattened_line_4-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.123&CDS=1-1608
330	OG0000330	YDL246C, YJR159W	augustus_masked-flattened_line_40-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.232&CDS=1-1071
331	OG0000331	YDR032C	augustus_masked-flattened_line_2-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.68&CDS=1-603, augustus_masked-flattened_line_2-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.86&CDS=1-855
332	OG0000332	YDR034C	augustus_masked-flattened_line_138-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.9&CDS=1-1227, augustus_masked-flattened_line_8-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.32&CDS=1-3126
333	OG0000333	YDR052C	augustus_masked-flattened_line_82-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.57&CDS=1-1980, snap_masked-flattened_line_60-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.137&CDS=1-1434
334	OG0000334	YDR069C, YER144C	maker-flattened_line_14-augustus-gene-2.69-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-2.69&CDS=1-3219
335	OG0000335	YDR071C	augustus_masked-flattened_line_56-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.165&CDS=1-909, augustus_masked-flattened_line_8-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.126&CDS=1-594
336	OG0000336	YDR098C, YER174C	augustus_masked-flattened_line_62-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.179&CDS=1-762
337	OG0000337	YDR107C, YLR083C	augustus_masked-flattened_line_56-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.197&CDS=1-1884
338	OG0000338	YDR128W	augustus_masked-flattened_line_30-processed-gene-1.175-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.175&CDS=1-4272, maker-flattened_line_74-snap-gene-0.192-mRNA-1_1&gene=maker-flattened_line_74-snap-gene-0.192&CDS=1-3990
339	OG0000339	YDR132C, YLR108C	maker-flattened_line_64-augustus-gene-0.165-mRNA-1_1&gene=maker-flattened_line_64-augustus-gene-0.165&CDS=1-1359
340	OG0000340	YDR151C, YLR136C	augustus_masked-flattened_line_116-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.33&CDS=1-432
341	OG0000341	YDR200C, YLR238W	maker-flattened_line_114-augustus-gene-0.44-mRNA-1_1&gene=maker-flattened_line_114-augustus-gene-0.44&CDS=1-1782
342	OG0000342	YDR208W	augustus_masked-flattened_line_94-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.43&CDS=1-2115, augustus_masked-flattened_line_94-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.8&CDS=1-2328
343	OG0000343	YDR245W	augustus_masked-flattened_line_0-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.21&CDS=1-1065, augustus_masked-flattened_line_20-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.127&CDS=1-1137
344	OG0000344	YDR247W, YPL026C	augustus_masked-flattened_line_0-processed-gene-5.0-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.0&CDS=1-1617
345	OG0000345	YDR252W, YPL037C	snap_masked-flattened_line_12-processed-gene-1.109-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.109&CDS=1-420
346	OG0000346	YDR256C	augustus_masked-flattened_line_0-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.139&CDS=1-1494, augustus_masked-flattened_line_74-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.172&CDS=1-1485
347	OG0000347	YDR259C, YOR028C	augustus_masked-flattened_line_60-processed-gene-0.231-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.231&CDS=1-900
348	OG0000348	YDR263C, YOR033C	maker-flattened_line_24-augustus-gene-1.5-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.5&CDS=1-1974
349	OG0000349	YDR264C, YOR034C	snap_masked-flattened_line_82-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.95&CDS=1-2148
350	OG0000350	YDR272W, YOR040W	maker-flattened_line_6-snap-gene-1.9-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-1.9&CDS=1-1002
351	OG0000351	YDR276C	augustus_masked-flattened_line_0-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.9&CDS=1-198, genemark-flattened_line_92-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.62&CDS=1-171
352	OG0000352	YDR277C, YOR047C	augustus_masked-flattened_line_70-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.41&CDS=1-1617
353	OG0000353	YDR293C	augustus_masked-flattened_line_10-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.6&CDS=1-3654, augustus_masked-flattened_line_68-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.25&CDS=1-4230
354	OG0000354	YDR305C	augustus_masked-flattened_line_52-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.7&CDS=1-525, snap_masked-flattened_line_2-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.48&CDS=1-522
355	OG0000355	YDR312W, YHR066W	augustus_masked-flattened_line_54-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.59&CDS=1-1278
356	OG0000356	YDR329C	augustus_masked-flattened_line_10-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.86&CDS=1-1182, maker-flattened_line_68-augustus-gene-0.79-mRNA-1_1&gene=maker-flattened_line_68-augustus-gene-0.79&CDS=1-1377
357	OG0000357	YDR333C	augustus_masked-flattened_line_72-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.39&CDS=1-3342, maker-flattened_line_10-snap-gene-2.2-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.2&CDS=1-4278
358	OG0000358	YDR372C	augustus_masked-flattened_line_34-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.22&CDS=1-1038, augustus_masked-flattened_line_36-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.27&CDS=1-1032
