	OrthologID	Saccharomyces_cerevisiae	Wickerhamiella_domercqiae
22	OG0000022	YBL089W, YER118C, YER119C	-processed-gene-15.11-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-15.11&CDS=1-429, -processed-gene-17.105-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-17.105&CDS=1-2286
23	OG0000023	YBR038W, YNL192W	-processed-gene-10.50-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-10.50&CDS=1-2859, -processed-gene-12.157-mRNA-1_1&gene=snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-12.157&CDS=1-3036, -processed-gene-13.153-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-13.153&CDS=1-3414
24	OG0000024	YBR109C, YOR257W, YPR188C	-processed-gene-18.28-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-18.28&CDS=1-561, -processed-gene-19.148-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-19.148&CDS=1-747
25	OG0000025	YBR145W, YMR083W, YMR303C, YOL086C	-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-5.85&CDS=1-1173
26	OG0000026	YBR260C, YPL115C	-processed-gene-20.20-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-20.20&CDS=1-2214, -processed-gene-22.38-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.38&CDS=1-2673, -snap-gene-6.41-mRNA-1_1&gene=maker-gi|1002316080|dbj|BCGM01000002.1|-snap-gene-6.41&CDS=1-2070
27	OG0000027	YCR065W, YIL133C, YNL069C	-processed-gene-11.131-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-11.131&CDS=1-1851, -processed-gene-17.20-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-17.20&CDS=1-2508
28	OG0000028	YDL080C, YGR087C, YLR044C, YLR134W	-processed-gene-9.56-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-9.56&CDS=1-1740
29	OG0000029	YDL123W, YDR276C, YDR525W-A, YJL151C	-processed-gene-19.116-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.116&CDS=1-468
30	OG0000030	YDL210W	-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-0.13&CDS=1-1659, -processed-gene-19.57-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-19.57&CDS=1-1605, -processed-gene-21.24-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-21.24&CDS=1-1605, -processed-gene-24.23-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-24.23&CDS=1-1707
31	OG0000031	YDR021W, YJL138C, YKR059W	-processed-gene-21.16-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-21.16&CDS=1-3075, -processed-gene-29.90-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-29.90&CDS=1-3591
32	OG0000032	YDR253C, YGR067C, YMR182C, YPL230W	-processed-gene-11.44-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-11.44&CDS=1-1710
33	OG0000033	YDR533C, YMR322C, YOR391C, YPL280W	-processed-gene-15.22-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-15.22&CDS=1-702
34	OG0000034	YDR541C, YGL039W, YGL157W, YOL151W	-processed-gene-0.59-mRNA-1_1&gene=snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-0.59&CDS=1-1026
35	OG0000035	YER044C, YML099C	-augustus-gene-15.210-mRNA-1_1&gene=maker-gi|1002316080|dbj|BCGM01000002.1|-augustus-gene-15.210&CDS=1-2421, -processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-0.29&CDS=1-2118, -processed-gene-2.26-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-2.26&CDS=1-1965
36	OG0000036	YFL037W, YJR073C	-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-1.7&CDS=1-1371, -processed-gene-28.29-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-28.29&CDS=1-1365, -processed-gene-35.89-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-35.89&CDS=1-1908
37	OG0000037	YFL050C, YKL064W, YOL130W	-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-1.25&CDS=1-2010, -snap-gene-21.3-mRNA-1_1&gene=maker-gi|1002316080|dbj|BCGM01000002.1|-snap-gene-21.3&CDS=1-2373
38	OG0000038	YFR038W, YOR304W	-processed-gene-12.87-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-12.87&CDS=1-2742, -processed-gene-18.2-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-18.2&CDS=1-3234, -processed-gene-23.91-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-23.91&CDS=1-4509
39	OG0000039	YGL092W, YKL068W, YMR047C	-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-10.16&CDS=1-3102, -processed-gene-6.19-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-6.19&CDS=1-3741
40	OG0000040	YGR070W, YLR371W, YLR425W	-processed-gene-14.156-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-14.156&CDS=1-3237, -processed-gene-22.12-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-22.12&CDS=1-3498
41	OG0000041	YGR195W, YHR123W, YNL130C	-augustus-gene-9.96-mRNA-1_1&gene=maker-gi|1002316079|dbj|BCGM01000003.1|-augustus-gene-9.96&CDS=1-2313, -processed-gene-15.0-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-15.0&CDS=1-4818
42	OG0000042	YJL172W, YOL153C	-processed-gene-14.25-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-14.25&CDS=1-1638, -processed-gene-20.47-mRNA-1_1&gene=snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-20.47&CDS=1-1629, -processed-gene-9.80-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-9.80&CDS=1-2679
43	OG0000043	YJR061W, YKL201C	-processed-gene-18.24-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-18.24&CDS=1-1572, -processed-gene-30.30-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-30.30&CDS=1-1644, -snap-gene-2.3-mRNA-1_1&gene=maker-gi|1002316078|dbj|BCGM01000004.1|-snap-gene-2.3&CDS=1-1782
44	OG0000044	YKR001C, YLL001W	-processed-gene-18.38-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-18.38&CDS=1-3552, -processed-gene-27.35-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-27.35&CDS=1-2025, -processed-gene-3.134-mRNA-1_1&gene=snap_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-3.134&CDS=1-2034
45	OG0000045	YKR026C, YMR066W	-processed-gene-10.108-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-10.108&CDS=1-2007, -processed-gene-29.80-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-29.80&CDS=1-2925, -processed-gene-7.74-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-7.74&CDS=1-3876
46	OG0000046	YKR089C, YMR313C, YOR081C	-processed-gene-15.58-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-15.58&CDS=1-1800, -processed-gene-19.98-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-19.98&CDS=1-1650
47	OG0000047	YLR370C, YNL274C	-augustus-gene-8.109-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-8.109&CDS=1-2355, -processed-gene-1.130-mRNA-1_1&gene=augustus_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-1.130&CDS=1-2097, -processed-gene-12.135-mRNA-1_1&gene=snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-12.135&CDS=1-981
48	OG0000048	YBL037W, YPR029C	-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-7.26&CDS=1-2433, -processed-gene-9.28-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-9.28&CDS=1-4215
49	OG0000049	YBR015C, YJL186W	-processed-gene-26.93-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-26.93&CDS=1-3681, -processed-gene-26.97-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-26.97&CDS=1-1779
50	OG0000050	YBR073W, YGL163C	-processed-gene-11.3-mRNA-1_1&gene=snap_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-11.3&CDS=1-2304, -processed-gene-25.35-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-25.35&CDS=1-2337
51	OG0000051	YBR136W, YKL203C	-processed-gene-13.34-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-13.34&CDS=1-6312, -processed-gene-27.78-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-27.78&CDS=1-7551
52	OG0000052	YBR263W, YLR058C	-processed-gene-12.81-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-12.81&CDS=1-1404, -processed-gene-20.15-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-20.15&CDS=1-1419
53	OG0000053	YCL064C, YIL167W	-processed-gene-16.9-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-16.9&CDS=1-837, -processed-gene-17.69-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-17.69&CDS=1-1020
54	OG0000054	YCL069W, YGR224W, YKR105C, YPR198W	
55	OG0000055	YCR092C, YDR097C	-processed-gene-15.7-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-15.7&CDS=1-3297, -processed-gene-29.78-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-29.78&CDS=1-3021
56	OG0000056	YCR102C, YLR460C, YNL134C	-processed-gene-5.21-mRNA-1_1&gene=snap_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-5.21&CDS=1-825
57	OG0000057	YCR105W, YMR318C	-processed-gene-0.99-mRNA-1_1&gene=snap_masked-gi|1002316078|dbj|BCGM01000004.1|-processed-gene-0.99&CDS=1-1044, -processed-gene-29.75-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-29.75&CDS=1-1068
58	OG0000058	YDL025C, YNL183C	-processed-gene-21.56-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-21.56&CDS=1-1884, -processed-gene-32.83-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-32.83&CDS=1-1512
59	OG0000059	YDL056W, YLR182W	-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-gi|1002316079|dbj|BCGM01000003.1|-processed-gene-10.26&CDS=1-2694, -processed-gene-8.19-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-8.19&CDS=1-2271
60	OG0000060	YDL126C, YLR397C	-processed-gene-17.83-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-17.83&CDS=1-2118, -processed-gene-33.84-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-33.84&CDS=1-2424
61	OG0000061	YDL132W, YGL192W	-processed-gene-35.55-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-35.55&CDS=1-2268, -processed-gene-7.5-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-7.5&CDS=1-3510
62	OG0000062	YDL209C	-augustus-gene-13.111-mRNA-1_1&gene=maker-gi|1002316081|dbj|BCGM01000001.1|-augustus-gene-13.111&CDS=1-2766, -processed-gene-13.99-mRNA-1_1&gene=augustus_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-13.99&CDS=1-1668, -processed-gene-5.126-mRNA-1_1&gene=augustus_masked-gi|1002316080|dbj|BCGM01000002.1|-processed-gene-5.126&CDS=1-1602
63	OG0000063	YDL246C, YJR159W, YLR070C	-processed-gene-2.10-mRNA-1_1&gene=snap_masked-gi|1002316081|dbj|BCGM01000001.1|-processed-gene-2.10&CDS=1-1062
