	OrthologID	Metschnikowia_hawaiiensis	Saccharomyces_cerevisiae
10	OG0000010	maker-haw-_s131-snap-gene-1.106-mRNA-1_1&gene=maker-haw-_s131-snap-gene-1.106&CDS=1-327, maker-haw-_s313-snap-gene-0.122-mRNA-1_1&gene=maker-haw-_s313-snap-gene-0.122&CDS=1-186, maker-haw-_s481-snap-gene-0.1-mRNA-1_1&gene=maker-haw-_s481-snap-gene-0.1&CDS=1-1482	YHL021C, YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
11	OG0000011	snap_masked-haw-_s463-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.47&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
12	OG0000012	augustus_masked-haw-_s424-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s424-processed-gene-0.13&CDS=1-1767, maker-haw-_s131-snap-gene-1.105-mRNA-1_1&gene=maker-haw-_s131-snap-gene-1.105&CDS=1-1263, snap_masked-haw-_s113-processed-gene-2.97-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-2.97&CDS=1-2028, snap_masked-haw-_s411-processed-gene-0.90-mRNA-1_1&gene=snap_masked-haw-_s411-processed-gene-0.90&CDS=1-2298, snap_masked-haw-_s442-processed-gene-1.11-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.11&CDS=1-1548	YFL021W, YKR034W
13	OG0000013	snap_masked-haw-_s131-processed-gene-0.22-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-0.22&CDS=1-690, snap_masked-haw-_s160-processed-gene-0.61-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-0.61&CDS=1-693, snap_masked-haw-_s256-processed-gene-0.61-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.61&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
14	OG0000014	augustus_masked-haw-_s151-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-haw-_s151-processed-gene-1.141&CDS=1-2181, snap_masked-haw-_s298-processed-gene-1.115-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.115&CDS=1-1764, snap_masked-haw-_s663-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s663-processed-gene-0.12&CDS=1-3990	YCL024W, YDR477W, YDR507C, YPL150W
15	OG0000015	snap_masked-haw-_s280-processed-gene-0.24-mRNA-1_1&gene=snap_masked-haw-_s280-processed-gene-0.24&CDS=1-966, snap_masked-haw-_s30-processed-gene-2.207-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-2.207&CDS=1-1170, snap_masked-haw-_s31-processed-gene-2.86-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.86&CDS=1-957	YBL068W, YER099C, YHL011C, YOL061W
16	OG0000016	snap_masked-haw-_s298-processed-gene-1.111-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.111&CDS=1-1155, snap_masked-haw-_s3-processed-gene-0.75-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.75&CDS=1-2496, snap_masked-haw-_s360-processed-gene-0.27-mRNA-1_1&gene=snap_masked-haw-_s360-processed-gene-0.27&CDS=1-1575, snap_masked-haw-_s63-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s63-processed-gene-0.10&CDS=1-5529	YDR523C, YHR102W, YJL095W
17	OG0000017	snap_masked-haw-_s1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.93&CDS=1-993	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
18	OG0000018	augustus_masked-haw-_s1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-haw-_s1-processed-gene-0.26&CDS=1-1692, augustus_masked-haw-_s424-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-haw-_s424-processed-gene-0.22&CDS=1-1656	YDR342C, YDR343C, YDR345C, YHR092C
19	OG0000019	augustus_masked-haw-_s148-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-haw-_s148-processed-gene-0.12&CDS=1-714, snap_masked-haw-_s157-processed-gene-0.33-mRNA-1_1&gene=snap_masked-haw-_s157-processed-gene-0.33&CDS=1-462, snap_masked-haw-_s178-processed-gene-0.153-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.153&CDS=1-279, snap_masked-haw-_s58-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s58-processed-gene-0.7&CDS=1-633	YGL089C, YPL187W
20	OG0000020	maker-haw-_s558-snap-gene-0.129-mRNA-1_1&gene=maker-haw-_s558-snap-gene-0.129&CDS=1-2385, snap_masked-haw-_s154-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s154-processed-gene-0.10&CDS=1-3093, snap_masked-haw-_s300-processed-gene-0.209-mRNA-1_1&gene=snap_masked-haw-_s300-processed-gene-0.209&CDS=1-3066	YBR245C, YFR038W, YOR304W
21	OG0000021	snap_masked-haw-_s160-processed-gene-4.88-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.88&CDS=1-1953, snap_masked-haw-_s637-processed-gene-0.11-mRNA-1_1&gene=snap_masked-haw-_s637-processed-gene-0.11&CDS=1-1737	YER054C, YIL045W, YLR273C, YOR178C
22	OG0000022	snap_masked-haw-_s175-processed-gene-0.68-mRNA-1_1&gene=snap_masked-haw-_s175-processed-gene-0.68&CDS=1-771, snap_masked-haw-_s31-processed-gene-2.45-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.45&CDS=1-759, snap_masked-haw-_s362-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s362-processed-gene-0.17&CDS=1-792, snap_masked-haw-_s49-processed-gene-0.54-mRNA-1_1&gene=snap_masked-haw-_s49-processed-gene-0.54&CDS=1-771	YCR010C, YNR002C
23	OG0000023	augustus_masked-haw-_s181-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-haw-_s181-processed-gene-0.1&CDS=1-462, augustus_masked-haw-_s472-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s472-processed-gene-0.13&CDS=1-462, snap_masked-haw-_s56-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s56-processed-gene-0.17&CDS=1-2349	YBR118W, YJR052W, YPR080W
24	OG0000024	maker-haw-_s30-augustus-gene-0.44-mRNA-1_1&gene=maker-haw-_s30-augustus-gene-0.44&CDS=1-1671, maker-haw-_s674-snap-gene-0.12-mRNA-1_1&gene=maker-haw-_s674-snap-gene-0.12&CDS=1-453, snap_masked-haw-_s199-processed-gene-0.65-mRNA-1_1&gene=snap_masked-haw-_s199-processed-gene-0.65&CDS=1-2010	YDR146C, YLR131C, YOR319W
25	OG0000025	augustus_masked-haw-_s20-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-haw-_s20-processed-gene-1.200&CDS=1-1575, augustus_masked-haw-_s318-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s318-processed-gene-0.0&CDS=1-2298, augustus_masked-haw-_s56-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-haw-_s56-processed-gene-0.11&CDS=1-2796	YIL156W, YKR098C, YML046W
26	OG0000026	maker-haw-_s30-snap-gene-2.93-mRNA-1_1&gene=maker-haw-_s30-snap-gene-2.93&CDS=1-1704, snap_masked-haw-_s236-processed-gene-0.24-mRNA-1_1&gene=snap_masked-haw-_s236-processed-gene-0.24&CDS=1-2205, snap_masked-haw-_s26-processed-gene-0.19-mRNA-1_1&gene=snap_masked-haw-_s26-processed-gene-0.19&CDS=1-2355	YDL025C, YNL183C, YOR267C
27	OG0000027	snap_masked-haw-_s3-processed-gene-0.87-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.87&CDS=1-1065, snap_masked-haw-_s456-processed-gene-0.110-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.110&CDS=1-1233	YIL123W, YJL116C, YKR042W, YNL066W
28	OG0000028	augustus_masked-haw-_s341-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-haw-_s341-processed-gene-0.3&CDS=1-1023, maker-haw-_s89-augustus-gene-0.3-mRNA-1_1&gene=maker-haw-_s89-augustus-gene-0.3&CDS=1-2280	YML111W, YMR275C, YNR068C, YNR069C
29	OG0000029	augustus_masked-haw-_s723-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s723-processed-gene-0.0&CDS=1-2730, snap_masked-haw-_s350-processed-gene-0.51-mRNA-1_1&gene=snap_masked-haw-_s350-processed-gene-0.51&CDS=1-1737, snap_masked-haw-_s81-processed-gene-0.75-mRNA-1_1&gene=snap_masked-haw-_s81-processed-gene-0.75&CDS=1-1692	YDR160W, YOR348C, YPL265W
30	OG0000030		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
31	OG0000031	augustus_masked-haw-_C44446-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C44446-processed-gene-0.2&CDS=1-303, augustus_masked-haw-_s297-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s297-processed-gene-0.2&CDS=1-288, augustus_masked-haw-_s459-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s459-processed-gene-0.2&CDS=1-1437, maker-haw-_s458-snap-gene-0.0-mRNA-1_1&gene=maker-haw-_s458-snap-gene-0.0&CDS=1-840	YDL238C
32	OG0000032	augustus_masked-haw-_s1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s1-processed-gene-0.0&CDS=1-285, augustus_masked-haw-_s121-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-haw-_s121-processed-gene-0.7&CDS=1-2169, snap_masked-haw-_s3-processed-gene-0.67-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.67&CDS=1-2295	YGL014W, YGL178W
33	OG0000033	augustus_masked-haw-_s109-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-haw-_s109-processed-gene-0.5&CDS=1-1275, snap_masked-haw-_s276-processed-gene-0.23-mRNA-1_1&gene=snap_masked-haw-_s276-processed-gene-0.23&CDS=1-870, snap_masked-haw-_s284-processed-gene-0.173-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.173&CDS=1-921	YIL153W, YOL092W
34	OG0000034	snap_masked-haw-_s109-processed-gene-0.65-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.65&CDS=1-1845, snap_masked-haw-_s119-processed-gene-0.9-mRNA-1_1&gene=snap_masked-haw-_s119-processed-gene-0.9&CDS=1-2196, snap_masked-haw-_s558-processed-gene-0.67-mRNA-1_1&gene=snap_masked-haw-_s558-processed-gene-0.67&CDS=1-2160	YLR098C, YOR337W
35	OG0000035	augustus_masked-haw-_s524-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s524-processed-gene-0.0&CDS=1-537, augustus_masked-haw-_s540-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-haw-_s540-processed-gene-0.25&CDS=1-2358, snap_masked-haw-_s109-processed-gene-0.66-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.66&CDS=1-2112	YHR031C, YML061C
36	OG0000036	snap_masked-haw-_s11-processed-gene-0.9-mRNA-1_1&gene=snap_masked-haw-_s11-processed-gene-0.9&CDS=1-1254, snap_masked-haw-_s113-processed-gene-0.132-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.132&CDS=1-591, snap_masked-haw-_s20-processed-gene-0.65-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-0.65&CDS=1-831, snap_masked-haw-_s689-processed-gene-0.33-mRNA-1_1&gene=snap_masked-haw-_s689-processed-gene-0.33&CDS=1-621	YDR207C
37	OG0000037	augustus_masked-haw-_s392-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-haw-_s392-processed-gene-0.4&CDS=1-264, snap_masked-haw-_s113-processed-gene-0.110-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.110&CDS=1-2529, snap_masked-haw-_s392-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s392-processed-gene-0.1&CDS=1-204	YBR033W, YKL038W
38	OG0000038	maker-haw-_s199-snap-gene-0.26-mRNA-1_1&gene=maker-haw-_s199-snap-gene-0.26&CDS=1-1191, snap_masked-haw-_s113-processed-gene-1.110-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-1.110&CDS=1-1656, snap_masked-haw-_s31-processed-gene-2.57-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.57&CDS=1-1527	YER133W, YML016C
39	OG0000039	snap_masked-haw-_s140-processed-gene-0.20-mRNA-1_1&gene=snap_masked-haw-_s140-processed-gene-0.20&CDS=1-408, snap_masked-haw-_s298-processed-gene-1.122-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.122&CDS=1-408, snap_masked-haw-_s586-processed-gene-0.30-mRNA-1_1&gene=snap_masked-haw-_s586-processed-gene-0.30&CDS=1-408	YBR010W, YNL031C
40	OG0000040	augustus_masked-haw-_s151-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-haw-_s151-processed-gene-0.43&CDS=1-1026, snap_masked-haw-_s209-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s209-processed-gene-0.12&CDS=1-993, snap_masked-haw-_s442-processed-gene-1.31-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.31&CDS=1-1002	YDL078C, YKL085W
41	OG0000041	augustus_masked-haw-_s465-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s465-processed-gene-0.13&CDS=1-213, maker-haw-_s309-snap-gene-0.23-mRNA-1_1&gene=maker-haw-_s309-snap-gene-0.23&CDS=1-5085, snap_masked-haw-_s151-processed-gene-1.102-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-1.102&CDS=1-1596	YDR443C, YGL078C
42	OG0000042	maker-haw-_s16-snap-gene-0.120-mRNA-1_1&gene=maker-haw-_s16-snap-gene-0.120&CDS=1-3423, snap_masked-haw-_s34-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.2&CDS=1-1749, snap_masked-haw-_s4-processed-gene-1.126-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.126&CDS=1-1698	YJL172W, YOL153C
43	OG0000043	augustus_masked-haw-_s16-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-haw-_s16-processed-gene-0.22&CDS=1-1095, maker-haw-_s160-snap-gene-4.125-mRNA-1_1&gene=maker-haw-_s160-snap-gene-4.125&CDS=1-1122, snap_masked-haw-_s62-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s62-processed-gene-0.6&CDS=1-705	YBR249C, YDR035W
44	OG0000044	snap_masked-haw-_s160-processed-gene-2.66-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-2.66&CDS=1-816, snap_masked-haw-_s178-processed-gene-0.119-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.119&CDS=1-891	YDL127W, YDL179W, YNL289W
45	OG0000045	augustus_masked-haw-_s82-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-haw-_s82-processed-gene-0.93&CDS=1-2226, augustus_masked-haw-_s94-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s94-processed-gene-0.2&CDS=1-1725, snap_masked-haw-_s160-processed-gene-4.75-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.75&CDS=1-1815	YDR338C, YHR032W
46	OG0000046	maker-haw-_s424-snap-gene-0.27-mRNA-1_1&gene=maker-haw-_s424-snap-gene-0.27&CDS=1-1272, snap_masked-haw-_s161-processed-gene-0.37-mRNA-1_1&gene=snap_masked-haw-_s161-processed-gene-0.37&CDS=1-1230, snap_masked-haw-_s43-processed-gene-0.55-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.55&CDS=1-1155	YBR207W, YER145C
47	OG0000047	snap_masked-haw-_s161-processed-gene-0.20-mRNA-1_1&gene=snap_masked-haw-_s161-processed-gene-0.20&CDS=1-1839, snap_masked-haw-_s586-processed-gene-0.41-mRNA-1_1&gene=snap_masked-haw-_s586-processed-gene-0.41&CDS=1-1932	YDL229W, YLL024C, YNL209W
48	OG0000048	snap_masked-haw-_s165-processed-gene-1.102-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-1.102&CDS=1-2910, snap_masked-haw-_s30-processed-gene-0.103-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-0.103&CDS=1-2526	YDR385W, YKL173W, YOR133W
49	OG0000049	maker-haw-_s191-snap-gene-0.22-mRNA-1_1&gene=maker-haw-_s191-snap-gene-0.22&CDS=1-4695, snap_masked-haw-_s560-processed-gene-0.63-mRNA-1_1&gene=snap_masked-haw-_s560-processed-gene-0.63&CDS=1-3552	YML072C, YNL087W, YOR086C
50	OG0000050	snap_masked-haw-_s195-processed-gene-0.69-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-0.69&CDS=1-1557, snap_masked-haw-_s30-processed-gene-2.223-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-2.223&CDS=1-2382, snap_masked-haw-_s31-processed-gene-0.89-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-0.89&CDS=1-2103	YGL257C, YNR059W
51	OG0000051	augustus_masked-haw-_s657-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-haw-_s657-processed-gene-0.32&CDS=1-1950, snap_masked-haw-_s195-processed-gene-1.89-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.89&CDS=1-2142	YDR475C, YGR237C, YOR019W
52	OG0000052	snap_masked-haw-_s195-processed-gene-1.157-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.157&CDS=1-2493, snap_masked-haw-_s298-processed-gene-2.63-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.63&CDS=1-2415	YDR326C, YFL042C, YHR080C
