	OrthologID	Lachancea_quebecensis	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-LAQU0S04-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-LAQU0S04-processed-gene-2.44&CDS=1-5121, genemark-LAQU0S02-processed-gene-8.131-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-8.131&CDS=1-2313, genemark-LAQU0S20-processed-gene-0.13-mRNA-1_1&gene=genemark-LAQU0S20-processed-gene-0.13&CDS=1-3327, maker-LAQU0S09-augustus-gene-2.80-mRNA-1_1&gene=maker-LAQU0S09-augustus-gene-2.80&CDS=1-3600	YER013W, YGL120C, YKR086W, YNR011C
11	OG0000011	augustus_masked-LAQU0S11-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-0.14&CDS=1-1707, genemark-LAQU0S37-processed-gene-0.18-mRNA-1_1&gene=genemark-LAQU0S37-processed-gene-0.18&CDS=1-1764, genemark-LAQU0S50-processed-gene-0.5-mRNA-1_1&gene=genemark-LAQU0S50-processed-gene-0.5&CDS=1-1620, snap_masked-LAQU0S04-processed-gene-3.63-mRNA-1_1&gene=snap_masked-LAQU0S04-processed-gene-3.63&CDS=1-1860	YGL257C, YIL014W, YNR059W
12	OG0000012	genemark-LAQU0S05-processed-gene-2.23-mRNA-1_1&gene=genemark-LAQU0S05-processed-gene-2.23&CDS=1-1083, genemark-LAQU0S05-processed-gene-3.52-mRNA-1_1&gene=genemark-LAQU0S05-processed-gene-3.52&CDS=1-1083, genemark-LAQU0S07-processed-gene-1.52-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.52&CDS=1-1080	YDR541C, YGL039W, YGL157W, YOL151W
13	OG0000013	genemark-LAQU0S01-processed-gene-1.33-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.33&CDS=1-1659, genemark-LAQU0S12-processed-gene-0.6-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.6&CDS=1-1611, genemark-LAQU0S37-processed-gene-0.15-mRNA-1_1&gene=genemark-LAQU0S37-processed-gene-0.15&CDS=1-1521, maker-LAQU0S33-snap-gene-0.0-mRNA-1_1&gene=maker-LAQU0S33-snap-gene-0.0&CDS=1-3129	YGR260W, YJR152W
14	OG0000014	genemark-LAQU0S01-processed-gene-12.188-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-12.188&CDS=1-1539, genemark-LAQU0S06-processed-gene-4.99-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.99&CDS=1-1539, genemark-LAQU0S08-processed-gene-0.3-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.3&CDS=1-1530, maker-LAQU0S08-augustus-gene-1.52-mRNA-1_1&gene=maker-LAQU0S08-augustus-gene-1.52&CDS=1-3105	YDL138W, YDL194W
15	OG0000015	augustus_masked-LAQU0S03-processed-gene-6.153-mRNA-1_1&gene=augustus_masked-LAQU0S03-processed-gene-6.153&CDS=1-2193, genemark-LAQU0S09-processed-gene-2.203-mRNA-1_1&gene=genemark-LAQU0S09-processed-gene-2.203&CDS=1-2199, snap_masked-LAQU0S09-processed-gene-0.73-mRNA-1_1&gene=snap_masked-LAQU0S09-processed-gene-0.73&CDS=1-2043	YKL222C, YOR162C, YOR172W
16	OG0000016	genemark-LAQU0S07-processed-gene-1.59-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.59&CDS=1-1413, genemark-LAQU0S11-processed-gene-1.96-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.96&CDS=1-1566, genemark-LAQU0S20-processed-gene-0.33-mRNA-1_1&gene=genemark-LAQU0S20-processed-gene-0.33&CDS=1-1557	YHR050W, YLR034C, YOL122C
17	OG0000017	genemark-LAQU0S07-processed-gene-3.105-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.105&CDS=1-933, genemark-LAQU0S08-processed-gene-3.121-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-3.121&CDS=1-1545, genemark-LAQU0S10-processed-gene-0.98-mRNA-1_1&gene=genemark-LAQU0S10-processed-gene-0.98&CDS=1-1989	YER133W, YML016C, YPL179W
18	OG0000018	genemark-LAQU0S08-processed-gene-0.16-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.16&CDS=1-1416, genemark-LAQU0S35-processed-gene-0.15-mRNA-1_1&gene=genemark-LAQU0S35-processed-gene-0.15&CDS=1-1407	YAR071W, YBR092C, YBR093C, YHR215W
19	OG0000019	genemark-LAQU0S01-processed-gene-2.79-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-2.79&CDS=1-1941, genemark-LAQU0S14-processed-gene-0.96-mRNA-1_1&gene=genemark-LAQU0S14-processed-gene-0.96&CDS=1-1812	YBL042C, YBR021W, YIR028W
20	OG0000020	genemark-LAQU0S01-processed-gene-9.114-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-9.114&CDS=1-1167, genemark-LAQU0S06-processed-gene-2.33-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.33&CDS=1-1053, genemark-LAQU0S10-processed-gene-2.79-mRNA-1_1&gene=genemark-LAQU0S10-processed-gene-2.79&CDS=1-1044	YMR303C, YOL086C
21	OG0000021	augustus_masked-LAQU0S02-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LAQU0S02-processed-gene-0.20&CDS=1-1260, augustus_masked-LAQU0S22-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LAQU0S22-processed-gene-0.17&CDS=1-2085, augustus_masked-LAQU0S46-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LAQU0S46-processed-gene-0.3&CDS=1-1746, genemark-LAQU0S03-processed-gene-7.110-mRNA-1_1&gene=genemark-LAQU0S03-processed-gene-7.110&CDS=1-546, genemark-LAQU0S36-processed-gene-0.9-mRNA-1_1&gene=genemark-LAQU0S36-processed-gene-0.9&CDS=1-2736	
22	OG0000022	maker-LAQU0S02-snap-gene-2.3-mRNA-1_1&gene=maker-LAQU0S02-snap-gene-2.3&CDS=1-318	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
23	OG0000023	augustus_masked-LAQU0S18-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-LAQU0S18-processed-gene-1.21&CDS=1-4260, genemark-LAQU0S02-processed-gene-3.23-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.23&CDS=1-1626	YCR008W, YJL165C, YKL168C
24	OG0000024	genemark-LAQU0S02-processed-gene-6.26-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-6.26&CDS=1-4599	YBL017C, YIL173W, YJL222W, YNR065C
25	OG0000025	augustus_masked-LAQU0S13-processed-gene-1.250-mRNA-1_1&gene=augustus_masked-LAQU0S13-processed-gene-1.250&CDS=1-4368, genemark-LAQU0S03-processed-gene-2.27-mRNA-1_1&gene=genemark-LAQU0S03-processed-gene-2.27&CDS=1-3786	YDR164C, YLR144C, YNR067C
26	OG0000026	augustus_masked-LAQU0S07-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-0.16&CDS=1-654, augustus_masked-LAQU0S27-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LAQU0S27-processed-gene-0.11&CDS=1-3255, snap_masked-LAQU0S05-processed-gene-3.111-mRNA-1_1&gene=snap_masked-LAQU0S05-processed-gene-3.111&CDS=1-831, snap_masked-LAQU0S34-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LAQU0S34-processed-gene-0.8&CDS=1-459, snap_masked-LAQU0S47-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LAQU0S47-processed-gene-0.2&CDS=1-672	
27	OG0000027	genemark-LAQU0S05-processed-gene-5.14-mRNA-1_1&gene=genemark-LAQU0S05-processed-gene-5.14&CDS=1-1086, genemark-LAQU0S05-processed-gene-5.19-mRNA-1_1&gene=genemark-LAQU0S05-processed-gene-5.19&CDS=1-1077, genemark-LAQU0S18-processed-gene-1.158-mRNA-1_1&gene=genemark-LAQU0S18-processed-gene-1.158&CDS=1-948, genemark-LAQU0S30-processed-gene-0.2-mRNA-1_1&gene=genemark-LAQU0S30-processed-gene-0.2&CDS=1-930	YER185W
28	OG0000028	genemark-LAQU0S06-processed-gene-3.90-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-3.90&CDS=1-7308, snap_masked-LAQU0S05-processed-gene-5.117-mRNA-1_1&gene=snap_masked-LAQU0S05-processed-gene-5.117&CDS=1-5286	YGR032W, YLR342W, YMR306W
29	OG0000029	genemark-LAQU0S06-processed-gene-2.10-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-2.10&CDS=1-996, genemark-LAQU0S17-processed-gene-0.142-mRNA-1_1&gene=genemark-LAQU0S17-processed-gene-0.142&CDS=1-996	YGR192C, YJL052W, YJR009C
30	OG0000030	augustus_masked-LAQU0S06-processed-gene-4.175-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.175&CDS=1-2103, augustus_masked-LAQU0S24-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LAQU0S24-processed-gene-0.32&CDS=1-960, snap_masked-LAQU0S06-processed-gene-4.41-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.41&CDS=1-1002, snap_masked-LAQU0S07-processed-gene-3.11-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.11&CDS=1-1404	YIL119C
31	OG0000031	augustus_masked-LAQU0S32-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LAQU0S32-processed-gene-0.1&CDS=1-4446, genemark-LAQU0S06-processed-gene-4.100-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.100&CDS=1-4458, genemark-LAQU0S24-processed-gene-0.96-mRNA-1_1&gene=genemark-LAQU0S24-processed-gene-0.96&CDS=1-4494	YDR011W, YOR153W
32	OG0000032	augustus_masked-LAQU0S07-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-0.27&CDS=1-2808, genemark-LAQU0S12-processed-gene-2.55-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-2.55&CDS=1-1302, genemark-LAQU0S31-processed-gene-0.4-mRNA-1_1&gene=genemark-LAQU0S31-processed-gene-0.4&CDS=1-1467, genemark-LAQU0S34-processed-gene-0.12-mRNA-1_1&gene=genemark-LAQU0S34-processed-gene-0.12&CDS=1-1452	YOL119C
33	OG0000033	genemark-LAQU0S07-processed-gene-1.71-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.71&CDS=1-1821, genemark-LAQU0S17-processed-gene-1.78-mRNA-1_1&gene=genemark-LAQU0S17-processed-gene-1.78&CDS=1-1692	YDL080C, YLR044C, YLR134W
34	OG0000034	augustus_masked-LAQU0S09-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LAQU0S09-processed-gene-0.23&CDS=1-822, genemark-LAQU0S12-processed-gene-1.11-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-1.11&CDS=1-927, genemark-LAQU0S31-processed-gene-0.1-mRNA-1_1&gene=genemark-LAQU0S31-processed-gene-0.1&CDS=1-918	YDR368W, YOR120W
35	OG0000035	genemark-LAQU0S09-processed-gene-0.116-mRNA-1_1&gene=genemark-LAQU0S09-processed-gene-0.116&CDS=1-1548, genemark-LAQU0S34-processed-gene-0.10-mRNA-1_1&gene=genemark-LAQU0S34-processed-gene-0.10&CDS=1-1545	YER056C, YER060W, YER060W-A
36	OG0000036	genemark-LAQU0S09-processed-gene-2.174-mRNA-1_1&gene=genemark-LAQU0S09-processed-gene-2.174&CDS=1-2502, genemark-LAQU0S27-processed-gene-0.59-mRNA-1_1&gene=genemark-LAQU0S27-processed-gene-0.59&CDS=1-2718	YCR037C, YJL198W, YNR013C
37	OG0000037	genemark-LAQU0S13-processed-gene-0.10-mRNA-1_1&gene=genemark-LAQU0S13-processed-gene-0.10&CDS=1-1329, genemark-LAQU0S18-processed-gene-0.80-mRNA-1_1&gene=genemark-LAQU0S18-processed-gene-0.80&CDS=1-1074	YIL123W, YKR042W, YNL066W
38	OG0000038	genemark-LAQU0S17-processed-gene-0.105-mRNA-1_1&gene=genemark-LAQU0S17-processed-gene-0.105&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
39	OG0000039	maker-LAQU0S48-snap-gene-0.7-mRNA-1_1&gene=maker-LAQU0S48-snap-gene-0.7&CDS=1-549	Q0105, Q0110, Q0115, Q0120
40	OG0000040		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
41	OG0000041	genemark-LAQU0S01-processed-gene-0.77-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.77&CDS=1-2619, genemark-LAQU0S11-processed-gene-1.91-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.91&CDS=1-1992	YHR031C, YML061C
42	OG0000042	augustus_masked-LAQU0S01-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-2.10&CDS=1-1476, genemark-LAQU0S02-processed-gene-3.38-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-3.38&CDS=1-1239	YDL066W, YLR174W
43	OG0000043	genemark-LAQU0S01-processed-gene-3.86-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.86&CDS=1-390, genemark-LAQU0S27-processed-gene-0.75-mRNA-1_1&gene=genemark-LAQU0S27-processed-gene-0.75&CDS=1-390	YJL190C, YLR367W
44	OG0000044	augustus_masked-LAQU0S01-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-3.16&CDS=1-4659, genemark-LAQU0S13-processed-gene-0.6-mRNA-1_1&gene=genemark-LAQU0S13-processed-gene-0.6&CDS=1-3924	YIL126W, YOR290C
45	OG0000045	genemark-LAQU0S01-processed-gene-4.114-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-4.114&CDS=1-2460, snap_masked-LAQU0S05-processed-gene-1.117-mRNA-1_1&gene=snap_masked-LAQU0S05-processed-gene-1.117&CDS=1-2598	YMR054W, YOR270C
46	OG0000046	augustus_masked-LAQU0S01-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-4.13&CDS=1-2457, augustus_masked-LAQU0S05-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-LAQU0S05-processed-gene-2.146&CDS=1-741	YNL148C, YPL174C
47	OG0000047	genemark-LAQU0S01-processed-gene-5.11-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.11&CDS=1-1335, genemark-LAQU0S05-processed-gene-1.81-mRNA-1_1&gene=genemark-LAQU0S05-processed-gene-1.81&CDS=1-2199	YBL052C, YOR244W
48	OG0000048	augustus_masked-LAQU0S11-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-1.132&CDS=1-5391, genemark-LAQU0S01-processed-gene-5.24-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.24&CDS=1-2610	YHR027C, YOR219C
49	OG0000049	genemark-LAQU0S08-processed-gene-2.6-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-2.6&CDS=1-1854, snap_masked-LAQU0S01-processed-gene-7.112-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-7.112&CDS=1-954	YDL185W, YDL227C
50	OG0000050	augustus_masked-LAQU0S01-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-7.32&CDS=1-1866, augustus_masked-LAQU0S10-processed-gene-2.242-mRNA-1_1&gene=augustus_masked-LAQU0S10-processed-gene-2.242&CDS=1-1362	YKL046C, YMR238W
51	OG0000051	augustus_masked-LAQU0S01-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-7.42&CDS=1-2070, genemark-LAQU0S07-processed-gene-0.66-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.66&CDS=1-1179	YBR025C, YHL014C
52	OG0000052	augustus_masked-LAQU0S05-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-LAQU0S05-processed-gene-0.95&CDS=1-3477, genemark-LAQU0S01-processed-gene-8.72-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.72&CDS=1-2073	YKR001C, YLL001W
53	OG0000053	augustus_masked-LAQU0S01-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-8.23&CDS=1-2811, genemark-LAQU0S07-processed-gene-0.53-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.53&CDS=1-2442	YHL007C, YNL298W
54	OG0000054	genemark-LAQU0S01-processed-gene-9.140-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-9.140&CDS=1-2352, genemark-LAQU0S04-processed-gene-2.121-mRNA-1_1&gene=genemark-LAQU0S04-processed-gene-2.121&CDS=1-2217	YER017C, YMR089C
55	OG0000055	genemark-LAQU0S01-processed-gene-9.144-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-9.144&CDS=1-786	YFL060C, YMR095C, YNL334C
56	OG0000056	augustus_masked-LAQU0S01-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-10.38&CDS=1-3708, genemark-LAQU0S14-processed-gene-1.110-mRNA-1_1&gene=genemark-LAQU0S14-processed-gene-1.110&CDS=1-2400	YFR040W, YKR028W
57	OG0000057	genemark-LAQU0S01-processed-gene-11.123-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-11.123&CDS=1-990, genemark-LAQU0S24-processed-gene-0.113-mRNA-1_1&gene=genemark-LAQU0S24-processed-gene-0.113&CDS=1-945	YGR086C, YPL004C
58	OG0000058	genemark-LAQU0S01-processed-gene-11.117-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-11.117&CDS=1-2220, genemark-LAQU0S17-processed-gene-1.67-mRNA-1_1&gene=genemark-LAQU0S17-processed-gene-1.67&CDS=1-2307	YAL023C, YGR199W
59	OG0000059	genemark-LAQU0S01-processed-gene-12.157-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-12.157&CDS=1-4668, genemark-LAQU0S11-processed-gene-1.69-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.69&CDS=1-5586	YHR023W, YOR326W
60	OG0000060	genemark-LAQU0S01-processed-gene-12.164-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-12.164&CDS=1-1791, maker-LAQU0S25-augustus-gene-0.38-mRNA-1_1&gene=maker-LAQU0S25-augustus-gene-0.38&CDS=1-1698	YLR098C, YOR337W
61	OG0000061	augustus_masked-LAQU0S19-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-LAQU0S19-processed-gene-0.166&CDS=1-600, snap_masked-LAQU0S01-processed-gene-12.79-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-12.79&CDS=1-621	YBL043W, YJR115W
62	OG0000062	genemark-LAQU0S02-processed-gene-1.54-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-1.54&CDS=1-3129, genemark-LAQU0S02-processed-gene-8.143-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-8.143&CDS=1-3369	YBR245C, YOR304W
63	OG0000063	genemark-LAQU0S02-processed-gene-5.7-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-5.7&CDS=1-603, snap_masked-LAQU0S02-processed-gene-5.75-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-5.75&CDS=1-621	YBR264C, YKR014C
64	OG0000064	genemark-LAQU0S02-processed-gene-5.28-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-5.28&CDS=1-1479, genemark-LAQU0S06-processed-gene-4.112-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.112&CDS=1-1407	YBR263W, YLR058C
65	OG0000065	genemark-LAQU0S02-processed-gene-6.8-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-6.8&CDS=1-1380, genemark-LAQU0S14-processed-gene-1.130-mRNA-1_1&gene=genemark-LAQU0S14-processed-gene-1.130&CDS=1-921	YGL035C, YGL209W
66	OG0000066	augustus_masked-LAQU0S10-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-LAQU0S10-processed-gene-1.83&CDS=1-1515, genemark-LAQU0S02-processed-gene-8.79-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-8.79&CDS=1-1326	YDR261C, YLR300W
67	OG0000067	genemark-LAQU0S07-processed-gene-1.76-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.76&CDS=1-1500, snap_masked-LAQU0S02-processed-gene-8.14-mRNA-1_1&gene=snap_masked-LAQU0S02-processed-gene-8.14&CDS=1-786	YIR013C, YLR013W
68	OG0000068	genemark-LAQU0S02-processed-gene-8.115-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-8.115&CDS=1-1839, genemark-LAQU0S22-processed-gene-0.77-mRNA-1_1&gene=genemark-LAQU0S22-processed-gene-0.77&CDS=1-1785, genemark-LAQU0S37-processed-gene-0.19-mRNA-1_1&gene=genemark-LAQU0S37-processed-gene-0.19&CDS=1-1785	YBR298C
69	OG0000069	genemark-LAQU0S03-processed-gene-0.19-mRNA-1_1&gene=genemark-LAQU0S03-processed-gene-0.19&CDS=1-3153, snap_masked-LAQU0S03-processed-gene-1.94-mRNA-1_1&gene=snap_masked-LAQU0S03-processed-gene-1.94&CDS=1-2661	YJR061W, YKL201C
70	OG0000070	genemark-LAQU0S03-processed-gene-3.60-mRNA-1_1&gene=genemark-LAQU0S03-processed-gene-3.60&CDS=1-1794, maker-LAQU0S15-augustus-gene-1.223-mRNA-1_1&gene=maker-LAQU0S15-augustus-gene-1.223&CDS=1-3552	YBR068C, YDR046C
71	OG0000071	genemark-LAQU0S13-processed-gene-1.122-mRNA-1_1&gene=genemark-LAQU0S13-processed-gene-1.122&CDS=1-2367, maker-LAQU0S03-snap-gene-4.138-mRNA-1_1&gene=maker-LAQU0S03-snap-gene-4.138&CDS=1-2460	YBR059C, YIL095W
72	OG0000072	augustus_masked-LAQU0S28-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LAQU0S28-processed-gene-0.8&CDS=1-4500, genemark-LAQU0S03-processed-gene-6.35-mRNA-1_1&gene=genemark-LAQU0S03-processed-gene-6.35&CDS=1-4596	YDR135C, YLL015W
