	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035274_Wickerhamomyces_alni
10	OG0000010	YGL257C, YNR059W	augustus_masked-NODE_60_length_42956_cov_11.5737_ID_16798-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_60_length_42956_cov_11.5737_ID_16798-processed-gene-0.8&CDS=1-1752, genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-1.25-mRNA-1_1&gene=genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-1.25&CDS=1-2184, genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-1.58-mRNA-1_1&gene=genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-1.58&CDS=1-2298, genemark-NODE_13_length_217331_cov_11.2721_ID_5089-processed-gene-1.73-mRNA-1_1&gene=genemark-NODE_13_length_217331_cov_11.2721_ID_5089-processed-gene-1.73&CDS=1-2496, genemark-NODE_6_length_379886_cov_11.4463_ID_6363-processed-gene-2.58-mRNA-1_1&gene=genemark-NODE_6_length_379886_cov_11.4463_ID_6363-processed-gene-2.58&CDS=1-2298, maker-NODE_15_length_209627_cov_11.6964_ID_18026-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_15_length_209627_cov_11.6964_ID_18026-snap-gene-0.9&CDS=1-3651
11	OG0000011	YBL039C, YJR103W, YOR296W, YOR306C	augustus_masked-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-7.130&CDS=1-5160, augustus_masked-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-9.135&CDS=1-3222, augustus_masked-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-9.136&CDS=1-1527
12	OG0000012	YBR015C	genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-0.96&CDS=1-1773, genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-2.23-mRNA-1_1&gene=genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-2.23&CDS=1-1635, genemark-NODE_20_length_174309_cov_13.8906_ID_18056-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_20_length_174309_cov_13.8906_ID_18056-processed-gene-0.50&CDS=1-1872, genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-2.80-mRNA-1_1&gene=genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-2.80&CDS=1-1839, genemark-NODE_71_length_27140_cov_10.9187_ID_8269-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_71_length_27140_cov_10.9187_ID_8269-processed-gene-0.27&CDS=1-1869, genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-2.91-mRNA-1_1&gene=genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-2.91&CDS=1-1701
13	OG0000013	YDR011W, YNR070W, YOR153W	genemark-NODE_3_length_702318_cov_12.2707_ID_4671-processed-gene-0.124-mRNA-1_1&gene=genemark-NODE_3_length_702318_cov_12.2707_ID_4671-processed-gene-0.124&CDS=1-4425, genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-1.15-mRNA-1_1&gene=genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-1.15&CDS=1-4542, genemark-NODE_5_length_396261_cov_11.9408_ID_5026-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_5_length_396261_cov_11.9408_ID_5026-processed-gene-0.21&CDS=1-4506, maker-NODE_2_length_785837_cov_11.428_ID_4746-augustus-gene-2.154-mRNA-1_1&gene=maker-NODE_2_length_785837_cov_11.428_ID_4746-augustus-gene-2.154&CDS=1-5871
14	OG0000014	YER073W, YOR374W, YPL061W	genemark-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-3.74-mRNA-1_1&gene=genemark-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-3.74&CDS=1-1590, genemark-NODE_59_length_44017_cov_14.6585_ID_7578-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_59_length_44017_cov_14.6585_ID_7578-processed-gene-0.19&CDS=1-1539, genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-2.80-mRNA-1_1&gene=genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-2.80&CDS=1-1485, maker-NODE_6_length_379886_cov_11.4463_ID_6363-snap-gene-0.147-mRNA-1_1&gene=maker-NODE_6_length_379886_cov_11.4463_ID_6363-snap-gene-0.147&CDS=1-1935
15	OG0000015	YGL185C, YPL113C	genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-2.68-mRNA-1_1&gene=genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-2.68&CDS=1-1104, genemark-NODE_56_length_47098_cov_10.9423_ID_7532-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_56_length_47098_cov_10.9423_ID_7532-processed-gene-0.49&CDS=1-1101, genemark-NODE_61_length_42349_cov_11.2086_ID_11005-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_61_length_42349_cov_11.2086_ID_11005-processed-gene-0.74&CDS=1-1020, genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-1.15-mRNA-1_1&gene=genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-1.15&CDS=1-1101, maker-NODE_5_length_396261_cov_11.9408_ID_5026-snap-gene-1.109-mRNA-1_1&gene=maker-NODE_5_length_396261_cov_11.9408_ID_5026-snap-gene-1.109&CDS=1-2112
16	OG0000016	YKL220C, YNR060W, YOR381W	genemark-NODE_11_length_264536_cov_11.317_ID_9389-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_11_length_264536_cov_11.317_ID_9389-processed-gene-0.27&CDS=1-2169, genemark-NODE_19_length_176701_cov_11.6693_ID_5405-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_19_length_176701_cov_11.6693_ID_5405-processed-gene-0.25&CDS=1-2181, genemark-NODE_23_length_158662_cov_14.2458_ID_5533-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_23_length_158662_cov_14.2458_ID_5533-processed-gene-0.84&CDS=1-1800, genemark-NODE_30_length_126156_cov_10.7807_ID_6269-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_30_length_126156_cov_10.7807_ID_6269-processed-gene-0.65&CDS=1-2082
17	OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-1.36-mRNA-1_1&gene=genemark-NODE_12_length_247088_cov_12.6365_ID_9252-processed-gene-1.36&CDS=1-4575, maker-NODE_21_length_171380_cov_11.2393_ID_5479-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_21_length_171380_cov_11.2393_ID_5479-augustus-gene-0.2&CDS=1-4830
18	OG0000018	YBR118W, YKR084C, YPR080W	genemark-NODE_11_length_264536_cov_11.317_ID_9389-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_11_length_264536_cov_11.317_ID_9389-processed-gene-0.4&CDS=1-2241, genemark-NODE_33_length_116069_cov_10.4712_ID_6197-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_33_length_116069_cov_10.4712_ID_6197-processed-gene-0.101&CDS=1-1377, maker-NODE_4_length_618645_cov_11.4762_ID_4643-snap-gene-4.178-mRNA-1_1&gene=maker-NODE_4_length_618645_cov_11.4762_ID_4643-snap-gene-4.178&CDS=1-2187
19	OG0000019	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_42_length_87864_cov_14.6865_ID_6933-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_42_length_87864_cov_14.6865_ID_6933-processed-gene-0.141&CDS=1-1674, genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-3.59-mRNA-1_1&gene=genemark-NODE_4_length_618645_cov_11.4762_ID_4643-processed-gene-3.59&CDS=1-1770
20	OG0000020	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_35_length_109357_cov_11.5325_ID_7024-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_35_length_109357_cov_11.5325_ID_7024-processed-gene-0.61&CDS=1-1797, genemark-NODE_43_length_84042_cov_11.9828_ID_7817-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_43_length_84042_cov_11.9828_ID_7817-processed-gene-0.68&CDS=1-1809
21	OG0000021	YDL025C, YNL183C, YOR267C	genemark-NODE_11_length_264536_cov_11.317_ID_9389-processed-gene-1.167-mRNA-1_1&gene=genemark-NODE_11_length_264536_cov_11.317_ID_9389-processed-gene-1.167&CDS=1-1749, genemark-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-1.74-mRNA-1_1&gene=genemark-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-1.74&CDS=1-2316, genemark-NODE_34_length_111206_cov_14.0002_ID_6327-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_34_length_111206_cov_14.0002_ID_6327-processed-gene-0.95&CDS=1-1719
22	OG0000022	YDL037C, YIR019C	augustus_masked-NODE_197_length_733_cov_41.1258_ID_19987-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_197_length_733_cov_41.1258_ID_19987-processed-gene-0.2&CDS=1-729, augustus_masked-NODE_31_length_119511_cov_10.6209_ID_5953-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_31_length_119511_cov_10.6209_ID_5953-processed-gene-0.27&CDS=1-1893, augustus_masked-NODE_466_length_454_cov_24.0511_ID_19684-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_466_length_454_cov_24.0511_ID_19684-processed-gene-0.0&CDS=1-450, genemark-NODE_77_length_18626_cov_11.9771_ID_8815-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_77_length_18626_cov_11.9771_ID_8815-processed-gene-0.14&CDS=1-2520
23	OG0000023	YDL144C, YML111W, YMR275C	genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-1.72-mRNA-1_1&gene=genemark-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-1.72&CDS=1-1029, genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-1.24-mRNA-1_1&gene=genemark-NODE_8_length_333546_cov_11.6749_ID_5273-processed-gene-1.24&CDS=1-2388, maker-NODE_14_length_216528_cov_11.0368_ID_5637-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_14_length_216528_cov_11.0368_ID_5637-augustus-gene-1.3&CDS=1-3396
24	OG0000024	YDR242W, YKL094W	augustus_masked-NODE_5_length_396261_cov_11.9408_ID_5026-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-NODE_5_length_396261_cov_11.9408_ID_5026-processed-gene-2.49&CDS=1-2571, genemark-NODE_14_length_216528_cov_11.0368_ID_5637-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_14_length_216528_cov_11.0368_ID_5637-processed-gene-1.71&CDS=1-1620, genemark-NODE_3_length_702318_cov_12.2707_ID_4671-processed-gene-3.2-mRNA-1_1&gene=genemark-NODE_3_length_702318_cov_12.2707_ID_4671-processed-gene-3.2&CDS=1-1716, maker-NODE_47_length_71546_cov_14.1678_ID_8848-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_47_length_71546_cov_14.1678_ID_8848-augustus-gene-0.1&CDS=1-3261
25	OG0000025	YGL226W, YIL111W, YNL052W	genemark-NODE_20_length_174309_cov_13.8906_ID_18056-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_20_length_174309_cov_13.8906_ID_18056-processed-gene-0.21&CDS=1-462, genemark-NODE_39_length_96090_cov_11.7198_ID_6412-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_39_length_96090_cov_11.7198_ID_6412-processed-gene-0.95&CDS=1-351, genemark-NODE_5_length_396261_cov_11.9408_ID_5026-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_5_length_396261_cov_11.9408_ID_5026-processed-gene-1.45&CDS=1-795
26	OG0000026	YHR032W	augustus_masked-NODE_14_length_216528_cov_11.0368_ID_5637-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NODE_14_length_216528_cov_11.0368_ID_5637-processed-gene-1.9&CDS=1-1446, augustus_masked-NODE_5_length_396261_cov_11.9408_ID_5026-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_5_length_396261_cov_11.9408_ID_5026-processed-gene-0.94&CDS=1-2817, genemark-NODE_28_length_138905_cov_11.8726_ID_20475-processed-gene-0.167-mRNA-1_1&gene=genemark-NODE_28_length_138905_cov_11.8726_ID_20475-processed-gene-0.167&CDS=1-1638, genemark-NODE_42_length_87864_cov_14.6865_ID_6933-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_42_length_87864_cov_14.6865_ID_6933-processed-gene-0.59&CDS=1-1452, genemark-NODE_51_length_63240_cov_12.189_ID_7276-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_51_length_63240_cov_12.189_ID_7276-processed-gene-0.14&CDS=1-1716
27	OG0000027	YHR050W, YLR034C, YOL122C	genemark-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-4.104-mRNA-1_1&gene=genemark-NODE_2_length_785837_cov_11.428_ID_4746-processed-gene-4.104&CDS=1-1470, genemark-NODE_30_length_126156_cov_10.7807_ID_6269-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_30_length_126156_cov_10.7807_ID_6269-processed-gene-0.23&CDS=1-1704, genemark-NODE_51_length_63240_cov_12.189_ID_7276-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_51_length_63240_cov_12.189_ID_7276-processed-gene-0.6&CDS=1-1686
28	OG0000028	YJR152W	genemark-NODE_11_length_264536_cov_11.317_ID_9389-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_11_length_264536_cov_11.317_ID_9389-processed-gene-0.14&CDS=1-1542, genemark-NODE_23_length_158662_cov_14.2458_ID_5533-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_23_length_158662_cov_14.2458_ID_5533-processed-gene-0.46&CDS=1-1560, genemark-NODE_34_length_111206_cov_14.0002_ID_6327-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_34_length_111206_cov_14.0002_ID_6327-processed-gene-0.92&CDS=1-1560, genemark-NODE_46_length_71650_cov_11.7922_ID_7958-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_46_length_71650_cov_11.7922_ID_7958-processed-gene-0.74&CDS=1-1575, genemark-NODE_61_length_42349_cov_11.2086_ID_11005-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_61_length_42349_cov_11.2086_ID_11005-processed-gene-0.59&CDS=1-1554
29	OG0000029	YMR008C, YNL012W, YOL011W	genemark-NODE_31_length_119511_cov_10.6209_ID_5953-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_31_length_119511_cov_10.6209_ID_5953-processed-gene-0.114&CDS=1-1959, genemark-NODE_67_length_33304_cov_13.1648_ID_11829-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_67_length_33304_cov_13.1648_ID_11829-processed-gene-0.30&CDS=1-1947, snap_masked-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NODE_1_length_1016687_cov_11.3563_ID_17831-processed-gene-4.48&CDS=1-2094
