	OrthologID	Saccharomyces_cerevisiae	Spathaspora_girioi
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-LQMS01002376.1-processed-gene-0.123-mRNA-1_1&gene=genemark-LQMS01002376.1-processed-gene-0.123&CDS=1-1359, maker-LQMS01002335.1-augustus-gene-0.8-mRNA-1_1&gene=maker-LQMS01002335.1-augustus-gene-0.8&CDS=1-1605, maker-LQMS01002355.1-augustus-gene-0.162-mRNA-1_1&gene=maker-LQMS01002355.1-augustus-gene-0.162&CDS=1-2643
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	genemark-LQMS01002315.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMS01002315.1-processed-gene-0.2&CDS=1-4572, genemark-LQMS01002373.1-processed-gene-0.106-mRNA-1_1&gene=genemark-LQMS01002373.1-processed-gene-0.106&CDS=1-4299, genemark-LQMS01002375.1-processed-gene-0.125-mRNA-1_1&gene=genemark-LQMS01002375.1-processed-gene-0.125&CDS=1-5598, snap_masked-LQMS01002314.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-LQMS01002314.1-processed-gene-0.25&CDS=1-4581
12	OG0000012	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-LQMS01001493.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMS01001493.1-processed-gene-0.0&CDS=1-627, genemark-LQMS01002329.1-processed-gene-0.50-mRNA-1_1&gene=genemark-LQMS01002329.1-processed-gene-0.50&CDS=1-1851, genemark-LQMS01002332.1-processed-gene-0.64-mRNA-1_1&gene=genemark-LQMS01002332.1-processed-gene-0.64&CDS=1-1794, snap_masked-LQMS01002044.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQMS01002044.1-processed-gene-0.0&CDS=1-1173
13	OG0000013	YJR061W, YKL201C	augustus_masked-LQMS01002340.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LQMS01002340.1-processed-gene-0.32&CDS=1-2268, genemark-LQMS01002123.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQMS01002123.1-processed-gene-0.3&CDS=1-2274, genemark-LQMS01002309.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LQMS01002309.1-processed-gene-0.49&CDS=1-2937, genemark-LQMS01002340.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LQMS01002340.1-processed-gene-0.53&CDS=1-2442, maker-LQMS01002378.1-snap-gene-0.5-mRNA-1_1&gene=maker-LQMS01002378.1-snap-gene-0.5&CDS=1-4869, snap_masked-LQMS01002329.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-LQMS01002329.1-processed-gene-0.21&CDS=1-1731
14	OG0000014		augustus_masked-LQMS01002345.1-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-LQMS01002345.1-processed-gene-0.126&CDS=1-1974, genemark-LQMS01002271.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LQMS01002271.1-processed-gene-0.49&CDS=1-2085, genemark-LQMS01002325.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQMS01002325.1-processed-gene-0.6&CDS=1-2148, genemark-LQMS01002338.1-processed-gene-0.43-mRNA-1_1&gene=genemark-LQMS01002338.1-processed-gene-0.43&CDS=1-2163, genemark-LQMS01002350.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQMS01002350.1-processed-gene-0.37&CDS=1-2112, genemark-LQMS01002370.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQMS01002370.1-processed-gene-0.45&CDS=1-2109, genemark-LQMS01002379.1-processed-gene-0.94-mRNA-1_1&gene=genemark-LQMS01002379.1-processed-gene-0.94&CDS=1-2115, maker-LQMS01002353.1-snap-gene-0.191-mRNA-1_1&gene=maker-LQMS01002353.1-snap-gene-0.191&CDS=1-4155
15	OG0000015	YBR067C, YDR542W, YER011W, YIL011W, YOR009W, YOR010C	genemark-LQMS01002372.1-processed-gene-0.109-mRNA-1_1&gene=genemark-LQMS01002372.1-processed-gene-0.109&CDS=1-669
16	OG0000016	YDR144C, YLR120C, YLR121C	augustus_masked-LQMS01002223.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMS01002223.1-processed-gene-0.1&CDS=1-4101, genemark-LQMS01002218.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQMS01002218.1-processed-gene-0.10&CDS=1-1683, genemark-LQMS01002341.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LQMS01002341.1-processed-gene-0.48&CDS=1-1377, maker-LQMS01002244.1-snap-gene-0.1-mRNA-1_1&gene=maker-LQMS01002244.1-snap-gene-0.1&CDS=1-3261
17	OG0000017	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-LQMS01002048.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01002048.1-processed-gene-0.2&CDS=1-2412, genemark-LQMS01001940.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMS01001940.1-processed-gene-0.1&CDS=1-1638, snap_masked-LQMS01002100.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMS01002100.1-processed-gene-0.1&CDS=1-3471
18	OG0000018	YLR256W	genemark-LQMS01002294.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQMS01002294.1-processed-gene-0.34&CDS=1-3024, genemark-LQMS01002307.1-processed-gene-0.73-mRNA-1_1&gene=genemark-LQMS01002307.1-processed-gene-0.73&CDS=1-2961, genemark-LQMS01002348.1-processed-gene-0.52-mRNA-1_1&gene=genemark-LQMS01002348.1-processed-gene-0.52&CDS=1-2358, maker-LQMS01002279.1-snap-gene-0.60-mRNA-1_1&gene=maker-LQMS01002279.1-snap-gene-0.60&CDS=1-2736, maker-LQMS01002376.1-snap-gene-0.234-mRNA-1_1&gene=maker-LQMS01002376.1-snap-gene-0.234&CDS=1-6549, snap_masked-LQMS01002294.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-LQMS01002294.1-processed-gene-0.9&CDS=1-3171
19	OG0000019	Q0045, Q0065, Q0070	maker-LQMS01000871.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01000871.1-snap-gene-0.0&CDS=1-159, maker-LQMS01001086.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001086.1-snap-gene-0.0&CDS=1-258, maker-LQMS01001114.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001114.1-snap-gene-0.0&CDS=1-258, maker-LQMS01001121.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQMS01001121.1-snap-gene-0.0&CDS=1-258
20	OG0000020	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-LQMS01002242.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQMS01002242.1-processed-gene-0.9&CDS=1-4062, genemark-LQMS01002374.1-processed-gene-0.64-mRNA-1_1&gene=genemark-LQMS01002374.1-processed-gene-0.64&CDS=1-1593
21	OG0000021	YCR102C, YLR460C, YNL134C	genemark-LQMS01002363.1-processed-gene-0.107-mRNA-1_1&gene=genemark-LQMS01002363.1-processed-gene-0.107&CDS=1-1080, genemark-LQMS01002379.1-processed-gene-1.200-mRNA-1_1&gene=genemark-LQMS01002379.1-processed-gene-1.200&CDS=1-1098, maker-LQMS01002373.1-snap-gene-0.2-mRNA-1_1&gene=maker-LQMS01002373.1-snap-gene-0.2&CDS=1-2070
22	OG0000022	YDL138W	genemark-LQMS01002200.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQMS01002200.1-processed-gene-0.10&CDS=1-2088, genemark-LQMS01002272.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQMS01002272.1-processed-gene-0.10&CDS=1-1596, genemark-LQMS01002272.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQMS01002272.1-processed-gene-0.9&CDS=1-1575, genemark-LQMS01002339.1-processed-gene-0.78-mRNA-1_1&gene=genemark-LQMS01002339.1-processed-gene-0.78&CDS=1-1572, genemark-LQMS01002376.1-processed-gene-0.88-mRNA-1_1&gene=genemark-LQMS01002376.1-processed-gene-0.88&CDS=1-1569
23	OG0000023	YDL246C, YER090W, YJR159W, YLR070C	maker-LQMS01002335.1-augustus-gene-0.7-mRNA-1_1&gene=maker-LQMS01002335.1-augustus-gene-0.7&CDS=1-6543, maker-LQMS01002342.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LQMS01002342.1-augustus-gene-0.0&CDS=1-1575
24	OG0000024	YDR072C	genemark-LQMS01002080.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQMS01002080.1-processed-gene-0.5&CDS=1-1128, genemark-LQMS01002203.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQMS01002203.1-processed-gene-0.19&CDS=1-1134, genemark-LQMS01002250.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQMS01002250.1-processed-gene-0.17&CDS=1-1116, genemark-LQMS01002282.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQMS01002282.1-processed-gene-0.17&CDS=1-1053, snap_masked-LQMS01002329.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LQMS01002329.1-processed-gene-0.22&CDS=1-1374
25	OG0000025	YDR326C, YFL042C, YHR080C, YLR072W	genemark-LQMS01002257.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LQMS01002257.1-processed-gene-0.34&CDS=1-3000, genemark-LQMS01002367.1-processed-gene-0.93-mRNA-1_1&gene=genemark-LQMS01002367.1-processed-gene-0.93&CDS=1-2478
26	OG0000026	YER054C, YIL045W, YLR273C, YOR178C	genemark-LQMS01002333.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQMS01002333.1-processed-gene-0.32&CDS=1-1803, genemark-LQMS01002358.1-processed-gene-0.112-mRNA-1_1&gene=genemark-LQMS01002358.1-processed-gene-0.112&CDS=1-1977
27	OG0000027	YGR028W	augustus_masked-LQMS01002166.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMS01002166.1-processed-gene-0.4&CDS=1-1158, augustus_masked-LQMS01002341.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LQMS01002341.1-processed-gene-0.14&CDS=1-2151, genemark-LQMS01002368.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQMS01002368.1-processed-gene-0.24&CDS=1-1284, genemark-LQMS01002371.1-processed-gene-0.63-mRNA-1_1&gene=genemark-LQMS01002371.1-processed-gene-0.63&CDS=1-1191, genemark-LQMS01002373.1-processed-gene-0.154-mRNA-1_1&gene=genemark-LQMS01002373.1-processed-gene-0.154&CDS=1-1122
28	OG0000028	YGR281W, YKR104W	augustus_masked-LQMS01001709.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMS01001709.1-processed-gene-0.2&CDS=1-792, genemark-LQMS01002376.1-processed-gene-0.132-mRNA-1_1&gene=genemark-LQMS01002376.1-processed-gene-0.132&CDS=1-4218, genemark-LQMS01002377.1-processed-gene-1.0-mRNA-1_1&gene=genemark-LQMS01002377.1-processed-gene-1.0&CDS=1-4335, snap_masked-LQMS01002377.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-LQMS01002377.1-processed-gene-1.98&CDS=1-4281
29	OG0000029	YIL123W, YJL116C, YKR042W, YNL066W	genemark-LQMS01002367.1-processed-gene-0.61-mRNA-1_1&gene=genemark-LQMS01002367.1-processed-gene-0.61&CDS=1-1146, genemark-LQMS01002375.1-processed-gene-0.117-mRNA-1_1&gene=genemark-LQMS01002375.1-processed-gene-0.117&CDS=1-1110
30	OG0000030	YIL130W	genemark-LQMS01002300.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQMS01002300.1-processed-gene-0.13&CDS=1-2478, genemark-LQMS01002354.1-processed-gene-0.39-mRNA-1_1&gene=genemark-LQMS01002354.1-processed-gene-0.39&CDS=1-2976, genemark-LQMS01002366.1-processed-gene-0.144-mRNA-1_1&gene=genemark-LQMS01002366.1-processed-gene-0.144&CDS=1-2601, genemark-LQMS01002366.1-processed-gene-0.145-mRNA-1_1&gene=genemark-LQMS01002366.1-processed-gene-0.145&CDS=1-2235, maker-LQMS01002353.1-snap-gene-0.190-mRNA-1_1&gene=maker-LQMS01002353.1-snap-gene-0.190&CDS=1-1965
