	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035641_Yamadazyma_scolyti
10	OG0000010	YJR061W, YKL201C	augustus_masked-NODE_35_length_67789_cov_27.6849_ID_4142-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_35_length_67789_cov_27.6849_ID_4142-processed-gene-0.16&CDS=1-2529, augustus_masked-NODE_3_length_891353_cov_30.1887_ID_1825-processed-gene-7.279-mRNA-1_1&gene=augustus_masked-NODE_3_length_891353_cov_30.1887_ID_1825-processed-gene-7.279&CDS=1-2490, maker-NODE_5_length_662747_cov_30.4918_ID_1752-snap-gene-4.10-mRNA-1_1&gene=maker-NODE_5_length_662747_cov_30.4918_ID_1752-snap-gene-4.10&CDS=1-4935, snap_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-3.82-mRNA-1_1&gene=snap_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-3.82&CDS=1-2244, snap_masked-NODE_20_length_149750_cov_40.9465_ID_2229-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_20_length_149750_cov_40.9465_ID_2229-processed-gene-0.23&CDS=1-1836, snap_masked-NODE_35_length_67789_cov_27.6849_ID_4142-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_35_length_67789_cov_27.6849_ID_4142-processed-gene-0.48&CDS=1-2691
11	OG0000011	YBR008C	augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-2.148&CDS=1-1551, augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-0.44&CDS=1-1635, genemark-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-4.89-mRNA-1_1&gene=genemark-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-4.89&CDS=1-1536, maker-NODE_8_length_401942_cov_32.945_ID_2553-augustus-gene-1.59-mRNA-1_1&gene=maker-NODE_8_length_401942_cov_32.945_ID_2553-augustus-gene-1.59&CDS=1-2040, snap_masked-NODE_25_length_107794_cov_42.2009_ID_3383-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_25_length_107794_cov_42.2009_ID_3383-processed-gene-0.29&CDS=1-1521, snap_masked-NODE_34_length_69846_cov_53.4932_ID_3662-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_34_length_69846_cov_53.4932_ID_3662-processed-gene-0.74&CDS=1-1599
12	OG0000012	YBR017C, YBR207W, YER145C	augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-5.78&CDS=1-1116, augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-1.78&CDS=1-1167, augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-0.91&CDS=1-6180, augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-NODE_8_length_401942_cov_32.945_ID_2553-processed-gene-2.88&CDS=1-1203
13	OG0000013	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	augustus_masked-NODE_20_length_149750_cov_40.9465_ID_2229-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_20_length_149750_cov_40.9465_ID_2229-processed-gene-0.102&CDS=1-501, maker-NODE_4_length_830719_cov_29.352_ID_3346-augustus-gene-0.44-mRNA-1_1&gene=maker-NODE_4_length_830719_cov_29.352_ID_3346-augustus-gene-0.44&CDS=1-1776
14	OG0000014	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-4.22&CDS=1-1662, genemark-NODE_53_length_21845_cov_61.8478_ID_9255-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_53_length_21845_cov_61.8478_ID_9255-processed-gene-0.1&CDS=1-1737, snap_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-2.49-mRNA-1_1&gene=snap_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-2.49&CDS=1-1629
15	OG0000015	YDR320C-A, YKR020W	augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-NODE_1_length_1124597_cov_29.4403_ID_2943-processed-gene-7.70&CDS=1-894, augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-1.121&CDS=1-2097, augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-NODE_2_length_1067750_cov_25.7923_ID_1649-processed-gene-6.77&CDS=1-906, augustus_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-4.16&CDS=1-900, genemark-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_10_length_341731_cov_26.5013_ID_5740-processed-gene-1.9&CDS=1-1695
16	OG0000016	YEL013W, YOL119C	augustus_masked-NODE_14_length_232044_cov_26.2844_ID_2850-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NODE_14_length_232044_cov_26.2844_ID_2850-processed-gene-1.10&CDS=1-1353, augustus_masked-NODE_29_length_87390_cov_28.3536_ID_3068-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_29_length_87390_cov_28.3536_ID_3068-processed-gene-0.93&CDS=1-1410, augustus_masked-NODE_3_length_891353_cov_30.1887_ID_1825-processed-gene-7.333-mRNA-1_1&gene=augustus_masked-NODE_3_length_891353_cov_30.1887_ID_1825-processed-gene-7.333&CDS=1-1314, maker-NODE_5_length_662747_cov_30.4918_ID_1752-augustus-gene-4.3-mRNA-1_1&gene=maker-NODE_5_length_662747_cov_30.4918_ID_1752-augustus-gene-4.3&CDS=1-2853, snap_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-3.115-mRNA-1_1&gene=snap_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-3.115&CDS=1-1650
17	OG0000017	YGR281W	augustus_masked-NODE_15_length_231884_cov_38.0692_ID_3232-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_15_length_231884_cov_38.0692_ID_3232-processed-gene-1.101&CDS=1-4212, augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.52&CDS=1-4098, augustus_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-5.159-mRNA-1_1&gene=augustus_masked-NODE_5_length_662747_cov_30.4918_ID_1752-processed-gene-5.159&CDS=1-4068, augustus_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-NODE_6_length_638402_cov_25.8398_ID_2084-processed-gene-5.89&CDS=1-3816, genemark-NODE_34_length_69846_cov_53.4932_ID_3662-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_34_length_69846_cov_53.4932_ID_3662-processed-gene-0.19&CDS=1-4065, snap_masked-NODE_18_length_180892_cov_30.0919_ID_5399-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_18_length_180892_cov_30.0919_ID_5399-processed-gene-0.1&CDS=1-4290
18	OG0000018	YOR153W	augustus_masked-NODE_24_length_108804_cov_29.3414_ID_3852-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_24_length_108804_cov_29.3414_ID_3852-processed-gene-0.84&CDS=1-4476, augustus_masked-NODE_3_length_891353_cov_30.1887_ID_1825-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-NODE_3_length_891353_cov_30.1887_ID_1825-processed-gene-5.103&CDS=1-4413, genemark-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_11_length_331018_cov_25.7707_ID_1971-processed-gene-0.121&CDS=1-4500, maker-NODE_4_length_830719_cov_29.352_ID_3346-augustus-gene-3.1-mRNA-1_1&gene=maker-NODE_4_length_830719_cov_29.352_ID_3346-augustus-gene-3.1&CDS=1-5037, maker-NODE_6_length_638402_cov_25.8398_ID_2084-augustus-gene-5.212-mRNA-1_1&gene=maker-NODE_6_length_638402_cov_25.8398_ID_2084-augustus-gene-5.212&CDS=1-7344, snap_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-2.13-mRNA-1_1&gene=snap_masked-NODE_7_length_412794_cov_29.0303_ID_3442-processed-gene-2.13&CDS=1-4515
19	OG0000019	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
20	OG0000020	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_4_length_830719_cov_29.352_ID_3346-processed-gene-0.73&CDS=1-1470, genemark-NODE_13_length_238975_cov_27.1687_ID_2188-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_13_length_238975_cov_27.1687_ID_2188-processed-gene-0.117&CDS=1-2235
