	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035633_Candida_hispaniensis
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-8.138-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-8.138&CDS=1-1701
11	OG0000011	YBR014C, YCL035C, YDL010W, YDR513W	genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-16.138-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-16.138&CDS=1-312, genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-0.132&CDS=1-648
12	OG0000012	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W	genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-4.45-mRNA-1_1&gene=genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-4.45&CDS=1-1824
13	OG0000013	YCR073W-A, YGR248W, YHR163W, YNR034W	genemark-NODE_13_length_117835_cov_86.377_ID_25-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_13_length_117835_cov_86.377_ID_25-processed-gene-0.45&CDS=1-861, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-17.112-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-17.112&CDS=1-744
14	OG0000014	YDL048C, YDR463W, YHR006W, YLR375W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.47-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.47&CDS=1-1119, snap_masked-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.69-mRNA-1_1&gene=snap_masked-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.69&CDS=1-1263
15	OG0000015	YER099C, YHL011C, YOL061W	genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-0.109&CDS=1-957, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.44-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.44&CDS=1-1074, genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-3.60-mRNA-1_1&gene=genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-3.60&CDS=1-987
16	OG0000016	YGL120C, YKR086W, YNR011C	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-14.122-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-14.122&CDS=1-3042, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-9.147-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-9.147&CDS=1-3033, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-3.139-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-3.139&CDS=1-2193
17	OG0000017	YGL203C, YMR297W	genemark-NODE_14_length_51995_cov_100.988_ID_27-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_14_length_51995_cov_100.988_ID_27-processed-gene-0.63&CDS=1-1464, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.39-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.39&CDS=1-1605, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-22.139-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-22.139&CDS=1-1359, genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-3.86-mRNA-1_1&gene=genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-3.86&CDS=1-1767
18	OG0000018	YGR260W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-10.50-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-10.50&CDS=1-1554, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-16.114-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-16.114&CDS=1-1491, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-16.139-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-16.139&CDS=1-1533, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-18.135-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-18.135&CDS=1-1422, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-8.41-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-8.41&CDS=1-1509
19	OG0000019	YIL118W, YNL090W, YPR165W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-9.117-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-9.117&CDS=1-597, maker-NODE_1_length_2307085_cov_87.2863_ID_1-augustus-gene-7.0-mRNA-1_1&gene=maker-NODE_1_length_2307085_cov_87.2863_ID_1-augustus-gene-7.0&CDS=1-552, snap_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-6.130-mRNA-1_1&gene=snap_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-6.130&CDS=1-624
20	OG0000020	YMR169C, YMR170C, YOR374W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-21.11-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-21.11&CDS=1-1494, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-5.140-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-5.140&CDS=1-1488, genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-3.80-mRNA-1_1&gene=genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-3.80&CDS=1-1539
21	OG0000021	YMR303C, YOL086C	genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-3.39-mRNA-1_1&gene=genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-3.39&CDS=1-1053, genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.19-mRNA-1_1&gene=genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.19&CDS=1-1053, genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-1.114-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-1.114&CDS=1-1050, genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-3.23-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-3.23&CDS=1-1059
22	OG0000022	YAL005C, YJL034W	genemark-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-4.115-mRNA-1_1&gene=genemark-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-4.115&CDS=1-1998, genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-2.129-mRNA-1_1&gene=genemark-NODE_7_length_507417_cov_87.0109_ID_13-processed-gene-2.129&CDS=1-1941, genemark-NODE_8_length_489089_cov_85.1595_ID_15-processed-gene-3.94-mRNA-1_1&gene=genemark-NODE_8_length_489089_cov_85.1595_ID_15-processed-gene-3.94&CDS=1-1956
23	OG0000023	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-15.39-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-15.39&CDS=1-2463
24	OG0000024	YBR038W, YNL192W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-19.106-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-19.106&CDS=1-3525, genemark-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-5.59-mRNA-1_1&gene=genemark-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-5.59&CDS=1-2913, genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-2.158-mRNA-1_1&gene=genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-2.158&CDS=1-2982
25	OG0000025	YBR089C-A, YPR052C, YPR065W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-16.143-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-16.143&CDS=1-309, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-2.26-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-2.26&CDS=1-2088
26	OG0000026	YBR118W, YKR084C, YPR080W	augustus_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-14.76-mRNA-1_1&gene=augustus_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-14.76&CDS=1-2019, genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-1.114-mRNA-1_1&gene=genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-1.114&CDS=1-1377
27	OG0000027	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-19.13-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-19.13&CDS=1-1551
28	OG0000028	YCR010C, YNR002C	genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-12.47-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-12.47&CDS=1-792, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-19.7-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-19.7&CDS=1-801, genemark-NODE_8_length_489089_cov_85.1595_ID_15-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_8_length_489089_cov_85.1595_ID_15-processed-gene-0.132&CDS=1-780
29	OG0000029	YCR065W, YIL131C, YNL068C	genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-6.17-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-6.17&CDS=1-2148, snap_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-1.15&CDS=1-2214
30	OG0000030	YDL137W, YDL192W, YOR094W	augustus_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-16.104-mRNA-1_1&gene=augustus_masked-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-16.104&CDS=1-546, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-11.23-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-11.23&CDS=1-543
31	OG0000031	YDR021W, YJL138C, YKR059W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-11.12-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-11.12&CDS=1-1191, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.169-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-9.169&CDS=1-1188
32	OG0000032	YDR144C, YLR120C, YLR121C	genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-2.117-mRNA-1_1&gene=genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-2.117&CDS=1-1446, genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-0.97&CDS=1-1344
33	OG0000033	YDR247W, YHR082C, YPL026C	genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.75-mRNA-1_1&gene=genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.75&CDS=1-1338, genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-1.122-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-1.122&CDS=1-1989
34	OG0000034	YDR368W, YOR120W	genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-0.133&CDS=1-927, genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.49-mRNA-1_1&gene=genemark-NODE_12_length_275550_cov_92.8485_ID_23-processed-gene-1.49&CDS=1-930, genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-17.149-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-17.149&CDS=1-930
35	OG0000035	YDR385W, YKL173W, YOR133W	augustus_masked-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-7.166-mRNA-1_1&gene=augustus_masked-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-7.166&CDS=1-3720, snap_masked-NODE_10_length_457428_cov_88.5336_ID_19-processed-gene-3.208-mRNA-1_1&gene=snap_masked-NODE_10_length_457428_cov_88.5336_ID_19-processed-gene-3.208&CDS=1-2526
36	OG0000036	YDR523C, YHR102W	genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-6.131-mRNA-1_1&gene=genemark-NODE_2_length_2227012_cov_87.1037_ID_3-processed-gene-6.131&CDS=1-1611, genemark-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-5.43-mRNA-1_1&gene=genemark-NODE_5_length_698713_cov_87.6757_ID_9-processed-gene-5.43&CDS=1-2643, genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-3.6-mRNA-1_1&gene=genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-3.6&CDS=1-1650
37	OG0000037	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-13.138-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-13.138&CDS=1-1002
38	OG0000038	YEL007W, YHR177W	genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-16.137-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-16.137&CDS=1-1383, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-22.113-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-22.113&CDS=1-969, genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-1.117-mRNA-1_1&gene=genemark-NODE_4_length_720416_cov_129.062_ID_7-processed-gene-1.117&CDS=1-1299
39	OG0000039	YFL037W, YLR212C	genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-2.162-mRNA-1_1&gene=genemark-NODE_11_length_435260_cov_89.7022_ID_21-processed-gene-2.162&CDS=1-1332, genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-5.163-mRNA-1_1&gene=genemark-NODE_3_length_1168197_cov_88.2392_ID_5-processed-gene-5.163&CDS=1-1362, genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-0.4&CDS=1-1332
40	OG0000040	YGR070W, YLR371W, YLR425W	augustus_masked-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-0.141&CDS=1-4251, genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.49-mRNA-1_1&gene=genemark-NODE_1_length_2307085_cov_87.2863_ID_1-processed-gene-20.49&CDS=1-4221
41	OG0000041	YGR136W, YJL020C, YPR154W	genemark-NODE_8_length_489089_cov_85.1595_ID_15-processed-gene-3.19-mRNA-1_1&gene=genemark-NODE_8_length_489089_cov_85.1595_ID_15-processed-gene-3.19&CDS=1-3639, maker-NODE_1_length_2307085_cov_87.2863_ID_1-snap-gene-21.160-mRNA-1_1&gene=maker-NODE_1_length_2307085_cov_87.2863_ID_1-snap-gene-21.160&CDS=1-756
42	OG0000042	YGR152C, YNL098C, YOR101W	genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-4.70-mRNA-1_1&gene=genemark-NODE_6_length_558064_cov_88.2895_ID_11-processed-gene-4.70&CDS=1-714, genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-2.145-mRNA-1_1&gene=genemark-NODE_9_length_487716_cov_87.0303_ID_17-processed-gene-2.145&CDS=1-726
