	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026145_Ambrosiozyma_vanderkliftii
10	OG0000010	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_26-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.155&CDS=1-735, augustus_masked-flattened_line_8-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.113&CDS=1-1860, augustus_masked-flattened_line_86-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.105&CDS=1-1932, maker-flattened_line_38-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.5&CDS=1-1398, snap_masked-flattened_line_8-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.67&CDS=1-1557
11	OG0000011	YBR132C	augustus_masked-flattened_line_12-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.58&CDS=1-1689, augustus_masked-flattened_line_144-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_144-processed-gene-0.101&CDS=1-1869, augustus_masked-flattened_line_170-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.57&CDS=1-1971, augustus_masked-flattened_line_2-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.16&CDS=1-1794, augustus_masked-flattened_line_288-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_288-processed-gene-0.12&CDS=1-1731, augustus_masked-flattened_line_64-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.15&CDS=1-1716
12	OG0000012	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	augustus_masked-flattened_line_48-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.35&CDS=1-1869
13	OG0000013	YCL074W	augustus_masked-flattened_line_146-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.58&CDS=1-573, augustus_masked-flattened_line_1629-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1629-processed-gene-0.0&CDS=1-378, augustus_masked-flattened_line_488-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_488-processed-gene-0.0&CDS=1-147, augustus_masked-flattened_line_6077-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_6077-processed-gene-0.1&CDS=1-207, genemark-flattened_line_349-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_349-processed-gene-0.2&CDS=1-1974, genemark-flattened_line_397-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_397-processed-gene-0.2&CDS=1-1665
14	OG0000014	YCR010C, YNR002C	augustus_masked-flattened_line_237-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_237-processed-gene-0.39&CDS=1-618, augustus_masked-flattened_line_26-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.190&CDS=1-843, augustus_masked-flattened_line_433-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_433-processed-gene-0.0&CDS=1-447, augustus_masked-flattened_line_433-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_433-processed-gene-0.1&CDS=1-552, genemark-flattened_line_472-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_472-processed-gene-0.1&CDS=1-435
15	OG0000015	YKL220C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_138-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.56&CDS=1-2211, augustus_masked-flattened_line_284-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_284-processed-gene-0.5&CDS=1-2151, augustus_masked-flattened_line_8-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.111&CDS=1-1350
16	OG0000016	YKR039W	augustus_masked-flattened_line_156-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_156-processed-gene-0.70&CDS=1-1752, augustus_masked-flattened_line_162-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_162-processed-gene-0.11&CDS=1-1794, augustus_masked-flattened_line_178-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_178-processed-gene-0.25&CDS=1-1893, augustus_masked-flattened_line_184-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.17&CDS=1-1737, augustus_masked-flattened_line_241-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_241-processed-gene-0.9&CDS=1-1767, augustus_masked-flattened_line_36-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.125&CDS=1-1761
17	OG0000017	YMR169C, YMR170C, YOR374W	augustus_masked-flattened_line_38-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.191&CDS=1-1494, augustus_masked-flattened_line_46-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.88&CDS=1-1560, augustus_masked-flattened_line_74-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.137&CDS=1-1506, augustus_masked-flattened_line_8-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.104&CDS=1-1491
18	OG0000018	Q0085	augustus_masked-flattened_line_2833-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_2833-processed-gene-0.2&CDS=1-204, augustus_masked-flattened_line_4841-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4841-processed-gene-0.1&CDS=1-204, augustus_masked-flattened_line_4861-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_4861-processed-gene-0.1&CDS=1-198, augustus_masked-flattened_line_4917-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_4917-processed-gene-0.0&CDS=1-204, maker-flattened_line_931-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_931-snap-gene-0.2&CDS=1-189, maker-flattened_line_935-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_935-snap-gene-0.0&CDS=1-309
19	OG0000019	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
20	OG0000020	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_12-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.52&CDS=1-1443
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_233-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_233-processed-gene-0.28&CDS=1-4623, augustus_masked-flattened_line_66-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.100&CDS=1-4605
22	OG0000022	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	augustus_masked-flattened_line_78-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.35&CDS=1-819
23	OG0000023	YDL045C, YGR169C, YOL066C	augustus_masked-flattened_line_52-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.140&CDS=1-1686, genemark-flattened_line_182-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_182-processed-gene-0.35&CDS=1-1071, maker-flattened_line_52-augustus-gene-0.166-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.166&CDS=1-2025
24	OG0000024	YDL216C, YFR004W, YLR073C	augustus_masked-flattened_line_317-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_317-processed-gene-0.12&CDS=1-1455, augustus_masked-flattened_line_76-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.121&CDS=1-921, augustus_masked-flattened_line_88-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.91&CDS=1-1512
25	OG0000025	YDR011W, YNR070W, YPL058C	augustus_masked-flattened_line_0-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.94&CDS=1-4500, augustus_masked-flattened_line_304-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_304-processed-gene-0.5&CDS=1-4536, augustus_masked-flattened_line_72-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.123&CDS=1-4569
26	OG0000026	YDR242W, YLR326W	augustus_masked-flattened_line_118-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.75&CDS=1-1716, augustus_masked-flattened_line_160-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.72&CDS=1-1686, augustus_masked-flattened_line_26-processed-gene-0.222-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.222&CDS=1-1602, augustus_masked-flattened_line_78-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.29&CDS=1-2592
27	OG0000027	YDR345C, YHR092C, YHR094C	augustus_masked-flattened_line_16-processed-gene-1.180-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.180&CDS=1-1659, augustus_masked-flattened_line_82-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.116&CDS=1-1680, augustus_masked-flattened_line_88-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.110&CDS=1-1668
28	OG0000028	YER028C, YGL209W, YMR182C	augustus_masked-flattened_line_261-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_261-processed-gene-0.8&CDS=1-2064, augustus_masked-flattened_line_72-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.88&CDS=1-1587, maker-flattened_line_154-snap-gene-0.101-mRNA-1_1&gene=maker-flattened_line_154-snap-gene-0.101&CDS=1-513
29	OG0000029	YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_124-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.44&CDS=1-2316, augustus_masked-flattened_line_186-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.61&CDS=1-3135, augustus_masked-flattened_line_52-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.124&CDS=1-2784
30	OG0000030	YGR254W, YHR174W, YMR323W, YOR393W, YPL281C	maker-flattened_line_14-snap-gene-1.4-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.4&CDS=1-2592
31	OG0000031	YJR061W, YKL201C	augustus_masked-flattened_line_12-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.26&CDS=1-2280, augustus_masked-flattened_line_72-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.100&CDS=1-2184, genemark-flattened_line_221-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_221-processed-gene-0.33&CDS=1-2376, maker-flattened_line_30-snap-gene-0.76-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.76&CDS=1-2529
32	OG0000032	YKL046C	augustus_masked-flattened_line_116-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.55&CDS=1-1371, augustus_masked-flattened_line_221-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_221-processed-gene-0.44&CDS=1-1377, augustus_masked-flattened_line_243-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_243-processed-gene-0.1&CDS=1-1056, augustus_masked-flattened_line_326-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_326-processed-gene-0.1&CDS=1-1368, genemark-flattened_line_86-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.65&CDS=1-1371
33	OG0000033	YKL128C	augustus_masked-flattened_line_114-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.104&CDS=1-1020, augustus_masked-flattened_line_134-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.54&CDS=1-1077, augustus_masked-flattened_line_249-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_249-processed-gene-0.8&CDS=1-1077, augustus_masked-flattened_line_36-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.132&CDS=1-1119, maker-flattened_line_134-snap-gene-0.39-mRNA-1_1&gene=maker-flattened_line_134-snap-gene-0.39&CDS=1-2007
34	OG0000034	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_110-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.1&CDS=1-2466, augustus_masked-flattened_line_110-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.30&CDS=1-2409, augustus_masked-flattened_line_263-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_263-processed-gene-0.32&CDS=1-2682
35	OG0000035		augustus_masked-flattened_line_146-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.37&CDS=1-1647, augustus_masked-flattened_line_272-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_272-processed-gene-0.6&CDS=1-2829, augustus_masked-flattened_line_36-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.166&CDS=1-2484, augustus_masked-flattened_line_44-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.41&CDS=1-1869, genemark-flattened_line_100-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.120&CDS=1-1908, genemark-flattened_line_2-processed-gene-3.123-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.123&CDS=1-2709
36	OG0000036	YAL030W, YLR093C, YOR327C	augustus_masked-flattened_line_194-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_194-processed-gene-0.54&CDS=1-927, augustus_masked-flattened_line_46-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.59&CDS=1-390
37	OG0000037	YBL016W, YFL029C	augustus_masked-flattened_line_112-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.43&CDS=1-1053, augustus_masked-flattened_line_128-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.85&CDS=1-1053, augustus_masked-flattened_line_18-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.5&CDS=1-978
38	OG0000038	YBL054W, YBL055C, YER088C	augustus_masked-flattened_line_38-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.225&CDS=1-1509, maker-flattened_line_26-snap-gene-0.233-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.233&CDS=1-3027
