	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034760_Lipomyces_kononenkoae
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_30_length_185954_cov_19.4228_ID_59-processed-gene-0.324-mRNA-1_1&gene=augustus_masked-NODE_30_length_185954_cov_19.4228_ID_59-processed-gene-0.324&CDS=1-1482, snap_masked-NODE_18_length_243082_cov_18.8276_ID_35-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NODE_18_length_243082_cov_18.8276_ID_35-processed-gene-1.38&CDS=1-936
11	OG0000011	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_18_length_243082_cov_18.8276_ID_35-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_18_length_243082_cov_18.8276_ID_35-processed-gene-0.35&CDS=1-1647, augustus_masked-NODE_58_length_90571_cov_19.3326_ID_115-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_58_length_90571_cov_19.3326_ID_115-processed-gene-0.70&CDS=1-1374, maker-NODE_86_length_46385_cov_18.3493_ID_171-augustus-gene-0.40-mRNA-1_1&gene=maker-NODE_86_length_46385_cov_18.3493_ID_171-augustus-gene-0.40&CDS=1-1674
12	OG0000012	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	maker-NODE_28_length_189221_cov_18.6079_ID_55-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_28_length_189221_cov_18.6079_ID_55-augustus-gene-0.1&CDS=1-2148
13	OG0000013	YER185W, YGR213C, YLR046C	genemark-NODE_12_length_298682_cov_19.2352_ID_23-processed-gene-1.110-mRNA-1_1&gene=genemark-NODE_12_length_298682_cov_19.2352_ID_23-processed-gene-1.110&CDS=1-609, maker-NODE_114_length_25222_cov_18.7408_ID_227-augustus-gene-0.38-mRNA-1_1&gene=maker-NODE_114_length_25222_cov_18.7408_ID_227-augustus-gene-0.38&CDS=1-900, maker-NODE_12_length_298682_cov_19.2352_ID_23-augustus-gene-0.51-mRNA-1_1&gene=maker-NODE_12_length_298682_cov_19.2352_ID_23-augustus-gene-0.51&CDS=1-852, maker-NODE_12_length_298682_cov_19.2352_ID_23-augustus-gene-1.302-mRNA-1_1&gene=maker-NODE_12_length_298682_cov_19.2352_ID_23-augustus-gene-1.302&CDS=1-825
14	OG0000014	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-0.95&CDS=1-2094, snap_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-3.28&CDS=1-1710
15	OG0000015	YAL051W, YLL054C, YOR363C	augustus_masked-NODE_22_length_222066_cov_19.8506_ID_43-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-NODE_22_length_222066_cov_19.8506_ID_43-processed-gene-1.158&CDS=1-1482, maker-NODE_80_length_50405_cov_21.0299_ID_159-snap-gene-0.39-mRNA-1_1&gene=maker-NODE_80_length_50405_cov_21.0299_ID_159-snap-gene-0.39&CDS=1-1623, snap_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-3.19-mRNA-1_1&gene=snap_masked-NODE_2_length_758014_cov_19.0229_ID_3-processed-gene-3.19&CDS=1-1644
16	OG0000016	YDL138W	augustus_masked-NODE_14_length_256127_cov_18.7261_ID_27-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_14_length_256127_cov_18.7261_ID_27-processed-gene-1.69&CDS=1-1551, augustus_masked-NODE_1_length_800456_cov_18.956_ID_1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_1_length_800456_cov_18.956_ID_1-processed-gene-0.102&CDS=1-1560, augustus_masked-NODE_41_length_146323_cov_20.1062_ID_81-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-NODE_41_length_146323_cov_20.1062_ID_81-processed-gene-0.217&CDS=1-1605, maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-1.87-mRNA-1_1&gene=maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-1.87&CDS=1-1545, maker-NODE_5_length_380752_cov_19.4279_ID_9-augustus-gene-2.81-mRNA-1_1&gene=maker-NODE_5_length_380752_cov_19.4279_ID_9-augustus-gene-2.81&CDS=1-1560
17	OG0000017	YDR242W	augustus_masked-NODE_24_length_201069_cov_18.7772_ID_47-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-NODE_24_length_201069_cov_18.7772_ID_47-processed-gene-1.153&CDS=1-1665, augustus_masked-NODE_38_length_160055_cov_18.8417_ID_75-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-NODE_38_length_160055_cov_18.8417_ID_75-processed-gene-0.174&CDS=1-1623, maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-5.57-mRNA-1_1&gene=maker-NODE_1_length_800456_cov_18.956_ID_1-augustus-gene-5.57&CDS=1-1665, maker-NODE_20_length_225737_cov_18.5558_ID_39-augustus-gene-1.117-mRNA-1_1&gene=maker-NODE_20_length_225737_cov_18.5558_ID_39-augustus-gene-1.117&CDS=1-1638, maker-NODE_30_length_185954_cov_19.4228_ID_59-augustus-gene-0.196-mRNA-1_1&gene=maker-NODE_30_length_185954_cov_19.4228_ID_59-augustus-gene-0.196&CDS=1-1638
18	OG0000018	YDR541C, YGL039W, YGL157W, YOL151W	maker-NODE_169_length_6722_cov_23.2421_ID_337-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_169_length_6722_cov_23.2421_ID_337-snap-gene-0.4&CDS=1-960, maker-NODE_32_length_174022_cov_19.146_ID_63-augustus-gene-0.81-mRNA-1_1&gene=maker-NODE_32_length_174022_cov_19.146_ID_63-augustus-gene-0.81&CDS=1-1011
19	OG0000019	YLR098C, YOR337W	augustus_masked-NODE_156_length_8920_cov_20.2382_ID_311-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_156_length_8920_cov_20.2382_ID_311-processed-gene-0.2&CDS=1-2079, augustus_masked-NODE_71_length_65692_cov_20.9157_ID_141-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_71_length_65692_cov_20.9157_ID_141-processed-gene-0.73&CDS=1-1893, augustus_masked-NODE_81_length_50234_cov_19.7018_ID_161-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_81_length_50234_cov_19.7018_ID_161-processed-gene-0.69&CDS=1-1953, snap_masked-NODE_60_length_86027_cov_19.9694_ID_119-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NODE_60_length_86027_cov_19.9694_ID_119-processed-gene-0.106&CDS=1-1962
20	OG0000020	YMR111C	augustus_masked-NODE_12_length_298682_cov_19.2352_ID_23-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_12_length_298682_cov_19.2352_ID_23-processed-gene-0.92&CDS=1-651, snap_masked-NODE_11_length_306385_cov_19.7367_ID_21-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_11_length_306385_cov_19.7367_ID_21-processed-gene-1.60&CDS=1-2061, snap_masked-NODE_43_length_144385_cov_19.5137_ID_85-processed-gene-0.170-mRNA-1_1&gene=snap_masked-NODE_43_length_144385_cov_19.5137_ID_85-processed-gene-0.170&CDS=1-1080, snap_masked-NODE_65_length_77453_cov_19.8054_ID_129-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_65_length_77453_cov_19.8054_ID_129-processed-gene-0.67&CDS=1-402, snap_masked-NODE_96_length_32289_cov_20.5044_ID_191-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_96_length_32289_cov_20.5044_ID_191-processed-gene-0.1&CDS=1-402
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_20_length_225737_cov_18.5558_ID_39-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_20_length_225737_cov_18.5558_ID_39-processed-gene-1.34&CDS=1-2730
