	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035674_Kregervanrija_delftensis
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_16_length_230356_cov_26.6168_ID_18686-processed-gene-1.211-mRNA-1_1&gene=augustus_masked-NODE_16_length_230356_cov_26.6168_ID_18686-processed-gene-1.211&CDS=1-1353, genemark-NODE_28_length_150083_cov_25.3932_ID_11605-processed-gene-0.205-mRNA-1_1&gene=genemark-NODE_28_length_150083_cov_25.3932_ID_11605-processed-gene-0.205&CDS=1-1392
11	OG0000011	YDR197W, YHR063C, YJR107W, YML060W	genemark-NODE_67_length_45273_cov_31.6962_ID_18248-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_67_length_45273_cov_31.6962_ID_18248-processed-gene-0.31&CDS=1-1149, maker-NODE_2_length_500633_cov_25.5139_ID_10700-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_2_length_500633_cov_25.5139_ID_10700-augustus-gene-0.1&CDS=1-3015, snap_masked-NODE_10_length_281918_cov_25.6214_ID_12450-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_10_length_281918_cov_25.6214_ID_12450-processed-gene-0.21&CDS=1-1206
12	OG0000012		augustus_masked-NODE_223_length_1014_cov_419.376_ID_48724-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_223_length_1014_cov_419.376_ID_48724-processed-gene-0.2&CDS=1-801, augustus_masked-NODE_275_length_774_cov_166.338_ID_51956-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_275_length_774_cov_166.338_ID_51956-processed-gene-0.2&CDS=1-642, augustus_masked-NODE_279_length_760_cov_305.127_ID_51974-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_279_length_760_cov_305.127_ID_51974-processed-gene-0.0&CDS=1-606, snap_masked-NODE_109_length_7128_cov_44.6102_ID_25770-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_109_length_7128_cov_44.6102_ID_25770-processed-gene-0.0&CDS=1-321, snap_masked-NODE_160_length_1914_cov_96.9214_ID_32000-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_160_length_1914_cov_96.9214_ID_32000-processed-gene-0.0&CDS=1-273, snap_masked-NODE_173_length_1627_cov_192.315_ID_44221-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_173_length_1627_cov_192.315_ID_44221-processed-gene-0.0&CDS=1-873, snap_masked-NODE_402_length_503_cov_61.0733_ID_53614-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_402_length_503_cov_61.0733_ID_53614-processed-gene-0.0&CDS=1-321
13	OG0000013	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
14	OG0000014	YBR015C	augustus_masked-NODE_60_length_56871_cov_27.962_ID_16689-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_60_length_56871_cov_27.962_ID_16689-processed-gene-0.59&CDS=1-1923, augustus_masked-NODE_67_length_45273_cov_31.6962_ID_18248-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_67_length_45273_cov_31.6962_ID_18248-processed-gene-0.1&CDS=1-1914, genemark-NODE_40_length_105744_cov_29.28_ID_13649-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_40_length_105744_cov_29.28_ID_13649-processed-gene-0.86&CDS=1-2001, genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.21&CDS=1-2094, maker-NODE_24_length_156215_cov_26.8018_ID_13414-augustus-gene-0.74-mRNA-1_1&gene=maker-NODE_24_length_156215_cov_26.8018_ID_13414-augustus-gene-0.74&CDS=1-3114
15	OG0000015	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	genemark-NODE_19_length_216850_cov_25.7051_ID_10513-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_19_length_216850_cov_25.7051_ID_10513-processed-gene-0.91&CDS=1-645
16	OG0000016	YCL037C, YDL051W, YDR515W	genemark-NODE_26_length_150656_cov_24.7687_ID_11389-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_26_length_150656_cov_24.7687_ID_11389-processed-gene-0.54&CDS=1-1437, genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.36&CDS=1-1050, genemark-NODE_53_length_69555_cov_26.5018_ID_16214-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_53_length_69555_cov_26.5018_ID_16214-processed-gene-0.52&CDS=1-732
17	OG0000017	YCL074W	augustus_masked-NODE_1126_length_227_cov_168.906_ID_53784-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1126_length_227_cov_168.906_ID_53784-processed-gene-0.0&CDS=1-183, augustus_masked-NODE_151_length_2318_cov_387.128_ID_31035-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_151_length_2318_cov_387.128_ID_31035-processed-gene-0.0&CDS=1-558, augustus_masked-NODE_330_length_614_cov_337.728_ID_58688-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_330_length_614_cov_337.728_ID_58688-processed-gene-0.0&CDS=1-549, snap_masked-NODE_208_length_1109_cov_182.765_ID_42808-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_208_length_1109_cov_182.765_ID_42808-processed-gene-0.0&CDS=1-372, snap_masked-NODE_86_length_20859_cov_34.9042_ID_25282-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_86_length_20859_cov_34.9042_ID_25282-processed-gene-0.4&CDS=1-459
18	OG0000018	YDL137W, YDL192W, YMR138W	genemark-NODE_4_length_388123_cov_26.2772_ID_24820-processed-gene-2.252-mRNA-1_1&gene=genemark-NODE_4_length_388123_cov_26.2772_ID_24820-processed-gene-2.252&CDS=1-558, genemark-NODE_5_length_380124_cov_25.8902_ID_9938-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_5_length_380124_cov_25.8902_ID_9938-processed-gene-1.9&CDS=1-543, maker-NODE_77_length_33511_cov_27.0432_ID_19800-snap-gene-0.32-mRNA-1_1&gene=maker-NODE_77_length_33511_cov_27.0432_ID_19800-snap-gene-0.32&CDS=1-492
19	OG0000019	YDL210W	genemark-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_17_length_227260_cov_30.3112_ID_11747-processed-gene-0.38&CDS=1-1665, genemark-NODE_24_length_156215_cov_26.8018_ID_13414-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_24_length_156215_cov_26.8018_ID_13414-processed-gene-0.48&CDS=1-1641, genemark-NODE_41_length_105267_cov_27.8204_ID_31568-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_41_length_105267_cov_27.8204_ID_31568-processed-gene-0.53&CDS=1-1677, genemark-NODE_70_length_42697_cov_29.5959_ID_21419-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_70_length_42697_cov_29.5959_ID_21419-processed-gene-0.16&CDS=1-1662, maker-NODE_105_length_7920_cov_35.9299_ID_29922-snap-gene-0.13-mRNA-1_1&gene=maker-NODE_105_length_7920_cov_35.9299_ID_29922-snap-gene-0.13&CDS=1-3006
20	OG0000020	YDR182W-A, YMR034C	genemark-NODE_105_length_7920_cov_35.9299_ID_29922-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_105_length_7920_cov_35.9299_ID_29922-processed-gene-0.4&CDS=1-1017, genemark-NODE_12_length_257424_cov_25.5774_ID_11970-processed-gene-1.185-mRNA-1_1&gene=genemark-NODE_12_length_257424_cov_25.5774_ID_11970-processed-gene-1.185&CDS=1-1539, genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_44_length_100516_cov_25.8737_ID_21519-processed-gene-0.26&CDS=1-1293, snap_masked-NODE_71_length_41446_cov_26.8386_ID_19767-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_71_length_41446_cov_26.8386_ID_19767-processed-gene-0.22&CDS=1-213
