	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034893_Ogataea_philodendra
10	OG0000010	YBR015C	augustus_masked-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-1.167&CDS=1-2535, genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.177-mRNA-1_1&gene=genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.177&CDS=1-2028, genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-1.69&CDS=1-1938, genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-10.164-mRNA-1_1&gene=genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-10.164&CDS=1-1944, genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.138-mRNA-1_1&gene=genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.138&CDS=1-1746, maker-NODE_16_length_209552_cov_67.4697_ID_31-snap-gene-1.11-mRNA-1_1&gene=maker-NODE_16_length_209552_cov_67.4697_ID_31-snap-gene-1.11&CDS=1-3378
11	OG0000011	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-2.106-mRNA-1_1&gene=genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-2.106&CDS=1-1617
12	OG0000012	YDR380W, YGR087C, YLR044C, YLR134W	augustus_masked-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.205&CDS=1-1587, augustus_masked-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-1.38&CDS=1-3003, genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-1.69&CDS=1-1713
13	OG0000013	YER185W, YGR213C, YLR046C	genemark-NODE_25_length_41406_cov_83.1855_ID_49-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_25_length_41406_cov_83.1855_ID_49-processed-gene-0.68&CDS=1-303, genemark-NODE_25_length_41406_cov_83.1855_ID_49-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_25_length_41406_cov_83.1855_ID_49-processed-gene-0.69&CDS=1-678, maker-NODE_17_length_175091_cov_70.6054_ID_33-augustus-gene-0.8-mRNA-1_1&gene=maker-NODE_17_length_175091_cov_70.6054_ID_33-augustus-gene-0.8&CDS=1-621, snap_masked-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-5.181-mRNA-1_1&gene=snap_masked-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-5.181&CDS=1-801
14	OG0000014	YIL151C, YKR096W	genemark-NODE_18_length_162580_cov_65.1521_ID_35-processed-gene-0.214-mRNA-1_1&gene=genemark-NODE_18_length_162580_cov_65.1521_ID_35-processed-gene-0.214&CDS=1-1131, genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-2.61-mRNA-1_1&gene=genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-2.61&CDS=1-1227, genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.83-mRNA-1_1&gene=genemark-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.83&CDS=1-1227, genemark-NODE_9_length_380031_cov_67.2163_ID_17-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_9_length_380031_cov_67.2163_ID_17-processed-gene-0.114&CDS=1-1149, maker-NODE_4_length_568887_cov_64.9081_ID_7-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_4_length_568887_cov_64.9081_ID_7-snap-gene-0.4&CDS=1-4188
15	OG0000015	YKL215C	augustus_masked-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.149&CDS=1-3786, genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.146-mRNA-1_1&gene=genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.146&CDS=1-4821, genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.40&CDS=1-6093, maker-NODE_2_length_789798_cov_75.9216_ID_3-augustus-gene-6.351-mRNA-1_1&gene=maker-NODE_2_length_789798_cov_75.9216_ID_3-augustus-gene-6.351&CDS=1-5460, maker-NODE_3_length_643798_cov_66.6584_ID_5-augustus-gene-5.277-mRNA-1_1&gene=maker-NODE_3_length_643798_cov_66.6584_ID_5-augustus-gene-5.277&CDS=1-5808, snap_masked-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.260-mRNA-1_1&gene=snap_masked-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-2.260&CDS=1-3420
16	OG0000016	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-2.153&CDS=1-2730, genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-2.141-mRNA-1_1&gene=genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-2.141&CDS=1-2115
17	OG0000017	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-2.19&CDS=1-3843
18	OG0000018	YBR006W, YLR201C	augustus_masked-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NODE_8_length_389341_cov_68.8812_ID_15-processed-gene-1.12&CDS=1-2223, genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-5.62-mRNA-1_1&gene=genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-5.62&CDS=1-1500, genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-3.217-mRNA-1_1&gene=genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-3.217&CDS=1-1485, maker-NODE_1_length_1278667_cov_66.6163_ID_1-augustus-gene-9.133-mRNA-1_1&gene=maker-NODE_1_length_1278667_cov_66.6163_ID_1-augustus-gene-9.133&CDS=1-4320
19	OG0000019	YBR245C, YFR038W, YOR304W	genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.117-mRNA-1_1&gene=genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.117&CDS=1-2061, genemark-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-4.172-mRNA-1_1&gene=genemark-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-4.172&CDS=1-3054, maker-NODE_12_length_348569_cov_68.2112_ID_23-augustus-gene-2.3-mRNA-1_1&gene=maker-NODE_12_length_348569_cov_68.2112_ID_23-augustus-gene-2.3&CDS=1-3576
20	OG0000020	YCL024W, YDR477W, YDR507C	genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.83-mRNA-1_1&gene=genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-2.83&CDS=1-3783, maker-NODE_1_length_1278667_cov_66.6163_ID_1-augustus-gene-4.178-mRNA-1_1&gene=maker-NODE_1_length_1278667_cov_66.6163_ID_1-augustus-gene-4.178&CDS=1-3987, maker-NODE_2_length_789798_cov_75.9216_ID_3-augustus-gene-1.164-mRNA-1_1&gene=maker-NODE_2_length_789798_cov_75.9216_ID_3-augustus-gene-1.164&CDS=1-3750
21	OG0000021	YDL165W, YDL170W	genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.53&CDS=1-1488, genemark-NODE_22_length_127543_cov_73.0507_ID_43-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_22_length_127543_cov_73.0507_ID_43-processed-gene-0.88&CDS=1-1800, maker-NODE_14_length_283762_cov_68.7995_ID_27-snap-gene-1.319-mRNA-1_1&gene=maker-NODE_14_length_283762_cov_68.7995_ID_27-snap-gene-1.319&CDS=1-1683, maker-NODE_8_length_389341_cov_68.8812_ID_15-augustus-gene-1.185-mRNA-1_1&gene=maker-NODE_8_length_389341_cov_68.8812_ID_15-augustus-gene-1.185&CDS=1-2733
22	OG0000022	YDR326C, YFL042C, YHR080C, YLR072W	augustus_masked-NODE_20_length_141134_cov_67.3989_ID_39-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_20_length_141134_cov_67.3989_ID_39-processed-gene-0.52&CDS=1-5292, genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-2.103-mRNA-1_1&gene=genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-2.103&CDS=1-2592
23	OG0000023	YEL036C, YMR266W, YOL084W	augustus_masked-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-4.16&CDS=1-4821, genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-1.94-mRNA-1_1&gene=genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-1.94&CDS=1-2217, genemark-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-0.72&CDS=1-2679
24	OG0000024	YGR249W, YHR206W, YOR140W	genemark-NODE_17_length_175091_cov_70.6054_ID_33-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_17_length_175091_cov_70.6054_ID_33-processed-gene-0.11&CDS=1-1494, genemark-NODE_21_length_128179_cov_67.4733_ID_41-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_21_length_128179_cov_67.4733_ID_41-processed-gene-0.128&CDS=1-1422, genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.59&CDS=1-1950
25	OG0000025	YLR237W, YOR071C, YOR192C	genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-0.139-mRNA-1_1&gene=genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-0.139&CDS=1-1581, genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-0.80&CDS=1-1425, genemark-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-4.161-mRNA-1_1&gene=genemark-NODE_4_length_568887_cov_64.9081_ID_7-processed-gene-4.161&CDS=1-2271
26	OG0000026	YAL053W, YGL139W, YPL221W	genemark-NODE_21_length_128179_cov_67.4733_ID_41-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_21_length_128179_cov_67.4733_ID_41-processed-gene-0.101&CDS=1-2364, genemark-NODE_21_length_128179_cov_67.4733_ID_41-processed-gene-0.137-mRNA-1_1&gene=genemark-NODE_21_length_128179_cov_67.4733_ID_41-processed-gene-0.137&CDS=1-2199
27	OG0000027	YBL063W, YEL061C	genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-3.236-mRNA-1_1&gene=genemark-NODE_6_length_488750_cov_65.2929_ID_11-processed-gene-3.236&CDS=1-2418, genemark-NODE_9_length_380031_cov_67.2163_ID_17-processed-gene-2.45-mRNA-1_1&gene=genemark-NODE_9_length_380031_cov_67.2163_ID_17-processed-gene-2.45&CDS=1-1815, snap_masked-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-2.15&CDS=1-2733
28	OG0000028	YBL089W, YER119C, YIL088C	genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-0.82&CDS=1-1422, genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-3.102-mRNA-1_1&gene=genemark-NODE_3_length_643798_cov_66.6584_ID_5-processed-gene-3.102&CDS=1-1302
29	OG0000029	YBR038W, YNL192W	genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-2.128-mRNA-1_1&gene=genemark-NODE_11_length_352897_cov_66.8228_ID_21-processed-gene-2.128&CDS=1-2886, genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.33&CDS=1-2844, genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.137-mRNA-1_1&gene=genemark-NODE_2_length_789798_cov_75.9216_ID_3-processed-gene-6.137&CDS=1-2955
30	OG0000030	YBR169C, YMR216C, YPL106C	augustus_masked-NODE_19_length_141596_cov_74.0208_ID_37-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_19_length_141596_cov_74.0208_ID_37-processed-gene-0.22&CDS=1-3951, genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-2.148-mRNA-1_1&gene=genemark-NODE_12_length_348569_cov_68.2112_ID_23-processed-gene-2.148&CDS=1-2034
31	OG0000031	YBR199W	genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.127-mRNA-1_1&gene=genemark-NODE_10_length_361062_cov_67.9065_ID_19-processed-gene-2.127&CDS=1-1347, genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_13_length_304413_cov_67.7473_ID_25-processed-gene-0.65&CDS=1-1344, genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-7.96-mRNA-1_1&gene=genemark-NODE_1_length_1278667_cov_66.6163_ID_1-processed-gene-7.96&CDS=1-1434, genemark-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-1.133-mRNA-1_1&gene=genemark-NODE_7_length_450359_cov_65.6065_ID_13-processed-gene-1.133&CDS=1-1260
32	OG0000032	YCL035C, YDR513W, YLR364W	genemark-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-2.131-mRNA-1_1&gene=genemark-NODE_5_length_524919_cov_64.9816_ID_9-processed-gene-2.131&CDS=1-315, maker-NODE_15_length_270368_cov_69.5672_ID_29-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_15_length_270368_cov_69.5672_ID_29-augustus-gene-0.3&CDS=1-2757
33	OG0000033	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_23_length_126160_cov_79.7986_ID_45-processed-gene-0.37&CDS=1-1617
