	OrthologID	Metschnikowia_kipukae	Saccharomyces_cerevisiae
13	OG0000013	augustus_masked-kipT_s19-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-7.98&CDS=1-2346, maker-kipT_s8-augustus-gene-6.121-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-6.121&CDS=1-2664, snap_masked-kipT_s8-processed-gene-1.95-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.95&CDS=1-2514	YDR477W, YOR233W, YPL141C, YPL150W
14	OG0000014	snap_masked-kipT_s58-processed-gene-3.162-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.162&CDS=1-3123, snap_masked-kipT_s62-processed-gene-5.122-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.122&CDS=1-2883, snap_masked-kipT_s8-processed-gene-15.115-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-15.115&CDS=1-2526	YDR385W, YKL173W, YNL163C, YOR133W
15	OG0000015	genemark-kipT_s2-processed-gene-0.30-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-0.30&CDS=1-1050, snap_masked-kipT_s11-processed-gene-1.39-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-1.39&CDS=1-1050, snap_masked-kipT_s13-processed-gene-6.26-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.26&CDS=1-1050, snap_masked-kipT_s19-processed-gene-1.54-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.54&CDS=1-1083, snap_masked-kipT_s42-processed-gene-0.62-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-0.62&CDS=1-1050	YML131W
16	OG0000016	genemark-kipT_s11-processed-gene-3.125-mRNA-1_1&gene=genemark-kipT_s11-processed-gene-3.125&CDS=1-2433, genemark-kipT_s62-processed-gene-1.121-mRNA-1_1&gene=genemark-kipT_s62-processed-gene-1.121&CDS=1-2385	YDR069C, YER144C, YIL156W, YKR098C
17	OG0000017	maker-kipT_s13-snap-gene-7.150-mRNA-1_1&gene=maker-kipT_s13-snap-gene-7.150&CDS=1-4746, snap_masked-kipT_s13-processed-gene-3.76-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.76&CDS=1-1725, snap_masked-kipT_s38-processed-gene-4.72-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-4.72&CDS=1-3792	YIL126W, YKR008W, YOR290C
18	OG0000018	augustus_masked-kipT_s13-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-5.104&CDS=1-4992, augustus_masked-kipT_s42-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-kipT_s42-processed-gene-2.110&CDS=1-966, snap_masked-kipT_s38-processed-gene-2.15-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-2.15&CDS=1-2625	YDL090C, YER075C, YPR176C
19	OG0000019	snap_masked-kipT_s13-processed-gene-7.118-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.118&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
20	OG0000020	augustus_masked-kipT_s13-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-7.65&CDS=1-2421, augustus_masked-kipT_s22-processed-gene-8.86-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-8.86&CDS=1-1896, snap_masked-kipT_s19-processed-gene-3.107-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.107&CDS=1-1974, snap_masked-kipT_s42-processed-gene-1.40-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-1.40&CDS=1-2115	YBR015C, YJL186W
21	OG0000021	snap_masked-kipT_s16-processed-gene-0.15-mRNA-1_1&gene=snap_masked-kipT_s16-processed-gene-0.15&CDS=1-2553, snap_masked-kipT_s22-processed-gene-6.51-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-6.51&CDS=1-2535, snap_masked-kipT_s63-processed-gene-0.78-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-0.78&CDS=1-2664	YLL005C, YMR266W, YOL084W
22	OG0000022	augustus_masked-kipT_s58-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-kipT_s58-processed-gene-2.82&CDS=1-4344, genemark-kipT_s27-processed-gene-0.1-mRNA-1_1&gene=genemark-kipT_s27-processed-gene-0.1&CDS=1-4974, maker-kipT_s19-snap-gene-1.3-mRNA-1_1&gene=maker-kipT_s19-snap-gene-1.3&CDS=1-3351	YJL172W, YOL153C, YPL109C
23	OG0000023	maker-kipT_s8-snap-gene-17.95-mRNA-1_1&gene=maker-kipT_s8-snap-gene-17.95&CDS=1-1608, snap_masked-kipT_s19-processed-gene-3.80-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.80&CDS=1-2106, snap_masked-kipT_s64-processed-gene-0.8-mRNA-1_1&gene=snap_masked-kipT_s64-processed-gene-0.8&CDS=1-2253	YDL025C, YNL183C, YOR267C
24	OG0000024	snap_masked-kipT_s2-processed-gene-2.57-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-2.57&CDS=1-1299, snap_masked-kipT_s22-processed-gene-8.132-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-8.132&CDS=1-1074	YIL123W, YJL116C, YKR042W, YNL066W
25	OG0000025	maker-kipT_s2-snap-gene-3.1-mRNA-1_1&gene=maker-kipT_s2-snap-gene-3.1&CDS=1-2559, snap_masked-kipT_s62-processed-gene-4.122-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-4.122&CDS=1-1428	YBR205W, YJL139C, YKR061W, YOR099W
26	OG0000026	snap_masked-kipT_s2-processed-gene-6.54-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-6.54&CDS=1-1902, snap_masked-kipT_s2-processed-gene-9.11-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.11&CDS=1-1332, snap_masked-kipT_s8-processed-gene-17.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-17.72&CDS=1-1302	YHL019C, YOL062C, YPL259C
27	OG0000027	maker-kipT_s2-snap-gene-7.2-mRNA-1_1&gene=maker-kipT_s2-snap-gene-7.2&CDS=1-1626, snap_masked-kipT_s22-processed-gene-7.70-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-7.70&CDS=1-2676, snap_masked-kipT_s58-processed-gene-3.208-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.208&CDS=1-1692	YBR237W, YDR243C, YNL112W
28	OG0000028	snap_masked-kipT_s2-processed-gene-8.55-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-8.55&CDS=1-1944, snap_masked-kipT_s38-processed-gene-2.25-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-2.25&CDS=1-1899, snap_masked-kipT_s38-processed-gene-2.29-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-2.29&CDS=1-1848, snap_masked-kipT_s63-processed-gene-2.74-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-2.74&CDS=1-4812	YMR008C, YOL011W
29	OG0000029	snap_masked-kipT_s2-processed-gene-9.41-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.41&CDS=1-792, snap_masked-kipT_s25-processed-gene-0.118-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-0.118&CDS=1-768, snap_masked-kipT_s25-processed-gene-3.179-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-3.179&CDS=1-759, snap_masked-kipT_s38-processed-gene-4.90-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-4.90&CDS=1-774	YCR010C, YNR002C
30	OG0000030	genemark-kipT_s63-processed-gene-2.122-mRNA-1_1&gene=genemark-kipT_s63-processed-gene-2.122&CDS=1-4245, maker-kipT_s22-snap-gene-0.115-mRNA-1_1&gene=maker-kipT_s22-snap-gene-0.115&CDS=1-2730, snap_masked-kipT_s8-processed-gene-7.75-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.75&CDS=1-3069	YBR245C, YFR038W, YOR304W
31	OG0000031	snap_masked-kipT_s22-processed-gene-2.48-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-2.48&CDS=1-1254, snap_masked-kipT_s62-processed-gene-4.120-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-4.120&CDS=1-1242, snap_masked-kipT_s63-processed-gene-1.111-mRNA-1_1&gene=snap_masked-kipT_s63-processed-gene-1.111&CDS=1-1164, snap_masked-kipT_s8-processed-gene-19.58-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-19.58&CDS=1-1191	YBR207W, YER145C
32	OG0000032	maker-kipT_s22-snap-gene-2.94-mRNA-1_1&gene=maker-kipT_s22-snap-gene-2.94&CDS=1-183, maker-kipT_s22-snap-gene-4.135-mRNA-1_1&gene=maker-kipT_s22-snap-gene-4.135&CDS=1-189	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
33	OG0000033	augustus_masked-kipT_s22-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-kipT_s22-processed-gene-6.37&CDS=1-9669, snap_masked-kipT_s36-processed-gene-0.65-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.65&CDS=1-2331, snap_masked-kipT_s8-processed-gene-13.71-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-13.71&CDS=1-3048	YDR457W, YER125W, YGL141W
34	OG0000034	maker-kipT_s63-snap-gene-1.46-mRNA-1_1&gene=maker-kipT_s63-snap-gene-1.46&CDS=1-1944, snap_masked-kipT_s25-processed-gene-0.100-mRNA-1_1&gene=snap_masked-kipT_s25-processed-gene-0.100&CDS=1-1032	YDR541C, YGL039W, YGL157W, YOL151W
35	OG0000035	maker-kipT_s25-snap-gene-1.0-mRNA-1_1&gene=maker-kipT_s25-snap-gene-1.0&CDS=1-1035, snap_masked-kipT_s38-processed-gene-5.37-mRNA-1_1&gene=snap_masked-kipT_s38-processed-gene-5.37&CDS=1-480	YBR189W, YBR191W, YPL079W, YPL081W
36	OG0000036	augustus_masked-kipT_s8-processed-gene-20.9-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-20.9&CDS=1-4518, snap_masked-kipT_s42-processed-gene-0.76-mRNA-1_1&gene=snap_masked-kipT_s42-processed-gene-0.76&CDS=1-1494, snap_masked-kipT_s8-processed-gene-20.68-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-20.68&CDS=1-1341	YGL194C, YNL330C, YOR346W
37	OG0000037	augustus_masked-kipT_s8-processed-gene-6.175-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-6.175&CDS=1-2901, snap_masked-kipT_s8-processed-gene-16.157-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-16.157&CDS=1-882, snap_masked-kipT_s8-processed-gene-18.10-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-18.10&CDS=1-1362	YIL107C, YJL155C, YOL136C
38	OG0000038	genemark-kipT_s38-processed-gene-1.23-mRNA-1_1&gene=genemark-kipT_s38-processed-gene-1.23&CDS=1-1116, snap_masked-kipT_s11-processed-gene-2.68-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-2.68&CDS=1-1098, snap_masked-kipT_s2-processed-gene-0.50-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.50&CDS=1-1545	YBL016W, YHR030C
39	OG0000039	snap_masked-kipT_s11-processed-gene-2.84-mRNA-1_1&gene=snap_masked-kipT_s11-processed-gene-2.84&CDS=1-1533, snap_masked-kipT_s2-processed-gene-1.105-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-1.105&CDS=1-1521, snap_masked-kipT_s24-processed-gene-0.35-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-0.35&CDS=1-1650	YGR260W, YIL166C
40	OG0000040	maker-kipT_s38-augustus-gene-0.3-mRNA-1_1&gene=maker-kipT_s38-augustus-gene-0.3&CDS=1-2181, snap_masked-kipT_s13-processed-gene-0.64-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-0.64&CDS=1-612, snap_masked-kipT_s58-processed-gene-3.180-mRNA-1_1&gene=snap_masked-kipT_s58-processed-gene-3.180&CDS=1-681	YFR042W, YJL097W
41	OG0000041	snap_masked-kipT_s13-processed-gene-2.75-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-2.75&CDS=1-993, snap_masked-kipT_s13-processed-gene-3.92-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.92&CDS=1-1002, snap_masked-kipT_s8-processed-gene-5.91-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.91&CDS=1-1026	YDL078C, YKL085W
42	OG0000042	genemark-kipT_s38-processed-gene-1.25-mRNA-1_1&gene=genemark-kipT_s38-processed-gene-1.25&CDS=1-1260, snap_masked-kipT_s13-processed-gene-3.46-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.46&CDS=1-1197, snap_masked-kipT_s22-processed-gene-1.54-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.54&CDS=1-1272	YKL106W, YLR027C
43	OG0000043	augustus_masked-kipT_s62-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-kipT_s62-processed-gene-1.41&CDS=1-756, genemark-kipT_s13-processed-gene-4.16-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-4.16&CDS=1-807, snap_masked-kipT_s62-processed-gene-5.136-mRNA-1_1&gene=snap_masked-kipT_s62-processed-gene-5.136&CDS=1-1017	YJL079C, YKR013W
44	OG0000044	genemark-kipT_s13-processed-gene-5.43-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-5.43&CDS=1-9912, snap_masked-kipT_s2-processed-gene-9.48-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.48&CDS=1-4035	YBL105C, YCL024W, YDR507C
45	OG0000045	augustus_masked-kipT_s13-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-6.53&CDS=1-2841, snap_masked-kipT_s2-processed-gene-9.20-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-9.20&CDS=1-2670	YML111W, YMR275C, YNR069C
46	OG0000046	genemark-kipT_s36-processed-gene-2.181-mRNA-1_1&gene=genemark-kipT_s36-processed-gene-2.181&CDS=1-1023, snap_masked-kipT_s13-processed-gene-6.32-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.32&CDS=1-1980	YER045C, YIL036W, YNL167C
47	OG0000047	maker-kipT_s13-snap-gene-7.148-mRNA-1_1&gene=maker-kipT_s13-snap-gene-7.148&CDS=1-1917, snap_masked-kipT_s19-processed-gene-8.135-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.135&CDS=1-1503	YMR169C, YMR170C, YOR374W
48	OG0000048	genemark-kipT_s2-processed-gene-1.10-mRNA-1_1&gene=genemark-kipT_s2-processed-gene-1.10&CDS=1-7197, maker-kipT_s8-augustus-gene-14.146-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-14.146&CDS=1-2418, snap_masked-kipT_s13-processed-gene-7.75-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.75&CDS=1-1566	YER156C, YJL039C
49	OG0000049	maker-kipT_s2-snap-gene-9.184-mRNA-1_1&gene=maker-kipT_s2-snap-gene-9.184&CDS=1-2466, snap_masked-kipT_s13-processed-gene-7.82-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.82&CDS=1-2163	YFL050C, YKL064W, YOL130W
50	OG0000050	genemark-kipT_s19-processed-gene-0.101-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-0.101&CDS=1-930	YJL158C, YJL160C, YKL163W, YKL164C
51	OG0000051	snap_masked-kipT_s19-processed-gene-0.26-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.26&CDS=1-1674, snap_masked-kipT_s22-processed-gene-1.53-mRNA-1_1&gene=snap_masked-kipT_s22-processed-gene-1.53&CDS=1-1656	YDR342C, YDR343C, YHR092C
52	OG0000052	snap_masked-kipT_s19-processed-gene-1.53-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.53&CDS=1-1287, snap_masked-kipT_s24-processed-gene-0.66-mRNA-1_1&gene=snap_masked-kipT_s24-processed-gene-0.66&CDS=1-1191	YCR094W, YNL323W, YNR048W
53	OG0000053	genemark-kipT_s19-processed-gene-2.6-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-2.6&CDS=1-4320, snap_masked-kipT_s36-processed-gene-0.90-mRNA-1_1&gene=snap_masked-kipT_s36-processed-gene-0.90&CDS=1-3651, snap_masked-kipT_s8-processed-gene-20.63-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-20.63&CDS=1-3114	YBR038W, YNL192W
