	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034625_Pichia_kudriavzevii
10	OG0000010	YML111W, YMR275C, YNR069C	augustus_masked-scf7180000023343-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000023343-processed-gene-0.27&CDS=1-5043, genemark-scf7180000023419-processed-gene-1.125-mRNA-1_1&gene=genemark-scf7180000023419-processed-gene-1.125&CDS=1-2190, genemark-scf7180000023419-processed-gene-1.126-mRNA-1_1&gene=genemark-scf7180000023419-processed-gene-1.126&CDS=1-2232, snap_masked-scf7180000023343-processed-gene-0.108-mRNA-1_1&gene=snap_masked-scf7180000023343-processed-gene-0.108&CDS=1-1701
11	OG0000011	YBL034C	genemark-scf7180000022431-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000022431-processed-gene-0.5&CDS=1-2841, genemark-scf7180000022432-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000022432-processed-gene-0.3&CDS=1-2841, genemark-scf7180000023181-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000023181-processed-gene-0.3&CDS=1-2841, snap_masked-scf7180000022420-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000022420-processed-gene-0.5&CDS=1-1131, snap_masked-scf7180000022421-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000022421-processed-gene-0.3&CDS=1-1098
12	OG0000012	YBR067C, YER011W, YIL011W, YOR010C	genemark-scf7180000023347-processed-gene-2.76-mRNA-1_1&gene=genemark-scf7180000023347-processed-gene-2.76&CDS=1-639, snap_masked-scf7180000023374-processed-gene-0.193-mRNA-1_1&gene=snap_masked-scf7180000023374-processed-gene-0.193&CDS=1-387
13	OG0000013	YJR152W	augustus_masked-scf7180000022429-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000022429-processed-gene-0.4&CDS=1-936, augustus_masked-scf7180000023356-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000023356-processed-gene-0.1&CDS=1-930, genemark-scf7180000022429-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000022429-processed-gene-0.3&CDS=1-1275, genemark-scf7180000023367-processed-gene-1.39-mRNA-1_1&gene=genemark-scf7180000023367-processed-gene-1.39&CDS=1-1596, genemark-scf7180000023370-processed-gene-2.190-mRNA-1_1&gene=genemark-scf7180000023370-processed-gene-2.190&CDS=1-1275
14	OG0000014	YMR276W	augustus_masked-scf7180000023140-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000023140-processed-gene-0.50&CDS=1-1092, genemark-scf7180000022438-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000022438-processed-gene-0.8&CDS=1-1092, genemark-scf7180000022625-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000022625-processed-gene-0.2&CDS=1-1092, genemark-scf7180000022634-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000022634-processed-gene-0.9&CDS=1-1092, genemark-scf7180000023322-processed-gene-0.64-mRNA-1_1&gene=genemark-scf7180000023322-processed-gene-0.64&CDS=1-1092
15	OG0000015	YPR153W	genemark-scf7180000022438-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000022438-processed-gene-0.7&CDS=1-576, genemark-scf7180000022625-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000022625-processed-gene-0.1&CDS=1-576, genemark-scf7180000022634-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000022634-processed-gene-0.10&CDS=1-576, genemark-scf7180000023140-processed-gene-0.97-mRNA-1_1&gene=genemark-scf7180000023140-processed-gene-0.97&CDS=1-576, genemark-scf7180000023322-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000023322-processed-gene-0.48&CDS=1-576
16	OG0000016	YAL030W, YLR093C, YOR327C	genemark-scf7180000023325-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000023325-processed-gene-0.62&CDS=1-798, genemark-scf7180000023333-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000023333-processed-gene-0.34&CDS=1-390
17	OG0000017	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
18	OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	genemark-scf7180000023347-processed-gene-2.92-mRNA-1_1&gene=genemark-scf7180000023347-processed-gene-2.92&CDS=1-4653
19	OG0000019	YBL079W, YER105C	augustus_masked-scf7180000023164-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000023164-processed-gene-0.1&CDS=1-4128, genemark-scf7180000022723-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000022723-processed-gene-0.25&CDS=1-4464, genemark-scf7180000023186-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000023186-processed-gene-0.19&CDS=1-4464
20	OG0000020	YBR033W, YKL038W	augustus_masked-scf7180000022422-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000022422-processed-gene-0.0&CDS=1-1245, augustus_masked-scf7180000022627-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000022627-processed-gene-0.0&CDS=1-1248, genemark-scf7180000023331-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000023331-processed-gene-0.0&CDS=1-2907
21	OG0000021	YBR089C-A, YDL002C, YPR052C	augustus_masked-scf7180000023254-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000023254-processed-gene-0.70&CDS=1-1308, genemark-scf7180000023358-processed-gene-1.29-mRNA-1_1&gene=genemark-scf7180000023358-processed-gene-1.29&CDS=1-303
22	OG0000022	YBR205W, YDR483W, YOR099W	augustus_masked-scf7180000023344-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-scf7180000023344-processed-gene-1.161&CDS=1-1626, maker-scf7180000023360-snap-gene-0.54-mRNA-1_1&gene=maker-scf7180000023360-snap-gene-0.54&CDS=1-3867
23	OG0000023	YBR297W, YFL052W, YGR288W, YPR196W	genemark-scf7180000023138-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000023138-processed-gene-0.16&CDS=1-1083
24	OG0000024	YCL024W, YDR507C, YKL101W	augustus_masked-scf7180000023370-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000023370-processed-gene-0.1&CDS=1-3429, snap_masked-scf7180000023367-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000023367-processed-gene-0.13&CDS=1-3687
25	OG0000025	YCL069W, YGR224W, YKR105C, YPR198W	genemark-scf7180000023199-processed-gene-1.81-mRNA-1_1&gene=genemark-scf7180000023199-processed-gene-1.81&CDS=1-1764
26	OG0000026	YDL244W, YFL058W, YJR156C, YNL332W	genemark-scf7180000023317-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000023317-processed-gene-0.19&CDS=1-1014
27	OG0000027	YDR038C, YDR039C, YDR040C	augustus_masked-scf7180000023337-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000023337-processed-gene-0.33&CDS=1-2511, genemark-scf7180000023347-processed-gene-2.103-mRNA-1_1&gene=genemark-scf7180000023347-processed-gene-2.103&CDS=1-3246
28	OG0000028	YFL053W, YKR050W, YML070W	augustus_masked-scf7180000023343-processed-gene-1.194-mRNA-1_1&gene=augustus_masked-scf7180000023343-processed-gene-1.194&CDS=1-5553, genemark-scf7180000023368-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000023368-processed-gene-0.33&CDS=1-3741
29	OG0000029	YGL257C, YIL014W, YNR059W	genemark-scf7180000023380-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000023380-processed-gene-0.57&CDS=1-2589, snap_masked-scf7180000023358-processed-gene-1.112-mRNA-1_1&gene=snap_masked-scf7180000023358-processed-gene-1.112&CDS=1-3342
30	OG0000030	YGR116W	genemark-scf7180000022427-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000022427-processed-gene-0.0&CDS=1-4464, genemark-scf7180000022428-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000022428-processed-gene-0.0&CDS=1-4464, genemark-scf7180000022672-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000022672-processed-gene-0.14&CDS=1-4464, snap_masked-scf7180000023340-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000023340-processed-gene-0.15&CDS=1-4662
31	OG0000031	YGR220C, YLR284C, YOR180C	augustus_masked-scf7180000022657-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000022657-processed-gene-0.1&CDS=1-699, augustus_masked-scf7180000023417-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scf7180000023417-processed-gene-0.117&CDS=1-1584
32	OG0000032	YIL039W	genemark-scf7180000022427-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000022427-processed-gene-0.1&CDS=1-1485, genemark-scf7180000022428-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000022428-processed-gene-0.1&CDS=1-1485, genemark-scf7180000022672-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000022672-processed-gene-0.13&CDS=1-1485, genemark-scf7180000023340-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000023340-processed-gene-0.83&CDS=1-1485
33	OG0000033	YJL090C	augustus_masked-scf7180000022419-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000022419-processed-gene-0.3&CDS=1-1341, augustus_masked-scf7180000023180-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000023180-processed-gene-0.4&CDS=1-1338, augustus_masked-scf7180000023355-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000023355-processed-gene-0.27&CDS=1-1179, genemark-scf7180000022355-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000022355-processed-gene-0.11&CDS=1-1824
34	OG0000034	YKL221W, YPR041W	augustus_masked-scf7180000022896-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000022896-processed-gene-0.0&CDS=1-591, augustus_masked-scf7180000023383-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000023383-processed-gene-0.53&CDS=1-6078, maker-scf7180000023367-snap-gene-1.95-mRNA-1_1&gene=maker-scf7180000023367-snap-gene-1.95&CDS=1-4458
35	OG0000035	YNL191W	snap_masked-scf7180000022431-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000022431-processed-gene-0.14&CDS=1-1032, snap_masked-scf7180000022432-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000022432-processed-gene-0.14&CDS=1-1032, snap_masked-scf7180000023148-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000023148-processed-gene-0.7&CDS=1-1032, snap_masked-scf7180000023181-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000023181-processed-gene-0.14&CDS=1-1032
36	OG0000036	Q0105, Q0110, Q0115, Q0120	maker-scf7180000023072-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000023072-snap-gene-0.0&CDS=1-327
37	OG0000037	YAL049C	augustus_masked-scf7180000022704-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000022704-processed-gene-0.0&CDS=1-339, genemark-scf7180000023339-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000023339-processed-gene-0.59&CDS=1-729, genemark-scf7180000023355-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000023355-processed-gene-0.55&CDS=1-735
38	OG0000038	YBL003C, YDR225W	genemark-scf7180000023138-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000023138-processed-gene-0.50&CDS=1-393, genemark-scf7180000023254-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000023254-processed-gene-0.57&CDS=1-393
39	OG0000039	YBL023C, YPR113W	augustus_masked-scf7180000023390-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000023390-processed-gene-0.1&CDS=1-546, maker-scf7180000023336-augustus-gene-0.133-mRNA-1_1&gene=maker-scf7180000023336-augustus-gene-0.133&CDS=1-3414
40	OG0000040	YBL039C, YGL022W	augustus_masked-scf7180000023372-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000023372-processed-gene-0.85&CDS=1-3816, genemark-scf7180000023147-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000023147-processed-gene-0.17&CDS=1-1578
41	OG0000041	YBL042C, YBR021W, YIR028W	maker-scf7180000023338-snap-gene-0.192-mRNA-1_1&gene=maker-scf7180000023338-snap-gene-0.192&CDS=1-5316
42	OG0000042	YBL054W, YER088C	augustus_masked-scf7180000023366-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scf7180000023366-processed-gene-1.23&CDS=1-1080, augustus_masked-scf7180000023366-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-scf7180000023366-processed-gene-1.24&CDS=1-1254
43	OG0000043	YBR006W, YDR294C	augustus_masked-scf7180000023344-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-scf7180000023344-processed-gene-1.122&CDS=1-5373, genemark-scf7180000023344-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000023344-processed-gene-0.55&CDS=1-1500
44	OG0000044	YBR009C, YNL030W	genemark-scf7180000023338-processed-gene-0.112-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.112&CDS=1-309, genemark-scf7180000023360-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000023360-processed-gene-0.20&CDS=1-309
45	OG0000045	YBR010W, YNL031C	genemark-scf7180000023338-processed-gene-0.152-mRNA-1_1&gene=genemark-scf7180000023338-processed-gene-0.152&CDS=1-408, genemark-scf7180000023360-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000023360-processed-gene-0.2&CDS=1-408
46	OG0000046	YBR097W, YKR017C	augustus_masked-scf7180000023139-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000023139-processed-gene-0.23&CDS=1-6006, snap_masked-scf7180000022423-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000022423-processed-gene-0.5&CDS=1-900
47	OG0000047	YBR151W, YML050W	genemark-scf7180000023364-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000023364-processed-gene-0.89&CDS=1-912, snap_masked-scf7180000023344-processed-gene-0.118-mRNA-1_1&gene=snap_masked-scf7180000023344-processed-gene-0.118&CDS=1-729
48	OG0000048	YBR238C, YGL107C	augustus_masked-scf7180000023347-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scf7180000023347-processed-gene-0.65&CDS=1-5508, genemark-scf7180000023355-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000023355-processed-gene-0.57&CDS=1-1926
49	OG0000049	YBR293W, YDR270W	genemark-scf7180000023367-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000023367-processed-gene-0.52&CDS=1-1614, maker-scf7180000023339-snap-gene-0.46-mRNA-1_1&gene=maker-scf7180000023339-snap-gene-0.46&CDS=1-5124
50	OG0000050	YBR294W, YLR092W	genemark-scf7180000023254-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000023254-processed-gene-0.65&CDS=1-2556, maker-scf7180000023403-augustus-gene-0.83-mRNA-1_1&gene=maker-scf7180000023403-augustus-gene-0.83&CDS=1-4095
51	OG0000051	YCL067C, YCR039C, YCR096C	snap_masked-scf7180000023346-processed-gene-1.281-mRNA-1_1&gene=snap_masked-scf7180000023346-processed-gene-1.281&CDS=1-672
52	OG0000052	YCR013C	genemark-scf7180000023332-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000023332-processed-gene-0.50&CDS=1-1533, genemark-scf7180000023384-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000023384-processed-gene-0.31&CDS=1-1995, maker-scf7180000023233-snap-gene-0.69-mRNA-1_1&gene=maker-scf7180000023233-snap-gene-0.69&CDS=1-4146
53	OG0000053	YCR028C	genemark-scf7180000023414-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000023414-processed-gene-0.37&CDS=1-1647, genemark-scf7180000023414-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000023414-processed-gene-0.38&CDS=1-1635, snap_masked-scf7180000023338-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000023338-processed-gene-0.27&CDS=1-1641
54	OG0000054	YDL219W	genemark-scf7180000022431-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000022431-processed-gene-0.3&CDS=1-480, genemark-scf7180000022432-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000022432-processed-gene-0.5&CDS=1-480, genemark-scf7180000023181-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000023181-processed-gene-0.5&CDS=1-480
55	OG0000055	YDR011W	genemark-scf7180000023317-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000023317-processed-gene-0.18&CDS=1-4545, genemark-scf7180000023396-processed-gene-1.70-mRNA-1_1&gene=genemark-scf7180000023396-processed-gene-1.70&CDS=1-4449, snap_masked-scf7180000023360-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scf7180000023360-processed-gene-0.73&CDS=1-4572
56	OG0000056	YDR028C	genemark-scf7180000022355-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000022355-processed-gene-0.8&CDS=1-2874, genemark-scf7180000022440-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000022440-processed-gene-0.0&CDS=1-1278, genemark-scf7180000023141-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000023141-processed-gene-0.14&CDS=1-1299
57	OG0000057	YDR071C	augustus_masked-scf7180000022468-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000022468-processed-gene-0.2&CDS=1-588, augustus_masked-scf7180000022469-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000022469-processed-gene-0.0&CDS=1-765, genemark-scf7180000023374-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000023374-processed-gene-0.8&CDS=1-903
