	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035690_Candida_vartiovaarae
10	OG0000010	YHL028W, YNL283C, YOL105C, YOR008C	genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-1.116-mRNA-1_1&gene=genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-1.116&CDS=1-912, genemark-NODE_34_length_76221_cov_23.773_ID_3140-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_34_length_76221_cov_23.773_ID_3140-processed-gene-0.48&CDS=1-1104, genemark-NODE_9_length_497673_cov_23.0063_ID_2152-processed-gene-1.61-mRNA-1_1&gene=genemark-NODE_9_length_497673_cov_23.0063_ID_2152-processed-gene-1.61&CDS=1-954
11	OG0000011	YHR050W, YLR034C, YOL122C	genemark-NODE_18_length_207861_cov_23.0039_ID_2975-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_18_length_207861_cov_23.0039_ID_2975-processed-gene-1.10&CDS=1-1743, genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.143-mRNA-1_1&gene=genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.143&CDS=1-1725, genemark-NODE_3_length_582014_cov_23.6254_ID_1337-processed-gene-1.89-mRNA-1_1&gene=genemark-NODE_3_length_582014_cov_23.6254_ID_1337-processed-gene-1.89&CDS=1-1719, genemark-NODE_9_length_497673_cov_23.0063_ID_2152-processed-gene-3.70-mRNA-1_1&gene=genemark-NODE_9_length_497673_cov_23.0063_ID_2152-processed-gene-3.70&CDS=1-1452
12	OG0000012	YJL110C, YKR034W	genemark-NODE_22_length_172800_cov_24.3706_ID_2264-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_22_length_172800_cov_24.3706_ID_2264-processed-gene-0.117&CDS=1-1113, genemark-NODE_39_length_54668_cov_51.9025_ID_3190-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_39_length_54668_cov_51.9025_ID_3190-processed-gene-0.39&CDS=1-1677, genemark-NODE_46_length_41916_cov_22.4466_ID_3590-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_46_length_41916_cov_22.4466_ID_3590-processed-gene-0.45&CDS=1-1170, genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-1.73-mRNA-1_1&gene=genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-1.73&CDS=1-1647, snap_masked-NODE_17_length_211088_cov_32.7383_ID_2339-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_17_length_211088_cov_32.7383_ID_2339-processed-gene-0.76&CDS=1-675
13	OG0000013	YJL139C, YKR061W, YOR099W	genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.168-mRNA-1_1&gene=genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.168&CDS=1-1266, genemark-NODE_54_length_18311_cov_23.878_ID_4239-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_54_length_18311_cov_23.878_ID_4239-processed-gene-0.19&CDS=1-1014, maker-NODE_20_length_178901_cov_27.0317_ID_2682-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_20_length_178901_cov_27.0317_ID_2682-snap-gene-0.5&CDS=1-2358, maker-NODE_20_length_178901_cov_27.0317_ID_2682-snap-gene-0.8-mRNA-1_1&gene=maker-NODE_20_length_178901_cov_27.0317_ID_2682-snap-gene-0.8&CDS=1-2406
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-3.157-mRNA-1_1&gene=genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-3.157&CDS=1-4572, genemark-NODE_4_length_566648_cov_23.4753_ID_1818-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_4_length_566648_cov_23.4753_ID_1818-processed-gene-0.82&CDS=1-4494
15	OG0000015	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-4.54&CDS=1-1695, genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-1.9&CDS=1-1848
16	OG0000016	YDL047W, YDR075W, YNR032W	genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-1.113-mRNA-1_1&gene=genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-1.113&CDS=1-918, genemark-NODE_20_length_178901_cov_27.0317_ID_2682-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_20_length_178901_cov_27.0317_ID_2682-processed-gene-0.90&CDS=1-927, genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.108&CDS=1-966
17	OG0000017	YDL210W, YER053C	augustus_masked-NODE_22_length_172800_cov_24.3706_ID_2264-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_22_length_172800_cov_24.3706_ID_2264-processed-gene-0.47&CDS=1-2535, genemark-NODE_18_length_207861_cov_23.0039_ID_2975-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_18_length_207861_cov_23.0039_ID_2975-processed-gene-1.47&CDS=1-1725, maker-NODE_19_length_180822_cov_36.1012_ID_4465-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_19_length_180822_cov_36.1012_ID_4465-snap-gene-0.5&CDS=1-1710, maker-NODE_7_length_529036_cov_27.7071_ID_1471-snap-gene-1.45-mRNA-1_1&gene=maker-NODE_7_length_529036_cov_27.7071_ID_1471-snap-gene-1.45&CDS=1-3354
18	OG0000018	YDL230W, YER075C, YOR208W	genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.120&CDS=1-1086, genemark-NODE_30_length_97626_cov_23.6733_ID_2772-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_30_length_97626_cov_23.6733_ID_2772-processed-gene-0.65&CDS=1-1941, snap_masked-NODE_24_length_153470_cov_22.5394_ID_2397-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_24_length_153470_cov_22.5394_ID_2397-processed-gene-0.124&CDS=1-1800
19	OG0000019	YDR380W, YLR044C	genemark-NODE_12_length_358393_cov_23.4571_ID_1576-processed-gene-2.9-mRNA-1_1&gene=genemark-NODE_12_length_358393_cov_23.4571_ID_1576-processed-gene-2.9&CDS=1-1728, genemark-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.151-mRNA-1_1&gene=genemark-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.151&CDS=1-1692, genemark-NODE_25_length_149664_cov_31.4308_ID_2431-processed-gene-0.148-mRNA-1_1&gene=genemark-NODE_25_length_149664_cov_31.4308_ID_2431-processed-gene-0.148&CDS=1-1800, genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-3.126-mRNA-1_1&gene=genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-3.126&CDS=1-1683
20	OG0000020	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-4.106-mRNA-1_1&gene=genemark-NODE_5_length_565793_cov_22.9871_ID_1255-processed-gene-4.106&CDS=1-1035, genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-1.33-mRNA-1_1&gene=genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-1.33&CDS=1-1071
21	OG0000021	YFR033C, YHL033C, YLL045C	genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-0.80&CDS=1-780, maker-NODE_1_length_719504_cov_26.1459_ID_4637-augustus-gene-4.3-mRNA-1_1&gene=maker-NODE_1_length_719504_cov_26.1459_ID_4637-augustus-gene-4.3&CDS=1-1182, snap_masked-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_8_length_507317_cov_22.9669_ID_5596-processed-gene-0.18&CDS=1-540
22	OG0000022	YGL227W, YKL124W, YMR171C	genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.190-mRNA-1_1&gene=genemark-NODE_21_length_177589_cov_23.0123_ID_2228-processed-gene-0.190&CDS=1-1563, genemark-NODE_35_length_75849_cov_23.0281_ID_2897-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_35_length_75849_cov_23.0281_ID_2897-processed-gene-0.71&CDS=1-1728, genemark-NODE_4_length_566648_cov_23.4753_ID_1818-processed-gene-4.65-mRNA-1_1&gene=genemark-NODE_4_length_566648_cov_23.4753_ID_1818-processed-gene-4.65&CDS=1-1392
23	OG0000023	YGR032W, YLR342W, YMR306W	augustus_masked-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-NODE_16_length_253005_cov_23.2191_ID_1666-processed-gene-1.200&CDS=1-5607, genemark-NODE_2_length_635021_cov_26.9864_ID_2124-processed-gene-3.49-mRNA-1_1&gene=genemark-NODE_2_length_635021_cov_26.9864_ID_2124-processed-gene-3.49&CDS=1-5457, genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-4.23-mRNA-1_1&gene=genemark-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-4.23&CDS=1-5694
24	OG0000024	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-NODE_13_length_358203_cov_22.5065_ID_1307-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_13_length_358203_cov_22.5065_ID_1307-processed-gene-0.127&CDS=1-2415, genemark-NODE_20_length_178901_cov_27.0317_ID_2682-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_20_length_178901_cov_27.0317_ID_2682-processed-gene-0.41&CDS=1-1989
25	OG0000025	YJL172W, YOL153C	genemark-NODE_14_length_337236_cov_23.4214_ID_1415-processed-gene-2.69-mRNA-1_1&gene=genemark-NODE_14_length_337236_cov_23.4214_ID_1415-processed-gene-2.69&CDS=1-1638, genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.175-mRNA-1_1&gene=genemark-NODE_23_length_170326_cov_35.0982_ID_2563-processed-gene-0.175&CDS=1-1692, genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-0.75&CDS=1-1731, genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-1.67-mRNA-1_1&gene=genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-1.67&CDS=1-1722
26	OG0000026	YKL046C, YMR238W	augustus_masked-NODE_2_length_635021_cov_26.9864_ID_2124-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_2_length_635021_cov_26.9864_ID_2124-processed-gene-0.100&CDS=1-1347, genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-3.129-mRNA-1_1&gene=genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-3.129&CDS=1-1353, genemark-NODE_13_length_358203_cov_22.5065_ID_1307-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_13_length_358203_cov_22.5065_ID_1307-processed-gene-0.18&CDS=1-1341, genemark-NODE_2_length_635021_cov_26.9864_ID_2124-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_2_length_635021_cov_26.9864_ID_2124-processed-gene-0.92&CDS=1-1338
27	OG0000027	YLR152C, YNL095C, YOR092W	genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-3.179-mRNA-1_1&gene=genemark-NODE_7_length_529036_cov_27.7071_ID_1471-processed-gene-3.179&CDS=1-1452, genemark-NODE_9_length_497673_cov_23.0063_ID_2152-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_9_length_497673_cov_23.0063_ID_2152-processed-gene-1.55&CDS=1-1464, genemark-NODE_9_length_497673_cov_23.0063_ID_2152-processed-gene-1.82-mRNA-1_1&gene=genemark-NODE_9_length_497673_cov_23.0063_ID_2152-processed-gene-1.82&CDS=1-1656
28	OG0000028	YAR019C, YDR523C	augustus_masked-NODE_14_length_337236_cov_23.4214_ID_1415-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_14_length_337236_cov_23.4214_ID_1415-processed-gene-0.50&CDS=1-3069, genemark-NODE_4_length_566648_cov_23.4753_ID_1818-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_4_length_566648_cov_23.4753_ID_1818-processed-gene-0.74&CDS=1-1476, genemark-NODE_53_length_25747_cov_23.1983_ID_8158-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_53_length_25747_cov_23.1983_ID_8158-processed-gene-0.8&CDS=1-1503
29	OG0000029	YBL056W, YBR125C, YER089C	genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-6.23-mRNA-1_1&gene=genemark-NODE_1_length_719504_cov_26.1459_ID_4637-processed-gene-6.23&CDS=1-1236, genemark-NODE_20_length_178901_cov_27.0317_ID_2682-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_20_length_178901_cov_27.0317_ID_2682-processed-gene-0.14&CDS=1-1005
30	OG0000030	YBR015C	genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-3.150-mRNA-1_1&gene=genemark-NODE_10_length_454449_cov_24.1248_ID_1905-processed-gene-3.150&CDS=1-1692, genemark-NODE_54_length_18311_cov_23.878_ID_4239-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_54_length_18311_cov_23.878_ID_4239-processed-gene-0.18&CDS=1-1791, maker-NODE_5_length_565793_cov_22.9871_ID_1255-augustus-gene-3.156-mRNA-1_1&gene=maker-NODE_5_length_565793_cov_22.9871_ID_1255-augustus-gene-3.156&CDS=1-2391, maker-NODE_7_length_529036_cov_27.7071_ID_1471-snap-gene-2.132-mRNA-1_1&gene=maker-NODE_7_length_529036_cov_27.7071_ID_1471-snap-gene-2.132&CDS=1-3855
31	OG0000031	YBR062C, YDR143C	genemark-NODE_22_length_172800_cov_24.3706_ID_2264-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_22_length_172800_cov_24.3706_ID_2264-processed-gene-0.107&CDS=1-525, genemark-NODE_42_length_50190_cov_23.5171_ID_3900-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_42_length_50190_cov_23.5171_ID_3900-processed-gene-0.36&CDS=1-981, snap_masked-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-4.159-mRNA-1_1&gene=snap_masked-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-4.159&CDS=1-1842
32	OG0000032	YBR118W, YKR084C, YPR080W	augustus_masked-NODE_77_length_1238_cov_50.6807_ID_7152-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_77_length_1238_cov_50.6807_ID_7152-processed-gene-0.2&CDS=1-1236, maker-NODE_40_length_53420_cov_24.2761_ID_3230-snap-gene-0.85-mRNA-1_1&gene=maker-NODE_40_length_53420_cov_24.2761_ID_3230-snap-gene-0.85&CDS=1-2151
33	OG0000033	YBR150C, YOL089C	augustus_masked-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-NODE_6_length_558662_cov_22.883_ID_1610-processed-gene-3.6&CDS=1-666, genemark-NODE_12_length_358393_cov_23.4571_ID_1576-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_12_length_358393_cov_23.4571_ID_1576-processed-gene-0.69&CDS=1-972, maker-NODE_46_length_41916_cov_22.4466_ID_3590-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_46_length_41916_cov_22.4466_ID_3590-snap-gene-0.2&CDS=1-4992
