	OrthologID	Hyphopichia_burtonii	Saccharomyces_cerevisiae
10	OG0000010	genemark-scaffold_1-processed-gene-21.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.72&CDS=1-960, genemark-scaffold_2-processed-gene-0.62-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.62&CDS=1-978, genemark-scaffold_3-processed-gene-6.74-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.74&CDS=1-939, genemark-scaffold_6-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.89&CDS=1-981, genemark-scaffold_6-processed-gene-5.39-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.39&CDS=1-987, snap_masked-scaffold_3-processed-gene-14.112-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.112&CDS=1-978	YKL128C
11	OG0000011	genemark-scaffold_1-processed-gene-23.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.87&CDS=1-2463, genemark-scaffold_2-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.76&CDS=1-2511, genemark-scaffold_3-processed-gene-5.111-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.111&CDS=1-2241, genemark-scaffold_9-processed-gene-4.200-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.200&CDS=1-2400, maker-scaffold_1-snap-gene-23.44-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.44&CDS=1-5115	YBR150C, YOL089C
12	OG0000012	augustus_masked-scaffold_4-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.49&CDS=1-2604, genemark-scaffold_4-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.81&CDS=1-2322, maker-scaffold_11-augustus-gene-0.17-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-0.17&CDS=1-3417, maker-scaffold_3-snap-gene-5.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-5.0&CDS=1-3468	YLL041C, YLR144C, YNR067C
13	OG0000013	augustus_masked-scaffold_8-processed-gene-5.145-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.145&CDS=1-4167, genemark-scaffold_1-processed-gene-1.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.46&CDS=1-4323, genemark-scaffold_1-processed-gene-20.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.75&CDS=1-4890, genemark-scaffold_6-processed-gene-6.112-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.112&CDS=1-4155, genemark-scaffold_7-processed-gene-8.76-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.76&CDS=1-3657	YGR281W
14	OG0000014	genemark-scaffold_1-processed-gene-1.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.47&CDS=1-1518, genemark-scaffold_2-processed-gene-0.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.64&CDS=1-1533, genemark-scaffold_2-processed-gene-15.108-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.108&CDS=1-1542, genemark-scaffold_4-processed-gene-1.78-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.78&CDS=1-1530, genemark-scaffold_4-processed-gene-5.33-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.33&CDS=1-2955	YIL097W
15	OG0000015	augustus_masked-scaffold_6-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.19&CDS=1-5364, genemark-scaffold_1-processed-gene-8.117-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.117&CDS=1-4500, genemark-scaffold_6-processed-gene-1.57-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.57&CDS=1-4440, genemark-scaffold_6-processed-gene-1.64-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.64&CDS=1-4485	YNR070W, YOR153W
16	OG0000016	genemark-scaffold_10-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.96&CDS=1-2031, genemark-scaffold_2-processed-gene-3.69-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.69&CDS=1-1806, genemark-scaffold_6-processed-gene-4.43-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.43&CDS=1-1626, genemark-scaffold_8-processed-gene-3.72-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.72&CDS=1-2172, maker-scaffold_1-augustus-gene-8.6-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.6&CDS=1-2901	YBR015C
17	OG0000017	genemark-scaffold_1-processed-gene-10.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.33&CDS=1-1950, maker-scaffold_3-snap-gene-10.8-mRNA-1_1&gene=maker-scaffold_3-snap-gene-10.8&CDS=1-4080, snap_masked-scaffold_7-processed-gene-6.101-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.101&CDS=1-2721	YLR098C, YNL101W, YOR337W
18	OG0000018	genemark-scaffold_1-processed-gene-11.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.54&CDS=1-3135, genemark-scaffold_5-processed-gene-1.33-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.33&CDS=1-2430, snap_masked-scaffold_2-processed-gene-15.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.40&CDS=1-3315	YBR245C, YFR038W, YOR304W
19	OG0000019	augustus_masked-scaffold_3-processed-gene-15.56-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.56&CDS=1-4197, genemark-scaffold_1-processed-gene-13.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.96&CDS=1-1959, maker-scaffold_3-snap-gene-4.134-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.134&CDS=1-2694	YAL005C, YJL034W, YLL024C
20	OG0000020	genemark-scaffold_1-processed-gene-15.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.102&CDS=1-573, genemark-scaffold_3-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.41&CDS=1-510	YBR067C, YER011W, YIL011W, YOR010C
21	OG0000021	genemark-scaffold_1-processed-gene-17.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.86&CDS=1-1788, genemark-scaffold_2-processed-gene-13.61-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.61&CDS=1-1932, genemark-scaffold_2-processed-gene-14.4-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.4&CDS=1-1698, genemark-scaffold_7-processed-gene-8.54-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.54&CDS=1-1698	YBR293W, YMR088C
22	OG0000022	genemark-scaffold_1-processed-gene-22.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.7&CDS=1-2991, genemark-scaffold_4-processed-gene-12.197-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.197&CDS=1-2826	YFR040W, YGL229C, YJL098W, YKR028W
23	OG0000023	augustus_masked-scaffold_5-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.80&CDS=1-4290, genemark-scaffold_1-processed-gene-25.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.61&CDS=1-1746, maker-scaffold_7-augustus-gene-6.6-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-6.6&CDS=1-2385	YGR187C, YJL172W, YOL153C
24	OG0000024	augustus_masked-scaffold_5-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.68&CDS=1-2043, genemark-scaffold_1-processed-gene-26.203-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.203&CDS=1-2514, genemark-scaffold_5-processed-gene-1.44-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.44&CDS=1-2748, genemark-scaffold_7-processed-gene-6.36-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.36&CDS=1-2712, maker-scaffold_5-snap-gene-1.88-mRNA-1_1&gene=maker-scaffold_5-snap-gene-1.88&CDS=1-2841	YPR194C
25	OG0000025	augustus_masked-scaffold_10-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.127&CDS=1-1701, genemark-scaffold_2-processed-gene-10.62-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.62&CDS=1-2262, genemark-scaffold_2-processed-gene-11.21-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.21&CDS=1-2334, genemark-scaffold_3-processed-gene-17.88-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-17.88&CDS=1-1692	YGL257C, YNR059W
26	OG0000026	genemark-scaffold_2-processed-gene-2.126-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.126&CDS=1-2145, genemark-scaffold_3-processed-gene-0.68-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.68&CDS=1-2268, genemark-scaffold_3-processed-gene-1.0-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.0&CDS=1-3345, genemark-scaffold_4-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.96&CDS=1-2151, snap_masked-scaffold_2-processed-gene-14.94-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.94&CDS=1-2175	YKR081C
27	OG0000027	augustus_masked-scaffold_2-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.84&CDS=1-1611, genemark-scaffold_6-processed-gene-6.124-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.124&CDS=1-4389, maker-scaffold_4-augustus-gene-6.116-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-6.116&CDS=1-2439	YCL024W, YDR477W, YDR507C
28	OG0000028	augustus_masked-scaffold_2-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.91&CDS=1-3903, genemark-scaffold_7-processed-gene-7.49-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.49&CDS=1-3300	YKL222C, YLR266C, YOR162C, YOR172W
29	OG0000029	genemark-scaffold_2-processed-gene-7.47-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.47&CDS=1-1137, genemark-scaffold_3-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.85&CDS=1-1245, genemark-scaffold_3-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.96&CDS=1-1182, genemark-scaffold_3-processed-gene-1.21-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.21&CDS=1-1209	YBR207W, YER145C
30	OG0000030	augustus_masked-scaffold_7-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.19&CDS=1-3468, genemark-scaffold_2-processed-gene-8.104-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.104&CDS=1-1755, genemark-scaffold_3-processed-gene-2.98-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.98&CDS=1-1329	YHL019C, YOL062C, YPL259C
31	OG0000031	augustus_masked-scaffold_3-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.84&CDS=1-1740, genemark-scaffold_2-processed-gene-18.182-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.182&CDS=1-1755	YBR297W, YFL052W, YGR288W, YPR196W
32	OG0000032	maker-scaffold_23-snap-gene-0.3-mRNA-1_1&gene=maker-scaffold_23-snap-gene-0.3&CDS=1-291, maker-scaffold_24-snap-gene-0.5-mRNA-1_1&gene=maker-scaffold_24-snap-gene-0.5&CDS=1-507	Q0045, Q0065, Q0070, Q0120
33	OG0000033	genemark-scaffold_3-processed-gene-11.37-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.37&CDS=1-2274, genemark-scaffold_3-processed-gene-7.48-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.48&CDS=1-1857, genemark-scaffold_4-processed-gene-11.4-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-11.4&CDS=1-2055	YGR249W, YHR206W, YOR140W
34	OG0000034	maker-scaffold_7-snap-gene-6.148-mRNA-1_1&gene=maker-scaffold_7-snap-gene-6.148&CDS=1-576, snap_masked-scaffold_3-processed-gene-14.134-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.134&CDS=1-462	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
35	OG0000035	genemark-scaffold_4-processed-gene-4.9-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.9&CDS=1-1860, genemark-scaffold_4-processed-gene-6.36-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.36&CDS=1-1914	YCL069W, YGR224W, YKR105C, YPR198W
36	OG0000036	genemark-scaffold_1-processed-gene-4.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.58&CDS=1-3717, genemark-scaffold_2-processed-gene-10.71-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.71&CDS=1-2193, genemark-scaffold_6-processed-gene-3.125-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.125&CDS=1-2268	YER015W, YPL235W
37	OG0000037	maker-scaffold_1-snap-gene-5.86-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.86&CDS=1-4746, maker-scaffold_7-augustus-gene-7.1-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-7.1&CDS=1-5208	YML072C, YNL087W, YOR086C
38	OG0000038	augustus_masked-scaffold_5-processed-gene-9.157-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.157&CDS=1-5694, genemark-scaffold_1-processed-gene-5.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.67&CDS=1-2448, genemark-scaffold_8-processed-gene-2.61-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.61&CDS=1-1242	YAR035W, YER024W
39	OG0000039	genemark-scaffold_1-processed-gene-5.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.64&CDS=1-1323, maker-scaffold_7-augustus-gene-1.61-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-1.61&CDS=1-2445	YJR139C, YLR300W, YOR190W
40	OG0000040	genemark-scaffold_1-processed-gene-21.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.71&CDS=1-2271, maker-scaffold_1-snap-gene-7.68-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.68&CDS=1-5988	YIL095W, YNL020C, YNL313C
41	OG0000041	genemark-scaffold_1-processed-gene-10.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.0&CDS=1-2793, genemark-scaffold_9-processed-gene-2.101-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.101&CDS=1-3417	YDR326C, YFL042C, YHR080C
42	OG0000042	genemark-scaffold_1-processed-gene-11.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.57&CDS=1-2016, genemark-scaffold_2-processed-gene-5.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.70&CDS=1-3642	YBR260C, YDR379W, YOR127W
43	OG0000043	genemark-scaffold_1-processed-gene-13.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.105&CDS=1-2547, genemark-scaffold_8-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.19&CDS=1-2796	YCR037C, YJL198W, YNR013C
44	OG0000044	genemark-scaffold_1-processed-gene-14.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.66&CDS=1-1419, maker-scaffold_5-augustus-gene-0.78-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-0.78&CDS=1-3228	YDR144C, YLR120C, YLR121C
45	OG0000045	genemark-scaffold_1-processed-gene-19.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.31&CDS=1-1278, snap_masked-scaffold_1-processed-gene-14.124-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.124&CDS=1-1971	YDL159W, YOR231W, YPL140C
46	OG0000046	genemark-scaffold_1-processed-gene-15.125-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.125&CDS=1-2058, genemark-scaffold_1-processed-gene-15.126-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.126&CDS=1-1320	YCL036W, YDR514C, YKL114C
47	OG0000047	augustus_masked-scaffold_1-processed-gene-17.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.57&CDS=1-627, genemark-scaffold_9-processed-gene-2.103-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.103&CDS=1-927, snap_masked-scaffold_9-processed-gene-2.10-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-2.10&CDS=1-1011	YJL079C, YKR013W
48	OG0000048	genemark-scaffold_1-processed-gene-18.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.71&CDS=1-1191, genemark-scaffold_1-processed-gene-25.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.80&CDS=1-1116, genemark-scaffold_7-processed-gene-6.57-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.57&CDS=1-1155, maker-scaffold_2-snap-gene-12.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-12.0&CDS=1-2124	YLL057C
49	OG0000049	augustus_masked-scaffold_1-processed-gene-19.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.100&CDS=1-1560, genemark-scaffold_1-processed-gene-19.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.29&CDS=1-1935, genemark-scaffold_1-processed-gene-25.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.70&CDS=1-1593	YGR197C, YJR015W
50	OG0000050	genemark-scaffold_1-processed-gene-23.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.81&CDS=1-1341, genemark-scaffold_1-processed-gene-26.157-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.157&CDS=1-1458, genemark-scaffold_4-processed-gene-12.172-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.172&CDS=1-1482, genemark-scaffold_4-processed-gene-7.41-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.41&CDS=1-1389	YOL119C
51	OG0000051	genemark-scaffold_1-processed-gene-24.129-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.129&CDS=1-1404, genemark-scaffold_4-processed-gene-5.11-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.11&CDS=1-1308	YBL089W, YER119C, YIL088C
52	OG0000052	genemark-scaffold_1-processed-gene-24.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.109&CDS=1-1191, genemark-scaffold_4-processed-gene-6.43-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.43&CDS=1-1212, maker-scaffold_9-snap-gene-3.0-mRNA-1_1&gene=maker-scaffold_9-snap-gene-3.0&CDS=1-3501	YHR179W, YPL171C
53	OG0000053	genemark-scaffold_2-processed-gene-7.18-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.18&CDS=1-3246, genemark-scaffold_4-processed-gene-3.126-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.126&CDS=1-3180, maker-scaffold_2-augustus-gene-0.40-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-0.40&CDS=1-3831	YBR038W, YNL192W
54	OG0000054	augustus_masked-scaffold_7-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.13&CDS=1-8472, genemark-scaffold_2-processed-gene-2.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.122&CDS=1-1008, genemark-scaffold_2-processed-gene-3.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.64&CDS=1-996	YDR245W, YKL085W
