	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034903_Ogataea_naganishii
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-6.22&CDS=1-1890, augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.62&CDS=1-2346
11	OG0000011	YLR201C, YMR169C, YMR170C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.120&CDS=1-1488, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.136&CDS=1-1485, augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.53&CDS=1-1518, genemark-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.16-mRNA-1_1&gene=genemark-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.16&CDS=1-2162
12	OG0000012	YOL119C, YOR306C	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.26&CDS=1-1350, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.5&CDS=1-1482, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-2.22&CDS=1-1647, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-5.24&CDS=1-1419, genemark-NODE_26_length_44827_cov_80.5645_ID_51-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_26_length_44827_cov_80.5645_ID_51-processed-gene-0.33&CDS=1-1521
13	OG0000013		augustus_masked-NODE_36_length_3072_cov_442.95_ID_71-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_36_length_3072_cov_442.95_ID_71-processed-gene-0.2&CDS=1-2046, augustus_masked-NODE_37_length_3072_cov_453.112_ID_73-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_37_length_3072_cov_453.112_ID_73-processed-gene-0.0&CDS=1-2046, augustus_masked-NODE_38_length_3072_cov_456.77_ID_75-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_38_length_3072_cov_456.77_ID_75-processed-gene-0.0&CDS=1-2046, augustus_masked-NODE_39_length_2976_cov_460.541_ID_77-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_39_length_2976_cov_460.541_ID_77-processed-gene-0.2&CDS=1-1950, augustus_masked-NODE_40_length_2447_cov_252.65_ID_79-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_40_length_2447_cov_252.65_ID_79-processed-gene-0.3&CDS=1-1335, snap_masked-NODE_40_length_2447_cov_252.65_ID_79-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_40_length_2447_cov_252.65_ID_79-processed-gene-0.1&CDS=1-318, snap_masked-NODE_43_length_2190_cov_448.373_ID_85-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_43_length_2190_cov_448.373_ID_85-processed-gene-0.1&CDS=1-1743
14	OG0000014	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
15	OG0000015	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.47&CDS=1-1413
16	OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_24_length_91208_cov_71.2268_ID_47-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_24_length_91208_cov_71.2268_ID_47-processed-gene-0.64&CDS=1-4929, augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-1.60&CDS=1-4509
17	OG0000017	YBL041W, YJL172W, YOL153C	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.170-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.170&CDS=1-1722, augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.109&CDS=1-1734, maker-NODE_7_length_679996_cov_70.6581_ID_13-augustus-gene-1.5-mRNA-1_1&gene=maker-NODE_7_length_679996_cov_70.6581_ID_13-augustus-gene-1.5&CDS=1-2418
18	OG0000018	YBR062C, YPR093C	augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-1.128&CDS=1-1767, augustus_masked-NODE_20_length_184659_cov_71.8452_ID_39-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NODE_20_length_184659_cov_71.8452_ID_39-processed-gene-0.169&CDS=1-2304, augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-6.18&CDS=1-651, snap_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.80&CDS=1-993
19	OG0000019	YBR132C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.69&CDS=1-3165, augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-1.32&CDS=1-1665, augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.154&CDS=1-1797, augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-3.2&CDS=1-1731, maker-NODE_6_length_768710_cov_73.8521_ID_11-augustus-gene-0.119-mRNA-1_1&gene=maker-NODE_6_length_768710_cov_73.8521_ID_11-augustus-gene-0.119&CDS=1-3879
20	OG0000020	YDL108W, YFL029C, YPR161C	augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.210-mRNA-1_1&gene=augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.210&CDS=1-924, augustus_masked-NODE_25_length_51826_cov_72.1866_ID_49-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_25_length_51826_cov_72.1866_ID_49-processed-gene-0.48&CDS=1-1662, augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.113&CDS=1-969
21	OG0000021	YDL123W, YDR276C, YDR525W-A, YJL151C	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.7&CDS=1-654, maker-NODE_3_length_860372_cov_71.9849_ID_5-augustus-gene-1.149-mRNA-1_1&gene=maker-NODE_3_length_860372_cov_71.9849_ID_5-augustus-gene-1.149&CDS=1-246
22	OG0000022	YDR326C, YFL042C, YHR080C, YLR072W	augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-2.42&CDS=1-3090, genemark-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-1.97-mRNA-1_1&gene=genemark-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-1.97&CDS=1-3033
23	OG0000023	YJR061W, YKL201C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.57&CDS=1-2205, augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-7.68&CDS=1-2712, augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.117-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.117&CDS=1-2364, genemark-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.169-mRNA-1_1&gene=genemark-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.169&CDS=1-2292
