	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034876_Tetrapisispora_iriomotensis
10	OG0000010	YFL060C, YMR095C, YNL334C	augustus_masked-flattened_line_0-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.94&CDS=1-687, augustus_masked-flattened_line_0-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.5&CDS=1-687
11	OG0000011	YML073C	augustus_masked-flattened_line_31-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.0&CDS=1-513, augustus_masked-flattened_line_31-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.55&CDS=1-210, augustus_masked-flattened_line_65-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.27&CDS=1-513, maker-flattened_line_39-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_39-augustus-gene-0.4&CDS=1-210
12	OG0000012	YMR242C, YOR312C	snap_masked-flattened_line_0-processed-gene-1.40-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.40&CDS=1-525, snap_masked-flattened_line_0-processed-gene-9.140-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.140&CDS=1-525, snap_masked-flattened_line_23-processed-gene-2.95-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.95&CDS=1-519
13	OG0000013	YAL028W, YOR324C	augustus_masked-flattened_line_13-processed-gene-3.213-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.213&CDS=1-1557, snap_masked-flattened_line_29-processed-gene-1.179-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.179&CDS=1-1038
14	OG0000014	YBL002W, YDR224C	augustus_masked-flattened_line_1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-0.110&CDS=1-390, augustus_masked-flattened_line_1-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.30&CDS=1-384
15	OG0000015	YBL003C, YDR225W	augustus_masked-flattened_line_1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-0.94&CDS=1-396, augustus_masked-flattened_line_1-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.13&CDS=1-396
16	OG0000016	YBL027W, YBR084C-A	augustus_masked-flattened_line_19-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.24&CDS=1-588, snap_masked-flattened_line_55-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.142&CDS=1-573
17	OG0000017	YBL043W, YJR115W	snap_masked-flattened_line_3-processed-gene-1.123-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.123&CDS=1-585, snap_masked-flattened_line_41-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.86&CDS=1-321
18	OG0000018	YBR010W, YNL031C	augustus_masked-flattened_line_15-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.104&CDS=1-408, augustus_masked-flattened_line_3-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.78&CDS=1-408
19	OG0000019	YBR089C-A, YPR052C	augustus_masked-flattened_line_19-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.18&CDS=1-288, augustus_masked-flattened_line_55-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.45&CDS=1-279
20	OG0000020	YBR181C, YPL090C	augustus_masked-flattened_line_17-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-2.35&CDS=1-708, augustus_masked-flattened_line_5-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-0.100&CDS=1-708
21	OG0000021	YBR189W, YPL081W	maker-flattened_line_1-snap-gene-2.150-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-2.150&CDS=1-966, maker-flattened_line_5-snap-gene-0.84-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-0.84&CDS=1-957
22	OG0000022	YBR264C, YKR014C	augustus_masked-flattened_line_3-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.26&CDS=1-624, augustus_masked-flattened_line_3-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.33&CDS=1-663
23	OG0000023	YCL026C-A, YCL026C-B	augustus_masked-flattened_line_3-processed-gene-5.167-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-5.167&CDS=1-576, augustus_masked-flattened_line_3-processed-gene-5.168-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-5.168&CDS=1-576
24	OG0000024	YCL035C, YDR513W	augustus_masked-flattened_line_7-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-3.113&CDS=1-318, snap_masked-flattened_line_3-processed-gene-5.95-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-5.95&CDS=1-414
25	OG0000025	YCL067C, YCR039C, YCR096C	maker-flattened_line_133-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_133-snap-gene-0.8&CDS=1-690
26	OG0000026	YCR031C, YJL191W	augustus_masked-flattened_line_61-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_61-processed-gene-0.24&CDS=1-408, augustus_masked-flattened_line_71-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.79&CDS=1-402
27	OG0000027	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_5-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-2.26&CDS=1-1236
28	OG0000028	YCR105W	augustus_masked-flattened_line_17-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.4&CDS=1-1083, augustus_masked-flattened_line_5-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-3.100&CDS=1-1077, maker-flattened_line_112-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_112-augustus-gene-0.3&CDS=1-870
29	OG0000029	YDL075W, YLR406C	augustus_masked-flattened_line_31-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-1.74&CDS=1-339, augustus_masked-flattened_line_39-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.137&CDS=1-339
30	OG0000030	YDL229W, YNL209W	augustus_masked-flattened_line_73-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.32&CDS=1-750, augustus_masked-flattened_line_75-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_75-processed-gene-0.6&CDS=1-750
31	OG0000031	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_102-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.3&CDS=1-2931
32	OG0000032	YDR155C, YML078W	augustus_masked-flattened_line_31-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.25&CDS=1-1050, maker-flattened_line_17-augustus-gene-2.0-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-2.0&CDS=1-1671
33	OG0000033	YDR312W, YHR066W	snap_masked-flattened_line_41-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.57&CDS=1-1173, snap_masked-flattened_line_49-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.143&CDS=1-1173
34	OG0000034	YDR418W, YEL054C	augustus_masked-flattened_line_27-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-2.18&CDS=1-495, augustus_masked-flattened_line_57-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.124&CDS=1-495
35	OG0000035	YDR423C, YML007W	augustus_masked-flattened_line_21-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.119&CDS=1-1425, augustus_masked-flattened_line_37-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.185&CDS=1-1638
36	OG0000036	YDR447C, YML024W	augustus_masked-flattened_line_37-processed-gene-1.191-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.191&CDS=1-450, snap_masked-flattened_line_21-processed-gene-1.131-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.131&CDS=1-432
37	OG0000037	YDR450W, YML026C	augustus_masked-flattened_line_21-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.13&CDS=1-438, augustus_masked-flattened_line_37-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.159&CDS=1-438
38	OG0000038	YDR461W, YNL145W	augustus_masked-flattened_line_0-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.102&CDS=1-234, maker-flattened_line_0-augustus-gene-2.43-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-2.43&CDS=1-234
39	OG0000039	YEL034W, YJR047C	augustus_masked-flattened_line_35-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.41&CDS=1-474, augustus_masked-flattened_line_5-processed-gene-5.179-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.179&CDS=1-474
40	OG0000040	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_11-processed-gene-3.215-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.215&CDS=1-1617
41	OG0000041	YFL042C, YLR072W	augustus_masked-flattened_line_25-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.49&CDS=1-2076, augustus_masked-flattened_line_35-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-1.166&CDS=1-2133
42	OG0000042	YFR031C-A, YIL018W	augustus_masked-flattened_line_1-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-4.124&CDS=1-762, augustus_masked-flattened_line_47-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.48&CDS=1-762
43	OG0000043	YFR053C, YGL253W	augustus_masked-flattened_line_0-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.112&CDS=1-1458, augustus_masked-flattened_line_0-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.130&CDS=1-1458
44	OG0000044	YGL147C, YNL067W	augustus_masked-flattened_line_23-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.35&CDS=1-573, augustus_masked-flattened_line_3-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.35&CDS=1-573
45	OG0000045	YGL162W, YPR009W	augustus_masked-flattened_line_51-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.13&CDS=1-1041, augustus_masked-flattened_line_9-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.26&CDS=1-912
46	OG0000046	YGL262W	augustus_masked-flattened_line_224-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_224-processed-gene-0.1&CDS=1-729, augustus_masked-flattened_line_65-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.42&CDS=1-1317, snap_masked-flattened_line_110-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.0&CDS=1-1401
47	OG0000047	YGR027C, YLR333C	augustus_masked-flattened_line_37-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.89&CDS=1-324, augustus_masked-flattened_line_39-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-1.156&CDS=1-324
48	OG0000048	YGR118W, YPR132W	augustus_masked-flattened_line_21-processed-gene-2.187-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.187&CDS=1-435, augustus_masked-flattened_line_49-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.16&CDS=1-435
49	OG0000049	YHL003C, YKL008C	augustus_masked-flattened_line_0-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.104&CDS=1-1344, augustus_masked-flattened_line_0-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.126&CDS=1-1344
50	OG0000050	YHR139C, YNL160W	augustus_masked-flattened_line_9-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.66&CDS=1-1086, snap_masked-flattened_line_5-processed-gene-3.74-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-3.74&CDS=1-1179
51	OG0000051	YHR203C, YJR145C	augustus_masked-flattened_line_65-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.51&CDS=1-783, augustus_masked-flattened_line_9-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-0.6&CDS=1-783
52	OG0000052	YHR216W, YLR432W, YML056C	maker-flattened_line_31-augustus-gene-1.3-mRNA-1_1&gene=maker-flattened_line_31-augustus-gene-1.3&CDS=1-1590
53	OG0000053	YIL095W, YNL020C	augustus_masked-flattened_line_3-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.105&CDS=1-2133, augustus_masked-flattened_line_9-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-1.98&CDS=1-2199
54	OG0000054	YIL133C, YNL069C	augustus_masked-flattened_line_25-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.54&CDS=1-600, snap_masked-flattened_line_5-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.60&CDS=1-600
55	OG0000055	YIL149C, YKR095W	augustus_masked-flattened_line_41-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.18&CDS=1-4032, snap_masked-flattened_line_33-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.82&CDS=1-3609
56	OG0000056	YIR018W, YOL028C	snap_masked-flattened_line_13-processed-gene-3.92-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.92&CDS=1-996, snap_masked-flattened_line_5-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.45&CDS=1-945
57	OG0000057	YJL079C	augustus_masked-flattened_line_0-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.71&CDS=1-645, augustus_masked-flattened_line_0-processed-gene-8.113-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.113&CDS=1-645, augustus_masked-flattened_line_3-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.49&CDS=1-837
58	OG0000058	YJL082W, YKR018C	snap_masked-flattened_line_0-processed-gene-2.94-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.94&CDS=1-2358, snap_masked-flattened_line_0-processed-gene-8.89-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.89&CDS=1-2358
59	OG0000059	YJL083W	augustus_masked-flattened_line_0-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.49&CDS=1-2253, augustus_masked-flattened_line_0-processed-gene-8.135-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.135&CDS=1-2253, augustus_masked-flattened_line_3-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.25&CDS=1-2070
60	OG0000060	YJL099W, YKR027W	augustus_masked-flattened_line_0-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.92&CDS=1-2517, augustus_masked-flattened_line_0-processed-gene-9.218-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.218&CDS=1-2517
61	OG0000061	YJL164C, YKL166C, YPL203W	maker-flattened_line_27-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_27-snap-gene-1.0&CDS=1-2829
62	OG0000062	YJL172W, YOL153C	augustus_masked-flattened_line_83-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.27&CDS=1-1650, snap_masked-flattened_line_41-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.87&CDS=1-1737
63	OG0000063	YJL190C, YLR367W	augustus_masked-flattened_line_61-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_61-processed-gene-0.7&CDS=1-390, maker-flattened_line_39-augustus-gene-1.191-mRNA-1_1&gene=maker-flattened_line_39-augustus-gene-1.191&CDS=1-390
64	OG0000064	YKL126W, YMR104C	genemark-flattened_line_0-processed-gene-3.75-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.75&CDS=1-2052, genemark-flattened_line_0-processed-gene-7.139-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.139&CDS=1-2052
65	OG0000065	YKL220C, YNR060W, YOR381W	augustus_masked-flattened_line_65-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.38&CDS=1-2145
66	OG0000066	YLR029C, YMR121C	augustus_masked-flattened_line_0-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.115&CDS=1-612, augustus_masked-flattened_line_0-processed-gene-7.41-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.41&CDS=1-612
67	OG0000067	YLR182W	augustus_masked-flattened_line_63-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_63-processed-gene-0.107&CDS=1-1686, snap_masked-flattened_line_133-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.4&CDS=1-183, snap_masked-flattened_line_19-processed-gene-3.91-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-3.91&CDS=1-183
68	OG0000068	YLR237W, YOR071C, YOR192C	augustus_masked-flattened_line_1-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.146&CDS=1-1776
69	OG0000069	YLR260W, YOR171C	augustus_masked-flattened_line_37-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-1.173&CDS=1-1680, augustus_masked-flattened_line_5-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-4.2&CDS=1-2037
70	OG0000070	YMR105C	augustus_masked-flattened_line_0-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.124&CDS=1-1707, augustus_masked-flattened_line_0-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.32&CDS=1-1707, augustus_masked-flattened_line_59-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_59-processed-gene-0.21&CDS=1-1707
71	OG0000071	YMR116C	maker-flattened_line_0-augustus-gene-3.150-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.150&CDS=1-954, maker-flattened_line_0-augustus-gene-7.52-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-7.52&CDS=1-954, maker-flattened_line_59-augustus-gene-0.53-mRNA-1_1&gene=maker-flattened_line_59-augustus-gene-0.53&CDS=1-954
72	OG0000072	YMR194W, YPL249C-A	augustus_masked-flattened_line_13-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-2.92&CDS=1-300, maker-flattened_line_21-augustus-gene-2.177-mRNA-1_1&gene=maker-flattened_line_21-augustus-gene-2.177&CDS=1-300
73	OG0000073	YMR230W, YOR293W	snap_masked-flattened_line_11-processed-gene-2.135-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.135&CDS=1-315, snap_masked-flattened_line_23-processed-gene-2.142-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.142&CDS=1-309
74	OG0000074	YNL302C, YOL121C	augustus_masked-flattened_line_7-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-4.38&CDS=1-432, maker-flattened_line_17-augustus-gene-0.48-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-0.48&CDS=1-432
75	OG0000075	YOL055C, YPL258C, YPR121W	augustus_masked-flattened_line_25-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-2.66&CDS=1-1665
76	OG0000076	YAL005C, YLL024C	maker-flattened_line_33-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_33-snap-gene-0.1&CDS=1-2769
77	OG0000077	YAL007C, YOR016C	augustus_masked-flattened_line_13-processed-gene-3.174-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.174&CDS=1-630
78	OG0000078	YAL017W, YOL045W	augustus_masked-flattened_line_13-processed-gene-3.209-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.209&CDS=1-4083
79	OG0000079	YAL034C, YOR338W	augustus_masked-flattened_line_29-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.103&CDS=1-1062
80	OG0000080	YAL051W, YOR363C	augustus_masked-flattened_line_29-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.77&CDS=1-3669
81	OG0000081	YAL056W, YOR371C	snap_masked-flattened_line_13-processed-gene-3.152-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.152&CDS=1-2475
82	OG0000082	YAL058W	augustus_masked-flattened_line_13-processed-gene-3.230-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.230&CDS=1-1839, genemark-flattened_line_29-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.2&CDS=1-1581
83	OG0000083	YAL062W, YOR375C	snap_masked-flattened_line_29-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.37&CDS=1-1380
84	OG0000084	YBL005W, YGL013C	augustus_masked-flattened_line_45-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.11&CDS=1-3531
85	OG0000085	YBL030C, YBR085W	augustus_masked-flattened_line_19-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.41&CDS=1-909
86	OG0000086	YBL056W, YER089C	augustus_masked-flattened_line_17-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.17&CDS=1-1413
