	OrthologID	Naumovozyma_castellii	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-HE576752-processed-gene-26.142-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-26.142&CDS=1-1635, augustus_masked-HE576756-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.30&CDS=1-1599, augustus_masked-HE576756-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.31&CDS=1-1584, augustus_masked-HE576756-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.33&CDS=1-1596	YER056C, YER060W, YER060W-A
11	OG0000011	augustus_masked-HE576752-processed-gene-28.131-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-28.131&CDS=1-1689, augustus_masked-HE576752-processed-gene-28.96-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-28.96&CDS=1-1695, augustus_masked-HE576755-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-3.92&CDS=1-1692	YGR087C, YLR044C, YLR134W
12	OG0000012	maker-HE576753-snap-gene-3.54-mRNA-1_1&gene=maker-HE576753-snap-gene-3.54&CDS=1-978, maker-HE576754-snap-gene-3.109-mRNA-1_1&gene=maker-HE576754-snap-gene-3.109&CDS=1-1002	YBR189W, YBR191W, YPL079W, YPL081W
13	OG0000013	augustus_masked-HE576756-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.10&CDS=1-1122, augustus_masked-HE576758-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-3.3&CDS=1-1125, augustus_masked-HE576758-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-4.85&CDS=1-1122	YCR102C, YLR460C, YNL134C
14	OG0000014		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
15	OG0000015	augustus_masked-HE576757-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-5.48&CDS=1-4131, augustus_masked-HE576757-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-5.49&CDS=1-2250, snap_masked-HE576752-processed-gene-0.62-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-0.62&CDS=1-3384, snap_masked-HE576757-processed-gene-4.96-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-4.96&CDS=1-2811, snap_masked-HE576757-processed-gene-5.110-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-5.110&CDS=1-5760	
16	OG0000016	augustus_masked-HE576752-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-4.151&CDS=1-1617, augustus_masked-HE576753-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-0.106&CDS=1-1626, augustus_masked-HE576754-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-0.52&CDS=1-1551	YML116W, YMR279C
17	OG0000017	augustus_masked-HE576752-processed-gene-13.37-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-13.37&CDS=1-1548, augustus_masked-HE576756-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-0.63&CDS=1-2244, augustus_masked-HE576759-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-4.55&CDS=1-786, augustus_masked-HE576761-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-3.80&CDS=1-786	YML041C
18	OG0000018	augustus_masked-HE576752-processed-gene-14.128-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-14.128&CDS=1-996, augustus_masked-HE576752-processed-gene-21.108-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-21.108&CDS=1-996, augustus_masked-HE576755-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-3.77&CDS=1-996	YGR192C, YJR009C
19	OG0000019	augustus_masked-HE576757-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.95&CDS=1-4593, augustus_masked-HE576759-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-4.68&CDS=1-4560, genemark-HE576752-processed-gene-24.113-mRNA-1_1&gene=genemark-HE576752-processed-gene-24.113&CDS=1-4629	YDR406W, YOR153W
20	OG0000020	augustus_masked-HE576753-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-1.75&CDS=1-2094, augustus_masked-HE576754-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-1.66&CDS=1-2079	YIL009W, YMR246W, YOR317W
21	OG0000021	augustus_masked-HE576753-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-2.138&CDS=1-2583, snap_masked-HE576754-processed-gene-3.56-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-3.56&CDS=1-1299	YOR229W, YOR230W, YPL139C
22	OG0000022	genemark-HE576753-processed-gene-10.9-mRNA-1_1&gene=genemark-HE576753-processed-gene-10.9&CDS=1-5097	YBL017C, YIL173W, YJL222W, YNR065C
23	OG0000023	augustus_masked-HE576753-processed-gene-11.157-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-11.157&CDS=1-2973, augustus_masked-HE576755-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-2.79&CDS=1-1095, augustus_masked-HE576755-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-2.80&CDS=1-2166	YDL113C, YMR152W
24	OG0000024	augustus_masked-HE576753-processed-gene-11.162-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-11.162&CDS=1-309, augustus_masked-HE576756-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-2.125&CDS=1-309, augustus_masked-HE576758-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-6.76&CDS=1-309	YBR009C, YNL030W
25	OG0000025	augustus_masked-HE576753-processed-gene-11.140-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-11.140&CDS=1-408, augustus_masked-HE576756-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-2.153&CDS=1-408, augustus_masked-HE576758-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-6.100&CDS=1-408	YBR010W, YNL031C
26	OG0000026	augustus_masked-HE576754-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.24&CDS=1-1200, augustus_masked-HE576755-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-2.90&CDS=1-1200, augustus_masked-HE576761-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-3.128&CDS=1-1200	YHR179W, YPL171C
27	OG0000027	maker-HE576754-snap-gene-5.43-mRNA-1_1&gene=maker-HE576754-snap-gene-5.43&CDS=1-219	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
28	OG0000028	augustus_masked-HE576755-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-3.87&CDS=1-2112, augustus_masked-HE576759-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-1.121&CDS=1-1938, augustus_masked-HE576759-processed-gene-5.172-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-5.172&CDS=1-2031	YMR008C, YOL011W
29	OG0000029	snap_masked-HE576755-processed-gene-8.82-mRNA-1_1&gene=snap_masked-HE576755-processed-gene-8.82&CDS=1-507, snap_masked-HE576758-processed-gene-1.50-mRNA-1_1&gene=snap_masked-HE576758-processed-gene-1.50&CDS=1-411, snap_masked-HE576758-processed-gene-3.107-mRNA-1_1&gene=snap_masked-HE576758-processed-gene-3.107&CDS=1-435	YMR195W, YPL250C
30	OG0000030	augustus_masked-HE576755-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-8.8&CDS=1-1560, maker-HE576758-augustus-gene-1.154-mRNA-1_1&gene=maker-HE576758-augustus-gene-1.154&CDS=1-3444	YMR199W, YNR006W, YPL256C
31	OG0000031	snap_masked-HE576759-processed-gene-2.82-mRNA-1_1&gene=snap_masked-HE576759-processed-gene-2.82&CDS=1-1140	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
32	OG0000032	augustus_masked-HE576753-processed-gene-16.147-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-16.147&CDS=1-2040, snap_masked-HE576752-processed-gene-0.75-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-0.75&CDS=1-2058	YCL025C, YDR508C
33	OG0000033	augustus_masked-HE576752-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-0.34&CDS=1-1548, snap_masked-HE576753-processed-gene-16.73-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-16.73&CDS=1-1584	YDR501W, YLR183C
34	OG0000034	augustus_masked-HE576752-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-1.100&CDS=1-1632, augustus_masked-HE576752-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-1.85&CDS=1-1821	YEL063C, YNL268W
35	OG0000035	snap_masked-HE576752-processed-gene-2.76-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-2.76&CDS=1-1599, snap_masked-HE576755-processed-gene-7.56-mRNA-1_1&gene=snap_masked-HE576755-processed-gene-7.56&CDS=1-4110	YGL073W, YPL202C
36	OG0000036	augustus_masked-HE576752-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-4.108&CDS=1-5511, snap_masked-HE576761-processed-gene-1.125-mRNA-1_1&gene=snap_masked-HE576761-processed-gene-1.125&CDS=1-5610	YGR032W, YLR342W
37	OG0000037	augustus_masked-HE576752-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-4.134&CDS=1-339, augustus_masked-HE576761-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-3.83&CDS=1-339	YDL075W, YLR406C
38	OG0000038	maker-HE576752-augustus-gene-5.1-mRNA-1_1&gene=maker-HE576752-augustus-gene-5.1&CDS=1-1557	YHR216W, YLR432W, YML056C
39	OG0000039	augustus_masked-HE576752-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.91&CDS=1-768, augustus_masked-HE576754-processed-gene-11.27-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-11.27&CDS=1-768	YHL033C, YLL045C
40	OG0000040	genemark-HE576752-processed-gene-6.47-mRNA-1_1&gene=genemark-HE576752-processed-gene-6.47&CDS=1-2115	YKL220C, YNR060W, YOR381W
41	OG0000041	augustus_masked-HE576758-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-0.62&CDS=1-5205, snap_masked-HE576752-processed-gene-6.32-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.32&CDS=1-5364	YIL149C, YKR095W
42	OG0000042	augustus_masked-HE576752-processed-gene-9.161-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.161&CDS=1-1752, augustus_masked-HE576755-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-8.14&CDS=1-1875	YCR048W, YNR019W
43	OG0000043	augustus_masked-HE576752-processed-gene-15.144-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-15.144&CDS=1-1116, snap_masked-HE576752-processed-gene-10.25-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.25&CDS=1-1068	YKL093W, YMR081C
44	OG0000044	augustus_masked-HE576752-processed-gene-11.27-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-11.27&CDS=1-408, maker-HE576757-augustus-gene-2.0-mRNA-1_1&gene=maker-HE576757-augustus-gene-2.0&CDS=1-414	YHL001W, YKL006W
45	OG0000045	augustus_masked-HE576752-processed-gene-12.148-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-12.148&CDS=1-783, snap_masked-HE576761-processed-gene-3.194-mRNA-1_1&gene=snap_masked-HE576761-processed-gene-3.194&CDS=1-783	YHR203C, YJR145C
46	OG0000046	augustus_masked-HE576752-processed-gene-12.151-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-12.151&CDS=1-1206, augustus_masked-HE576761-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-3.114&CDS=1-1125	YHR208W, YJR148W
47	OG0000047	augustus_masked-HE576752-processed-gene-13.0-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-13.0&CDS=1-2739, augustus_masked-HE576753-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-10.91&CDS=1-2712	YGL008C, YPL036W
48	OG0000048	augustus_masked-HE576752-processed-gene-16.31-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-16.31&CDS=1-3111, augustus_masked-HE576759-processed-gene-5.210-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-5.210&CDS=1-3219	YKL068W, YMR047C
49	OG0000049	augustus_masked-HE576759-processed-gene-5.167-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-5.167&CDS=1-6654, snap_masked-HE576752-processed-gene-17.80-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-17.80&CDS=1-3171	YIR033W, YKL022C
50	OG0000050	augustus_masked-HE576752-processed-gene-17.17-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-17.17&CDS=1-2115, augustus_masked-HE576755-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-1.24&CDS=1-2121	YFR015C, YLR258W
51	OG0000051	augustus_masked-HE576752-processed-gene-20.122-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-20.122&CDS=1-1044, genemark-HE576754-processed-gene-9.44-mRNA-1_1&gene=genemark-HE576754-processed-gene-9.44&CDS=1-1032	YNL301C, YOL120C
52	OG0000052	augustus_masked-HE576752-processed-gene-20.131-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-20.131&CDS=1-1947, augustus_masked-HE576755-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-8.37&CDS=1-1899	YBR021W, YIR028W
53	OG0000053	augustus_masked-HE576752-processed-gene-20.139-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-20.139&CDS=1-468, augustus_masked-HE576760-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-3.129&CDS=1-468	YBR048W, YDR025W
54	OG0000054	augustus_masked-HE576752-processed-gene-20.166-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-20.166&CDS=1-1746, genemark-HE576760-processed-gene-3.12-mRNA-1_1&gene=genemark-HE576760-processed-gene-3.12&CDS=1-2010	YBR049C, YDR026C
55	OG0000055	augustus_masked-HE576752-processed-gene-21.95-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-21.95&CDS=1-945, augustus_masked-HE576760-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-3.128&CDS=1-990	YBR054W, YDR033W
56	OG0000056	augustus_masked-HE576752-processed-gene-21.120-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-21.120&CDS=1-3255	YDR038C, YDR039C, YDR040C
57	OG0000057	augustus_masked-HE576752-processed-gene-22.64-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-22.64&CDS=1-303, augustus_masked-HE576760-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-2.58&CDS=1-282	YBR089C-A, YPR052C
58	OG0000058	augustus_masked-HE576752-processed-gene-22.94-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-22.94&CDS=1-1479, augustus_masked-HE576760-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-1.71&CDS=1-8205	YBR126C, YBR127C
59	OG0000059	augustus_masked-HE576752-processed-gene-23.61-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-23.61&CDS=1-1218, augustus_masked-HE576756-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-1.85&CDS=1-1161	YGR109C, YPR120C
60	OG0000060	augustus_masked-HE576752-processed-gene-23.66-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-23.66&CDS=1-435, augustus_masked-HE576756-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-1.84&CDS=1-435	YGR118W, YPR132W
61	OG0000061	augustus_masked-HE576752-processed-gene-23.74-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-23.74&CDS=1-2526, augustus_masked-HE576759-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-4.61&CDS=1-2526	YDR385W, YOR133W
62	OG0000062	augustus_masked-HE576752-processed-gene-24.6-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-24.6&CDS=1-495, augustus_masked-HE576759-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-5.130&CDS=1-495	YDR418W, YEL054C
63	OG0000063	augustus_masked-HE576752-processed-gene-24.8-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-24.8&CDS=1-2241, augustus_masked-HE576758-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-HE576758-processed-gene-6.67&CDS=1-2022	YJR059W, YKL198C
64	OG0000064	augustus_masked-HE576752-processed-gene-24.9-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-24.9&CDS=1-3504, snap_masked-HE576758-processed-gene-6.19-mRNA-1_1&gene=snap_masked-HE576758-processed-gene-6.19&CDS=1-2982	YJR061W, YKL201C
65	OG0000065	augustus_masked-HE576752-processed-gene-24.45-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-24.45&CDS=1-762, maker-HE576756-augustus-gene-3.43-mRNA-1_1&gene=maker-HE576756-augustus-gene-3.43&CDS=1-762	YFR031C-A, YIL018W
66	OG0000066	augustus_masked-HE576752-processed-gene-26.125-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-26.125&CDS=1-2580, augustus_masked-HE576756-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.15&CDS=1-2724	YER070W, YIL066C
67	OG0000067	maker-HE576752-augustus-gene-27.143-mRNA-1_1&gene=maker-HE576752-augustus-gene-27.143&CDS=1-1584, maker-HE576756-augustus-gene-7.223-mRNA-1_1&gene=maker-HE576756-augustus-gene-7.223&CDS=1-1593	YDL131W, YDL182W
68	OG0000068	augustus_masked-HE576752-processed-gene-27.59-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-27.59&CDS=1-1095, augustus_masked-HE576756-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.91&CDS=1-1020	YDL134C, YDL188C
69	OG0000069	augustus_masked-HE576752-processed-gene-27.82-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-27.82&CDS=1-2394, augustus_masked-HE576756-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-7.127&CDS=1-2628	YDL138W, YDL194W
