	OrthologID	Komagataella_pastoris	Saccharomyces_cerevisiae
10	OG0000010	snap_masked-chromosome_2-processed-gene-19.69-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-19.69&CDS=1-1071, snap_masked-chromosome_3-processed-gene-11.99-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-11.99&CDS=1-1128	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C
11	OG0000011	maker-chromosome_3-snap-gene-8.174-mRNA-1_1&gene=maker-chromosome_3-snap-gene-8.174&CDS=1-4095, snap_masked-chromosome_3-processed-gene-0.21-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-0.21&CDS=1-1059, snap_masked-chromosome_4-processed-gene-6.69-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.69&CDS=1-1065	YDR541C, YGL039W, YGL157W, YOL151W
12	OG0000012	snap_masked-chromosome_1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.47&CDS=1-765, snap_masked-chromosome_2-processed-gene-4.125-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-4.125&CDS=1-810, snap_masked-chromosome_2-processed-gene-9.85-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-9.85&CDS=1-735, snap_masked-chromosome_3-processed-gene-2.122-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.122&CDS=1-792, snap_masked-chromosome_4-processed-gene-7.64-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-7.64&CDS=1-771	YKL055C
13	OG0000013	maker-chromosome_4-snap-gene-11.3-mRNA-1_1&gene=maker-chromosome_4-snap-gene-11.3&CDS=1-2658, snap_masked-chromosome_1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-0.54&CDS=1-2694, snap_masked-chromosome_1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.19&CDS=1-2589	YLL005C, YMR266W, YOL084W
14	OG0000014	augustus_masked-chromosome_1-processed-gene-19.144-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-19.144&CDS=1-1113, maker-chromosome_3-snap-gene-0.33-mRNA-1_1&gene=maker-chromosome_3-snap-gene-0.33&CDS=1-1017, snap_masked-chromosome_1-processed-gene-1.5-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.5&CDS=1-522, snap_masked-chromosome_3-processed-gene-16.112-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.112&CDS=1-2664, snap_masked-chromosome_4-processed-gene-5.120-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.120&CDS=1-588	YBR240C
15	OG0000015	maker-chromosome_1-augustus-gene-2.113-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-2.113&CDS=1-3645, snap_masked-chromosome_2-processed-gene-17.23-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-17.23&CDS=1-933, snap_masked-chromosome_2-processed-gene-22.239-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.239&CDS=1-1272	YFR004W, YHL024W, YLR073C
16	OG0000016	snap_masked-chromosome_1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-2.6&CDS=1-2136, snap_masked-chromosome_2-processed-gene-20.189-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.189&CDS=1-1434, snap_masked-chromosome_3-processed-gene-21.182-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-21.182&CDS=1-1758	YDL025C, YNL183C, YOR267C
17	OG0000017	snap_masked-chromosome_1-processed-gene-16.8-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-16.8&CDS=1-1695, snap_masked-chromosome_2-processed-gene-20.163-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.163&CDS=1-1272, snap_masked-chromosome_4-processed-gene-16.8-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.8&CDS=1-1362	YHL019C, YOL062C, YPL259C
18	OG0000018	augustus_masked-chromosome_4-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-4.111&CDS=1-2118, snap_masked-chromosome_2-processed-gene-1.103-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.103&CDS=1-2241, snap_masked-chromosome_4-processed-gene-8.78-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-8.78&CDS=1-2124	YKL220C, YNR060W, YOR381W
19	OG0000019	snap_masked-chromosome_2-processed-gene-2.56-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.56&CDS=1-1404	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
20	OG0000020	maker-chromosome_2-snap-gene-2.169-mRNA-1_1&gene=maker-chromosome_2-snap-gene-2.169&CDS=1-2439, snap_masked-chromosome_4-processed-gene-10.159-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-10.159&CDS=1-2157	YJL099W, YKR027W, YMR237W, YOR299W
21	OG0000021	snap_masked-chromosome_4-processed-gene-10.163-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-10.163&CDS=1-1416, snap_masked-chromosome_4-processed-gene-16.0-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.0&CDS=1-948, snap_masked-chromosome_4-processed-gene-16.52-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.52&CDS=1-1620	YCR002C, YGR059W, YLR314C
22	OG0000022		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
23	OG0000023	snap_masked-chromosome_1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-1.16&CDS=1-2406, snap_masked-chromosome_2-processed-gene-3.53-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-3.53&CDS=1-2244, snap_masked-chromosome_3-processed-gene-14.56-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-14.56&CDS=1-864	YDL230W, YER075C
24	OG0000024	augustus_masked-chromosome_2-processed-gene-14.40-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-14.40&CDS=1-1860, snap_masked-chromosome_1-processed-gene-2.25-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-2.25&CDS=1-1980	YDR107C, YER113C, YLR083C
25	OG0000025	augustus_masked-chromosome_4-processed-gene-12.120-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-12.120&CDS=1-1569, snap_masked-chromosome_1-processed-gene-3.157-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-3.157&CDS=1-2457	YDR251W, YLR054C, YPL032C
26	OG0000026	augustus_masked-chromosome_1-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-4.43&CDS=1-2268, snap_masked-chromosome_2-processed-gene-11.13-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-11.13&CDS=1-1155, snap_masked-chromosome_3-processed-gene-8.65-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-8.65&CDS=1-2811, snap_masked-chromosome_4-processed-gene-4.37-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-4.37&CDS=1-2967	YIL130W
27	OG0000027	maker-chromosome_1-augustus-gene-22.2-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-22.2&CDS=1-3093, snap_masked-chromosome_1-processed-gene-6.4-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-6.4&CDS=1-1752, snap_masked-chromosome_1-processed-gene-9.119-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-9.119&CDS=1-1749	YGR211W, YKR039W
28	OG0000028	snap_masked-chromosome_1-processed-gene-13.85-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.85&CDS=1-900, snap_masked-chromosome_1-processed-gene-6.32-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-6.32&CDS=1-282	YBR089C-A, YDL002C, YPR052C
29	OG0000029	augustus_masked-chromosome_3-processed-gene-21.121-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-21.121&CDS=1-2715, snap_masked-chromosome_1-processed-gene-7.13-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-7.13&CDS=1-2148	YDR326C, YFL042C, YHR080C
30	OG0000030	augustus_masked-chromosome_3-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-9.118&CDS=1-3480, genemark-chromosome_1-processed-gene-7.95-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-7.95&CDS=1-4188	YML072C, YNL087W, YOR086C
31	OG0000031	maker-chromosome_4-snap-gene-2.102-mRNA-1_1&gene=maker-chromosome_4-snap-gene-2.102&CDS=1-2121, snap_masked-chromosome_1-processed-gene-8.10-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-8.10&CDS=1-3051, snap_masked-chromosome_4-processed-gene-1.8-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.8&CDS=1-2298	YLR144C, YNR067C
32	OG0000032	augustus_masked-chromosome_1-processed-gene-8.135-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-8.135&CDS=1-1206, augustus_masked-chromosome_4-processed-gene-11.151-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-11.151&CDS=1-1005	YMR172W, YOL116W, YPL075W
33	OG0000033	maker-chromosome_2-snap-gene-12.98-mRNA-1_1&gene=maker-chromosome_2-snap-gene-12.98&CDS=1-1224, snap_masked-chromosome_1-processed-gene-8.46-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-8.46&CDS=1-1479, snap_masked-chromosome_2-processed-gene-7.182-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.182&CDS=1-1653	YER133W, YML016C
34	OG0000034	snap_masked-chromosome_1-processed-gene-10.7-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.7&CDS=1-1677, snap_masked-chromosome_1-processed-gene-18.27-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-18.27&CDS=1-1332, snap_masked-chromosome_1-processed-gene-24.64-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.64&CDS=1-1431	YCR045C, YEL060C
35	OG0000035	genemark-chromosome_1-processed-gene-11.35-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-11.35&CDS=1-669, snap_masked-chromosome_1-processed-gene-10.11-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-10.11&CDS=1-1305, snap_masked-chromosome_2-processed-gene-4.139-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-4.139&CDS=1-1323	YDR313C, YGL023C
36	OG0000036	maker-chromosome_1-snap-gene-11.179-mRNA-1_1&gene=maker-chromosome_1-snap-gene-11.179&CDS=1-6408, snap_masked-chromosome_1-processed-gene-12.39-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.39&CDS=1-1572, snap_masked-chromosome_2-processed-gene-4.104-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-4.104&CDS=1-2310	YDL095W, YJR152W
37	OG0000037	snap_masked-chromosome_1-processed-gene-11.84-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-11.84&CDS=1-960, snap_masked-chromosome_2-processed-gene-12.142-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.142&CDS=1-2340, snap_masked-chromosome_3-processed-gene-3.86-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-3.86&CDS=1-2772	YER066W, YFL009W
38	OG0000038	snap_masked-chromosome_1-processed-gene-12.6-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-12.6&CDS=1-3480, snap_masked-chromosome_1-processed-gene-26.129-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-26.129&CDS=1-3732	YJL042W, YOR227W, YPL137C
39	OG0000039	augustus_masked-chromosome_3-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-9.138&CDS=1-3639, maker-chromosome_1-snap-gene-12.112-mRNA-1_1&gene=maker-chromosome_1-snap-gene-12.112&CDS=1-2139, snap_masked-chromosome_3-processed-gene-8.104-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-8.104&CDS=1-2643	YIL039W, YPR022C
40	OG0000040	snap_masked-chromosome_1-processed-gene-13.100-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.100&CDS=1-1356, snap_masked-chromosome_4-processed-gene-1.29-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.29&CDS=1-1338	YBR177C, YMR210W, YPL095C
41	OG0000041	snap_masked-chromosome_1-processed-gene-13.108-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-13.108&CDS=1-981, snap_masked-chromosome_3-processed-gene-1.138-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-1.138&CDS=1-960	YBL068W, YER099C, YHL011C
42	OG0000042	maker-chromosome_3-augustus-gene-15.148-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-15.148&CDS=1-2280, snap_masked-chromosome_1-processed-gene-14.51-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-14.51&CDS=1-2049, snap_masked-chromosome_3-processed-gene-7.104-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.104&CDS=1-1977	YBR015C, YOR202W
43	OG0000043	snap_masked-chromosome_1-processed-gene-14.52-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-14.52&CDS=1-1095, snap_masked-chromosome_2-processed-gene-7.164-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.164&CDS=1-1134, snap_masked-chromosome_4-processed-gene-12.9-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-12.9&CDS=1-1194	YBR207W, YER145C
44	OG0000044	snap_masked-chromosome_1-processed-gene-16.49-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-16.49&CDS=1-1671, snap_masked-chromosome_3-processed-gene-16.115-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.115&CDS=1-1659	YOL055C, YPL258C, YPR121W
45	OG0000045	genemark-chromosome_4-processed-gene-11.83-mRNA-1_1&gene=genemark-chromosome_4-processed-gene-11.83&CDS=1-2094, snap_masked-chromosome_1-processed-gene-17.127-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-17.127&CDS=1-2448, snap_masked-chromosome_2-processed-gene-8.101-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-8.101&CDS=1-3420	YBR114W, YOR191W
46	OG0000046	snap_masked-chromosome_1-processed-gene-18.47-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-18.47&CDS=1-1686, snap_masked-chromosome_3-processed-gene-13.181-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.181&CDS=1-1464, snap_masked-chromosome_3-processed-gene-18.114-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-18.114&CDS=1-1404	YLR034C, YOL122C
47	OG0000047	maker-chromosome_4-augustus-gene-4.168-mRNA-1_1&gene=maker-chromosome_4-augustus-gene-4.168&CDS=1-2784, snap_masked-chromosome_1-processed-gene-19.39-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-19.39&CDS=1-1365	YCR065W, YIL131C, YNL068C
48	OG0000048	maker-chromosome_1-augustus-gene-21.1-mRNA-1_1&gene=maker-chromosome_1-augustus-gene-21.1&CDS=1-2505, snap_masked-chromosome_3-processed-gene-17.94-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.94&CDS=1-2247, snap_masked-chromosome_4-processed-gene-6.63-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.63&CDS=1-2355	YAL051W, YOR363C
49	OG0000049	augustus_masked-chromosome_2-processed-gene-13.39-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-13.39&CDS=1-1956, maker-chromosome_1-snap-gene-21.61-mRNA-1_1&gene=maker-chromosome_1-snap-gene-21.61&CDS=1-3282, snap_masked-chromosome_2-processed-gene-13.141-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-13.141&CDS=1-2289	YJR061W, YKL201C
50	OG0000050	maker-chromosome_3-snap-gene-11.3-mRNA-1_1&gene=maker-chromosome_3-snap-gene-11.3&CDS=1-1458, snap_masked-chromosome_1-processed-gene-22.150-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-22.150&CDS=1-1188	YDR021W, YJL138C, YKR059W
51	OG0000051	maker-chromosome_3-augustus-gene-8.117-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-8.117&CDS=1-2553, snap_masked-chromosome_1-processed-gene-24.94-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-24.94&CDS=1-1488	YDL029W, YFR053C, YGL253W
52	OG0000052	augustus_masked-chromosome_3-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-0.42&CDS=1-1785, maker-chromosome_4-augustus-gene-0.118-mRNA-1_1&gene=maker-chromosome_4-augustus-gene-0.118&CDS=1-2622, snap_masked-chromosome_1-processed-gene-25.53-mRNA-1_1&gene=snap_masked-chromosome_1-processed-gene-25.53&CDS=1-1413, snap_masked-chromosome_3-processed-gene-0.20-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-0.20&CDS=1-2172, snap_masked-chromosome_3-processed-gene-0.22-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-0.22&CDS=1-2988	
53	OG0000053	augustus_masked-chromosome_1-processed-gene-26.57-mRNA-1_1&gene=augustus_masked-chromosome_1-processed-gene-26.57&CDS=1-1599, snap_masked-chromosome_3-processed-gene-5.176-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-5.176&CDS=1-1458, snap_masked-chromosome_4-processed-gene-6.71-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.71&CDS=1-2004	YDR338C, YHR032W
54	OG0000054	genemark-chromosome_2-processed-gene-2.36-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-2.36&CDS=1-2490, snap_masked-chromosome_2-processed-gene-22.212-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.212&CDS=1-2901	YDR385W, YKL173W, YOR133W
55	OG0000055	snap_masked-chromosome_2-processed-gene-7.149-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.149&CDS=1-1692, snap_masked-chromosome_3-processed-gene-17.83-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-17.83&CDS=1-1548, snap_masked-chromosome_3-processed-gene-2.170-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.170&CDS=1-2166	YHR206W, YOR140W
56	OG0000056	maker-chromosome_2-augustus-gene-8.9-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-8.9&CDS=1-6369, snap_masked-chromosome_3-processed-gene-18.95-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-18.95&CDS=1-1914	YHR186C, YIL095W, YNL020C
57	OG0000057	maker-chromosome_2-augustus-gene-9.3-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-9.3&CDS=1-2538, snap_masked-chromosome_4-processed-gene-1.9-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.9&CDS=1-864	YBR104W, YDR257C, YPR058W
58	OG0000058	augustus_masked-chromosome_2-processed-gene-9.49-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-9.49&CDS=1-2187, snap_masked-chromosome_2-processed-gene-16.38-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-16.38&CDS=1-1962	YDR475C, YGR237C, YOR019W
59	OG0000059	snap_masked-chromosome_2-processed-gene-11.40-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-11.40&CDS=1-1131, snap_masked-chromosome_4-processed-gene-14.44-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-14.44&CDS=1-1134	YCR102C, YLR460C, YNL134C
60	OG0000060	augustus_masked-chromosome_4-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-2.144&CDS=1-2925, snap_masked-chromosome_2-processed-gene-16.16-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-16.16&CDS=1-3183, snap_masked-chromosome_3-processed-gene-10.23-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-10.23&CDS=1-2340	YFR038W, YOR304W
61	OG0000061	maker-chromosome_2-snap-gene-17.122-mRNA-1_1&gene=maker-chromosome_2-snap-gene-17.122&CDS=1-690, snap_masked-chromosome_4-processed-gene-13.80-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-13.80&CDS=1-645	YGR152C, YNL098C, YOR101W
