	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041678_Debaryomyces_prosopidis
10	OG0000010	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C	snap_masked-flattened_line_47-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.5&CDS=1-489
11	OG0000011	YGL191W, YJR061W, YJR062C, YKL201C	augustus_masked-flattened_line_25-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.69&CDS=1-2967, genemark-flattened_line_25-processed-gene-2.63-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-2.63&CDS=1-2640, maker-flattened_line_25-augustus-gene-1.57-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-1.57&CDS=1-3429
12	OG0000012	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.41&CDS=1-1962, snap_masked-flattened_line_53-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.99&CDS=1-1698
13	OG0000013	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_1-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.23&CDS=1-1734, augustus_masked-flattened_line_53-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.135&CDS=1-1725
14	OG0000014	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_13-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.31&CDS=1-1947, augustus_masked-flattened_line_3-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.30&CDS=1-1872
15	OG0000015	YDL035C, YGR149W	augustus_masked-flattened_line_1-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-7.125&CDS=1-1566, genemark-flattened_line_3-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-0.69&CDS=1-2067, maker-flattened_line_39-snap-gene-1.227-mRNA-1_1&gene=maker-flattened_line_39-snap-gene-1.227&CDS=1-3561, maker-flattened_line_59-snap-gene-0.145-mRNA-1_1&gene=maker-flattened_line_59-snap-gene-0.145&CDS=1-525
16	OG0000016	YKL128C	augustus_masked-flattened_line_0-processed-gene-12.38-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.38&CDS=1-987, augustus_masked-flattened_line_0-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.26&CDS=1-987, augustus_masked-flattened_line_5-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-2.109&CDS=1-993, augustus_masked-flattened_line_53-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.141&CDS=1-990, snap_masked-flattened_line_5-processed-gene-2.3-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.3&CDS=1-930
17	OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_49-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.116&CDS=1-4713
18	OG0000018	YBR015C, YJL186W	augustus_masked-flattened_line_13-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.64&CDS=1-1248, augustus_masked-flattened_line_29-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.21&CDS=1-1662, augustus_masked-flattened_line_7-processed-gene-3.255-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-3.255&CDS=1-1734
19	OG0000019	YCR048W, YNR019W, YNR020C	augustus_masked-flattened_line_15-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-3.41&CDS=1-1743, augustus_masked-flattened_line_166-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_166-processed-gene-0.2&CDS=1-1815
20	OG0000020	YDR253C, YGR067C, YPL038W	augustus_masked-flattened_line_21-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.107&CDS=1-2034, snap_masked-flattened_line_29-processed-gene-1.145-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.145&CDS=1-1125
21	OG0000021	YDR342C, YDR343C, YDR345C, YHR092C	augustus_masked-flattened_line_71-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.28&CDS=1-1662
22	OG0000022	YGL257C, YNR059W	augustus_masked-flattened_line_23-processed-gene-2.212-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.212&CDS=1-2373, augustus_masked-flattened_line_33-processed-gene-1.251-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.251&CDS=1-2193, snap_masked-flattened_line_61-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.72&CDS=1-1878
23	OG0000023	YGR096W	augustus_masked-flattened_line_3-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.141&CDS=1-2022, augustus_masked-flattened_line_81-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_81-processed-gene-0.51&CDS=1-1242, augustus_masked-flattened_line_93-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_93-processed-gene-0.29&CDS=1-1218, genemark-flattened_line_13-processed-gene-3.123-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.123&CDS=1-1188
24	OG0000024	YGR263C	augustus_masked-flattened_line_21-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.98&CDS=1-753, augustus_masked-flattened_line_67-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_67-processed-gene-0.107&CDS=1-435, genemark-flattened_line_200-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_200-processed-gene-0.0&CDS=1-993, snap_masked-flattened_line_301-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_301-processed-gene-0.1&CDS=1-357
25	OG0000025	YHR176W	augustus_masked-flattened_line_1-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-7.129&CDS=1-1413, augustus_masked-flattened_line_13-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.34&CDS=1-1515, augustus_masked-flattened_line_13-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.55&CDS=1-1533, augustus_masked-flattened_line_27-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-2.166&CDS=1-1527
26	OG0000026	YHR179W, YPL171C	augustus_masked-flattened_line_19-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.141&CDS=1-1236, genemark-flattened_line_1-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-0.33&CDS=1-810, maker-flattened_line_198-augustus-gene-0.5-mRNA-1_1&gene=maker-flattened_line_198-augustus-gene-0.5&CDS=1-1149
27	OG0000027	YJR019C, YLR396C	augustus_masked-flattened_line_3-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.138&CDS=1-3003, augustus_masked-flattened_line_3-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.139&CDS=1-984, maker-flattened_line_3-augustus-gene-4.158-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-4.158&CDS=1-1971
28	OG0000028	YKL071W	augustus_masked-flattened_line_29-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-2.156&CDS=1-756, augustus_masked-flattened_line_5-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.24&CDS=1-756, augustus_masked-flattened_line_69-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.33&CDS=1-756, maker-flattened_line_91-snap-gene-0.19-mRNA-1_1&gene=maker-flattened_line_91-snap-gene-0.19&CDS=1-633
29	OG0000029	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-flattened_line_119-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_119-snap-gene-0.0&CDS=1-210
30	OG0000030	YLR155C, YLR157C, YLR158C, YLR160C	augustus_masked-flattened_line_69-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.34&CDS=1-1014
31	OG0000031	YLR163C, YPR097W	genemark-flattened_line_43-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.159&CDS=1-5205, maker-flattened_line_17-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-0.4&CDS=1-3738, maker-flattened_line_5-snap-gene-5.124-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-5.124&CDS=1-4812
32	OG0000032	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_0-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.86&CDS=1-2793, augustus_masked-flattened_line_0-processed-gene-14.168-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.168&CDS=1-2793
33	OG0000033	YML131W	augustus_masked-flattened_line_212-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_212-processed-gene-0.4&CDS=1-408, augustus_masked-flattened_line_289-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_289-processed-gene-0.1&CDS=1-495, augustus_masked-flattened_line_71-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.19&CDS=1-567, maker-flattened_line_212-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_212-snap-gene-0.5&CDS=1-441
34	OG0000034	YOR389W, YPL277C, YPL278C	augustus_masked-flattened_line_39-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.34&CDS=1-1662, genemark-flattened_line_9-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.52&CDS=1-1809
35	OG0000035	YOR390W, YPL279C	augustus_masked-flattened_line_13-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.69&CDS=1-1167, augustus_masked-flattened_line_49-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.0&CDS=1-1170, maker-flattened_line_33-snap-gene-0.86-mRNA-1_1&gene=maker-flattened_line_33-snap-gene-0.86&CDS=1-552
36	OG0000036	YPR022C	augustus_masked-flattened_line_43-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.17&CDS=1-2649, genemark-flattened_line_27-processed-gene-2.88-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-2.88&CDS=1-1923, maker-flattened_line_39-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_39-augustus-gene-0.4&CDS=1-3441, maker-flattened_line_9-snap-gene-3.207-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-3.207&CDS=1-1164
37	OG0000037	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_89-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.0&CDS=1-1308
38	OG0000038		augustus_masked-flattened_line_387-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_387-processed-gene-0.1&CDS=1-204, snap_masked-flattened_line_321-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_321-processed-gene-0.2&CDS=1-297, snap_masked-flattened_line_327-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_327-processed-gene-0.0&CDS=1-357, snap_masked-flattened_line_525-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_525-processed-gene-0.1&CDS=1-177, snap_masked-flattened_line_63-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.106&CDS=1-579
39	OG0000039	YAL060W, YAL061W	augustus_masked-flattened_line_51-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.181&CDS=1-1164, augustus_masked-flattened_line_51-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.182&CDS=1-1149
40	OG0000040	YBL106C, YPR032W	snap_masked-flattened_line_0-processed-gene-12.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.59&CDS=1-3228, snap_masked-flattened_line_0-processed-gene-3.131-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.131&CDS=1-3228
41	OG0000041	YBR009C, YNL030W	augustus_masked-flattened_line_1-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-4.98&CDS=1-309, augustus_masked-flattened_line_73-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.30&CDS=1-309
42	OG0000042	YBR010W, YNL031C	augustus_masked-flattened_line_1-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-4.77&CDS=1-408, augustus_masked-flattened_line_73-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.13&CDS=1-408
43	OG0000043	YBR021W, YIR028W	augustus_masked-flattened_line_0-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.102&CDS=1-3204, maker-flattened_line_0-augustus-gene-9.59-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-9.59&CDS=1-3213
44	OG0000044	YBR084W, YGR204W	augustus_masked-flattened_line_49-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.3&CDS=1-2970, maker-flattened_line_9-snap-gene-1.59-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-1.59&CDS=1-3465
45	OG0000045	YBR118W, YPR080W	augustus_masked-flattened_line_13-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-2.92&CDS=1-1374, augustus_masked-flattened_line_5-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-3.105&CDS=1-1374
46	OG0000046	YBR140C, YOL081W	augustus_masked-flattened_line_0-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.6&CDS=1-8064, augustus_masked-flattened_line_0-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.22&CDS=1-8064
47	OG0000047	YBR150C, YOL089C	augustus_masked-flattened_line_3-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.47&CDS=1-2661, augustus_masked-flattened_line_3-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.48&CDS=1-4860
48	OG0000048	YBR240C, YDR207C	augustus_masked-flattened_line_17-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.125&CDS=1-1509, genemark-flattened_line_63-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.117&CDS=1-1263
49	OG0000049	YCL025C, YDR508C	snap_masked-flattened_line_0-processed-gene-12.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.60&CDS=1-1716, snap_masked-flattened_line_33-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.65&CDS=1-1716
50	OG0000050	YCL036W, YDR514C	augustus_masked-flattened_line_21-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.147&CDS=1-933, augustus_masked-flattened_line_21-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.148&CDS=1-981
51	OG0000051	YCL064C, YIL167W	augustus_masked-flattened_line_13-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-3.20&CDS=1-1020, augustus_masked-flattened_line_33-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.200&CDS=1-1050
52	OG0000052	YCR105W, YMR318C	augustus_masked-flattened_line_220-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_220-processed-gene-0.1&CDS=1-696, augustus_masked-flattened_line_23-processed-gene-2.196-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.196&CDS=1-696
53	OG0000053	YDL246C, YJR159W, YLR070C	maker-flattened_line_1-augustus-gene-7.137-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-7.137&CDS=1-1578
54	OG0000054	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_23-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.43&CDS=1-3231
55	OG0000055	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_1-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-5.37&CDS=1-1662
56	OG0000056	YDR272W, YOR040W	augustus_masked-flattened_line_77-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_77-processed-gene-0.44&CDS=1-1620, maker-flattened_line_77-augustus-gene-0.63-mRNA-1_1&gene=maker-flattened_line_77-augustus-gene-0.63&CDS=1-3645
57	OG0000057	YDR385W, YOR133W	genemark-flattened_line_0-processed-gene-11.118-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.118&CDS=1-2565, genemark-flattened_line_0-processed-gene-4.108-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.108&CDS=1-2565
58	OG0000058	YDR409W, YOR156C	augustus_masked-flattened_line_0-processed-gene-10.109-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.109&CDS=1-3369, augustus_masked-flattened_line_0-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.60&CDS=1-3369
59	OG0000059	YDR453C, YML028W	augustus_masked-flattened_line_0-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.17&CDS=1-1080, augustus_masked-flattened_line_0-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.51&CDS=1-1080
60	OG0000060	YDR471W, YHR010W	augustus_masked-flattened_line_0-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.143&CDS=1-3510, augustus_masked-flattened_line_0-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.23&CDS=1-3510
61	OG0000061	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_27-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-flattened_line_27-processed-gene-2.145&CDS=1-1566
62	OG0000062	YER057C, YIL051C	augustus_masked-flattened_line_9-processed-gene-3.253-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.253&CDS=1-378, maker-flattened_line_11-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-0.10&CDS=1-3213
63	OG0000063	YER062C, YIL053W	augustus_masked-flattened_line_55-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.187&CDS=1-759, augustus_masked-flattened_line_63-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_63-processed-gene-0.34&CDS=1-792
64	OG0000064	YER066W, YFL009W	augustus_masked-flattened_line_146-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.5&CDS=1-240, augustus_masked-flattened_line_146-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.6&CDS=1-1137
65	OG0000065	YER185W, YGR213C, YLR046C	maker-flattened_line_11-snap-gene-3.6-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-3.6&CDS=1-528
66	OG0000066	YFL060C, YMR095C, YNL334C	augustus_masked-flattened_line_5-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.9&CDS=1-702
