	OrthologID	Saccharomyces_cerevisiae	Spathaspora_arborariae
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-KI547140.1-processed-gene-5.3-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.3&CDS=1-1398, maker-KI547137.1-augustus-gene-2.86-mRNA-1_1&gene=maker-KI547137.1-augustus-gene-2.86&CDS=1-4092
11	OG0000011	YBR240C, YDR207C	genemark-KI547134.1-processed-gene-10.22-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.22&CDS=1-1647, genemark-KI547134.1-processed-gene-2.86-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-2.86&CDS=1-552, genemark-KI547135.1-processed-gene-12.229-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.229&CDS=1-1536, genemark-KI547135.1-processed-gene-6.87-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.87&CDS=1-726, genemark-KI547141.1-processed-gene-0.13-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.13&CDS=1-1371
12	OG0000012	YCR010C, YNR002C	genemark-KI547134.1-processed-gene-3.51-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.51&CDS=1-768, genemark-KI547136.1-processed-gene-1.101-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-1.101&CDS=1-813, genemark-KI547136.1-processed-gene-5.57-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-5.57&CDS=1-768, genemark-KI547137.1-processed-gene-0.96-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-0.96&CDS=1-810, genemark-KI547140.1-processed-gene-5.40-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.40&CDS=1-765
13	OG0000013	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-KI547136.1-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-KI547136.1-processed-gene-0.131&CDS=1-840, genemark-KI547151.1-processed-gene-1.147-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.147&CDS=1-1791, snap_masked-KI547134.1-processed-gene-12.215-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-12.215&CDS=1-2013
14	OG0000014	YKL222C, YLR266C, YOR162C, YOR172W	genemark-KI547143.1-processed-gene-3.111-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-3.111&CDS=1-2514, genemark-KI547145.1-processed-gene-1.50-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-1.50&CDS=1-3132, genemark-KI547155.1-processed-gene-0.221-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.221&CDS=1-2517
15	OG0000015	YBL017C, YIL173W, YJL222W, YNR065C	genemark-KI547135.1-processed-gene-3.78-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-3.78&CDS=1-4578, genemark-KI547142.1-processed-gene-4.157-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.157&CDS=1-3945
16	OG0000016	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	genemark-KI547137.1-processed-gene-6.109-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-6.109&CDS=1-597
17	OG0000017	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-KI547143.1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-KI547143.1-processed-gene-2.41&CDS=1-1740, genemark-KI547134.1-processed-gene-3.69-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.69&CDS=1-1836
18	OG0000018	YDL138W, YDL194W	genemark-KI547140.1-processed-gene-5.2-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.2&CDS=1-1575, genemark-KI547141.1-processed-gene-0.43-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.43&CDS=1-2070, genemark-KI547145.1-processed-gene-0.8-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-0.8&CDS=1-1563, genemark-KI547154.1-processed-gene-0.224-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.224&CDS=1-1581
19	OG0000019	YGL120C, YKR086W, YNR011C	genemark-KI547137.1-processed-gene-3.67-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-3.67&CDS=1-3228, genemark-KI547141.1-processed-gene-5.135-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.135&CDS=1-2337, genemark-KI547147.1-processed-gene-2.49-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-2.49&CDS=1-2253
20	OG0000020	YGR156W, YIR001C	genemark-KI547142.1-processed-gene-3.65-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-3.65&CDS=1-1044, genemark-KI547150.1-processed-gene-2.37-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.37&CDS=1-510, genemark-KI547154.1-processed-gene-0.266-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.266&CDS=1-669, snap_masked-KI547137.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-KI547137.1-processed-gene-0.26&CDS=1-4389
21	OG0000021	YHR179W, YPL171C	genemark-KI547136.1-processed-gene-7.119-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.119&CDS=1-1185, genemark-KI547146.1-processed-gene-1.114-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.114&CDS=1-1191, genemark-KI547152.1-processed-gene-0.47-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-0.47&CDS=1-1311, maker-KI547138.1-snap-gene-2.13-mRNA-1_1&gene=maker-KI547138.1-snap-gene-2.13&CDS=1-2379
22	OG0000022	YIL166C	genemark-KI547135.1-processed-gene-10.93-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-10.93&CDS=1-1383, genemark-KI547135.1-processed-gene-12.198-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.198&CDS=1-1641, genemark-KI547147.1-processed-gene-3.60-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.60&CDS=1-1656, genemark-KI547151.1-processed-gene-1.139-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.139&CDS=1-1659, maker-KI547147.1-augustus-gene-2.1-mRNA-1_1&gene=maker-KI547147.1-augustus-gene-2.1&CDS=1-1404
23	OG0000023	YLL005C, YMR266W, YOL084W	genemark-KI547135.1-processed-gene-9.93-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-9.93&CDS=1-2583, genemark-KI547139.1-processed-gene-2.97-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.97&CDS=1-2604, genemark-KI547153.1-processed-gene-0.194-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.194&CDS=1-2712
24	OG0000024	YML111W, YMR275C, YNR069C	genemark-KI547134.1-processed-gene-10.42-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.42&CDS=1-2175, genemark-KI547135.1-processed-gene-6.104-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.104&CDS=1-2250, genemark-KI547145.1-processed-gene-1.76-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-1.76&CDS=1-2475
25	OG0000025	YMR006C, YMR008C, YNL012W, YOL011W	genemark-KI547142.1-processed-gene-2.80-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-2.80&CDS=1-1875, genemark-KI547143.1-processed-gene-3.115-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-3.115&CDS=1-2682
26	OG0000026	YOR153W	augustus_masked-KI547136.1-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-KI547136.1-processed-gene-7.44&CDS=1-3399, augustus_masked-KI547139.1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-KI547139.1-processed-gene-2.124&CDS=1-4416, genemark-KI547141.1-processed-gene-0.9-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.9&CDS=1-4458, genemark-KI547143.1-processed-gene-3.90-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-3.90&CDS=1-4488, genemark-KI547148.1-processed-gene-0.70-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-0.70&CDS=1-3912
27	OG0000027	YAL058W	augustus_masked-KI547144.1-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-KI547144.1-processed-gene-4.94&CDS=1-2715, augustus_masked-KI547149.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-KI547149.1-processed-gene-1.108&CDS=1-924, genemark-KI547135.1-processed-gene-9.58-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-9.58&CDS=1-789, genemark-KI547144.1-processed-gene-4.48-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-4.48&CDS=1-1686
28	OG0000028	YBR008C	augustus_masked-KI547135.1-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-1.16&CDS=1-1536, genemark-KI547135.1-processed-gene-5.65-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-5.65&CDS=1-1647, genemark-KI547136.1-processed-gene-1.97-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-1.97&CDS=1-1353, maker-KI547135.1-snap-gene-12.81-mRNA-1_1&gene=maker-KI547135.1-snap-gene-12.81&CDS=1-2946
29	OG0000029	YBR010W, YNL031C	genemark-KI547134.1-processed-gene-6.100-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.100&CDS=1-408, genemark-KI547140.1-processed-gene-1.83-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-1.83&CDS=1-408, genemark-KI547148.1-processed-gene-1.64-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.64&CDS=1-408
30	OG0000030	YBR015C	genemark-KI547135.1-processed-gene-6.107-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.107&CDS=1-1833, genemark-KI547135.1-processed-gene-8.24-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.24&CDS=1-1764, genemark-KI547137.1-processed-gene-7.141-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.141&CDS=1-2301, genemark-KI547141.1-processed-gene-5.110-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.110&CDS=1-2121
31	OG0000031	YBR145W, YMR083W, YMR303C, YOL086C	genemark-KI547146.1-processed-gene-1.119-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.119&CDS=1-2664
32	OG0000032	YBR150C, YOL089C	genemark-KI547140.1-processed-gene-2.71-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-2.71&CDS=1-1329, genemark-KI547143.1-processed-gene-2.44-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.44&CDS=1-2658, genemark-KI547143.1-processed-gene-2.45-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.45&CDS=1-2751
33	OG0000033	YBR298C, YDL247W, YGR289C, YJR160C	genemark-KI547134.1-processed-gene-11.70-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-11.70&CDS=1-1734
34	OG0000034	YCL024W, YDR507C, YKL101W	genemark-KI547134.1-processed-gene-3.57-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.57&CDS=1-3738, maker-KI547146.1-snap-gene-3.129-mRNA-1_1&gene=maker-KI547146.1-snap-gene-3.129&CDS=1-4395
35	OG0000035	YCR037C, YJL198W, YNR013C	genemark-KI547134.1-processed-gene-9.118-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-9.118&CDS=1-2577, genemark-KI547139.1-processed-gene-6.20-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-6.20&CDS=1-2871
36	OG0000036	YCR094W, YNL323W, YNR048W	genemark-KI547136.1-processed-gene-6.50-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-6.50&CDS=1-1320, genemark-KI547138.1-processed-gene-5.153-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-5.153&CDS=1-1215
37	OG0000037	YDL078C, YKL085W	genemark-KI547134.1-processed-gene-3.83-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.83&CDS=1-996, genemark-KI547150.1-processed-gene-0.74-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-0.74&CDS=1-1035, genemark-KI547152.1-processed-gene-0.43-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-0.43&CDS=1-1011
38	OG0000038	YDR038C, YDR039C, YDR040C	genemark-KI547134.1-processed-gene-12.171-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.171&CDS=1-3171, genemark-KI547149.1-processed-gene-2.104-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.104&CDS=1-3117
39	OG0000039	YDR072C	genemark-KI547134.1-processed-gene-1.86-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-1.86&CDS=1-1200, snap_masked-KI547134.1-processed-gene-3.112-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-3.112&CDS=1-1359, snap_masked-KI547138.1-processed-gene-6.91-mRNA-1_1&gene=snap_masked-KI547138.1-processed-gene-6.91&CDS=1-525, snap_masked-KI547146.1-processed-gene-2.152-mRNA-1_1&gene=snap_masked-KI547146.1-processed-gene-2.152&CDS=1-411
40	OG0000040	YDR144C, YIL015W, YIR039C, YLR120C, YLR121C	
41	OG0000041	YDR253C, YGR067C, YPL038W	genemark-KI547138.1-processed-gene-2.96-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-2.96&CDS=1-2667, genemark-KI547150.1-processed-gene-1.105-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.105&CDS=1-1242
42	OG0000042	YDR259C, YHL009C, YOR028C	genemark-KI547140.1-processed-gene-5.33-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.33&CDS=1-609, genemark-KI547143.1-processed-gene-2.66-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.66&CDS=1-1059
43	OG0000043	YDR326C, YFL042C, YHR080C	genemark-KI547134.1-processed-gene-2.70-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-2.70&CDS=1-2703, genemark-KI547138.1-processed-gene-1.68-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-1.68&CDS=1-2430
44	OG0000044	YDR533C, YMR322C, YOR391C, YPL280W	genemark-KI547147.1-processed-gene-3.59-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.59&CDS=1-711
45	OG0000045	YER015W	genemark-KI547140.1-processed-gene-5.8-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.8&CDS=1-2229, genemark-KI547141.1-processed-gene-3.69-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-3.69&CDS=1-2148, genemark-KI547143.1-processed-gene-4.51-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-4.51&CDS=1-2301, genemark-KI547149.1-processed-gene-1.58-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-1.58&CDS=1-2244
46	OG0000046	YFR022W, YGR068C, YOR018W	genemark-KI547134.1-processed-gene-7.105-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-7.105&CDS=1-1926, genemark-KI547136.1-processed-gene-4.22-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-4.22&CDS=1-2211
47	OG0000047	YGR197C, YJR015W	genemark-KI547149.1-processed-gene-2.124-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.124&CDS=1-1635, genemark-KI547149.1-processed-gene-2.164-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.164&CDS=1-1749, maker-KI547141.1-snap-gene-3.90-mRNA-1_1&gene=maker-KI547141.1-snap-gene-3.90&CDS=1-3003
48	OG0000048	YJL158C, YJL160C, YKL163W, YKL164C	genemark-KI547134.1-processed-gene-1.67-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-1.67&CDS=1-978
49	OG0000049	YKL081W, YPL048W, YPL050C	augustus_masked-KI547140.1-processed-gene-4.117-mRNA-1_1&gene=augustus_masked-KI547140.1-processed-gene-4.117&CDS=1-2259, genemark-KI547143.1-processed-gene-3.94-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-3.94&CDS=1-1242
