	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034605_Spencermartinsiella_europaea
10	OG0000010	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.24&CDS=1-1116, augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.40&CDS=1-1110, augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-0.97&CDS=1-1113
11	OG0000011	YDR107C, YER113C, YLR083C	augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-4.47&CDS=1-1935, augustus_masked-NODE_45_length_98638_cov_26.1847_ID_89-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_45_length_98638_cov_26.1847_ID_89-processed-gene-0.90&CDS=1-1914, augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-2.34&CDS=1-1440
12	OG0000012	YDR122W, YLR096W	augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-0.84&CDS=1-1149, augustus_masked-NODE_49_length_71103_cov_38.7334_ID_97-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_49_length_71103_cov_38.7334_ID_97-processed-gene-0.65&CDS=1-1149, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.3&CDS=1-1200, maker-NODE_1_length_1866239_cov_27.8708_ID_1-augustus-gene-5.46-mRNA-1_1&gene=maker-NODE_1_length_1866239_cov_27.8708_ID_1-augustus-gene-5.46&CDS=1-2859
13	OG0000013	YGL156W	augustus_masked-NODE_28_length_204468_cov_32.9351_ID_55-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_28_length_204468_cov_32.9351_ID_55-processed-gene-1.27&CDS=1-3258, augustus_masked-NODE_41_length_105529_cov_27.8891_ID_81-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_41_length_105529_cov_27.8891_ID_81-processed-gene-0.27&CDS=1-3258, augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-2.8&CDS=1-3351, augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-0.100&CDS=1-3231, maker-NODE_49_length_71103_cov_38.7334_ID_97-augustus-gene-0.92-mRNA-1_1&gene=maker-NODE_49_length_71103_cov_38.7334_ID_97-augustus-gene-0.92&CDS=1-3360
14	OG0000014	YLR098C, YOR337W	augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-2.23&CDS=1-1692, augustus_masked-NODE_34_length_143944_cov_26.1735_ID_67-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-NODE_34_length_143944_cov_26.1735_ID_67-processed-gene-0.137&CDS=1-1866, snap_masked-NODE_42_length_104403_cov_26.5717_ID_83-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_42_length_104403_cov_26.5717_ID_83-processed-gene-0.89&CDS=1-2004, snap_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.162-mRNA-1_1&gene=snap_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.162&CDS=1-1956
15	OG0000015	YOR389W, YPL277C, YPL278C	augustus_masked-NODE_30_length_172163_cov_26.6541_ID_59-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_30_length_172163_cov_26.6541_ID_59-processed-gene-0.34&CDS=1-1869, augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-3.121&CDS=1-1761, augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-4.32&CDS=1-1761
16	OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-7.17&CDS=1-4224
17	OG0000017	YBR207W, YER145C	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-1.19&CDS=1-1200, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-0.125&CDS=1-1200, augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.39&CDS=1-1212
18	OG0000018	YBR240C	augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-2.33&CDS=1-1341, snap_masked-NODE_10_length_350817_cov_26.8939_ID_19-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NODE_10_length_350817_cov_26.8939_ID_19-processed-gene-1.95&CDS=1-1779, snap_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-1.76&CDS=1-1425, snap_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-1.48&CDS=1-1863
19	OG0000019	YDR276C, YDR525W-A, YJL151C	genemark-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-8.31-mRNA-1_1&gene=genemark-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-8.31&CDS=1-173, snap_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-16.30-mRNA-1_1&gene=snap_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-16.30&CDS=1-381
20	OG0000020	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-NODE_24_length_234863_cov_28.0511_ID_47-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_24_length_234863_cov_28.0511_ID_47-processed-gene-1.58&CDS=1-708
21	OG0000021	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_35_length_134487_cov_28.4228_ID_69-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_35_length_134487_cov_28.4228_ID_69-processed-gene-0.7&CDS=1-1026
22	OG0000022	YER001W, YGL257C, YIL014W, YNR059W	augustus_masked-NODE_155_length_420_cov_0.87234_ID_309-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_155_length_420_cov_0.87234_ID_309-processed-gene-0.0&CDS=1-375
23	OG0000023	YFL054C, YLL043W, YPR192W	augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-2.34&CDS=1-837, augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-NODE_4_length_497818_cov_28.3057_ID_7-processed-gene-3.2&CDS=1-951
24	OG0000024	YGR070W, YLR371W, YLR425W	augustus_masked-NODE_46_length_97730_cov_27.4119_ID_91-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_46_length_97730_cov_27.4119_ID_91-processed-gene-0.102&CDS=1-4356, maker-NODE_4_length_497818_cov_28.3057_ID_7-augustus-gene-1.128-mRNA-1_1&gene=maker-NODE_4_length_497818_cov_28.3057_ID_7-augustus-gene-1.128&CDS=1-4629
25	OG0000025	YGR197C, YJR015W	augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.115&CDS=1-1251, snap_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-5.108-mRNA-1_1&gene=snap_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-5.108&CDS=1-1578, snap_masked-NODE_28_length_204468_cov_32.9351_ID_55-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NODE_28_length_204468_cov_32.9351_ID_55-processed-gene-1.125&CDS=1-1248
26	OG0000026	YGR248W, YHR163W, YNR034W	augustus_masked-NODE_22_length_248937_cov_28.0058_ID_43-processed-gene-1.205-mRNA-1_1&gene=augustus_masked-NODE_22_length_248937_cov_28.0058_ID_43-processed-gene-1.205&CDS=1-756, augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-2.36&CDS=1-801
27	OG0000027	YIL043C, YML087C, YML125C	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-1.112&CDS=1-828, snap_masked-NODE_44_length_99337_cov_31.1569_ID_87-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_44_length_99337_cov_31.1569_ID_87-processed-gene-0.55&CDS=1-927
28	OG0000028	YIL120W, YIL121W, YNL065W	augustus_masked-NODE_27_length_218879_cov_27.44_ID_53-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_27_length_218879_cov_27.44_ID_53-processed-gene-1.152&CDS=1-1797, augustus_masked-NODE_43_length_101563_cov_26.953_ID_85-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_43_length_101563_cov_26.953_ID_85-processed-gene-0.18&CDS=1-1833
29	OG0000029	YIL166C	augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-1.128&CDS=1-1638, augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-0.83&CDS=1-1605, augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-9.141-mRNA-1_1&gene=augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-9.141&CDS=1-1647, augustus_masked-NODE_54_length_40449_cov_27.0728_ID_107-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_54_length_40449_cov_27.0728_ID_107-processed-gene-0.53&CDS=1-1614
