	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034604_Sporopachydermia_lactativora
10	OG0000010	YMR169C, YMR170C, YOR374W	snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-1.39&CDS=1-1497, snap_masked-NODE_42_length_111293_cov_33.17_ID_83-processed-gene-0.134-mRNA-1_1&gene=snap_masked-NODE_42_length_111293_cov_33.17_ID_83-processed-gene-0.134&CDS=1-1572, snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.216-mRNA-1_1&gene=snap_masked-NODE_5_length_271561_cov_29.3437_ID_9-processed-gene-1.216&CDS=1-1494
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-0.69&CDS=1-4548
12	OG0000012	YBR149W, YDR368W, YOR120W	snap_masked-NODE_11_length_219143_cov_32.1848_ID_21-processed-gene-1.133-mRNA-1_1&gene=snap_masked-NODE_11_length_219143_cov_32.1848_ID_21-processed-gene-1.133&CDS=1-930, snap_masked-NODE_174_length_24864_cov_29.2618_ID_347-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_174_length_24864_cov_29.2618_ID_347-processed-gene-0.27&CDS=1-936
13	OG0000013	YBR297W, YFL052W, YGR288W, YPR196W	maker-NODE_38_length_117957_cov_41.9387_ID_75-snap-gene-0.98-mRNA-1_1&gene=maker-NODE_38_length_117957_cov_41.9387_ID_75-snap-gene-0.98&CDS=1-2337
14	OG0000014	YCR105W, YMR318C	maker-NODE_147_length_32552_cov_30.5191_ID_293-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_147_length_32552_cov_30.5191_ID_293-snap-gene-0.0&CDS=1-1089, snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-0.20&CDS=1-1101, snap_masked-NODE_173_length_25128_cov_26.8708_ID_345-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_173_length_25128_cov_26.8708_ID_345-processed-gene-0.32&CDS=1-1086
15	OG0000015	YDL025C, YNL183C	snap_masked-NODE_26_length_132509_cov_28.938_ID_51-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_26_length_132509_cov_28.938_ID_51-processed-gene-0.30&CDS=1-2319, snap_masked-NODE_37_length_120084_cov_30.4625_ID_73-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_37_length_120084_cov_30.4625_ID_73-processed-gene-0.115&CDS=1-1809, snap_masked-NODE_43_length_109197_cov_37.4356_ID_85-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_43_length_109197_cov_37.4356_ID_85-processed-gene-0.14&CDS=1-1887
16	OG0000016	YDL056W, YLR182W	maker-NODE_116_length_45868_cov_31.02_ID_231-snap-gene-0.19-mRNA-1_1&gene=maker-NODE_116_length_45868_cov_31.02_ID_231-snap-gene-0.19&CDS=1-2526, maker-NODE_22_length_148056_cov_28.3308_ID_43-snap-gene-0.115-mRNA-1_1&gene=maker-NODE_22_length_148056_cov_28.3308_ID_43-snap-gene-0.115&CDS=1-2844, snap_masked-NODE_26_length_132509_cov_28.938_ID_51-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_26_length_132509_cov_28.938_ID_51-processed-gene-0.20&CDS=1-555
17	OG0000017	YDR107C, YER113C, YLR083C	snap_masked-NODE_31_length_125216_cov_30.9394_ID_61-processed-gene-0.152-mRNA-1_1&gene=snap_masked-NODE_31_length_125216_cov_30.9394_ID_61-processed-gene-0.152&CDS=1-1977, snap_masked-NODE_81_length_69128_cov_39.7343_ID_161-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_81_length_69128_cov_39.7343_ID_161-processed-gene-0.55&CDS=1-1899
18	OG0000018	YDR144C, YLR120C, YLR121C	snap_masked-NODE_115_length_45961_cov_51.912_ID_229-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_115_length_45961_cov_51.912_ID_229-processed-gene-0.32&CDS=1-1599, snap_masked-NODE_155_length_29692_cov_48.7379_ID_309-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_155_length_29692_cov_48.7379_ID_309-processed-gene-0.1&CDS=1-1464
19	OG0000019	YDR385W, YKL173W, YOR133W	snap_masked-NODE_107_length_50259_cov_29.4794_ID_213-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_107_length_50259_cov_29.4794_ID_213-processed-gene-0.51&CDS=1-3126, snap_masked-NODE_7_length_250496_cov_31.8261_ID_13-processed-gene-1.56-mRNA-1_1&gene=snap_masked-NODE_7_length_250496_cov_31.8261_ID_13-processed-gene-1.56&CDS=1-2526
20	OG0000020	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-NODE_153_length_30097_cov_29.6083_ID_305-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_153_length_30097_cov_29.6083_ID_305-processed-gene-0.4&CDS=1-1029
21	OG0000021	YER028C, YGL035C, YGL209W	snap_masked-NODE_19_length_153673_cov_30.6289_ID_37-processed-gene-0.143-mRNA-1_1&gene=snap_masked-NODE_19_length_153673_cov_30.6289_ID_37-processed-gene-0.143&CDS=1-1587, snap_masked-NODE_21_length_149707_cov_30.2286_ID_41-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_21_length_149707_cov_30.2286_ID_41-processed-gene-0.145&CDS=1-1746
22	OG0000022	YJL042W, YOR227W, YPL137C	snap_masked-NODE_15_length_173774_cov_29.5314_ID_29-processed-gene-0.181-mRNA-1_1&gene=snap_masked-NODE_15_length_173774_cov_29.5314_ID_29-processed-gene-0.181&CDS=1-4233, snap_masked-NODE_42_length_111293_cov_33.17_ID_83-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_42_length_111293_cov_33.17_ID_83-processed-gene-0.113&CDS=1-3627
23	OG0000023	YJL105W, YKR029C, YPL181W	maker-NODE_18_length_157026_cov_29.9254_ID_35-snap-gene-0.190-mRNA-1_1&gene=maker-NODE_18_length_157026_cov_29.9254_ID_35-snap-gene-0.190&CDS=1-1641, snap_masked-NODE_48_length_100665_cov_35.6736_ID_95-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_48_length_100665_cov_35.6736_ID_95-processed-gene-0.111&CDS=1-3342
24	OG0000024	YKL171W, YLR248W	genemark-NODE_132_length_38392_cov_27.4633_ID_263-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_132_length_38392_cov_27.4633_ID_263-processed-gene-0.26&CDS=1-1908, snap_masked-NODE_107_length_50259_cov_29.4794_ID_213-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_107_length_50259_cov_29.4794_ID_213-processed-gene-0.53&CDS=1-2658, snap_masked-NODE_16_length_167979_cov_34.2736_ID_31-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_16_length_167979_cov_34.2736_ID_31-processed-gene-0.138&CDS=1-1755
25	OG0000025	YKL215C	snap_masked-NODE_234_length_9904_cov_28.5211_ID_467-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_234_length_9904_cov_28.5211_ID_467-processed-gene-0.1&CDS=1-4212, snap_masked-NODE_256_length_6305_cov_51.188_ID_511-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_256_length_6305_cov_51.188_ID_511-processed-gene-0.2&CDS=1-3891, snap_masked-NODE_71_length_76807_cov_47.2703_ID_141-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_71_length_76807_cov_47.2703_ID_141-processed-gene-0.4&CDS=1-3969, snap_masked-NODE_77_length_72133_cov_40.1768_ID_153-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_77_length_72133_cov_40.1768_ID_153-processed-gene-0.90&CDS=1-3942
26	OG0000026	YLR155C, YLR157C, YLR158C, YLR160C	snap_masked-NODE_119_length_44519_cov_44.2669_ID_237-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_119_length_44519_cov_44.2669_ID_237-processed-gene-0.42&CDS=1-1095
27	OG0000027	YMR111C, YOL116W	genemark-NODE_36_length_120409_cov_28.4148_ID_71-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_36_length_120409_cov_28.4148_ID_71-processed-gene-0.95&CDS=1-1095, snap_masked-NODE_194_length_18575_cov_31.9586_ID_387-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_194_length_18575_cov_31.9586_ID_387-processed-gene-0.6&CDS=1-900, snap_masked-NODE_35_length_121438_cov_32.3242_ID_69-processed-gene-0.128-mRNA-1_1&gene=snap_masked-NODE_35_length_121438_cov_32.3242_ID_69-processed-gene-0.128&CDS=1-1170
28	OG0000028	YBL008W, YOR038C	snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_10_length_233323_cov_32.9491_ID_19-processed-gene-1.27&CDS=1-3072, snap_masked-NODE_87_length_65432_cov_36.5929_ID_173-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_87_length_65432_cov_36.5929_ID_173-processed-gene-0.72&CDS=1-3135
29	OG0000029	YBL032W, YBR233W	snap_masked-NODE_29_length_128192_cov_37.8004_ID_57-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_29_length_128192_cov_37.8004_ID_57-processed-gene-0.1&CDS=1-1422, snap_masked-NODE_53_length_94997_cov_31.9757_ID_105-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_53_length_94997_cov_31.9757_ID_105-processed-gene-0.126&CDS=1-1095
30	OG0000030	YBL052C, YOR244W	snap_masked-NODE_165_length_27221_cov_29.6576_ID_329-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_165_length_27221_cov_29.6576_ID_329-processed-gene-0.21&CDS=1-1395, snap_masked-NODE_89_length_64190_cov_29.938_ID_177-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_89_length_64190_cov_29.938_ID_177-processed-gene-0.64&CDS=1-1860
31	OG0000031	YBL089W, YER119C	snap_masked-NODE_137_length_36324_cov_44.8562_ID_273-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_137_length_36324_cov_44.8562_ID_273-processed-gene-0.46&CDS=1-1446, snap_masked-NODE_74_length_72567_cov_27.8581_ID_147-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_74_length_72567_cov_27.8581_ID_147-processed-gene-0.83&CDS=1-1317
32	OG0000032	YBR008C	snap_masked-NODE_18_length_157026_cov_29.9254_ID_35-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_18_length_157026_cov_29.9254_ID_35-processed-gene-0.31&CDS=1-1815, snap_masked-NODE_18_length_157026_cov_29.9254_ID_35-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_18_length_157026_cov_29.9254_ID_35-processed-gene-0.32&CDS=1-1383, snap_masked-NODE_22_length_148056_cov_28.3308_ID_43-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_22_length_148056_cov_28.3308_ID_43-processed-gene-0.28&CDS=1-1791
33	OG0000033	YBR009C, YNL030W	genemark-NODE_74_length_72567_cov_27.8581_ID_147-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_74_length_72567_cov_27.8581_ID_147-processed-gene-0.42&CDS=1-309, snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-1.66&CDS=1-309
34	OG0000034	YBR010W, YNL031C	genemark-NODE_74_length_72567_cov_27.8581_ID_147-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_74_length_72567_cov_27.8581_ID_147-processed-gene-0.56&CDS=1-408, snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NODE_8_length_245876_cov_35.5678_ID_15-processed-gene-1.37&CDS=1-408
35	OG0000035	YBR038W, YNL192W	snap_masked-NODE_129_length_40429_cov_36.7934_ID_257-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_129_length_40429_cov_36.7934_ID_257-processed-gene-0.39&CDS=1-3201, snap_masked-NODE_157_length_29621_cov_34.8449_ID_313-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_157_length_29621_cov_34.8449_ID_313-processed-gene-0.25&CDS=1-3111
36	OG0000036	YBR073W, YGL163C	snap_masked-NODE_2_length_287206_cov_30.0926_ID_3-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_2_length_287206_cov_30.0926_ID_3-processed-gene-0.66&CDS=1-2841, snap_masked-NODE_6_length_266345_cov_30.7293_ID_11-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_6_length_266345_cov_30.7293_ID_11-processed-gene-1.66&CDS=1-2445
