	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035671_Phaffomyces_antillensis
12	OG0000012	YHR109W	augustus_masked-flattened_line_174-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_174-processed-gene-0.26&CDS=1-345, snap_masked-flattened_line_122-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.44&CDS=1-318, snap_masked-flattened_line_122-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.45&CDS=1-261, snap_masked-flattened_line_174-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_174-processed-gene-0.17&CDS=1-255, snap_masked-flattened_line_20-processed-gene-1.269-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.269&CDS=1-2052, snap_masked-flattened_line_655-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_655-processed-gene-0.1&CDS=1-198
13	OG0000013	YJL172W, YOL153C	genemark-flattened_line_141-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_141-processed-gene-0.59&CDS=1-1608, snap_masked-flattened_line_18-processed-gene-1.255-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.255&CDS=1-1746, snap_masked-flattened_line_42-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.73&CDS=1-1722, snap_masked-flattened_line_6-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.56&CDS=1-1731, snap_masked-flattened_line_68-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.88&CDS=1-1752
14	OG0000014	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_82-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.51&CDS=1-2778, snap_masked-flattened_line_10-processed-gene-1.100-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.100&CDS=1-2751, snap_masked-flattened_line_225-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_225-processed-gene-0.1&CDS=1-2037
15	OG0000015	YPL190C	augustus_masked-flattened_line_130-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.44&CDS=1-1269, augustus_masked-flattened_line_235-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_235-processed-gene-0.1&CDS=1-747, augustus_masked-flattened_line_651-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_651-processed-gene-0.0&CDS=1-492, snap_masked-flattened_line_184-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_184-processed-gene-0.16&CDS=1-978, snap_masked-flattened_line_243-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_243-processed-gene-0.6&CDS=1-990, snap_masked-flattened_line_265-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_265-processed-gene-0.3&CDS=1-639
16	OG0000016	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
17	OG0000017	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_36-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.120&CDS=1-1359
18	OG0000018	YBL014C	augustus_masked-flattened_line_10-processed-gene-2.204-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.204&CDS=1-2787, snap_masked-flattened_line_229-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_229-processed-gene-0.2&CDS=1-585, snap_masked-flattened_line_245-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_245-processed-gene-0.1&CDS=1-297, snap_masked-flattened_line_62-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.58&CDS=1-846, snap_masked-flattened_line_8-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.32&CDS=1-2163
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_24-augustus-gene-0.39-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-0.39&CDS=1-4791, snap_masked-flattened_line_147-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_147-processed-gene-0.24&CDS=1-4572
20	OG0000020	YBR015C	augustus_masked-flattened_line_147-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_147-processed-gene-0.48&CDS=1-1719, genemark-flattened_line_44-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.105&CDS=1-1707, genemark-flattened_line_46-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.45&CDS=1-1602, snap_masked-flattened_line_44-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.20&CDS=1-1944, snap_masked-flattened_line_86-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.53&CDS=1-1767
21	OG0000021	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_22-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.104&CDS=1-1641, snap_masked-flattened_line_64-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.80&CDS=1-1680
22	OG0000022	YDL216C, YFR004W, YLR073C	snap_masked-flattened_line_12-processed-gene-1.23-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.23&CDS=1-1332, snap_masked-flattened_line_36-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.87&CDS=1-1491, snap_masked-flattened_line_6-processed-gene-3.111-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.111&CDS=1-930
23	OG0000023	YDR028C, YKR075C, YOR062C	genemark-flattened_line_2-processed-gene-1.102-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.102&CDS=1-2118, genemark-flattened_line_253-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_253-processed-gene-0.1&CDS=1-636, snap_masked-flattened_line_10-processed-gene-2.60-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.60&CDS=1-660
24	OG0000024	YDR380W, YLR044C, YLR134W	snap_masked-flattened_line_114-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.52&CDS=1-1791, snap_masked-flattened_line_2-processed-gene-1.55-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.55&CDS=1-1716, snap_masked-flattened_line_8-processed-gene-2.140-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.140&CDS=1-1698
25	OG0000025	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_20-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.17&CDS=1-1677, snap_masked-flattened_line_14-processed-gene-2.29-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.29&CDS=1-1716
26	OG0000026	YGL185C, YPL113C	snap_masked-flattened_line_10-processed-gene-2.75-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.75&CDS=1-1098, snap_masked-flattened_line_14-processed-gene-1.75-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.75&CDS=1-1101, snap_masked-flattened_line_38-processed-gene-1.154-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.154&CDS=1-1122, snap_masked-flattened_line_38-processed-gene-1.155-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.155&CDS=1-1095
27	OG0000027	YGL257C, YNR059W	genemark-flattened_line_52-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.44&CDS=1-2103, genemark-flattened_line_8-processed-gene-2.288-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.288&CDS=1-2361, snap_masked-flattened_line_194-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_194-processed-gene-0.14&CDS=1-1959, snap_masked-flattened_line_36-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.71&CDS=1-2244
28	OG0000028	YGR249W, YHR206W, YOR140W	snap_masked-flattened_line_22-processed-gene-1.269-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.269&CDS=1-1986, snap_masked-flattened_line_46-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.102&CDS=1-2124, snap_masked-flattened_line_96-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.87&CDS=1-1326
29	OG0000029	YHL019C, YOL062C, YPL259C	genemark-flattened_line_16-processed-gene-2.116-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.116&CDS=1-1281, maker-flattened_line_102-augustus-gene-0.29-mRNA-1_1&gene=maker-flattened_line_102-augustus-gene-0.29&CDS=1-2337, snap_masked-flattened_line_26-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.34&CDS=1-1449
30	OG0000030	YHR050W, YLR034C, YOL122C	snap_masked-flattened_line_108-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.13&CDS=1-1518, snap_masked-flattened_line_32-processed-gene-1.135-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.135&CDS=1-1383, snap_masked-flattened_line_60-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.98&CDS=1-1719
31	OG0000031	YHR176W	snap_masked-flattened_line_12-processed-gene-1.18-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.18&CDS=1-1392, snap_masked-flattened_line_139-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_139-processed-gene-0.52&CDS=1-1422, snap_masked-flattened_line_22-processed-gene-1.298-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.298&CDS=1-1470, snap_masked-flattened_line_72-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.33&CDS=1-1518, snap_masked-flattened_line_82-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.129&CDS=1-1515
32	OG0000032	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-flattened_line_34-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.152&CDS=1-2070, snap_masked-flattened_line_82-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.128&CDS=1-1995
33	OG0000033	YJL123C, YKR048C	genemark-flattened_line_110-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.47&CDS=1-2496, maker-flattened_line_214-snap-gene-0.12-mRNA-1_1&gene=maker-flattened_line_214-snap-gene-0.12&CDS=1-510, snap_masked-flattened_line_122-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.50&CDS=1-240, snap_masked-flattened_line_214-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_214-processed-gene-0.1&CDS=1-1293
34	OG0000034	YLR241W	augustus_masked-flattened_line_241-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_241-processed-gene-0.6&CDS=1-1218, genemark-flattened_line_257-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_257-processed-gene-0.1&CDS=1-1389, snap_masked-flattened_line_149-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_149-processed-gene-0.29&CDS=1-2622, snap_masked-flattened_line_269-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_269-processed-gene-0.2&CDS=1-1389, snap_masked-flattened_line_60-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.83&CDS=1-2502
35	OG0000035	YML111W, YMR275C, YNR068C	augustus_masked-flattened_line_6-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.82&CDS=1-2202, maker-flattened_line_192-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_192-snap-gene-0.2&CDS=1-258, snap_masked-flattened_line_28-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.49&CDS=1-2337
36	OG0000036	YMR006C, YMR008C, YNL012W, YOL011W	maker-flattened_line_18-snap-gene-1.319-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-1.319&CDS=1-2928, snap_masked-flattened_line_116-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.26&CDS=1-1971
37	OG0000037	YMR083W, YMR303C, YOL086C	maker-flattened_line_30-snap-gene-0.42-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.42&CDS=1-2124, snap_masked-flattened_line_0-processed-gene-4.89-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.89&CDS=1-1107, snap_masked-flattened_line_58-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.14&CDS=1-1104
38	OG0000038	YOR374W, YPL061W	maker-flattened_line_44-snap-gene-0.171-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.171&CDS=1-1926, snap_masked-flattened_line_10-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.125&CDS=1-1491, snap_masked-flattened_line_2-processed-gene-4.105-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.105&CDS=1-1539, snap_masked-flattened_line_48-processed-gene-0.187-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.187&CDS=1-1488
39	OG0000039	Q0045, Q0065, Q0070	maker-flattened_line_153-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_153-snap-gene-0.11&CDS=1-264, maker-flattened_line_153-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_153-snap-gene-0.8&CDS=1-1611, snap_masked-flattened_line_153-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.40&CDS=1-267
40	OG0000040		augustus_masked-flattened_line_114-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.72&CDS=1-1074, augustus_masked-flattened_line_159-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_159-processed-gene-0.5&CDS=1-1269, augustus_masked-flattened_line_1883-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1883-processed-gene-0.2&CDS=1-219, augustus_masked-flattened_line_32-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.9&CDS=1-861, snap_masked-flattened_line_218-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_218-processed-gene-0.3&CDS=1-1824, snap_masked-flattened_line_32-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.59&CDS=1-3213
41	OG0000041	YBL089W, YER119C, YIL088C	snap_masked-flattened_line_6-processed-gene-3.121-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.121&CDS=1-1500, snap_masked-flattened_line_70-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.122&CDS=1-1236
42	OG0000042	YBR035C, YMR209C	augustus_masked-flattened_line_4-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.109&CDS=1-1689, snap_masked-flattened_line_54-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.70&CDS=1-1029, snap_masked-flattened_line_54-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.71&CDS=1-1236
43	OG0000043	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_58-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.159&CDS=1-813
44	OG0000044	YCL024W, YDR507C, YKL101W	snap_masked-flattened_line_2-processed-gene-2.32-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.32&CDS=1-3579, snap_masked-flattened_line_32-processed-gene-1.157-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.157&CDS=1-3498
45	OG0000045	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_6-processed-gene-3.129-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.129&CDS=1-1785
46	OG0000046	YCR026C, YEL016C	maker-flattened_line_16-snap-gene-1.175-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.175&CDS=1-732, snap_masked-flattened_line_186-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_186-processed-gene-0.10&CDS=1-2190, snap_masked-flattened_line_299-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_299-processed-gene-0.1&CDS=1-423
47	OG0000047	YCR037C, YJL198W, YNR013C	snap_masked-flattened_line_2-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.69&CDS=1-2607, snap_masked-flattened_line_86-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.66&CDS=1-2466
