	OrthologID	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-ipo_s107-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-1.128&CDS=1-1728, snap_masked-ipo_s107-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ipo_s107-processed-gene-0.20&CDS=1-1752, snap_masked-ipo_s109-processed-gene-1.78-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.78&CDS=1-1812, snap_masked-ipo_s151-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s151-processed-gene-0.1&CDS=1-1689	YKR039W, YLL061W, YPL274W
11	OG0000011	augustus_masked-ipo_s123-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ipo_s123-processed-gene-0.3&CDS=1-774, augustus_masked-ipo_s133-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ipo_s133-processed-gene-0.1&CDS=1-1053, augustus_masked-ipo_s265-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ipo_s265-processed-gene-0.15&CDS=1-984, augustus_masked-ipo_s267-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ipo_s267-processed-gene-0.7&CDS=1-744, augustus_masked-ipo_s31-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ipo_s31-processed-gene-0.33&CDS=1-1065, genemark-ipo_s361-processed-gene-0.2-mRNA-1_1&gene=genemark-ipo_s361-processed-gene-0.2&CDS=1-747	YPL060W
12	OG0000012	augustus_masked-ipo_s68-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-ipo_s68-processed-gene-0.94&CDS=1-1461, snap_masked-ipo_s163-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s163-processed-gene-0.5&CDS=1-189, snap_masked-ipo_s163-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s163-processed-gene-0.6&CDS=1-1224, snap_masked-ipo_s64-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s64-processed-gene-0.1&CDS=1-1815	YOL055C, YPL258C, YPR121W
13	OG0000013	snap_masked-ipo_s102-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s102-processed-gene-0.28&CDS=1-462, snap_masked-ipo_s194-processed-gene-0.102-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.102&CDS=1-456, snap_masked-ipo_s278-processed-gene-0.60-mRNA-1_1&gene=snap_masked-ipo_s278-processed-gene-0.60&CDS=1-375, snap_masked-ipo_s98-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ipo_s98-processed-gene-0.21&CDS=1-372	YGL089C, YPL187W
14	OG0000014	augustus_masked-ipo_s107-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-ipo_s107-processed-gene-1.148&CDS=1-2694, snap_masked-ipo_s277-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ipo_s277-processed-gene-0.33&CDS=1-3360, snap_masked-ipo_s339-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s339-processed-gene-0.2&CDS=1-2277	YGL120C, YKR086W, YNR011C
15	OG0000015	augustus_masked-ipo_s64-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ipo_s64-processed-gene-0.40&CDS=1-1527, snap_masked-ipo_s120-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s120-processed-gene-0.0&CDS=1-231, snap_masked-ipo_s147-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s147-processed-gene-0.1&CDS=1-1602, snap_masked-ipo_s147-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_s147-processed-gene-0.15&CDS=1-1920	YGR197C, YJR015W
16	OG0000016	augustus_masked-ipo_s122-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-ipo_s122-processed-gene-1.49&CDS=1-2829, genemark-ipo_s42-processed-gene-0.44-mRNA-1_1&gene=genemark-ipo_s42-processed-gene-0.44&CDS=1-5073, snap_masked-ipo_s93-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_s93-processed-gene-0.14&CDS=1-2376	YAL023C, YDL237W, YGR199W
17	OG0000017	augustus_masked-ipo_s159-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ipo_s159-processed-gene-0.11&CDS=1-324, snap_masked-ipo_s159-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ipo_s159-processed-gene-0.39&CDS=1-324, snap_masked-ipo_s184-processed-gene-2.81-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.81&CDS=1-1881, snap_masked-ipo_s45-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s45-processed-gene-0.5&CDS=1-420, snap_masked-ipo_s45-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s45-processed-gene-0.6&CDS=1-216	YOR129C
18	OG0000018	snap_masked-ipo_s184-processed-gene-1.39-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.39&CDS=1-1788, snap_masked-ipo_s73-processed-gene-1.123-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.123&CDS=1-1782	YCL069W, YGR224W, YKR105C, YPR198W
19	OG0000019	snap_masked-ipo_s202-processed-gene-0.180-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.180&CDS=1-942, snap_masked-ipo_s462-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s462-processed-gene-0.9&CDS=1-1065, snap_masked-ipo_s75-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s75-processed-gene-0.7&CDS=1-918	YDL047W, YDR075W, YNR032W
20	OG0000020	snap_masked-ipo_s260-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s260-processed-gene-0.9&CDS=1-1044	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
21	OG0000021	snap_masked-ipo_s346-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s346-processed-gene-0.1&CDS=1-1653, snap_masked-ipo_s4-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s4-processed-gene-0.6&CDS=1-1716	YDR342C, YDR343C, YDR345C, YHR092C
22	OG0000022	snap_masked-ipo_s420-processed-gene-0.95-mRNA-1_1&gene=snap_masked-ipo_s420-processed-gene-0.95&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
23	OG0000023	snap_masked-ipo_C27249-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_C27249-processed-gene-0.8&CDS=1-1302, snap_masked-ipo_s248-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s248-processed-gene-0.6&CDS=1-1155, snap_masked-ipo_s256-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s256-processed-gene-0.5&CDS=1-1257	YBR207W, YER145C
24	OG0000024	augustus_masked-ipo_C27397-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ipo_C27397-processed-gene-0.5&CDS=1-2196, snap_masked-ipo_s219-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s219-processed-gene-0.11&CDS=1-1968, snap_masked-ipo_s445-processed-gene-0.61-mRNA-1_1&gene=snap_masked-ipo_s445-processed-gene-0.61&CDS=1-1716	YLR098C, YOR337W
25	OG0000025	snap_masked-ipo_s10-processed-gene-0.101-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.101&CDS=1-723, snap_masked-ipo_s162-processed-gene-0.119-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.119&CDS=1-876, snap_masked-ipo_s43-processed-gene-0.90-mRNA-1_1&gene=snap_masked-ipo_s43-processed-gene-0.90&CDS=1-1086	YJL079C, YKR013W
26	OG0000026	augustus_masked-ipo_s306-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ipo_s306-processed-gene-0.2&CDS=1-2493, snap_masked-ipo_s106-processed-gene-1.215-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.215&CDS=1-1815, snap_masked-ipo_s80-processed-gene-0.95-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.95&CDS=1-1722	YDR338C, YHR032W
27	OG0000027	maker-ipo_s122-augustus-gene-0.82-mRNA-1_1&gene=maker-ipo_s122-augustus-gene-0.82&CDS=1-1971, snap_masked-ipo_s122-processed-gene-0.90-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-0.90&CDS=1-780	YCL036W, YDR514C, YKL114C
28	OG0000028	genemark-ipo_s122-processed-gene-2.18-mRNA-1_1&gene=genemark-ipo_s122-processed-gene-2.18&CDS=1-1065, maker-ipo_s367-snap-gene-0.188-mRNA-1_1&gene=maker-ipo_s367-snap-gene-0.188&CDS=1-1923	YER045C, YIL036W, YNL167C
29	OG0000029	snap_masked-ipo_s125-processed-gene-2.20-mRNA-1_1&gene=snap_masked-ipo_s125-processed-gene-2.20&CDS=1-966, snap_masked-ipo_s240-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-0.67&CDS=1-222, snap_masked-ipo_s43-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ipo_s43-processed-gene-0.89&CDS=1-3168	YGR136W, YPR154W
30	OG0000030	genemark-ipo_s180-processed-gene-0.19-mRNA-1_1&gene=genemark-ipo_s180-processed-gene-0.19&CDS=1-2493, snap_masked-ipo_s129-processed-gene-1.136-mRNA-1_1&gene=snap_masked-ipo_s129-processed-gene-1.136&CDS=1-2814	YCR037C, YJL198W, YNR013C
31	OG0000031	snap_masked-ipo_s130-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s130-processed-gene-0.10&CDS=1-3294, snap_masked-ipo_s17-processed-gene-0.63-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.63&CDS=1-1632, snap_masked-ipo_s73-processed-gene-1.116-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.116&CDS=1-1155	YAR019C, YDR523C
32	OG0000032	augustus_masked-ipo_s147-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-ipo_s147-processed-gene-0.57&CDS=1-978, augustus_masked-ipo_s163-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ipo_s163-processed-gene-0.15&CDS=1-696, augustus_masked-ipo_s384-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ipo_s384-processed-gene-0.6&CDS=1-939, augustus_masked-ipo_s56-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ipo_s56-processed-gene-0.10&CDS=1-879, snap_masked-ipo_s88-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s88-processed-gene-0.16&CDS=1-324	
33	OG0000033	snap_masked-ipo_s157-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ipo_s157-processed-gene-0.47&CDS=1-966, snap_masked-ipo_s328-processed-gene-0.35-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.35&CDS=1-957	YBL068W, YER099C, YHL011C
34	OG0000034	snap_masked-ipo_s16-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.75&CDS=1-1980, snap_masked-ipo_s86-processed-gene-1.118-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.118&CDS=1-2142	YDR475C, YGR237C, YOR019W
35	OG0000035	augustus_masked-ipo_s181-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ipo_s181-processed-gene-0.2&CDS=1-1293, snap_masked-ipo_s164-processed-gene-0.34-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.34&CDS=1-1395	YBL089W, YER119C, YIL088C
36	OG0000036	snap_masked-ipo_s168-processed-gene-0.45-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.45&CDS=1-801, snap_masked-ipo_s328-processed-gene-0.72-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.72&CDS=1-759, snap_masked-ipo_s443-processed-gene-0.83-mRNA-1_1&gene=snap_masked-ipo_s443-processed-gene-0.83&CDS=1-771	YCR010C, YNR002C
37	OG0000037	augustus_masked-ipo_s54-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ipo_s54-processed-gene-0.2&CDS=1-507, snap_masked-ipo_s184-processed-gene-1.3-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-1.3&CDS=1-747, snap_masked-ipo_s43-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ipo_s43-processed-gene-0.82&CDS=1-789	YIR013C, YLR013W
38	OG0000038	snap_masked-ipo_s202-processed-gene-0.172-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.172&CDS=1-408, snap_masked-ipo_s216-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s216-processed-gene-0.36&CDS=1-408, snap_masked-ipo_s73-processed-gene-1.128-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.128&CDS=1-408	YBR010W, YNL031C
39	OG0000039	maker-ipo_s277-snap-gene-0.51-mRNA-1_1&gene=maker-ipo_s277-snap-gene-0.51&CDS=1-204	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
40	OG0000040	snap_masked-ipo_s327-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s327-processed-gene-0.6&CDS=1-1275, snap_masked-ipo_s450-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s450-processed-gene-0.3&CDS=1-1191	YCR094W, YNL323W, YNR048W
41	OG0000041	snap_masked-ipo_s36-processed-gene-1.53-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.53&CDS=1-2241	YBR297W, YFL052W, YGR288W, YPR196W
42	OG0000042	augustus_masked-ipo_s42-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ipo_s42-processed-gene-0.63&CDS=1-4515	YBL017C, YIL173W, YJL222W, YNR065C
43	OG0000043	augustus_masked-ipo_s102-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ipo_s102-processed-gene-0.7&CDS=1-2250, snap_masked-ipo_C25437-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C25437-processed-gene-0.0&CDS=1-2028, snap_masked-ipo_s120-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s120-processed-gene-0.4&CDS=1-219, snap_masked-ipo_s278-processed-gene-0.78-mRNA-1_1&gene=snap_masked-ipo_s278-processed-gene-0.78&CDS=1-267	
44	OG0000044	snap_masked-ipo_C26533-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C26533-processed-gene-0.0&CDS=1-1440, snap_masked-ipo_s12-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s12-processed-gene-0.17&CDS=1-1458, snap_masked-ipo_s128-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s128-processed-gene-0.3&CDS=1-1095	YKL185W
45	OG0000045	augustus_masked-ipo_s97-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-ipo_s97-processed-gene-1.50&CDS=1-1044, snap_masked-ipo_C27689-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C27689-processed-gene-0.0&CDS=1-990	YCL064C, YIL167W
46	OG0000046	augustus_masked-ipo_C27927-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ipo_C27927-processed-gene-0.4&CDS=1-417, snap_masked-ipo_s122-processed-gene-1.99-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-1.99&CDS=1-4314	YBL079W, YER105C
47	OG0000047	snap_masked-ipo_s10-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.116&CDS=1-1002, snap_masked-ipo_s129-processed-gene-4.175-mRNA-1_1&gene=snap_masked-ipo_s129-processed-gene-4.175&CDS=1-1026, snap_masked-ipo_s152-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s152-processed-gene-0.4&CDS=1-570	YDL078C
48	OG0000048	augustus_masked-ipo_s10-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-ipo_s10-processed-gene-0.74&CDS=1-3552, augustus_masked-ipo_s131-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ipo_s131-processed-gene-0.5&CDS=1-906	YJL105W, YKR029C
49	OG0000049	maker-ipo_s10-snap-gene-0.133-mRNA-1_1&gene=maker-ipo_s10-snap-gene-0.133&CDS=1-1518, snap_masked-ipo_s109-processed-gene-1.79-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.79&CDS=1-1326	YBR239C, YJL103C
50	OG0000050	snap_masked-ipo_s10-processed-gene-1.188-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.188&CDS=1-1887, snap_masked-ipo_s328-processed-gene-0.58-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.58&CDS=1-2502, snap_masked-ipo_s452-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s452-processed-gene-0.0&CDS=1-198	YEL061C
51	OG0000051	maker-ipo_s106-augustus-gene-1.1-mRNA-1_1&gene=maker-ipo_s106-augustus-gene-1.1&CDS=1-1119, snap_masked-ipo_s150-processed-gene-0.112-mRNA-1_1&gene=snap_masked-ipo_s150-processed-gene-0.112&CDS=1-1095	YBR249C, YDR035W
52	OG0000052	snap_masked-ipo_s106-processed-gene-1.216-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.216&CDS=1-1290, snap_masked-ipo_s282-processed-gene-0.23-mRNA-1_1&gene=snap_masked-ipo_s282-processed-gene-0.23&CDS=1-1359	YKL046C, YMR238W
53	OG0000053	snap_masked-ipo_s106-processed-gene-1.219-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.219&CDS=1-2031, snap_masked-ipo_s422-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s422-processed-gene-0.2&CDS=1-1332	YHL019C, YPL259C
