	OrthologID	Brettanomyces_anomalus	Saccharomyces_cerevisiae
28	OG0000028	augustus_masked-LCTY01000007.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-0.69&CDS=1-330, augustus_masked-LCTY01000014.1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-2.86&CDS=1-1242	YLR449W, YML074C, YNL135C
29	OG0000029	genemark-LCTY01000009.1-processed-gene-3.10-mRNA-1_1&gene=genemark-LCTY01000009.1-processed-gene-3.10&CDS=1-2250	YER001W, YGL257C, YIL014W, YNR059W
30	OG0000030	augustus_masked-LCTY01000013.1-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-2.102&CDS=1-1104, snap_masked-LCTY01000010.1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-LCTY01000010.1-processed-gene-2.67&CDS=1-2115, snap_masked-LCTY01000016.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LCTY01000016.1-processed-gene-0.55&CDS=1-690	YBR062C, YDR143C
31	OG0000031	augustus_masked-LCTY01000001.1-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.117&CDS=1-2148, augustus_masked-LCTY01000001.1-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.55&CDS=1-2553	YFL050C, YOL130W
32	OG0000032	augustus_masked-LCTY01000001.1-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.56&CDS=1-342, maker-LCTY01000010.1-augustus-gene-2.77-mRNA-1_1&gene=maker-LCTY01000010.1-augustus-gene-2.77&CDS=1-267	YGR074W, YLR147C
33	OG0000033	augustus_masked-LCTY01000001.1-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.62&CDS=1-390, maker-LCTY01000008.1-augustus-gene-2.111-mRNA-1_1&gene=maker-LCTY01000008.1-augustus-gene-2.111&CDS=1-390	YJL190C, YLR367W
34	OG0000034	augustus_masked-LCTY01000001.1-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.102&CDS=1-1698	YGR087C, YLR044C, YLR134W
35	OG0000035	augustus_masked-LCTY01000001.1-processed-gene-10.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.55&CDS=1-1812, augustus_masked-LCTY01000016.1-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.144&CDS=1-1404	YHL019C, YPL259C
36	OG0000036	augustus_masked-LCTY01000001.1-processed-gene-11.9-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.9&CDS=1-1215, augustus_masked-LCTY01000002.1-processed-gene-12.121-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-12.121&CDS=1-1380	YLR090W, YNL064C
37	OG0000037	augustus_masked-LCTY01000001.1-processed-gene-11.26-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.26&CDS=1-783, snap_masked-LCTY01000005.1-processed-gene-3.70-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-3.70&CDS=1-903	YHL033C, YLL045C
38	OG0000038	augustus_masked-LCTY01000001.1-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-13.43&CDS=1-1884	YML116W, YMR279C, YOR378W
39	OG0000039	augustus_masked-LCTY01000001.1-processed-gene-16.3-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-16.3&CDS=1-1986, augustus_masked-LCTY01000016.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.132&CDS=1-1980	YAL005C, YER103W
40	OG0000040	augustus_masked-LCTY01000001.1-processed-gene-17.135-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-17.135&CDS=1-1104, augustus_masked-LCTY01000003.1-processed-gene-12.175-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.175&CDS=1-1092	YCR105W, YMR318C
41	OG0000041	augustus_masked-LCTY01000002.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-1.108&CDS=1-849, augustus_masked-LCTY01000002.1-processed-gene-13.115-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-13.115&CDS=1-855, augustus_masked-LCTY01000003.1-processed-gene-10.36-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.36&CDS=1-870	YJL068C
42	OG0000042	augustus_masked-LCTY01000002.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-1.120&CDS=1-1005, augustus_masked-LCTY01000002.1-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-7.45&CDS=1-999	YIL035C, YOR061W
43	OG0000043	augustus_masked-LCTY01000002.1-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-7.35&CDS=1-1683, augustus_masked-LCTY01000005.1-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-14.105&CDS=1-1560, maker-LCTY01000002.1-augustus-gene-3.129-mRNA-1_1&gene=maker-LCTY01000002.1-augustus-gene-3.129&CDS=1-2757	YDL210W
44	OG0000044	snap_masked-LCTY01000002.1-processed-gene-6.31-mRNA-1_1&gene=snap_masked-LCTY01000002.1-processed-gene-6.31&CDS=1-2061	YMR006C, YMR008C, YOL011W
45	OG0000045	augustus_masked-LCTY01000002.1-processed-gene-8.87-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-8.87&CDS=1-933, augustus_masked-LCTY01000006.1-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-4.77&CDS=1-945, augustus_masked-LCTY01000007.1-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-2.24&CDS=1-954	YDL124W
46	OG0000046	augustus_masked-LCTY01000014.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-0.44&CDS=1-465, snap_masked-LCTY01000002.1-processed-gene-8.22-mRNA-1_1&gene=snap_masked-LCTY01000002.1-processed-gene-8.22&CDS=1-366	YLR008C, YNL328C
47	OG0000047	augustus_masked-LCTY01000002.1-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-8.102&CDS=1-1032	YBR205W, YDR483W, YOR099W
48	OG0000048	augustus_masked-LCTY01000002.1-processed-gene-13.92-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-13.92&CDS=1-558, snap_masked-LCTY01000007.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-LCTY01000007.1-processed-gene-4.15&CDS=1-384	YMR073C, YNL111C
49	OG0000049	augustus_masked-LCTY01000003.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.82&CDS=1-972, augustus_masked-LCTY01000016.1-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.174&CDS=1-1020	YBR161W, YPL057C
50	OG0000050	augustus_masked-LCTY01000003.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.102&CDS=1-1596, augustus_masked-LCTY01000003.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.87&CDS=1-1587, snap_masked-LCTY01000003.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-0.52&CDS=1-1605	YJR152W
51	OG0000051	genemark-LCTY01000003.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LCTY01000003.1-processed-gene-0.3&CDS=1-1194, maker-LCTY01000010.1-snap-gene-3.133-mRNA-1_1&gene=maker-LCTY01000010.1-snap-gene-3.133&CDS=1-324, maker-LCTY01000010.1-snap-gene-3.135-mRNA-1_1&gene=maker-LCTY01000010.1-snap-gene-3.135&CDS=1-873	YCL075W
52	OG0000052	maker-LCTY01000003.1-snap-gene-0.42-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-0.42&CDS=1-2676, maker-LCTY01000006.1-snap-gene-5.83-mRNA-1_1&gene=maker-LCTY01000006.1-snap-gene-5.83&CDS=1-1836	YDL037C, YIR019C
53	OG0000053	augustus_masked-LCTY01000003.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.99&CDS=1-1092, augustus_masked-LCTY01000003.1-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-1.106&CDS=1-1143	YBR249C, YDR035W
54	OG0000054	augustus_masked-LCTY01000003.1-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-1.121&CDS=1-618, augustus_masked-LCTY01000008.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-1.56&CDS=1-621	YDR399W, YJR133W
55	OG0000055	augustus_masked-LCTY01000003.1-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-2.85&CDS=1-573, augustus_masked-LCTY01000006.1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-4.55&CDS=1-576	YGL147C, YNL067W
56	OG0000056	augustus_masked-LCTY01000003.1-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.82&CDS=1-1251, augustus_masked-LCTY01000003.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-3.47&CDS=1-1191	YBR025C, YHL014C
57	OG0000057	augustus_masked-LCTY01000003.1-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-4.105&CDS=1-1611, augustus_masked-LCTY01000004.1-processed-gene-10.67-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-10.67&CDS=1-1716, snap_masked-LCTY01000004.1-processed-gene-9.54-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-9.54&CDS=1-1662	YDR242W
58	OG0000058	augustus_masked-LCTY01000003.1-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-4.99&CDS=1-1902	YDR144C, YLR120C, YLR121C
59	OG0000059	augustus_masked-LCTY01000003.1-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-6.126&CDS=1-1218, genemark-LCTY01000009.1-processed-gene-1.14-mRNA-1_1&gene=genemark-LCTY01000009.1-processed-gene-1.14&CDS=1-1419	YIR013C, YLR013W
60	OG0000060	augustus_masked-LCTY01000003.1-processed-gene-8.104-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.104&CDS=1-2337	YML111W, YMR275C, YNR069C
61	OG0000061	augustus_masked-LCTY01000003.1-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.8&CDS=1-555, maker-LCTY01000008.1-augustus-gene-3.76-mRNA-1_1&gene=maker-LCTY01000008.1-augustus-gene-3.76&CDS=1-444	YDR092W, YLR306W
62	OG0000062	augustus_masked-LCTY01000003.1-processed-gene-11.106-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.106&CDS=1-891, augustus_masked-LCTY01000011.1-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-LCTY01000011.1-processed-gene-3.20&CDS=1-852	YBR151W, YML050W
63	OG0000063	augustus_masked-LCTY01000003.1-processed-gene-11.116-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.116&CDS=1-2340, augustus_masked-LCTY01000005.1-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-13.8&CDS=1-2322, snap_masked-LCTY01000016.1-processed-gene-1.120-mRNA-1_1&gene=snap_masked-LCTY01000016.1-processed-gene-1.120&CDS=1-2208	YMR168C
64	OG0000064	augustus_masked-LCTY01000003.1-processed-gene-12.165-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.165&CDS=1-498, augustus_masked-LCTY01000016.1-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.131&CDS=1-243	YDR378C, YPR182W
65	OG0000065	augustus_masked-LCTY01000004.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.54&CDS=1-1797, maker-LCTY01000006.1-augustus-gene-7.51-mRNA-1_1&gene=maker-LCTY01000006.1-augustus-gene-7.51&CDS=1-1263, maker-LCTY01000006.1-snap-gene-7.46-mRNA-1_1&gene=maker-LCTY01000006.1-snap-gene-7.46&CDS=1-1818	YGR289C
66	OG0000066	augustus_masked-LCTY01000004.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.38&CDS=1-345, augustus_masked-LCTY01000014.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-1.75&CDS=1-642, maker-LCTY01000005.1-snap-gene-2.9-mRNA-1_1&gene=maker-LCTY01000005.1-snap-gene-2.9&CDS=1-987	YBR067C
67	OG0000067	augustus_masked-LCTY01000004.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.40&CDS=1-1128	YCR102C, YLR460C, YNL134C
68	OG0000068	augustus_masked-LCTY01000004.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.43&CDS=1-1575	YIL120W, YIL121W, YNL065W
69	OG0000069	augustus_masked-LCTY01000004.1-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.8&CDS=1-2601, augustus_masked-LCTY01000004.1-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.7&CDS=1-3066	YHR047C, YKL157W
70	OG0000070	maker-LCTY01000004.1-snap-gene-2.85-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-2.85&CDS=1-1803, snap_masked-LCTY01000005.1-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-7.66&CDS=1-1116	YFL039C, YHR128W
71	OG0000071	augustus_masked-LCTY01000004.1-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.70&CDS=1-1653, maker-LCTY01000004.1-augustus-gene-3.82-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-3.82&CDS=1-3312	YEL063C, YNL270C
72	OG0000072	augustus_masked-LCTY01000004.1-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.36&CDS=1-423, augustus_masked-LCTY01000005.1-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-7.28&CDS=1-315	YGR209C, YLR043C
